,time,open,high,low,close,volume
0,2012-01-03,2.8,2.8,2.66,2.66,27200
1,2012-01-04,2.66,2.7,2.66,2.7,224200
2,2012-01-05,2.73,2.88,2.72,2.76,344100
3,2012-01-06,2.79,2.79,2.72,2.74,233100
4,2012-01-09,2.73,2.73,2.7,2.73,123000
5,2012-01-10,2.72,2.76,2.72,2.74,47300
6,2012-01-11,2.73,2.76,2.72,2.73,158900
7,2012-01-12,2.73,2.74,2.72,2.73,77400
8,2012-01-13,2.73,2.76,2.72,2.74,83200
9,2012-01-16,2.73,2.79,2.73,2.77,144000
10,2012-01-17,2.73,2.8,2.73,2.8,215300
11,2012-01-18,2.79,2.81,2.79,2.81,86600
12,2012-01-19,2.83,2.87,2.83,2.86,137500
13,2012-01-20,2.87,2.91,2.86,2.87,129500
14,2012-01-30,3.0,3.0,2.88,2.91,91900
15,2012-01-31,2.93,2.98,2.91,2.97,209100
16,2012-02-01,2.98,2.98,2.91,2.95,154400
17,2012-02-02,2.94,3.08,2.94,3.05,254600
18,2012-02-03,3.08,3.08,2.87,3.0,216300
19,2012-02-06,3.01,3.01,2.98,3.0,137900
20,2012-02-07,3.01,3.15,3.01,3.14,607800
21,2012-02-08,3.08,3.22,3.08,3.21,510700
22,2012-02-09,3.16,3.39,3.15,3.28,1153700
23,2012-02-10,3.3,3.35,3.22,3.25,393700
24,2012-02-13,3.26,3.26,3.11,3.11,446900
25,2012-02-14,3.11,3.14,3.02,3.05,498500
26,2012-02-15,3.05,3.08,2.93,2.94,425300
27,2012-02-16,2.97,3.0,2.94,2.98,507500
28,2012-02-17,2.98,3.02,2.98,3.02,541000
29,2012-02-20,3.02,3.21,3.02,3.21,850100
30,2012-02-21,3.29,3.35,3.14,3.16,468700
31,2012-02-22,3.18,3.26,3.12,3.25,577700
32,2012-02-23,3.23,3.26,3.16,3.26,769300
33,2012-02-24,3.22,3.28,3.21,3.21,995200
34,2012-02-27,3.22,3.3,3.21,3.3,667700
35,2012-02-28,3.33,3.33,3.21,3.22,831500
36,2012-02-29,3.22,3.3,3.22,3.29,669400
37,2012-03-01,3.29,3.47,3.29,3.47,1927000
38,2012-03-02,3.5,3.65,3.5,3.65,2678000
39,2012-03-05,3.7,3.89,3.7,3.89,2220300
40,2012-03-06,3.92,4.16,3.76,3.78,1911800
41,2012-03-07,3.78,3.78,3.65,3.65,1469700
42,2012-03-08,3.44,3.63,3.43,3.46,1550100
43,2012-03-09,3.43,3.54,3.33,3.44,1298200
44,2012-03-12,3.44,3.44,3.33,3.33,845400
45,2012-03-13,3.36,3.49,3.36,3.44,464500
46,2012-03-14,3.5,3.51,3.39,3.43,493200
47,2012-03-15,3.44,3.56,3.39,3.51,791100
48,2012-03-16,3.7,3.7,3.53,3.54,817700
49,2012-03-19,3.57,3.6,3.47,3.51,610200
50,2012-03-20,3.57,3.64,3.53,3.6,862200
51,2012-03-21,3.58,3.65,3.54,3.61,1608000
52,2012-03-22,3.64,3.64,3.56,3.61,578600
53,2012-03-23,3.58,3.63,3.56,3.58,1402600
54,2012-03-26,3.65,3.67,3.6,3.61,1228700
55,2012-03-27,3.61,3.61,3.5,3.5,1317900
56,2012-03-28,3.49,3.53,3.44,3.51,1161200
57,2012-03-29,3.53,3.53,3.37,3.44,1103100
58,2012-03-30,3.44,3.47,3.43,3.44,784200
59,2012-04-03,3.46,3.51,3.44,3.5,321500
60,2012-04-04,3.54,3.54,3.46,3.47,309000
61,2012-04-05,3.49,3.54,3.46,3.53,427200
62,2012-04-06,3.56,3.57,3.53,3.54,948100
63,2012-04-09,3.56,3.57,3.54,3.56,674100
64,2012-04-10,3.57,3.57,3.5,3.53,513200
65,2012-04-11,3.53,3.61,3.53,3.58,743400
66,2012-04-12,3.6,3.74,3.58,3.68,2167400
67,2012-04-13,3.71,3.71,3.61,3.68,718200
68,2012-04-16,3.64,3.72,3.61,3.68,580500
69,2012-04-17,3.67,3.72,3.64,3.67,759500
70,2012-04-18,3.65,3.7,3.6,3.61,1107200
71,2012-04-19,3.61,3.61,3.54,3.56,862500
72,2012-04-20,3.56,3.57,3.53,3.57,657600
73,2012-04-23,3.79,3.79,3.53,3.61,355200
74,2012-04-24,3.6,3.61,3.57,3.61,152900
75,2012-04-25,3.63,3.67,3.6,3.61,181600
76,2012-04-26,3.64,3.64,3.53,3.58,307800
77,2012-04-27,3.57,3.61,3.56,3.6,268900
78,2012-05-02,3.57,3.6,3.54,3.56,263900
79,2012-05-03,3.53,3.58,3.53,3.56,468700
80,2012-05-04,3.54,3.58,3.54,3.57,315700
81,2012-05-07,3.58,3.61,3.57,3.61,293600
82,2012-05-08,3.6,3.72,3.6,3.63,858000
83,2012-05-09,3.61,3.67,3.57,3.63,324000
84,2012-05-10,3.63,3.68,3.6,3.63,581900
85,2012-05-11,3.61,3.64,3.57,3.58,349000
86,2012-05-14,3.61,3.68,3.57,3.58,1015200
87,2012-05-15,3.58,3.61,3.56,3.58,877400
88,2012-05-16,3.58,3.61,3.57,3.58,824500
89,2012-05-17,3.58,3.61,3.58,3.6,659100
90,2012-05-18,3.58,3.58,3.5,3.54,1051500
91,2012-05-21,3.53,3.63,3.53,3.63,244900
92,2012-05-22,3.58,3.64,3.37,3.58,242400
93,2012-05-23,3.58,3.6,3.57,3.58,556100
94,2012-05-24,3.58,3.6,3.57,3.58,609200
95,2012-05-25,3.57,3.63,3.57,3.63,203500
96,2012-05-28,3.63,3.64,3.6,3.61,172200
97,2012-05-29,3.58,3.63,3.58,3.61,233300
98,2012-05-30,3.61,3.63,3.6,3.63,56500
99,2012-05-31,3.6,3.61,3.58,3.6,441000
100,2012-06-01,3.6,3.61,3.6,3.61,81400
101,2012-06-04,3.6,3.61,3.57,3.58,425900
102,2012-06-05,3.58,3.61,3.58,3.6,253100
103,2012-06-06,3.6,3.63,3.6,3.61,92400
104,2012-06-07,3.58,3.63,3.58,3.63,53900
105,2012-06-08,3.63,3.64,3.58,3.58,126100
106,2012-06-11,3.5,3.61,3.5,3.61,166800
107,2012-06-12,3.61,3.61,3.58,3.6,210500
108,2012-06-13,3.58,3.61,3.58,3.61,289700
109,2012-06-14,3.6,3.61,3.58,3.58,294900
110,2012-06-15,3.58,3.6,3.58,3.58,180600
111,2012-06-18,3.58,3.63,3.58,3.61,129000
112,2012-06-19,3.61,3.63,3.6,3.61,402200
113,2012-06-20,3.63,3.63,3.6,3.61,339300
114,2012-06-21,3.6,3.63,3.6,3.61,711600
115,2012-06-22,3.61,3.61,3.6,3.6,568200
116,2012-06-25,3.61,3.61,3.58,3.58,283900
