,time,open,high,low,close,volume
0,2012-01-03,2.28,2.31,2.28,2.31,1660
1,2012-01-04,2.33,2.33,2.31,2.32,11950
2,2012-01-05,2.23,2.23,2.22,2.22,12480
3,2012-01-06,2.32,2.32,2.32,2.32,10
4,2012-01-09,2.32,2.32,2.32,2.32,50
5,2012-01-10,2.33,2.33,2.33,2.33,4950
6,2012-01-11,2.33,2.33,2.33,2.33,4780
7,2012-01-12,2.36,2.36,2.36,2.36,30
8,2012-01-13,2.44,2.44,2.33,2.42,430
9,2012-01-16,2.46,2.46,2.46,2.46,10
10,2012-01-17,2.46,2.47,2.46,2.47,4830
11,2012-01-18,2.47,2.47,2.47,2.47,360
12,2012-01-19,2.53,2.53,2.53,2.53,10
13,2012-01-20,2.58,2.58,2.58,2.58,40
14,2012-01-30,2.58,2.58,2.58,2.58,0
15,2012-01-31,2.58,2.58,2.58,2.58,0
16,2012-02-01,2.66,2.66,2.64,2.66,110
17,2012-02-02,2.66,2.66,2.66,2.66,0
18,2012-02-03,2.66,2.66,2.66,2.66,0
19,2012-02-06,2.66,2.66,2.66,2.66,0
20,2012-02-07,2.66,2.66,2.66,2.66,0
21,2012-02-08,2.59,2.59,2.53,2.53,110
22,2012-02-09,2.44,2.44,2.41,2.42,1010
23,2012-02-10,2.54,2.54,2.31,2.31,20
24,2012-02-13,2.2,2.2,2.2,2.2,200
25,2012-02-14,2.2,2.31,2.16,2.16,120
26,2012-02-15,2.18,2.18,2.18,2.18,560
27,2012-02-16,2.24,2.24,2.19,2.19,1330
28,2012-02-17,2.19,2.29,2.19,2.29,590
29,2012-02-20,2.29,2.29,2.28,2.28,1300
30,2012-02-21,2.27,2.28,2.27,2.28,3220
31,2012-02-22,2.38,2.38,2.38,2.38,10
32,2012-02-23,2.4,2.4,2.37,2.38,1500
33,2012-02-24,2.46,2.46,2.33,2.46,5280
34,2012-02-27,2.35,2.4,2.35,2.4,20850
35,2012-02-28,2.4,2.45,2.4,2.45,1220
36,2012-02-29,2.33,2.33,2.33,2.33,1200
37,2012-03-01,2.33,2.36,2.33,2.33,6000
38,2012-03-02,2.33,2.33,2.33,2.33,0
39,2012-03-05,2.33,2.45,2.33,2.45,10060
40,2012-03-06,2.57,2.57,2.45,2.45,18810
41,2012-03-07,2.38,2.38,2.38,2.38,6060
42,2012-03-08,2.38,2.5,2.27,2.5,5840
43,2012-03-09,2.49,2.5,2.49,2.5,520
44,2012-03-12,2.5,2.5,2.38,2.38,4720
45,2012-03-13,2.5,2.5,2.49,2.5,720
46,2012-03-14,2.5,2.5,2.5,2.5,0
47,2012-03-15,2.46,2.53,2.44,2.53,16910
48,2012-03-16,2.5,2.64,2.49,2.64,1450
49,2012-03-19,2.59,2.63,2.51,2.51,7740
50,2012-03-20,2.51,2.51,2.4,2.46,20700
51,2012-03-21,2.46,2.58,2.46,2.58,3410
52,2012-03-22,2.68,2.7,2.58,2.58,1400
53,2012-03-23,2.59,2.59,2.59,2.59,1010
54,2012-03-26,2.59,2.59,2.59,2.59,10
55,2012-03-27,2.54,2.54,2.46,2.46,8230
56,2012-03-28,2.44,2.44,2.42,2.42,300
57,2012-03-29,2.42,2.44,2.42,2.44,3100
58,2012-03-30,2.42,2.44,2.42,2.42,2060
59,2012-04-03,2.46,2.46,2.46,2.46,2120
60,2012-04-04,2.46,2.49,2.46,2.49,6200
61,2012-04-05,2.47,2.54,2.42,2.42,42860
62,2012-04-06,2.53,2.54,2.46,2.54,12000
63,2012-04-09,2.5,2.63,2.5,2.63,3050
64,2012-04-10,2.72,2.72,2.71,2.71,880
65,2012-04-11,2.79,2.79,2.75,2.76,3000
66,2012-04-12,2.79,2.89,2.79,2.85,34370
67,2012-04-13,2.85,2.93,2.71,2.85,41170
68,2012-04-16,2.85,2.99,2.85,2.97,10600
69,2012-04-17,3.01,3.04,2.98,2.99,17100
70,2012-04-18,2.99,3.11,2.99,3.11,9030
71,2012-04-19,3.11,3.27,2.98,3.23,20650
72,2012-04-20,3.12,3.23,3.07,3.07,6500
73,2012-04-23,2.98,3.17,2.97,3.01,11340
74,2012-04-24,3.11,3.11,3.11,3.11,1000
75,2012-04-25,3.24,3.27,3.24,3.27,13070
76,2012-04-26,3.37,3.37,3.3,3.3,1070
77,2012-04-27,3.17,3.28,3.17,3.28,7000
78,2012-05-02,3.3,3.43,3.19,3.37,27540
79,2012-05-03,3.27,3.37,3.24,3.37,6930
80,2012-05-04,3.37,3.54,3.37,3.54,56550
81,2012-05-07,3.71,3.71,3.69,3.71,363340
82,2012-05-08,3.89,3.89,3.89,3.89,195350
83,2012-05-09,4.08,4.08,4.03,4.08,208870
84,2012-05-10,4.28,4.28,4.15,4.25,179230
85,2012-05-11,4.08,4.08,4.04,4.04,131570
86,2012-05-14,3.85,3.85,3.85,3.85,21120
87,2012-05-15,3.67,3.67,3.67,3.67,73170
88,2012-05-16,3.5,3.76,3.49,3.76,117410
89,2012-05-17,3.58,3.73,3.58,3.58,33790
90,2012-05-18,3.41,3.41,3.41,3.41,17450
91,2012-05-21,3.25,3.38,3.25,3.37,54960
92,2012-05-22,3.32,3.32,3.2,3.2,36680
93,2012-05-23,3.25,3.25,3.05,3.05,50940
94,2012-05-24,3.01,3.11,2.9,2.9,36730
95,2012-05-25,3.04,3.04,2.89,3.04,22900
96,2012-05-28,3.19,3.19,3.04,3.05,21710
97,2012-05-29,3.19,3.2,3.05,3.2,39750
98,2012-05-30,3.35,3.35,3.34,3.35,17090
99,2012-05-31,3.5,3.5,3.32,3.32,60950
100,2012-06-01,3.46,3.46,3.31,3.31,2480
101,2012-06-04,3.31,3.31,3.14,3.31,37410
102,2012-06-05,3.31,3.31,3.14,3.2,2730
103,2012-06-06,3.11,3.35,3.11,3.34,19120
104,2012-06-07,3.34,3.47,3.34,3.4,5970
105,2012-06-08,3.4,3.56,3.4,3.4,50240
106,2012-06-11,3.49,3.49,3.4,3.4,4260
107,2012-06-12,3.38,3.52,3.38,3.38,32930
108,2012-06-13,3.38,3.46,3.38,3.41,10860
109,2012-06-14,3.41,3.44,3.38,3.44,1130
110,2012-06-15,3.44,3.47,3.43,3.44,20010
111,2012-06-18,3.5,3.5,3.44,3.46,10100
112,2012-06-19,3.44,3.46,3.41,3.41,11340
113,2012-06-20,3.41,3.46,3.41,3.46,22700
114,2012-06-21,3.46,3.49,3.44,3.49,7440
115,2012-06-22,3.38,3.38,3.38,3.38,1050
116,2012-06-25,3.32,3.46,3.32,3.38,21040
117,2012-06-26,3.38,3.4,3.35,3.35,18370
118,2012-06-27,3.44,3.49,3.37,3.37,29900
119,2012-06-28,3.38,3.38,3.37,3.38,12740
120,2012-06-29,3.44,3.44,3.38,3.43,620
121,2012-07-02,3.31,3.34,3.31,3.34,7520
122,2012-07-03,3.34,3.41,3.31,3.41,3820
123,2012-07-04,3.41,3.41,3.41,3.41,0
124,2012-07-05,3.41,3.41,3.41,3.41,0
125,2012-07-06,3.4,3.41,3.38,3.41,5360
126,2012-07-09,3.44,3.44,3.28,3.38,2590
127,2012-07-10,3.31,3.34,3.26,3.34,22580
128,2012-07-11,3.4,3.4,3.29,3.37,8810
129,2012-07-12,3.38,3.38,3.29,3.37,2670
130,2012-07-13,3.38,3.4,3.38,3.38,6930
131,2012-07-16,3.37,3.37,3.32,3.35,19570
132,2012-07-17,3.31,3.44,3.29,3.44,16990
133,2012-07-18,3.35,3.43,3.35,3.41,4420
134,2012-07-19,3.41,3.44,3.37,3.44,9470
135,2012-07-20,3.46,3.53,3.44,3.46,9420
136,2012-07-23,3.44,3.52,3.43,3.46,19120
137,2012-07-24,3.46,3.46,3.43,3.43,4150
138,2012-07-25,3.43,3.43,3.38,3.41,3610
139,2012-07-26,3.41,3.41,3.38,3.38,10780
140,2012-07-27,3.38,3.43,3.37,3.38,6210
141,2012-07-30,3.46,3.46,3.34,3.38,13730
142,2012-07-31,3.38,3.46,3.37,3.46,10830
143,2012-08-01,3.52,3.52,3.35,3.49,2510
144,2012-08-02,3.46,3.49,3.43,3.43,6180
145,2012-08-03,3.46,3.49,3.46,3.49,5620
146,2012-08-06,3.62,3.65,3.53,3.65,20210
147,2012-08-07,3.68,3.74,3.61,3.68,12760
148,2012-08-08,3.68,3.68,3.68,3.68,980
149,2012-08-09,3.79,3.79,3.68,3.68,1710
150,2012-08-10,3.76,3.76,3.61,3.68,18180
151,2012-08-13,3.68,3.68,3.68,3.68,3000
152,2012-08-14,3.76,3.76,3.62,3.62,420
153,2012-08-15,3.79,3.79,3.62,3.73,1310
154,2012-08-16,3.62,3.71,3.55,3.71,6010
155,2012-08-17,3.62,3.73,3.61,3.7,580
156,2012-08-20,3.74,3.82,3.73,3.79,13150
157,2012-08-21,3.79,3.8,3.61,3.61,76020
158,2012-08-22,3.49,3.76,3.49,3.71,29540
159,2012-08-23,3.56,3.76,3.53,3.68,34100
160,2012-08-24,3.53,3.67,3.53,3.61,12270
161,2012-08-27,3.61,3.61,3.43,3.61,26010
162,2012-08-28,3.58,3.61,3.58,3.61,2220
163,2012-08-29,3.61,3.61,3.61,3.61,230
164,2012-08-30,3.61,3.61,3.61,3.61,10100
165,2012-08-31,3.59,3.59,3.59,3.59,20
166,2012-09-04,3.61,3.61,3.59,3.59,2370
167,2012-09-05,3.52,3.61,3.52,3.61,1960
168,2012-09-06,3.52,3.59,3.49,3.49,520
169,2012-09-07,3.62,3.62,3.5,3.56,3710
170,2012-09-10,3.49,3.56,3.46,3.56,6170
171,2012-09-11,3.49,3.59,3.49,3.53,13010
172,2012-09-12,3.59,3.59,3.49,3.5,3040
173,2012-09-13,3.53,3.53,3.49,3.5,5030
174,2012-09-14,3.52,3.61,3.52,3.52,2610
175,2012-09-17,3.53,3.53,3.52,3.53,7620
176,2012-09-18,3.58,3.58,3.52,3.58,17640
177,2012-09-19,3.58,3.58,3.53,3.58,510
178,2012-09-20,3.59,3.59,3.53,3.53,9910
179,2012-09-21,3.61,3.61,3.53,3.59,2030
180,2012-09-24,3.58,3.58,3.58,3.58,10000
181,2012-09-25,3.59,3.59,3.56,3.56,550
182,2012-09-26,3.55,3.55,3.53,3.53,1300
183,2012-09-27,3.53,3.53,3.53,3.53,100
184,2012-09-28,3.59,3.59,3.53,3.59,1040
185,2012-10-01,3.55,3.55,3.52,3.52,1830
186,2012-10-02,3.52,3.52,3.49,3.49,10450
187,2012-10-03,3.49,3.49,3.47,3.49,3900
188,2012-10-04,3.49,3.49,3.49,3.49,18500
189,2012-10-05,3.49,3.52,3.49,3.52,25300
190,2012-10-08,3.52,3.52,3.5,3.52,13500
191,2012-10-09,3.52,3.53,3.52,3.52,12900
192,2012-10-10,3.52,3.59,3.52,3.59,10970
193,2012-10-11,3.59,3.59,3.59,3.59,0
194,2012-10-12,3.61,3.74,3.61,3.74,70
195,2012-10-15,3.61,3.61,3.61,3.61,20
196,2012-10-16,3.61,3.61,3.61,3.61,10
197,2012-10-17,3.67,3.67,3.61,3.61,10060
198,2012-10-18,3.67,3.67,3.55,3.59,420
199,2012-10-19,3.68,3.68,3.61,3.61,10310
200,2012-10-22,3.67,3.67,3.61,3.64,70
201,2012-10-23,3.61,3.65,3.61,3.65,5100
202,2012-10-24,3.68,3.68,3.64,3.65,2530
203,2012-10-25,3.65,3.65,3.61,3.64,3030
204,2012-10-26,3.59,3.61,3.59,3.61,1310
205,2012-10-29,3.64,3.64,3.64,3.64,4100
206,2012-10-30,3.62,3.62,3.61,3.62,11090
207,2012-10-31,3.61,3.62,3.61,3.61,8530
208,2012-11-01,3.61,3.61,3.59,3.59,2420
209,2012-11-02,3.59,3.61,3.53,3.58,21690
210,2012-11-05,3.56,3.58,3.56,3.58,110
211,2012-11-06,3.61,3.61,3.56,3.59,2070
212,2012-11-07,3.61,3.61,3.56,3.56,9440
213,2012-11-08,3.55,3.56,3.55,3.55,8530
214,2012-11-09,3.56,3.56,3.56,3.56,4000
215,2012-11-12,3.58,3.59,3.58,3.59,8000
216,2012-11-13,3.61,3.61,3.55,3.55,11980
217,2012-11-14,3.58,3.61,3.58,3.61,2010
218,2012-11-15,3.59,3.61,3.56,3.58,23060
219,2012-11-16,3.61,3.61,3.61,3.61,12000
220,2012-11-19,3.58,3.61,3.58,3.61,3380
221,2012-11-20,3.61,3.61,3.61,3.61,0
222,2012-11-21,3.58,3.61,3.56,3.61,26940
223,2012-11-22,3.58,3.61,3.56,3.61,8100
224,2012-11-23,3.59,3.64,3.59,3.64,1100
225,2012-11-26,3.58,3.59,3.58,3.59,1100
226,2012-11-27,3.59,3.59,3.59,3.59,100
227,2012-11-28,3.59,3.59,3.59,3.59,10
228,2012-11-29,3.59,3.61,3.59,3.61,2050
229,2012-11-30,3.59,3.64,3.59,3.61,4790
230,2012-12-03,3.61,3.61,3.59,3.59,310
231,2012-12-04,3.64,3.68,3.64,3.67,6820
232,2012-12-05,3.71,3.71,3.71,3.71,0
233,2012-12-06,3.76,3.76,3.7,3.74,7550
234,2012-12-07,3.71,3.74,3.71,3.74,11370
235,2012-12-10,3.76,3.83,3.73,3.83,1130
236,2012-12-11,3.79,3.83,3.76,3.83,3720
237,2012-12-12,3.79,3.83,3.79,3.83,260
238,2012-12-13,3.83,3.83,3.77,3.77,4450
239,2012-12-14,3.77,3.8,3.77,3.8,200
240,2012-12-17,3.86,3.86,3.86,3.86,200
241,2012-12-18,3.91,3.91,3.91,3.91,590
242,2012-12-19,3.8,3.8,3.77,3.77,250
243,2012-12-20,3.77,3.77,3.76,3.76,3010
244,2012-12-21,3.68,3.76,3.68,3.76,840
245,2012-12-24,3.76,3.83,3.76,3.83,5110
246,2012-12-25,3.76,3.82,3.73,3.8,900
247,2012-12-26,3.73,3.82,3.73,3.82,40
248,2012-12-27,3.8,3.82,3.76,3.76,2100
249,2012-12-28,3.8,3.86,3.76,3.86,4470
250,2013-01-02,3.86,3.86,3.86,3.86,570
251,2013-01-03,3.86,3.88,3.82,3.86,7410
252,2013-01-04,3.85,3.85,3.82,3.85,12840
253,2013-01-07,3.83,3.98,3.83,3.83,6340
254,2013-01-08,3.83,3.91,3.83,3.91,2170
255,2013-01-09,3.98,3.98,3.91,3.91,17960
256,2013-01-10,3.91,3.95,3.89,3.95,6470
257,2013-01-11,4.06,4.06,4.06,4.06,50
258,2013-01-14,3.91,3.94,3.91,3.94,5810
259,2013-01-15,3.94,3.95,3.94,3.94,26560
260,2013-01-16,3.98,4.06,3.97,3.98,15350
261,2013-01-17,3.98,4.06,3.98,4.04,38620
262,2013-01-18,3.98,4.01,3.98,4.0,3260
263,2013-01-21,3.98,4.16,3.98,4.16,5230
264,2013-01-22,4.0,4.01,3.91,4.01,5340
265,2013-01-23,3.91,3.91,3.91,3.91,7170
266,2013-01-24,3.91,3.97,3.91,3.97,6380
267,2013-01-25,3.94,3.98,3.91,3.98,7410
268,2013-01-28,3.98,4.06,3.98,4.03,1970
269,2013-01-29,4.19,4.19,4.03,4.04,250
270,2013-01-30,4.0,4.18,4.0,4.18,1090
271,2013-01-31,4.03,4.13,4.03,4.13,800
272,2013-02-01,4.01,4.1,4.0,4.1,3010
273,2013-02-04,4.0,4.0,4.0,4.0,10680
274,2013-02-05,3.98,3.98,3.98,3.98,5720
275,2013-02-06,3.98,4.12,3.98,4.12,10010
276,2013-02-07,4.12,4.12,4.12,4.12,0
277,2013-02-08,4.09,4.13,4.01,4.13,790
278,2013-02-18,4.18,4.18,4.18,4.18,200
279,2013-02-19,4.04,4.19,4.04,4.06,8770
280,2013-02-20,4.06,4.15,4.04,4.07,6220
281,2013-02-21,4.06,4.09,4.04,4.04,18110
282,2013-02-22,3.98,4.01,3.98,4.0,15560
283,2013-02-25,4.03,4.03,4.03,4.03,320
284,2013-02-26,4.03,4.1,4.03,4.07,40600
285,2013-02-27,4.1,4.1,4.04,4.07,45520
286,2013-02-28,4.07,4.07,4.07,4.07,2610
287,2013-03-01,4.07,4.07,4.06,4.07,2600
288,2013-03-04,4.09,4.13,4.07,4.09,45620
289,2013-03-05,4.07,4.09,4.07,4.09,16270
290,2013-03-06,4.1,4.21,4.1,4.21,5000
291,2013-03-07,4.18,4.21,4.18,4.21,4600
292,2013-03-08,4.31,4.31,4.22,4.31,2570
293,2013-03-11,4.31,4.39,4.28,4.39,8900
294,2013-03-12,4.37,4.58,4.37,4.58,25610
295,2013-03-13,4.61,4.7,4.6,4.69,45720
296,2013-03-14,4.73,4.73,4.66,4.69,37610
297,2013-03-15,4.69,4.85,4.67,4.81,47030
298,2013-03-18,4.88,4.96,4.81,4.96,58340
299,2013-03-19,5.03,5.08,4.97,5.07,43040
300,2013-03-20,5.11,5.11,4.96,5.07,11030
301,2013-03-21,5.07,5.1,4.88,5.08,19500
302,2013-03-22,5.03,5.03,4.73,4.88,7350
303,2013-03-25,4.85,4.88,4.69,4.69,3830
304,2013-03-26,4.63,4.79,4.63,4.79,9210
305,2013-03-27,4.73,4.73,4.66,4.7,2160
306,2013-03-28,4.66,4.67,4.51,4.51,9990
307,2013-03-29,4.58,4.58,4.51,4.58,9200
308,2013-04-01,4.51,4.66,4.51,4.57,8610
309,2013-04-02,4.54,4.58,4.43,4.43,8520
310,2013-04-03,4.43,4.58,4.43,4.45,3510
