,time,open,high,low,close,volume
0,2012-01-03,2.95,2.95,2.95,2.95,0
1,2012-01-04,2.95,2.95,2.95,2.95,0
2,2012-01-05,2.95,2.95,2.95,2.95,0
3,2012-01-06,3.02,3.05,3.02,3.05,1200
4,2012-01-09,3.05,3.05,3.05,3.05,200
5,2012-01-10,2.64,2.64,2.64,2.64,0
6,2012-01-11,2.82,2.82,2.82,2.82,100
7,2012-01-12,2.82,2.82,2.82,2.82,0
8,2012-01-16,2.82,2.82,2.82,2.82,0
9,2012-01-17,2.82,2.82,2.82,2.82,0
10,2012-01-18,2.82,2.82,2.82,2.82,0
11,2012-01-19,2.82,2.82,2.82,2.82,0
12,2012-01-20,2.82,2.82,2.82,2.82,0
13,2012-01-30,2.82,2.82,2.82,2.82,0
14,2012-01-31,2.82,2.82,2.79,2.79,1100
15,2012-02-01,2.82,2.79,2.79,2.79,0
16,2012-02-02,2.72,2.72,2.72,2.72,1500
17,2012-02-03,2.72,2.72,2.72,2.72,0
18,2012-02-06,2.82,2.82,2.82,2.82,100
19,2012-02-07,2.82,2.82,2.82,2.82,0
20,2012-02-08,2.82,2.82,2.82,2.82,0
21,2012-02-09,2.82,2.82,2.82,2.82,0
22,2012-02-10,2.82,2.82,2.82,2.82,0
23,2012-02-13,2.82,2.82,2.82,2.82,0
24,2012-02-14,2.82,2.82,2.82,2.82,0
25,2012-02-15,2.82,2.82,2.82,2.82,0
26,2012-02-16,2.82,2.82,2.82,2.82,0
27,2012-02-17,2.82,2.82,2.82,2.82,0
28,2012-02-20,2.69,2.69,2.69,2.69,3000
29,2012-02-21,2.69,2.69,2.69,2.69,0
30,2012-02-22,2.95,2.95,2.95,2.95,100
31,2012-02-23,2.95,2.95,2.95,2.95,0
32,2012-02-24,2.95,2.95,2.95,2.95,0
33,2012-02-27,2.67,3.23,2.67,3.23,400
34,2012-02-28,3.1,3.23,3.23,3.23,0
35,2012-02-29,3.1,3.23,3.23,3.23,0
36,2012-03-01,2.79,3.2,2.79,3.2,600
37,2012-03-02,2.95,2.95,2.95,2.95,100
38,2012-03-05,2.95,2.95,2.95,2.95,0
39,2012-03-06,2.95,2.95,2.95,2.95,0
40,2012-03-07,2.95,2.95,2.95,2.95,0
41,2012-03-08,2.67,3.08,2.67,3.08,600
42,2012-03-09,3.0,3.08,3.08,3.08,0
43,2012-03-13,3.02,3.08,3.08,3.08,0
44,2012-03-14,3.02,3.08,3.08,3.08,0
45,2012-03-15,3.02,3.08,3.08,3.08,0
46,2012-03-16,3.02,3.08,3.08,3.08,0
47,2012-03-19,3.02,3.08,3.08,3.08,0
48,2012-03-20,3.08,3.08,3.08,3.08,900
49,2012-03-21,3.08,3.08,3.08,3.08,0
50,2012-03-22,3.08,3.08,3.08,3.08,0
51,2012-03-23,3.08,3.08,3.08,3.08,0
52,2012-03-26,2.9,2.9,2.87,2.87,1000
53,2012-03-27,2.87,2.87,2.87,2.87,0
54,2012-03-28,2.72,2.95,2.72,2.95,1100
55,2012-03-29,2.79,2.82,2.79,2.79,3100
56,2012-03-30,2.54,2.72,2.54,2.72,200
57,2012-04-03,2.9,2.9,2.9,2.9,2600
58,2012-04-04,2.95,2.95,2.95,2.95,500
59,2012-04-05,2.95,2.95,2.95,2.95,1100
60,2012-04-06,2.85,2.85,2.85,2.85,2000
61,2012-04-09,2.9,3.08,2.9,3.08,8900
62,2012-04-10,2.97,2.97,2.82,2.82,2200
63,2012-04-11,3.15,3.18,3.15,3.18,3200
64,2012-04-12,3.31,3.31,3.31,3.31,100
65,2012-04-13,3.31,3.31,3.31,3.31,0
66,2012-04-16,3.13,3.13,3.13,3.13,3200
67,2012-04-17,3.13,3.13,3.13,3.13,600
68,2012-04-18,3.2,3.2,3.2,3.2,1000
69,2012-04-19,3.13,3.13,3.13,3.13,800
70,2012-04-20,3.08,3.2,3.08,3.18,1900
71,2012-04-23,3.15,3.18,3.18,3.18,0
