,time,open,high,low,close,volume
0,2016-11-21,20.39,20.39,20.39,20.39,549000
1,2016-11-22,23.42,23.42,23.42,23.42,642215
2,2016-11-23,26.92,26.92,24.76,25.63,3216615
3,2016-11-24,26.33,26.33,23.01,23.48,1436770
4,2016-11-25,23.42,23.83,21.56,23.77,1022400
5,2016-11-28,23.89,26.04,23.01,24.7,1303935
6,2016-11-29,24.82,25.34,23.89,23.89,349430
7,2016-11-30,23.89,24.35,23.42,24.35,743600
8,2016-12-01,23.94,24.18,23.6,23.83,881850
9,2016-12-02,23.89,24.06,23.77,23.94,880860
10,2016-12-05,23.94,24.06,23.6,23.89,606645
11,2016-12-06,23.89,23.89,23.65,23.83,593601
12,2016-12-07,23.48,23.77,23.42,23.65,383300
13,2016-12-08,23.42,24.06,23.42,23.94,377600
14,2016-12-09,23.89,24.35,23.83,24.35,439760
15,2016-12-12,20.51,24.35,20.51,24.0,382133
16,2016-12-13,23.83,24.59,23.65,24.53,525490
17,2016-12-14,24.64,26.16,24.64,25.98,688387
18,2016-12-15,25.98,27.91,25.93,27.15,474779
19,2016-12-16,27.15,30.88,27.15,30.7,1008233
20,2016-12-19,30.88,32.63,28.37,29.13,556031
21,2016-12-20,29.13,29.25,28.02,28.37,520219
22,2016-12-21,28.26,28.61,27.27,27.73,369140
23,2016-12-22,26.8,29.25,26.8,29.13,503655
24,2016-12-23,30.0,30.0,28.61,28.84,241001
25,2016-12-26,28.84,29.42,28.72,28.9,227910
26,2016-12-27,29.13,29.13,27.09,27.32,516119
27,2016-12-28,27.91,29.01,27.91,28.26,343380
28,2016-12-29,28.26,28.84,28.02,28.55,245157
29,2016-12-30,28.26,28.72,27.85,28.31,382180
30,2017-01-03,28.26,28.26,27.38,27.73,176750
31,2017-01-04,27.96,28.55,27.96,28.37,326764
32,2017-01-05,28.37,28.78,27.85,28.02,160960
33,2017-01-06,28.02,28.14,27.73,27.96,279876
34,2017-01-09,27.96,28.43,27.38,28.02,173894
35,2017-01-10,27.96,28.49,27.96,28.08,182360
36,2017-01-11,28.14,28.31,27.96,28.31,176551
37,2017-01-12,28.43,29.83,28.26,28.9,575092
38,2017-01-13,28.9,29.07,28.84,28.9,270966
39,2017-01-16,28.84,29.01,28.37,28.55,290800
40,2017-01-17,28.37,28.43,27.73,28.02,261700
41,2017-01-18,27.96,28.55,27.85,28.49,225099
42,2017-01-19,28.08,28.66,28.08,28.55,163700
43,2017-01-20,28.43,28.55,28.26,28.26,182700
44,2017-01-23,28.26,28.84,27.96,28.61,216140
45,2017-01-24,28.37,29.36,28.37,29.07,543720
46,2017-01-25,29.13,29.71,28.78,29.07,109600
47,2017-02-02,29.07,29.3,28.84,29.19,191700
48,2017-02-03,29.42,30.06,29.25,29.42,766672
49,2017-02-06,29.71,29.71,29.07,29.13,634526
50,2017-02-07,29.01,29.36,29.01,29.13,287140
51,2017-02-08,29.13,29.25,29.01,29.19,274700
52,2017-02-09,29.13,29.65,29.13,29.25,353410
53,2017-02-10,29.42,29.89,29.25,29.6,719070
54,2017-02-13,29.54,30.29,29.54,30.06,456160
55,2017-02-14,30.06,30.29,29.65,29.77,208281
56,2017-02-15,29.89,30.06,29.77,30.0,363659
57,2017-02-16,30.0,30.06,29.71,29.89,416440
58,2017-02-17,29.89,30.18,29.71,30.18,284679
59,2017-02-20,30.29,31.58,30.29,30.59,476037
60,2017-02-21,30.76,30.82,30.47,30.64,187430
61,2017-02-22,30.64,31.17,30.29,30.64,341354
62,2017-02-23,30.53,30.59,30.0,30.41,232300
63,2017-02-24,30.64,30.88,29.89,29.95,111927
64,2017-02-27,29.6,31.17,29.6,30.24,175885
65,2017-02-28,30.76,30.88,29.65,29.83,121050
66,2017-03-01,29.95,29.95,29.01,29.3,321140
67,2017-03-02,29.83,29.83,29.42,29.65,141079
68,2017-03-03,30.0,30.0,29.54,29.65,183946
69,2017-03-06,30.0,31.11,29.83,30.59,759866
70,2017-03-07,30.64,30.88,30.18,30.59,258765
71,2017-03-08,30.76,30.76,30.18,30.29,70957
72,2017-03-09,30.35,30.53,30.18,30.29,127420
73,2017-03-10,30.24,30.41,30.18,30.29,195620
74,2017-03-13,30.29,30.35,30.18,30.29,127017
75,2017-03-14,30.24,30.29,29.71,30.0,87459
76,2017-03-15,30.0,30.0,29.42,29.71,173310
77,2017-03-16,29.71,30.29,29.71,30.18,84110
78,2017-03-17,29.71,30.24,29.71,30.06,60127
79,2017-03-20,30.0,30.24,29.65,29.95,90216
80,2017-03-21,29.71,30.12,25.46,29.83,35800
81,2017-03-22,29.71,30.06,29.71,29.83,84210
82,2017-03-23,29.71,29.89,27.96,29.83,32100
83,2017-03-24,29.77,29.95,29.71,29.71,108350
84,2017-03-27,29.71,29.95,29.13,29.71,127166
85,2017-03-28,29.71,29.77,29.65,29.71,122855
86,2017-03-29,29.6,29.71,29.6,29.71,76000
87,2017-03-30,29.65,29.71,29.54,29.6,85565
88,2017-03-31,29.48,29.71,29.48,29.71,93950
89,2017-04-03,29.6,29.65,29.36,29.6,150430
90,2017-04-04,29.36,29.36,25.11,29.36,97200
91,2017-04-05,29.19,29.36,28.95,29.19,45520
92,2017-04-07,29.3,29.36,29.25,29.3,117200
93,2017-04-10,29.3,29.6,29.3,29.48,63220
94,2017-04-11,29.36,29.42,29.3,29.3,44056
95,2017-04-12,29.36,29.36,28.95,29.19,250314
96,2017-04-13,29.19,29.71,29.07,29.25,116900
97,2017-04-14,29.19,29.19,24.82,29.01,36500
98,2017-04-17,29.13,29.19,29.13,29.13,119360
99,2017-04-18,29.07,29.13,28.84,29.13,17800
100,2017-04-19,28.95,29.01,28.78,28.95,31700
101,2017-04-20,28.95,29.19,28.84,28.84,67765
102,2017-04-21,28.9,29.07,28.9,28.9,7150
103,2017-04-24,28.55,29.01,28.2,28.9,39440
104,2017-04-25,28.08,28.78,27.96,28.61,27810
105,2017-04-26,28.78,29.19,28.61,28.9,55064
106,2017-04-27,28.95,29.19,28.95,29.01,104695
107,2017-04-28,28.84,29.07,24.76,28.9,10100
108,2017-05-03,28.84,28.9,25.05,28.55,35630
109,2017-05-04,28.55,28.84,28.55,28.66,23220
110,2017-05-05,28.55,28.84,28.55,28.61,13000
111,2017-05-08,28.61,29.07,28.55,28.78,40206
112,2017-05-09,28.78,28.84,28.61,28.78,37600
113,2017-05-10,28.61,28.95,28.61,28.84,28720
114,2017-05-11,28.84,29.36,28.84,29.13,167810
115,2017-05-12,29.25,29.25,29.07,29.13,159710
116,2017-05-15,29.42,29.42,29.01,29.13,128660
117,2017-05-16,29.19,29.19,28.9,28.9,26520
118,2017-05-17,27.96,28.84,27.96,28.78,18035
119,2017-05-18,28.72,29.01,28.72,28.9,92100
