,time,open,high,low,close,volume
0,2012-01-03,1.01,1.01,1.01,1.01,100
1,2012-01-04,0.96,0.96,0.96,0.96,3600
2,2012-01-05,0.92,0.95,0.92,0.92,6100
3,2012-01-06,0.88,0.88,0.88,0.88,100
4,2012-01-09,0.93,0.93,0.93,0.93,1000
5,2012-01-10,1.0,1.0,0.95,0.95,1600
6,2012-01-11,1.04,1.04,1.04,1.04,1500
7,2012-01-12,1.04,1.04,1.0,1.0,6300
8,2012-01-13,1.0,1.0,1.0,1.0,0
9,2012-01-16,1.04,1.06,1.04,1.06,1800
10,2012-01-17,1.04,1.11,1.04,1.11,2600
11,2012-01-18,1.14,1.14,1.14,1.14,1100
12,2012-01-19,1.08,1.08,1.08,1.08,100
13,2012-01-20,1.04,1.04,1.04,1.04,100
14,2012-01-30,1.04,1.11,1.04,1.11,500
15,2012-01-31,1.11,1.11,1.11,1.11,0
16,2012-02-01,1.04,1.14,1.04,1.14,1000
17,2012-02-02,1.16,1.16,1.16,1.16,400
18,2012-02-03,1.12,1.12,1.09,1.09,2700
19,2012-02-06,1.09,1.09,1.09,1.09,2200
20,2012-02-07,1.09,1.09,1.09,1.09,0
21,2012-02-08,1.12,1.12,1.12,1.12,5300
22,2012-02-09,1.16,1.19,1.16,1.19,7200
23,2012-02-10,1.25,1.25,1.17,1.17,600
24,2012-02-13,1.14,1.3,1.14,1.3,8100
25,2012-02-14,1.19,1.24,1.19,1.24,500
26,2012-02-15,1.3,1.3,1.3,1.3,100
27,2012-02-16,1.3,1.3,1.3,1.3,0
28,2012-02-17,1.3,1.38,1.3,1.32,8200
29,2012-02-20,1.36,1.36,1.36,1.36,200
30,2012-02-21,1.28,1.36,1.28,1.36,200
31,2012-02-22,1.36,1.36,1.36,1.36,0
32,2012-02-23,1.33,1.33,1.33,1.33,200
33,2012-02-24,1.35,1.35,1.28,1.28,2600
34,2012-02-27,1.28,1.36,1.28,1.36,2100
35,2012-02-28,1.32,1.32,1.3,1.3,6100
36,2012-02-29,1.36,1.36,1.36,1.36,3000
37,2012-03-01,1.3,1.3,1.3,1.3,100
38,2012-03-02,1.38,1.38,1.38,1.38,1100
39,2012-03-05,1.41,1.46,1.41,1.46,5200
40,2012-03-06,1.43,1.43,1.43,1.43,4000
41,2012-03-07,1.33,1.43,1.33,1.43,800
42,2012-03-08,1.43,1.43,1.43,1.43,0
43,2012-03-09,1.32,1.32,1.32,1.32,1000
44,2012-03-12,1.4,1.4,1.4,1.4,100
45,2012-03-13,1.32,1.38,1.32,1.38,2300
46,2012-03-14,1.36,1.36,1.36,1.36,300
47,2012-03-15,1.3,1.3,1.3,1.3,500
48,2012-03-16,1.3,1.3,1.28,1.28,5500
49,2012-03-19,1.36,1.36,1.24,1.24,200
50,2012-03-20,1.3,1.3,1.3,1.3,100
51,2012-03-21,1.3,1.3,1.3,1.3,0
52,2012-03-22,1.24,1.28,1.24,1.27,900
53,2012-03-23,1.3,1.33,1.3,1.33,1500
54,2012-03-26,1.32,1.36,1.32,1.33,2300
55,2012-03-27,1.36,1.36,1.33,1.36,5800
56,2012-03-28,1.3,1.36,1.3,1.36,200
57,2012-03-29,1.28,1.38,1.28,1.38,1200
58,2012-03-30,1.38,1.38,1.38,1.38,0
59,2012-04-03,1.38,1.41,1.38,1.41,1100
60,2012-04-04,1.41,1.41,1.41,1.41,1000
61,2012-04-05,1.41,1.43,1.41,1.43,600
62,2012-04-06,1.35,1.43,1.35,1.43,7100
63,2012-04-09,1.44,1.44,1.44,1.44,3700
64,2012-04-10,1.38,1.38,1.38,1.38,100
65,2012-04-11,1.4,1.4,1.4,1.4,1000
66,2012-04-12,1.4,1.4,1.4,1.4,0
67,2012-04-13,1.32,1.32,1.32,1.32,100
68,2012-04-16,1.32,1.32,1.32,1.32,0
69,2012-04-17,1.32,1.32,1.32,1.32,0
70,2012-04-18,1.4,1.4,1.4,1.4,400
71,2012-04-19,1.36,1.36,1.35,1.35,2600
72,2012-04-20,1.33,1.33,1.32,1.33,2500
73,2012-04-23,1.33,1.33,1.33,1.33,0
74,2012-04-24,1.33,1.33,1.33,1.33,0
75,2012-04-25,1.33,1.33,1.33,1.33,0
76,2012-04-26,1.33,1.33,1.33,1.33,0
77,2012-04-27,1.36,1.36,1.36,1.36,100
78,2012-05-02,1.36,1.36,1.36,1.36,100
79,2012-05-03,1.36,1.36,1.36,1.36,1800
80,2012-05-04,1.38,1.41,1.38,1.41,1200
81,2012-05-07,1.51,1.51,1.51,1.51,1200
82,2012-05-08,1.59,1.61,1.59,1.61,4700
83,2012-05-09,1.72,1.72,1.67,1.67,1700
84,2012-05-10,1.67,1.77,1.67,1.77,3500
85,2012-05-11,1.65,1.65,1.65,1.65,700
86,2012-05-14,1.56,1.56,1.56,1.56,100
87,2012-05-15,1.56,1.56,1.56,1.56,100
88,2012-05-16,1.46,1.46,1.46,1.46,100
89,2012-05-17,1.38,1.38,1.38,1.38,100
90,2012-05-18,1.48,1.48,1.32,1.32,1000
91,2012-05-21,1.43,1.43,1.43,1.43,500
92,2012-05-22,1.49,1.53,1.49,1.53,200
93,2012-05-23,1.41,1.61,1.41,1.61,400
94,2012-05-24,1.54,1.54,1.54,1.54,1900
95,2012-05-25,1.56,1.59,1.56,1.59,800
96,2012-05-28,1.59,1.59,1.59,1.59,0
97,2012-05-29,1.59,1.59,1.59,1.59,0
98,2012-05-30,1.59,1.59,1.59,1.59,0
99,2012-05-31,1.59,1.59,1.59,1.59,0
100,2012-06-01,1.59,1.59,1.59,1.59,0
101,2012-06-04,1.51,1.51,1.49,1.49,200
102,2012-06-05,1.49,1.49,1.49,1.49,0
103,2012-06-06,1.54,1.54,1.54,1.54,100
104,2012-06-07,1.59,1.59,1.59,1.59,100
