,time,open,high,low,close,volume
0,2016-06-29,5.37,5.37,4.06,4.09,50200
1,2016-06-30,4.09,4.36,3.88,4.36,14000
2,2016-07-01,4.36,4.66,4.36,4.66,10650
3,2016-07-04,4.87,4.87,4.36,4.36,14350
4,2016-07-05,4.18,4.36,4.06,4.06,19760
5,2016-07-06,3.88,4.03,3.79,3.79,23650
6,2016-07-07,3.58,3.88,3.55,3.88,4650
7,2016-07-08,3.79,3.94,3.64,3.73,1100
8,2016-07-11,3.52,3.91,3.52,3.61,1640
9,2016-07-12,3.76,3.85,3.76,3.85,16540
10,2016-07-13,4.0,4.09,4.0,4.09,13590
11,2016-07-14,4.12,4.12,4.09,4.12,10960
12,2016-07-15,4.12,4.18,4.12,4.18,5350
13,2016-07-18,4.18,4.21,4.15,4.18,9880
14,2016-07-19,4.18,4.21,4.18,4.21,19900
15,2016-07-20,4.18,4.21,3.97,4.18,9500
16,2016-07-21,4.18,4.18,3.94,3.94,4910
17,2016-07-22,3.88,3.88,3.88,3.88,4110
18,2016-07-25,3.88,4.12,3.88,4.09,6610
19,2016-07-26,3.97,4.18,3.97,4.09,31050
20,2016-07-27,4.09,4.15,4.09,4.15,3320
21,2016-07-28,4.09,4.21,4.09,4.21,28500
22,2016-07-29,4.09,4.18,4.09,4.15,18620
23,2016-08-01,4.12,4.12,4.12,4.12,1000
24,2016-08-02,4.12,4.18,3.88,4.18,11800
25,2016-08-03,4.18,4.18,4.18,4.18,0
26,2016-08-04,4.03,4.18,4.0,4.09,24100
27,2016-08-05,4.09,4.21,4.09,4.21,11530
28,2016-08-08,4.18,4.18,4.18,4.18,7000
29,2016-08-09,4.18,4.33,4.18,4.18,20190
30,2016-08-10,4.18,4.18,4.09,4.18,9500
31,2016-08-11,4.18,4.18,4.09,4.09,520
32,2016-08-12,4.09,4.15,4.09,4.15,4510
33,2016-08-15,4.15,4.15,4.15,4.15,1020
34,2016-08-16,4.15,4.15,4.09,4.15,2040
35,2016-08-17,4.15,4.15,4.09,4.15,5980
36,2016-08-18,4.15,4.15,4.15,4.15,2000
37,2016-08-19,4.12,4.36,4.12,4.36,39360
38,2016-08-22,4.24,4.3,4.24,4.3,110
39,2016-08-23,4.27,4.3,4.18,4.3,12060
40,2016-08-24,4.09,4.33,4.09,4.33,28410
41,2016-08-25,4.33,4.33,4.24,4.27,40170
42,2016-08-26,4.3,4.39,4.3,4.33,72400
43,2016-08-29,4.39,4.48,4.33,4.42,59390
44,2016-08-30,4.33,4.42,4.24,4.39,49980
45,2016-08-31,4.33,4.48,4.27,4.48,62120
46,2016-09-01,4.42,4.63,4.42,4.63,121450
47,2016-09-05,4.51,4.84,4.51,4.84,110020
48,2016-09-06,4.96,5.08,4.84,4.87,103380
49,2016-09-07,4.87,4.9,4.66,4.72,98350
50,2016-09-08,4.66,4.75,4.63,4.72,81460
51,2016-09-09,4.72,4.87,4.63,4.81,78960
52,2016-09-12,4.78,5.08,4.78,5.08,123220
53,2016-09-13,5.02,5.17,4.97,5.11,97110
54,2016-09-14,5.15,5.2,4.97,5.12,90800
55,2016-09-15,5.06,5.06,4.87,4.93,95190
56,2016-09-16,4.88,4.96,4.87,4.96,86950
57,2016-09-19,4.96,5.02,4.88,5.02,91620
58,2016-09-20,5.02,5.02,4.93,5.02,85110
59,2016-09-21,5.02,5.08,5.02,5.05,86800
60,2016-09-22,5.05,5.14,4.97,5.14,108320
61,2016-09-23,5.15,5.15,5.03,5.11,79730
62,2016-09-26,5.11,5.11,4.99,4.99,49970
63,2016-09-27,4.99,5.05,4.81,5.02,101520
64,2016-09-28,5.03,5.08,5.03,5.08,104170
65,2016-09-29,5.14,5.14,5.02,5.14,115660
66,2016-09-30,5.12,5.14,4.99,5.02,88400
67,2016-10-03,5.05,5.05,4.93,5.0,52340
68,2016-10-04,5.0,5.0,4.96,4.99,75780
69,2016-10-05,4.97,5.08,4.97,5.03,96730
70,2016-10-06,5.0,5.06,4.99,5.02,97520
71,2016-10-07,5.02,5.05,4.99,5.05,58320
72,2016-10-10,5.03,5.06,5.0,5.03,94760
73,2016-10-11,5.05,5.05,4.97,5.02,44580
74,2016-10-12,5.05,5.06,4.9,5.06,75810
75,2016-10-13,5.03,5.06,4.93,5.06,70280
76,2016-10-14,5.03,5.03,4.87,4.87,37340
77,2016-10-17,4.9,4.93,4.84,4.84,18770
78,2016-10-18,4.82,4.84,4.78,4.82,24310
79,2016-10-19,4.82,4.91,4.78,4.88,92100
80,2016-10-20,4.91,4.93,4.88,4.93,75590
81,2016-10-21,4.96,4.96,4.88,4.93,98350
82,2016-10-24,4.91,5.02,4.9,4.93,93630
83,2016-10-25,4.9,4.96,4.9,4.96,94260
84,2016-10-26,4.94,5.11,4.9,5.11,154530
85,2016-10-27,5.12,5.15,5.02,5.08,110630
86,2016-10-28,5.03,5.21,4.97,5.21,185940
87,2016-10-31,5.11,5.55,5.11,5.55,219600
88,2016-11-01,5.58,5.6,5.49,5.52,194070
89,2016-11-02,5.49,5.64,5.49,5.6,202860
90,2016-11-03,5.6,5.64,5.52,5.63,194060
91,2016-11-04,5.66,5.67,5.63,5.66,146470
92,2016-11-07,5.93,5.97,5.86,5.97,165470
93,2016-11-08,6.05,6.05,5.86,5.97,162620
94,2016-11-09,6.0,6.0,5.8,5.97,182130
95,2016-11-10,6.07,6.16,6.07,6.16,171940
96,2016-11-11,6.19,6.24,6.11,6.11,171390
