,time,open,high,low,close,volume
0,2012-01-03,9.24,9.24,9.24,9.24,1100
1,2012-01-04,8.97,9.19,8.92,8.92,1420
2,2012-01-05,8.78,8.88,8.65,8.65,7270
3,2012-01-06,8.29,8.29,8.29,8.29,4000
4,2012-01-09,7.92,8.38,7.88,8.01,1110
5,2012-01-10,8.33,8.38,8.29,8.38,460
6,2012-01-11,8.69,8.69,8.69,8.69,10
7,2012-01-12,8.29,8.38,8.29,8.38,510
8,2012-01-13,8.38,8.47,8.38,8.47,3260
9,2012-01-16,8.74,8.78,8.33,8.33,1010
10,2012-01-17,8.38,8.38,8.38,8.38,810
11,2012-01-18,8.78,8.78,8.78,8.78,580
12,2012-01-19,8.83,8.83,8.65,8.65,1020
13,2012-01-20,9.06,9.06,9.06,9.06,110
14,2012-01-30,9.51,9.51,9.51,9.51,1000
15,2012-01-31,9.51,9.51,9.1,9.1,950
16,2012-02-01,8.78,9.24,8.78,9.24,30
17,2012-02-02,9.24,9.28,9.06,9.15,36370
18,2012-02-03,9.1,9.1,9.06,9.06,3420
19,2012-02-06,8.74,9.06,8.69,9.06,18110
20,2012-02-07,9.06,9.06,8.78,8.92,25430
21,2012-02-08,9.06,9.33,9.06,9.33,21510
22,2012-02-09,9.33,9.33,9.33,9.33,10000
23,2012-02-10,9.06,9.28,9.06,9.06,92960
24,2012-02-13,9.06,9.1,9.06,9.1,66990
25,2012-02-14,9.1,9.1,9.1,9.1,0
26,2012-02-15,9.06,9.06,9.06,9.06,5050
27,2012-02-16,9.06,9.28,9.06,9.28,20
28,2012-02-17,9.28,9.28,9.28,9.28,500
29,2012-02-20,9.42,9.42,9.42,9.42,10
30,2012-02-21,9.42,9.42,9.42,9.42,130
31,2012-02-22,9.51,9.6,9.51,9.6,1190
32,2012-02-23,9.51,9.74,9.51,9.6,11800
33,2012-02-24,9.69,9.69,9.55,9.64,4230
34,2012-02-27,9.51,9.74,9.51,9.74,1310
35,2012-02-28,9.64,9.64,9.33,9.33,4910
36,2012-02-29,9.52,9.66,9.33,9.66,2910
37,2012-03-01,9.52,9.66,9.52,9.66,1000
38,2012-03-02,9.61,9.71,9.38,9.71,6620
