,time,open,high,low,close,volume
0,2024-11-11,64.0,64.0,45.1,57.9,72500
1,2024-11-12,55.0,56.7,53.0,54.9,15700
2,2024-11-13,55.0,55.0,50.0,52.9,13600
3,2024-11-14,51.0,57.0,48.0,56.0,67000
4,2024-11-15,58.0,59.0,55.5,58.6,103300
5,2024-11-18,58.6,59.5,56.7,57.5,39600
6,2024-11-19,56.0,56.1,51.9,52.0,45900
7,2024-11-20,51.5,52.0,50.0,50.6,33000
8,2024-11-21,51.0,53.0,50.0,51.8,31300
9,2024-11-22,51.6,51.6,50.7,51.0,14200
10,2024-11-25,50.2,51.0,50.0,50.0,27300
11,2024-11-26,50.3,50.8,50.2,50.5,14600
12,2024-11-27,50.3,50.5,49.6,50.0,18700
13,2024-11-28,50.0,50.3,49.6,50.0,14600
14,2024-11-29,51.0,51.0,49.7,49.8,11700
15,2024-12-02,49.7,49.8,49.1,49.5,24900
16,2024-12-03,49.8,49.8,48.6,49.2,20900
17,2024-12-04,50.2,50.2,48.7,49.1,15200
18,2024-12-05,48.6,48.6,47.2,47.7,33000
19,2024-12-06,47.9,48.8,47.9,48.5,21300
20,2024-12-09,48.1,48.8,48.1,48.4,14200
21,2024-12-10,48.1,48.1,47.5,47.8,17100
22,2024-12-11,47.8,47.8,46.7,47.2,41500
23,2024-12-12,47.4,47.4,47.0,47.2,7800
24,2024-12-13,49.5,49.5,46.5,46.5,23100
25,2024-12-16,47.0,47.0,46.0,46.0,39100
26,2024-12-17,46.4,46.6,44.3,45.0,53600
27,2024-12-18,45.3,45.6,45.0,45.5,20000
28,2024-12-19,45.1,46.7,45.1,46.7,18500
29,2024-12-20,46.7,46.7,45.8,45.9,16800
30,2024-12-23,46.0,46.5,45.7,45.7,9300
31,2024-12-24,45.8,46.6,45.5,46.0,8700
32,2024-12-25,46.7,46.7,45.9,46.2,10600
33,2024-12-26,47.4,47.4,46.2,46.8,19800
34,2024-12-27,47.0,47.0,45.7,46.1,11000
35,2024-12-30,48.0,48.0,45.7,45.8,17400
36,2024-12-31,46.5,46.5,45.6,46.2,9000
37,2025-01-02,46.0,46.0,45.0,45.3,8700
38,2025-01-03,45.4,45.4,44.8,45.0,26100
39,2025-01-06,45.0,45.0,44.9,44.9,10500
40,2025-01-07,45.0,45.0,43.5,43.5,19900
41,2025-01-08,43.5,43.5,43.3,43.3,6400
42,2025-01-09,43.3,43.5,42.9,43.0,8200
43,2025-01-10,43.0,45.0,42.3,42.8,13600
44,2025-01-13,42.7,42.8,42.5,42.8,5200
45,2025-01-14,43.0,44.0,42.1,42.1,19000
46,2025-01-15,42.3,43.0,42.1,42.5,5800
47,2025-01-16,42.5,42.5,42.0,42.0,15600
48,2025-01-17,42.0,42.5,42.0,42.0,5700
49,2025-01-20,41.7,41.8,40.0,41.0,12000
50,2025-01-21,40.8,41.8,40.8,40.9,3900
51,2025-01-22,40.9,42.9,40.9,41.7,26900
52,2025-01-23,43.8,43.8,42.6,42.8,12200
53,2025-01-24,43.0,43.0,41.4,41.8,9700
54,2025-02-03,42.2,42.5,41.2,41.8,7500
55,2025-02-04,42.4,42.4,41.8,41.8,12800
56,2025-02-05,41.5,41.9,41.1,41.1,14600
57,2025-02-06,41.6,41.8,41.6,41.6,6400
58,2025-02-07,41.7,45.5,41.7,43.2,52800
59,2025-02-10,43.5,44.0,43.2,44.0,21300
60,2025-02-11,44.0,44.9,43.7,43.8,17500
61,2025-02-12,43.8,44.5,43.8,43.8,11400
62,2025-02-13,43.9,44.5,43.6,43.9,8700
63,2025-02-14,44.0,44.3,43.6,44.1,29200
64,2025-02-17,44.0,47.0,44.0,45.5,47100
65,2025-02-18,45.1,45.8,45.1,45.5,19600
66,2025-02-19,45.9,46.4,45.2,45.8,22800
67,2025-02-20,46.0,48.0,45.8,47.0,44400
68,2025-02-21,47.3,49.0,47.3,48.2,63200
69,2025-02-24,48.1,48.1,47.0,47.1,34700
70,2025-02-25,47.4,48.0,46.5,46.5,23300
71,2025-02-26,46.3,46.6,46.0,46.0,14500
72,2025-02-27,45.6,46.6,45.6,45.6,14000
73,2025-02-28,46.1,46.1,45.6,45.6,15700
74,2025-03-03,45.7,46.0,45.3,45.5,14100
75,2025-03-04,45.8,45.9,45.2,45.7,18500
76,2025-03-05,47.0,47.0,45.5,45.5,9300
77,2025-03-06,45.5,45.9,45.3,45.8,15200
78,2025-03-07,45.5,45.7,45.0,45.0,24400
79,2025-03-10,45.6,46.0,44.9,44.9,8100
80,2025-03-11,45.0,45.2,44.8,45.0,21200
81,2025-03-12,46.0,46.0,44.7,45.0,20100
82,2025-03-13,45.0,45.0,44.5,44.5,17700
83,2025-03-14,44.0,44.2,43.8,44.0,11200
84,2025-03-17,45.0,45.0,44.0,44.0,9300
85,2025-03-18,44.3,44.3,44.0,44.1,11100
86,2025-03-19,44.0,44.2,43.9,44.0,28400
87,2025-03-20,45.4,45.4,44.0,44.0,15600
88,2025-03-21,45.0,45.0,44.0,44.1,6200
89,2025-03-24,44.2,44.8,44.2,44.3,3100
90,2025-03-25,44.1,44.6,44.0,44.1,13200
91,2025-03-26,44.1,44.5,44.1,44.1,10300
92,2025-03-27,44.1,44.4,44.0,44.4,22900
93,2025-03-28,44.1,44.5,44.0,44.4,26100
94,2025-03-31,44.1,44.1,44.0,44.1,16400
95,2025-04-01,44.5,44.5,44.0,44.0,30700
96,2025-04-02,44.0,44.4,43.6,44.4,21100
97,2025-04-03,40.0,43.0,40.0,42.5,63200
98,2025-04-04,41.5,42.0,39.9,42.0,18100
99,2025-04-08,40.1,40.1,37.1,38.9,8000
100,2025-04-09,37.0,40.0,35.5,38.9,14700
101,2025-04-10,43.0,43.1,42.0,43.1,33800
102,2025-04-11,43.0,43.0,41.7,42.0,12000
103,2025-04-14,42.0,42.0,41.0,41.1,22700
104,2025-04-15,40.3,40.3,40.1,40.2,9100
105,2025-04-16,40.1,40.4,40.1,40.4,1200
106,2025-04-17,40.2,40.6,40.2,40.6,3300
107,2025-04-18,40.4,40.5,40.3,40.4,9600
108,2025-04-21,40.4,40.5,40.4,40.5,4500
109,2025-04-22,41.0,41.0,39.1,39.6,12800
110,2025-04-23,40.0,40.2,39.9,39.9,8900
111,2025-04-24,43.4,43.4,39.9,40.1,9900
112,2025-04-25,40.2,40.2,40.0,40.0,9000
113,2025-04-28,40.4,40.6,40.0,40.6,10600
114,2025-04-29,40.3,40.4,40.2,40.4,2400
115,2025-05-05,40.4,41.0,40.3,41.0,7700
116,2025-05-06,41.0,42.5,41.0,41.6,19200
117,2025-05-07,41.9,41.9,41.6,41.6,10900
118,2025-05-08,41.6,43.0,41.6,43.0,24800
119,2025-05-09,43.1,43.1,42.5,42.5,5400
120,2025-05-12,42.3,43.5,42.3,43.5,38700
121,2025-05-13,43.2,45.0,43.2,45.0,8200
122,2025-05-14,46.0,47.0,45.0,45.0,14700
123,2025-05-15,45.5,45.9,45.0,45.0,19300
124,2025-05-16,45.1,45.5,44.0,44.0,31300
125,2025-05-19,45.3,45.3,44.1,44.7,2200
126,2025-05-20,44.5,44.8,44.5,44.7,8000
127,2025-05-21,44.8,49.5,44.5,45.5,43800
128,2025-05-22,45.0,45.5,44.7,45.1,10500
129,2025-05-23,45.0,45.7,45.0,45.0,40200
130,2025-05-26,45.1,45.1,44.0,45.1,10000
131,2025-05-27,45.0,45.1,45.0,45.0,3100
132,2025-05-28,45.0,45.0,44.9,45.0,16600
133,2025-05-29,45.2,47.0,45.2,46.5,18000
134,2025-05-30,46.8,48.5,46.0,46.2,38400
135,2025-06-02,46.1,46.2,46.0,46.0,11300
136,2025-06-03,46.0,46.0,45.8,45.8,3200
137,2025-06-04,46.0,46.0,46.0,46.0,3500
138,2025-06-05,45.9,45.9,45.5,45.9,2200
139,2025-06-06,46.0,47.5,46.0,47.5,1200
140,2025-06-11,47.1,47.1,46.0,46.1,900
141,2025-06-12,46.2,46.2,46.2,46.2,2000
142,2025-06-13,44.5,44.6,44.5,44.5,8500
143,2025-06-16,48.0,48.0,44.2,44.2,3900
144,2025-06-17,45.0,45.2,44.2,44.2,20200
145,2025-06-18,44.5,44.5,44.5,44.5,36100
146,2025-06-19,44.6,44.6,44.2,44.2,2400
147,2025-06-20,44.3,44.3,44.2,44.2,1100
148,2025-06-23,44.2,44.2,44.2,44.2,3000
149,2025-06-24,44.6,45.2,44.3,44.3,70800
150,2025-06-25,45.0,45.0,45.0,45.0,100
151,2025-06-26,44.5,45.0,44.4,44.4,35900
152,2025-06-27,44.4,44.4,44.3,44.3,8100
153,2025-06-30,44.8,45.0,44.5,44.5,15100
154,2025-07-01,45.0,45.0,45.0,45.0,6300
155,2025-07-02,44.9,45.0,44.7,44.8,15700
156,2025-07-03,44.9,45.1,44.9,44.9,20900
157,2025-07-04,45.0,45.0,44.9,44.9,4300
158,2025-07-07,45.0,45.0,44.5,44.5,6300
159,2025-07-08,44.9,44.9,44.4,44.8,5400
160,2025-07-09,44.8,48.0,44.5,45.0,16700
161,2025-07-11,44.7,45.0,44.7,44.7,2600
162,2025-07-14,44.9,45.2,44.9,45.2,1300
163,2025-07-15,45.0,45.0,44.7,45.0,10300
164,2025-07-16,45.1,45.4,45.0,45.0,4100
165,2025-07-17,45.1,45.6,45.1,45.1,9000
166,2025-07-18,45.5,47.5,45.5,45.5,2100
167,2025-07-21,45.5,45.5,45.0,45.0,6300
168,2025-07-22,44.7,44.7,44.4,44.4,7200
169,2025-07-23,44.5,44.5,44.1,44.5,6900
170,2025-07-24,44.5,45.0,44.5,44.5,26000
171,2025-07-25,44.5,45.0,44.5,44.7,25100
172,2025-07-28,44.6,45.7,44.6,45.6,25400
173,2025-07-29,46.0,47.0,45.1,45.2,10900
174,2025-07-30,45.0,45.4,45.0,45.1,14800
175,2025-07-31,45.9,45.9,45.0,45.0,4700
176,2025-08-01,45.3,45.3,45.1,45.1,14700
177,2025-08-04,45.1,45.2,45.0,45.0,6500
178,2025-08-05,45.1,45.1,45.0,45.0,11000
179,2025-08-06,45.1,45.7,45.1,45.3,25700
180,2025-08-07,45.6,46.8,45.6,46.4,70400
181,2025-08-08,46.8,47.0,46.2,46.5,40300
182,2025-08-11,46.3,47.2,46.3,46.3,17100
183,2025-08-12,46.3,46.7,46.3,46.6,14000
184,2025-08-13,46.5,46.5,46.1,46.5,8100
185,2025-08-14,46.3,46.7,45.8,46.7,18600
186,2025-08-15,45.9,46.0,45.7,46.0,15600
187,2025-08-18,45.7,45.7,45.0,45.0,23100
188,2025-08-19,45.2,45.3,45.2,45.3,6500
189,2025-08-20,45.3,45.3,44.7,45.1,20400
190,2025-08-21,45.1,45.1,45.1,45.1,3100
