,time,open,high,low,close,volume
0,2012-01-03,1.81,1.81,1.61,1.61,16700
1,2012-01-04,1.77,1.81,1.61,1.61,21800
2,2012-01-05,1.69,1.77,1.61,1.61,29400
3,2012-01-06,1.77,1.81,1.61,1.65,22300
4,2012-01-09,1.89,1.93,1.69,1.69,33600
5,2012-01-10,1.77,2.01,1.77,1.77,44300
6,2012-01-11,1.77,1.77,1.77,1.77,100
7,2012-01-12,1.81,1.81,1.65,1.65,49500
8,2012-01-13,1.77,1.77,1.61,1.61,23900
9,2012-01-16,1.77,1.77,1.61,1.69,24800
10,2012-01-17,1.77,1.77,1.61,1.61,8700
11,2012-01-18,1.81,1.81,1.61,1.61,14400
12,2012-01-19,1.61,1.69,1.61,1.65,24000
13,2012-01-20,1.69,1.69,1.69,1.69,8600
14,2012-01-30,1.69,1.77,1.69,1.73,14400
15,2012-01-31,1.73,1.85,1.73,1.77,60000
16,2012-02-01,1.69,1.77,1.69,1.77,13700
17,2012-02-02,1.73,1.81,1.73,1.81,13500
18,2012-02-03,1.81,1.81,1.77,1.77,5500
19,2012-02-06,1.69,1.73,1.69,1.73,2100
20,2012-02-07,1.69,1.69,1.61,1.61,25500
21,2012-02-08,1.69,1.69,1.65,1.69,16600
22,2012-02-09,1.73,1.73,1.69,1.69,2500
23,2012-02-10,1.65,1.65,1.61,1.61,7000
24,2012-02-13,1.61,1.61,1.53,1.61,4000
25,2012-02-14,1.61,1.61,1.61,1.61,5100
26,2012-02-15,1.61,1.61,1.61,1.61,6300
27,2012-02-16,1.61,1.61,1.61,1.61,9000
28,2012-02-17,1.65,1.69,1.65,1.69,31200
29,2012-02-20,1.73,1.73,1.73,1.73,22200
30,2012-02-21,1.77,1.77,1.73,1.73,5600
31,2012-02-22,1.77,1.85,1.77,1.85,21600
32,2012-02-23,1.93,1.93,1.89,1.93,25200
33,2012-02-24,2.01,2.05,1.81,1.93,26300
34,2012-02-27,1.97,2.05,1.97,2.05,35800
35,2012-02-28,2.13,2.13,2.01,2.01,26600
36,2012-02-29,1.97,2.05,1.97,1.97,26700
37,2012-03-01,2.01,2.01,1.97,1.97,13900
38,2012-03-02,2.01,2.13,2.01,2.13,53700
39,2012-03-05,2.21,2.21,2.21,2.21,10200
40,2012-03-06,2.33,2.33,2.17,2.21,25300
41,2012-03-07,2.17,2.25,2.17,2.17,9600
42,2012-03-08,2.17,2.17,2.09,2.09,24000
43,2012-03-09,2.09,2.13,2.01,2.01,10300
44,2012-03-12,2.13,2.17,1.97,2.05,15000
45,2012-03-13,2.09,2.17,1.97,1.97,50100
46,2012-03-14,2.05,2.09,2.01,2.01,6700
47,2012-03-15,1.97,2.09,1.97,2.09,12700
48,2012-03-16,2.05,2.09,2.01,2.01,20300
49,2012-03-19,1.97,2.05,1.93,2.01,6300
50,2012-03-20,1.89,1.93,1.89,1.93,1000
51,2012-03-21,2.01,2.05,1.97,2.05,16800
52,2012-03-22,2.01,2.13,2.01,2.09,10800
53,2012-03-23,2.13,2.13,2.09,2.13,9800
54,2012-03-26,2.21,2.25,2.21,2.25,35300
55,2012-03-27,2.25,2.33,2.13,2.13,18300
56,2012-03-28,2.17,2.17,2.01,2.13,6500
57,2012-03-29,2.17,2.17,2.09,2.13,12400
58,2012-03-30,2.01,2.09,2.01,2.09,2700
59,2012-04-03,2.01,2.09,1.97,2.09,3900
60,2012-04-04,2.09,2.09,2.01,2.05,7300
61,2012-04-05,1.97,2.05,1.97,2.01,11000
62,2012-04-06,2.01,2.01,2.01,2.01,100
63,2012-04-09,2.05,2.09,2.05,2.09,5600
64,2012-04-10,2.09,2.17,1.97,2.13,43300
65,2012-04-11,2.09,2.17,2.09,2.13,12100
66,2012-04-12,2.13,2.17,2.13,2.17,5300
67,2012-04-13,2.09,2.09,2.05,2.05,8700
68,2012-04-16,2.05,2.17,2.05,2.17,37200
69,2012-04-17,2.29,2.29,2.25,2.29,84700
70,2012-04-18,2.41,2.41,2.29,2.29,57200
71,2012-04-19,2.53,2.53,2.21,2.21,20200
72,2012-04-20,2.21,2.29,2.13,2.21,16500
73,2012-04-23,2.25,2.29,2.21,2.25,14700
74,2012-04-24,2.21,2.37,2.21,2.37,50900
75,2012-04-25,2.45,2.53,2.45,2.53,39800
76,2012-04-26,2.7,2.7,2.7,2.7,29900
77,2012-04-27,2.86,2.86,2.86,2.86,16700
78,2012-05-02,3.02,3.02,3.02,3.02,92400
79,2012-05-03,3.22,3.22,3.22,3.22,125400
80,2012-05-04,3.42,3.42,3.42,3.42,10000
81,2012-05-07,3.62,3.62,3.54,3.62,133200
82,2012-05-08,3.86,3.86,3.38,3.5,57400
83,2012-05-09,3.38,3.38,3.18,3.18,72400
84,2012-05-10,3.22,3.22,3.1,3.1,19900
85,2012-05-11,3.22,3.34,3.22,3.34,80700
86,2012-05-14,3.42,3.5,3.14,3.34,51600
87,2012-05-15,3.14,3.18,3.1,3.1,21000
88,2012-05-16,3.14,3.14,2.9,2.9,31200
89,2012-05-17,2.94,3.06,2.74,2.94,40800
90,2012-05-18,2.74,2.74,2.74,2.74,4200
91,2012-05-21,2.82,2.9,2.62,2.9,60700
92,2012-05-22,2.9,2.94,2.7,2.9,24100
93,2012-05-23,2.74,2.74,2.7,2.74,33000
94,2012-05-24,2.62,2.62,2.57,2.57,18400
95,2012-05-25,2.74,2.74,2.66,2.74,15700
96,2012-05-28,2.74,2.74,2.66,2.66,24500
97,2012-05-29,2.53,2.66,2.49,2.66,13100
98,2012-05-30,2.53,2.53,2.49,2.49,25500
99,2012-05-31,2.45,2.49,2.33,2.49,18700
100,2012-06-01,2.45,2.62,2.45,2.49,5000
101,2012-06-04,2.62,2.66,2.62,2.66,43300
102,2012-06-05,2.82,2.82,2.74,2.82,28400
103,2012-06-06,2.94,2.98,2.9,2.98,41100
104,2012-06-07,3.18,3.18,3.02,3.18,38200
105,2012-06-08,3.22,3.34,2.98,3.18,68300
106,2012-06-11,2.9,3.14,2.9,2.9,26200
107,2012-06-12,2.82,2.82,2.7,2.74,57200
108,2012-06-13,2.82,2.82,2.62,2.78,13500
109,2012-06-14,2.82,2.82,2.7,2.74,17000
110,2012-06-15,2.78,2.78,2.7,2.78,17700
111,2012-06-18,2.7,2.82,2.66,2.78,23600
112,2012-06-19,2.78,2.82,2.66,2.82,56300
113,2012-06-20,2.7,2.82,2.7,2.78,11600
114,2012-06-21,2.78,2.78,2.7,2.7,14700
115,2012-06-22,2.57,2.7,2.57,2.7,14400
116,2012-06-25,2.66,2.7,2.57,2.57,12500
117,2012-06-26,2.41,2.41,2.41,2.41,4000
118,2012-06-27,2.41,2.41,2.25,2.41,11000
119,2012-06-28,2.41,2.49,2.41,2.49,15100
120,2012-06-29,2.41,2.49,2.41,2.49,3700
121,2012-07-02,2.37,2.41,2.33,2.33,6000
122,2012-07-03,2.41,2.49,2.33,2.41,10800
123,2012-07-04,2.45,2.45,2.25,2.25,14200
124,2012-07-05,2.41,2.49,2.25,2.49,12300
125,2012-07-06,2.62,2.62,2.41,2.45,10100
126,2012-07-09,2.41,2.41,2.29,2.33,17300
127,2012-07-10,2.41,2.41,2.41,2.41,100
128,2012-07-11,2.54,2.54,2.31,2.5,4100
129,2012-07-12,2.54,2.54,2.54,2.54,100
130,2012-07-13,2.45,2.59,2.45,2.54,13100
131,2012-07-16,2.54,2.54,2.45,2.5,4400
132,2012-07-17,2.45,2.45,2.36,2.45,24400
133,2012-07-18,2.31,2.5,2.31,2.5,11200
134,2012-07-19,2.41,2.64,2.36,2.59,17500
135,2012-07-20,2.68,2.68,2.59,2.68,8300
136,2012-07-23,2.5,2.59,2.5,2.59,1300
137,2012-07-24,2.45,2.45,2.45,2.45,3100
138,2012-07-25,2.31,2.31,2.31,2.31,7000
139,2012-07-26,2.17,2.36,2.17,2.31,30100
140,2012-07-27,2.31,2.36,2.17,2.17,23400
141,2012-07-30,2.27,2.27,2.13,2.13,22600
142,2012-07-31,2.27,2.27,2.13,2.27,31000
143,2012-08-01,2.41,2.41,2.17,2.36,4200
144,2012-08-02,2.36,2.36,2.27,2.27,14700
145,2012-08-03,2.31,2.31,2.17,2.17,4600
146,2012-08-06,2.17,2.31,2.17,2.31,19700
147,2012-08-07,2.31,2.31,2.27,2.27,4500
148,2012-08-08,2.31,2.31,2.22,2.22,11800
149,2012-08-09,2.36,2.36,2.27,2.31,35400
150,2012-08-10,2.22,2.31,2.17,2.31,9100
151,2012-08-13,2.22,2.31,2.22,2.31,2100
152,2012-08-14,2.31,2.31,2.31,2.31,0
153,2012-08-15,2.22,2.22,2.17,2.22,27600
154,2012-08-16,2.08,2.17,2.08,2.13,19500
155,2012-08-17,2.13,2.13,2.13,2.13,1300
156,2012-08-20,2.04,2.13,2.04,2.13,3300
157,2012-08-21,2.04,2.08,1.99,2.04,34300
158,2012-08-22,1.9,2.04,1.9,1.99,36300
159,2012-08-23,1.94,1.94,1.85,1.85,26500
160,2012-08-24,1.76,1.94,1.76,1.94,23500
161,2012-08-27,1.85,1.94,1.85,1.94,11400
162,2012-08-28,1.94,1.94,1.85,1.94,4900
163,2012-08-29,1.94,1.99,1.94,1.99,8000
164,2012-08-30,1.9,1.94,1.9,1.94,1600
165,2012-08-31,1.9,1.94,1.85,1.94,38100
166,2012-09-04,1.9,1.94,1.9,1.94,1800
167,2012-09-05,1.94,1.94,1.9,1.94,13800
168,2012-09-06,1.94,1.99,1.85,1.94,17700
169,2012-09-07,1.94,1.94,1.85,1.94,9800
170,2012-09-10,1.94,1.94,1.85,1.85,12300
171,2012-09-11,1.85,1.85,1.85,1.85,7000
172,2012-09-12,1.8,1.85,1.76,1.85,13600
173,2012-09-13,1.85,1.85,1.85,1.85,300
174,2012-09-14,1.85,1.85,1.76,1.85,9400
175,2012-09-17,1.8,1.85,1.8,1.85,31300
176,2012-09-18,1.85,1.85,1.85,1.85,0
177,2012-09-19,1.71,1.71,1.71,1.71,33900
178,2012-09-20,1.62,1.62,1.62,1.62,11800
179,2012-09-21,1.57,1.62,1.53,1.62,25400
180,2012-09-24,1.48,1.53,1.48,1.53,14500
181,2012-09-25,1.48,1.53,1.48,1.53,1300
182,2012-09-26,1.53,1.57,1.53,1.57,800
183,2012-09-27,1.53,1.57,1.53,1.57,4100
184,2012-09-28,1.53,1.57,1.53,1.57,1400
185,2012-10-01,1.48,1.48,1.48,1.48,4500
186,2012-10-02,1.39,1.39,1.39,1.39,9400
187,2012-10-03,1.39,1.48,1.39,1.48,1200
188,2012-10-04,1.43,1.43,1.39,1.43,1400
189,2012-10-05,1.39,1.43,1.39,1.43,16100
190,2012-10-08,1.39,1.43,1.39,1.43,2300
191,2012-10-09,1.43,1.43,1.39,1.43,11400
192,2012-10-10,1.39,1.43,1.39,1.43,16700
193,2012-10-11,1.43,1.53,1.43,1.53,16500
194,2012-10-12,1.48,1.53,1.43,1.53,7400
195,2012-10-15,1.53,1.53,1.43,1.53,300
196,2012-10-16,1.48,1.53,1.48,1.53,15800
197,2012-10-17,1.57,1.57,1.43,1.53,8000
198,2012-10-18,1.43,1.48,1.43,1.43,6300
199,2012-10-19,1.43,1.43,1.43,1.43,17700
200,2012-10-22,1.43,1.43,1.34,1.43,5900
201,2012-10-23,1.39,1.48,1.39,1.43,17200
202,2012-10-24,1.39,1.53,1.39,1.53,23500
203,2012-10-25,1.62,1.62,1.48,1.57,23200
204,2012-10-26,1.53,1.57,1.48,1.48,4800
205,2012-10-29,1.57,1.57,1.48,1.53,600
206,2012-10-30,1.53,1.53,1.43,1.43,9000
207,2012-10-31,1.43,1.43,1.43,1.43,5000
208,2012-11-01,1.48,1.48,1.48,1.48,300
209,2012-11-02,1.39,1.39,1.39,1.39,25300
210,2012-11-05,1.3,1.34,1.3,1.34,20100
211,2012-11-06,1.34,1.34,1.34,1.34,3700
212,2012-11-07,1.39,1.39,1.39,1.39,12300
213,2012-11-08,1.39,1.43,1.34,1.43,42000
214,2012-11-09,1.43,1.48,1.43,1.48,1600
215,2012-11-12,1.48,1.57,1.48,1.57,13100
216,2012-11-13,1.53,1.57,1.48,1.48,36000
217,2012-11-14,1.43,1.48,1.43,1.48,2500
218,2012-11-15,1.53,1.53,1.43,1.43,10800
219,2012-11-16,1.48,1.48,1.48,1.48,11100
220,2012-11-19,1.48,1.48,1.39,1.39,200
221,2012-11-20,1.48,1.48,1.39,1.43,2000
222,2012-11-21,1.48,1.48,1.39,1.39,500
223,2012-11-22,1.39,1.48,1.39,1.48,6600
224,2012-11-23,1.48,1.48,1.48,1.48,0
225,2012-11-26,1.43,1.43,1.39,1.39,1600
226,2012-11-27,1.39,1.39,1.39,1.39,0
227,2012-11-28,1.39,1.39,1.39,1.39,2900
228,2012-11-29,1.43,1.43,1.43,1.43,100
229,2012-11-30,1.43,1.43,1.43,1.43,1000
230,2012-12-03,1.43,1.43,1.43,1.43,0
231,2012-12-04,1.39,1.43,1.39,1.43,200
232,2012-12-05,1.43,1.48,1.43,1.48,3700
233,2012-12-06,1.48,1.48,1.48,1.48,0
234,2012-12-07,1.48,1.48,1.48,1.48,2600
235,2012-12-10,1.53,1.57,1.53,1.57,3300
236,2012-12-11,1.57,1.57,1.57,1.57,16300
237,2012-12-12,1.57,1.62,1.57,1.62,1200
238,2012-12-13,1.57,1.62,1.53,1.53,18300
239,2012-12-14,1.48,1.48,1.48,1.48,4100
240,2012-12-17,1.48,1.53,1.48,1.53,3300
241,2012-12-18,1.53,1.53,1.48,1.48,2400
242,2012-12-19,1.53,1.57,1.48,1.57,5700
243,2012-12-20,1.53,1.53,1.53,1.53,900
244,2012-12-21,1.43,1.43,1.43,1.43,100
245,2012-12-24,1.48,1.48,1.43,1.48,13200
246,2012-12-25,1.53,1.53,1.48,1.48,11400
247,2012-12-26,1.53,1.57,1.53,1.57,25800
248,2012-12-27,1.62,1.67,1.62,1.67,31300
249,2012-12-28,1.67,1.76,1.67,1.76,2900
250,2013-01-02,1.8,1.85,1.76,1.85,35900
251,2013-01-03,1.8,1.85,1.76,1.8,32100
252,2013-01-04,1.8,1.9,1.8,1.9,30100
253,2013-01-07,1.94,1.94,1.8,1.85,10900
254,2013-01-08,1.76,1.85,1.76,1.85,13100
255,2013-01-09,1.85,1.85,1.71,1.71,28300
256,2013-01-10,1.71,1.8,1.71,1.8,21800
257,2013-01-11,1.85,1.85,1.85,1.85,1100
258,2013-01-14,1.85,1.85,1.76,1.8,25500
259,2013-01-15,1.76,1.85,1.76,1.85,38100
260,2013-01-16,1.85,1.94,1.85,1.9,33500
261,2013-01-17,1.85,1.9,1.8,1.9,11100
262,2013-01-18,1.76,1.85,1.76,1.85,9700
263,2013-01-21,1.76,1.85,1.76,1.85,8600
264,2013-01-22,1.8,1.8,1.8,1.8,100
265,2013-01-23,1.67,1.67,1.67,1.67,1000
266,2013-01-24,1.67,1.67,1.67,1.67,7000
267,2013-01-25,1.71,1.76,1.71,1.76,1400
268,2013-01-28,1.76,1.8,1.76,1.76,20300
269,2013-01-29,1.76,1.76,1.67,1.76,18300
270,2013-01-30,1.8,1.9,1.8,1.9,76100
271,2013-01-31,1.99,1.99,1.8,1.94,8600
272,2013-02-01,1.8,1.99,1.8,1.99,12000
273,2013-02-04,1.9,1.99,1.9,1.99,13500
274,2013-02-05,1.99,1.99,1.99,1.99,100
275,2013-02-06,1.85,2.04,1.8,1.99,13900
276,2013-02-07,1.99,2.17,1.9,2.17,38100
277,2013-02-08,1.99,2.17,1.99,2.17,700
278,2013-02-18,2.17,2.27,2.04,2.22,7300
279,2013-02-19,2.08,2.13,2.04,2.04,14200
280,2013-02-20,2.04,2.08,1.9,2.08,6000
281,2013-02-21,1.99,2.08,1.9,1.9,23000
282,2013-02-22,1.99,2.08,1.9,1.99,51400
283,2013-02-25,2.04,2.04,1.94,2.04,7300
284,2013-02-26,1.99,1.99,1.9,1.9,17600
285,2013-02-27,1.99,1.99,1.8,1.94,6100
286,2013-02-28,1.85,1.94,1.8,1.8,500
287,2013-03-01,1.8,1.85,1.8,1.85,4400
288,2013-03-04,1.76,1.8,1.71,1.8,1900
289,2013-03-05,1.71,1.8,1.71,1.8,18700
290,2013-03-06,1.76,1.85,1.76,1.85,9100
291,2013-03-07,1.8,1.8,1.71,1.76,1200
292,2013-03-08,1.71,1.85,1.71,1.8,3600
293,2013-03-11,1.85,1.9,1.85,1.9,1200
294,2013-03-12,1.9,1.9,1.85,1.85,1000
