,time,open,high,low,close,volume
0,2012-01-03,2.12,2.12,2.12,2.12,500
1,2012-01-04,2.12,2.17,2.08,2.08,600
2,2012-01-05,2.08,2.08,2.08,2.08,0
3,2012-01-06,2.08,2.08,2.08,2.08,0
4,2012-01-09,2.08,2.08,2.08,2.08,0
5,2012-01-10,2.21,2.21,2.04,2.04,1300
6,2012-01-11,2.21,2.21,2.04,2.04,11300
7,2012-01-12,2.0,2.0,2.0,2.0,2500
8,2012-01-13,2.04,2.04,2.04,2.04,500
9,2012-01-16,2.12,2.12,1.96,1.96,300
10,2012-01-17,2.12,2.12,2.12,2.12,200
11,2012-01-18,2.12,2.12,2.12,2.12,0
12,2012-01-19,2.12,2.12,2.12,2.12,0
13,2012-01-20,2.12,2.12,2.12,2.12,0
14,2012-01-30,2.12,2.12,2.0,2.0,1200
15,2012-01-31,2.08,2.12,2.04,2.04,700
16,2012-02-01,2.12,2.12,1.96,1.96,1400
17,2012-02-02,1.92,1.92,1.88,1.92,16000
18,2012-02-03,2.0,2.0,1.76,1.76,9300
19,2012-02-06,1.88,1.88,1.88,1.88,1000
20,2012-02-07,1.76,1.88,1.76,1.88,1600
21,2012-02-08,1.88,1.88,1.88,1.88,0
22,2012-02-09,1.76,1.84,1.76,1.76,1300
23,2012-02-10,1.92,1.92,1.92,1.92,1000
24,2012-02-13,1.96,1.96,1.88,1.88,3100
25,2012-02-14,1.92,1.92,1.84,1.84,600
26,2012-02-15,1.8,1.8,1.8,1.8,5200
27,2012-02-16,1.84,1.84,1.68,1.68,10500
28,2012-02-17,1.76,1.76,1.76,1.76,8900
29,2012-02-20,1.84,1.84,1.84,1.84,6600
30,2012-02-21,1.92,1.92,1.84,1.84,18100
31,2012-02-22,1.8,1.92,1.8,1.88,6300
32,2012-02-23,1.96,1.96,1.84,1.96,9100
33,2012-02-24,1.96,2.0,1.84,1.96,18100
34,2012-02-27,1.96,1.96,1.84,1.96,19400
35,2012-02-28,1.96,1.96,1.84,1.84,13500
36,2012-02-29,1.96,1.96,1.96,1.96,500
37,2012-03-01,1.88,1.88,1.84,1.84,19700
38,2012-03-02,1.8,1.96,1.76,1.96,27400
39,2012-03-05,2.0,2.0,2.0,2.0,11300
40,2012-03-06,2.12,2.12,1.96,2.08,33600
41,2012-03-07,1.96,2.0,1.96,1.96,28900
42,2012-03-08,1.88,1.88,1.84,1.84,12900
43,2012-03-09,1.84,1.84,1.84,1.84,0
44,2012-03-12,1.92,1.92,1.84,1.88,3500
45,2012-03-13,1.92,1.92,1.92,1.92,100
46,2012-03-14,1.8,1.8,1.8,1.8,16600
47,2012-03-15,1.68,1.8,1.68,1.8,36100
48,2012-03-16,1.8,1.8,1.8,1.8,6700
49,2012-03-19,1.8,1.8,1.72,1.72,9100
50,2012-03-20,1.72,1.76,1.72,1.76,16600
51,2012-03-21,1.8,1.8,1.76,1.76,12900
52,2012-03-22,1.84,1.84,1.68,1.72,28700
53,2012-03-23,1.76,1.8,1.76,1.8,45900
54,2012-03-26,1.92,1.92,1.84,1.92,71900
55,2012-03-27,2.04,2.04,2.0,2.04,99500
56,2012-03-28,1.96,2.04,1.96,2.0,30100
57,2012-03-29,1.96,1.96,1.88,1.96,35400
58,2012-03-30,1.88,1.92,1.84,1.92,18700
59,2012-04-03,1.88,1.88,1.84,1.88,4200
60,2012-04-04,1.8,1.84,1.76,1.8,9600
61,2012-04-05,1.76,1.88,1.76,1.88,9500
62,2012-04-06,1.92,1.92,1.76,1.84,11000
63,2012-04-09,1.76,1.88,1.76,1.88,5400
64,2012-04-10,1.8,1.84,1.76,1.8,31900
65,2012-04-11,1.8,1.84,1.76,1.84,9700
66,2012-04-12,1.84,1.88,1.8,1.84,48700
67,2012-04-13,1.8,1.8,1.72,1.76,17700
68,2012-04-16,1.72,1.88,1.68,1.88,13200
69,2012-04-17,1.84,1.88,1.76,1.84,16100
70,2012-04-18,1.76,1.84,1.76,1.76,9400
71,2012-04-19,1.8,1.88,1.8,1.88,23700
72,2012-04-20,1.84,1.92,1.84,1.84,13500
73,2012-04-23,1.76,1.84,1.76,1.84,4800
74,2012-04-24,1.76,1.84,1.76,1.84,200
75,2012-04-25,1.76,1.84,1.76,1.84,15300
76,2012-04-26,1.84,1.84,1.76,1.84,13300
77,2012-04-27,1.84,1.84,1.8,1.84,6300
78,2012-05-02,1.84,1.88,1.84,1.84,18200
79,2012-05-03,1.84,1.88,1.84,1.88,29500
80,2012-05-04,1.84,1.96,1.84,1.96,66400
81,2012-05-07,2.08,2.08,2.04,2.08,59100
82,2012-05-08,2.12,2.21,2.12,2.17,89800
83,2012-05-09,2.29,2.29,2.08,2.12,32600
84,2012-05-10,2.04,2.08,2.0,2.0,56200
85,2012-05-11,2.0,2.12,2.0,2.12,49200
86,2012-05-14,2.0,2.08,2.0,2.0,11400
87,2012-05-15,1.88,1.96,1.88,1.88,32000
88,2012-05-16,1.96,1.96,1.84,1.92,4700
89,2012-05-17,1.96,1.96,1.88,1.88,9700
90,2012-05-18,1.76,1.8,1.76,1.76,25400
91,2012-05-21,1.76,1.88,1.76,1.88,12100
92,2012-05-22,1.8,1.8,1.76,1.76,19900
93,2012-05-23,1.76,1.76,1.72,1.76,14000
94,2012-05-24,1.72,1.72,1.68,1.68,5800
95,2012-05-25,1.76,1.76,1.76,1.76,4300
96,2012-05-28,1.8,1.84,1.76,1.8,5200
97,2012-05-29,1.8,1.8,1.76,1.8,500
98,2012-05-30,1.72,1.72,1.68,1.72,31800
99,2012-05-31,1.68,1.8,1.63,1.8,15300
100,2012-06-01,1.8,1.8,1.8,1.8,0
101,2012-06-04,1.8,1.8,1.8,1.8,0
102,2012-06-05,1.68,1.72,1.68,1.72,8500
103,2012-06-06,1.72,1.72,1.63,1.68,11300
104,2012-06-07,1.72,1.76,1.72,1.76,4400
