,time,open,high,low,close,volume
0,2012-01-03,10.76,10.99,10.76,10.99,7520
1,2012-01-04,10.91,10.99,10.91,10.99,11240
2,2012-01-05,10.99,10.99,10.91,10.99,1690
3,2012-01-06,10.91,11.22,10.91,11.22,16890
4,2012-01-09,11.52,11.52,11.29,11.29,5150
5,2012-01-10,11.07,11.37,11.07,11.29,5450
6,2012-01-11,11.37,11.45,11.37,11.37,21330
7,2012-01-12,11.37,11.37,11.29,11.29,9100
8,2012-01-13,11.29,11.37,11.22,11.37,1590
9,2012-01-16,11.37,11.37,11.22,11.22,11410
10,2012-01-17,11.29,11.52,11.29,11.52,100
11,2012-01-18,11.52,11.52,11.29,11.52,14220
12,2012-01-19,11.45,11.6,11.45,11.6,9480
13,2012-01-20,11.6,11.6,11.52,11.6,420
14,2012-01-30,11.6,12.13,11.6,12.13,159530
15,2012-01-31,12.13,12.51,11.98,11.98,13210
16,2012-02-01,11.98,11.98,11.75,11.98,95870
17,2012-02-02,11.82,12.05,11.82,11.98,35520
18,2012-02-03,12.05,12.51,11.9,12.43,285130
19,2012-02-06,12.28,12.81,12.13,12.81,33020
20,2012-02-07,12.73,13.42,12.51,13.42,98470
21,2012-02-08,13.26,13.42,12.89,13.19,12710
22,2012-02-09,12.96,13.34,12.89,13.19,45320
23,2012-02-10,12.89,13.19,12.81,12.81,4040
24,2012-02-13,12.51,12.81,12.51,12.51,13730
25,2012-02-14,12.81,12.89,12.51,12.89,3750
26,2012-02-15,12.73,12.73,12.28,12.28,13980
27,2012-02-16,12.05,12.43,11.67,11.67,16550
28,2012-02-17,11.67,12.13,11.29,11.29,49480
29,2012-02-20,11.82,11.82,11.82,11.82,43290
30,2012-02-21,12.36,12.36,11.75,12.2,35710
31,2012-02-22,12.13,12.36,11.75,12.36,21190
32,2012-02-23,12.36,12.36,11.82,12.2,50670
33,2012-02-24,12.2,12.2,11.82,12.13,50380
34,2012-02-27,12.13,12.2,12.13,12.13,36720
35,2012-02-28,12.13,12.13,11.9,11.9,20900
36,2012-02-29,11.9,12.05,11.82,11.82,23750
37,2012-03-01,12.13,12.13,11.52,11.6,33180
38,2012-03-02,11.45,11.9,11.45,11.9,30770
39,2012-03-05,11.98,12.43,11.98,12.43,197610
40,2012-03-06,12.43,12.51,11.9,12.13,45440
41,2012-03-07,11.98,12.43,11.9,12.28,103470
42,2012-03-08,12.13,12.13,11.67,11.75,44810
43,2012-03-09,11.37,11.6,11.37,11.45,64710
44,2012-03-12,11.82,11.82,11.37,11.37,34580
45,2012-03-13,11.29,11.67,11.29,11.37,45540
46,2012-03-14,11.37,11.45,11.29,11.29,29610
47,2012-03-15,11.37,11.45,11.29,11.45,29100
48,2012-03-16,11.85,11.93,11.69,11.69,38890
49,2012-03-19,11.45,11.69,11.28,11.53,51490
50,2012-03-20,11.53,11.77,11.45,11.69,52290
51,2012-03-21,11.77,12.01,11.69,11.93,100140
52,2012-03-22,11.93,12.09,11.93,12.01,33720
53,2012-03-23,12.01,12.18,12.01,12.01,65290
54,2012-03-26,11.85,11.93,11.69,11.85,22930
55,2012-03-27,11.69,11.93,11.69,11.69,79470
56,2012-03-28,11.69,11.93,11.61,11.69,37250
57,2012-03-29,11.69,11.77,11.53,11.77,21560
58,2012-03-30,11.69,11.85,11.61,11.69,19590
59,2012-04-03,11.77,11.85,11.69,11.69,2020
60,2012-04-04,11.69,11.69,11.61,11.69,18440
61,2012-04-05,11.69,11.69,11.61,11.61,15290
62,2012-04-06,11.61,11.69,11.53,11.53,25930
63,2012-04-09,11.45,11.53,11.2,11.28,47170
64,2012-04-10,11.61,11.69,11.28,11.28,20750
65,2012-04-11,11.45,11.61,11.36,11.53,30340
66,2012-04-12,11.53,12.09,11.53,11.85,57550
67,2012-04-13,11.85,11.93,11.77,11.85,69940
68,2012-04-16,11.77,12.26,11.77,11.93,78500
69,2012-04-17,11.85,12.42,11.85,12.34,40940
70,2012-04-18,12.01,12.26,12.01,12.01,16330
71,2012-04-19,12.01,12.01,11.69,11.77,25690
72,2012-04-20,11.61,11.93,11.61,11.93,11840
73,2012-04-23,12.26,12.5,12.26,12.5,163350
74,2012-04-24,12.5,12.91,12.34,12.91,50390
75,2012-04-25,12.91,13.39,12.74,12.74,61670
