,time,open,high,low,close,volume
0,2012-01-03,1.96,1.96,1.86,1.96,59900
1,2012-01-04,2.05,2.05,1.96,1.96,133400
2,2012-01-05,1.96,1.96,1.86,1.86,69500
3,2012-01-06,1.77,1.77,1.77,1.77,40300
4,2012-01-09,1.77,1.77,1.68,1.77,137300
5,2012-01-10,1.77,1.77,1.77,1.77,69900
6,2012-01-11,1.86,1.86,1.77,1.77,127700
7,2012-01-12,1.86,1.86,1.77,1.77,110800
8,2012-01-13,1.77,1.86,1.77,1.86,53700
9,2012-01-16,1.86,1.86,1.77,1.86,94000
10,2012-01-17,1.86,1.96,1.86,1.86,32000
11,2012-01-18,1.77,1.77,1.77,1.77,184600
12,2012-01-19,1.77,1.86,1.68,1.86,171000
13,2012-01-20,1.86,1.86,1.77,1.77,84000
14,2012-01-30,1.86,1.96,1.86,1.86,68500
15,2012-01-31,1.86,1.96,1.86,1.96,223000
16,2012-02-01,1.96,2.05,1.86,1.96,157500
17,2012-02-02,1.96,2.05,1.96,2.05,343100
18,2012-02-03,2.14,2.14,1.96,2.05,324000
19,2012-02-06,2.05,2.14,2.05,2.14,154600
20,2012-02-07,2.14,2.14,2.05,2.14,131100
21,2012-02-08,2.14,2.23,2.05,2.23,130500
22,2012-02-09,2.14,2.23,2.05,2.05,221000
23,2012-02-10,2.05,2.05,1.96,1.96,123200
24,2012-02-13,1.86,1.96,1.86,1.86,81900
25,2012-02-14,1.77,1.86,1.77,1.77,271500
26,2012-02-15,1.77,1.77,1.68,1.68,233400
27,2012-02-16,1.68,1.77,1.68,1.77,155400
28,2012-02-17,1.77,1.86,1.77,1.86,187300
29,2012-02-20,1.96,1.96,1.86,1.96,255600
30,2012-02-21,2.05,2.05,1.96,1.96,340500
31,2012-02-22,2.05,2.05,1.96,1.96,418000
32,2012-02-23,2.05,2.05,2.05,2.05,440300
33,2012-02-24,2.14,2.14,2.05,2.14,654200
34,2012-02-27,2.23,2.23,2.14,2.23,387900
35,2012-02-28,2.33,2.33,2.23,2.33,1521600
36,2012-02-29,2.33,2.42,2.23,2.42,970400
37,2012-03-01,2.51,2.51,2.51,2.51,112000
38,2012-03-02,2.61,2.61,2.61,2.61,533600
39,2012-03-05,2.7,2.7,2.7,2.7,220600
40,2012-03-06,2.89,2.89,2.89,2.89,2657500
41,2012-03-07,3.07,3.07,2.98,3.07,3956100
42,2012-03-08,3.26,3.26,3.26,3.26,974300
43,2012-03-09,3.44,3.44,3.17,3.44,3180800
44,2012-03-12,3.35,3.35,3.17,3.17,588600
45,2012-03-13,2.98,3.17,2.98,3.17,2925300
46,2012-03-14,3.17,3.26,3.17,3.26,1770100
47,2012-03-15,3.35,3.44,3.07,3.44,2721900
48,2012-03-16,3.54,3.54,3.54,3.54,483900
49,2012-03-19,3.72,3.72,3.44,3.72,2686300
50,2012-03-20,3.91,3.91,3.91,3.91,515300
51,2012-03-21,4.1,4.1,4.1,4.1,214500
52,2012-03-22,4.38,4.38,4.38,4.38,162500
53,2012-03-23,4.66,4.66,4.56,4.66,3019900
54,2012-03-26,4.93,4.93,4.84,4.93,2052000
55,2012-03-27,5.21,5.21,4.84,4.93,4849500
56,2012-03-28,4.93,5.12,4.66,5.12,1752700
57,2012-03-29,5.4,5.4,4.84,4.84,1866400
58,2012-03-30,4.66,4.75,4.56,4.56,1604300
59,2012-04-03,4.47,4.84,4.28,4.84,2500300
60,2012-04-04,4.93,4.93,4.56,4.56,1130000
61,2012-04-05,4.28,4.84,4.28,4.66,1381200
62,2012-04-06,4.66,4.75,4.47,4.47,1318000
63,2012-04-09,4.47,4.75,4.47,4.66,1113400
64,2012-04-10,4.66,4.75,4.47,4.47,1384600
65,2012-04-11,4.75,4.75,4.47,4.66,1149700
66,2012-04-12,4.66,4.66,4.28,4.38,1114400
67,2012-04-13,4.38,4.66,4.19,4.56,1485900
68,2012-04-16,4.66,4.84,4.56,4.66,1351100
