,time,open,high,low,close,volume
0,2012-01-03,8.24,8.24,8.24,8.24,41990
1,2012-01-04,8.31,8.61,8.31,8.61,80820
2,2012-01-05,8.76,8.76,8.46,8.46,18340
3,2012-01-06,8.31,8.53,8.31,8.39,15320
4,2012-01-09,8.24,8.39,8.16,8.39,39950
5,2012-01-10,8.39,8.53,8.39,8.53,21730
6,2012-01-11,8.68,8.68,8.31,8.31,15880
7,2012-01-12,8.31,8.39,8.24,8.39,13410
8,2012-01-13,8.24,8.46,8.24,8.46,24230
9,2012-01-16,8.39,8.46,8.31,8.46,9440
10,2012-01-17,8.46,8.46,8.39,8.39,7010
11,2012-01-18,8.46,8.46,8.39,8.46,3190
12,2012-01-19,8.53,8.68,8.53,8.68,38430
13,2012-01-20,8.91,8.91,8.53,8.68,11760
14,2012-01-30,8.68,8.76,8.68,8.76,6780
15,2012-01-31,8.83,8.98,8.76,8.76,30370
16,2012-02-01,8.76,8.83,8.61,8.76,57240
17,2012-02-02,8.83,9.13,8.76,9.13,59380
18,2012-02-03,9.13,9.35,8.83,8.83,17430
19,2012-02-06,8.91,8.98,8.76,8.98,8880
20,2012-02-07,8.91,9.05,8.83,9.05,5390
21,2012-02-08,9.28,9.5,9.28,9.35,67430
22,2012-02-09,9.42,9.5,9.13,9.13,46970
23,2012-02-10,9.13,9.28,8.91,8.91,65540
24,2012-02-13,8.83,8.98,8.83,8.91,37240
25,2012-02-14,9.05,9.28,8.91,9.05,9480
26,2012-02-15,9.28,9.28,9.05,9.13,38550
27,2012-02-16,9.13,9.2,9.05,9.2,27830
28,2012-02-17,9.35,9.42,9.2,9.42,55990
29,2012-02-20,9.5,9.87,9.5,9.87,133050
30,2012-02-21,10.02,10.24,9.87,10.09,118820
31,2012-02-22,10.09,10.54,10.02,10.54,103670
32,2012-02-23,10.54,10.98,10.54,10.91,55800
33,2012-02-24,10.98,11.13,10.39,10.39,69190
34,2012-02-27,10.39,10.91,10.17,10.76,34720
35,2012-02-28,10.39,10.54,10.24,10.24,79610
36,2012-02-29,10.02,10.39,9.87,10.39,45450
37,2012-03-01,10.39,10.39,10.09,10.39,57400
38,2012-03-02,10.24,10.46,10.09,10.46,66770
39,2012-03-05,10.91,10.98,10.91,10.98,93050
40,2012-03-06,11.43,11.5,10.61,10.83,65490
41,2012-03-07,10.46,10.76,10.32,10.76,48470
42,2012-03-08,10.39,10.69,10.24,10.24,91630
43,2012-03-09,10.02,10.32,10.02,10.24,62300
44,2012-03-12,10.24,10.24,10.09,10.24,45210
45,2012-03-13,10.24,10.39,10.24,10.39,11910
46,2012-03-14,10.39,10.39,10.32,10.32,14630
47,2012-03-15,10.24,10.76,10.24,10.76,58270
48,2012-03-16,10.98,10.98,10.54,10.69,47070
49,2012-03-19,10.39,10.76,10.39,10.69,35440
50,2012-03-20,10.69,10.76,10.54,10.76,7910
51,2012-03-21,10.91,10.98,10.69,10.83,49420
52,2012-03-22,10.61,10.91,10.61,10.83,23310
53,2012-03-23,10.83,10.98,10.83,10.91,61480
54,2012-03-26,10.91,11.43,10.91,11.43,208570
55,2012-03-27,11.95,11.95,11.5,11.95,172990
56,2012-03-28,12.24,12.54,12.24,12.54,302970
57,2012-03-29,13.14,13.14,13.14,13.14,76390
58,2012-03-30,13.73,13.73,12.91,13.65,757480
59,2012-04-03,13.65,13.65,13.14,13.36,182520
60,2012-04-04,13.51,14.03,13.36,14.03,383030
61,2012-04-05,14.32,14.69,14.25,14.69,405030
62,2012-04-06,15.06,15.36,14.84,15.36,463670
63,2012-04-09,16.1,16.1,15.88,16.1,76650
64,2012-04-10,16.85,16.85,16.85,16.85,54380
65,2012-04-11,17.66,17.66,17.66,17.66,84380
66,2012-04-12,18.52,18.52,17.66,18.37,734940
67,2012-04-13,18.05,19.22,17.82,19.22,755330
68,2012-04-16,20.01,20.01,19.62,19.69,158550
69,2012-04-17,19.46,19.77,18.76,19.69,417430
70,2012-04-18,19.69,19.69,18.76,18.76,352050
71,2012-04-19,17.97,18.76,17.82,17.97,494470
72,2012-04-20,17.66,18.83,17.66,18.83,206850
73,2012-04-23,19.77,19.77,18.99,19.22,290520
74,2012-04-24,18.76,19.38,18.68,18.76,85410
75,2012-04-25,18.13,18.83,18.05,18.29,198850
