,time,open,high,low,close,volume
0,2018-06-12,2.25,2.25,2.25,2.25,300
1,2018-06-13,2.53,2.53,2.53,2.53,300
2,2018-06-14,2.88,2.88,2.88,2.88,130
3,2018-06-15,3.3,3.3,3.3,3.3,1800
4,2018-06-18,3.79,3.79,3.79,3.79,26400
5,2018-06-19,4.35,4.35,4.35,4.35,1900
6,2018-06-20,4.98,4.98,4.98,4.98,4400
7,2018-06-21,5.69,5.69,5.69,5.69,74620
8,2018-06-22,6.53,6.53,6.53,6.53,23550
9,2018-06-25,7.44,7.44,6.67,7.44,497300
10,2018-06-26,8.42,8.42,7.86,8.42,147610
11,2018-06-27,9.55,9.55,9.55,9.55,45830
12,2018-06-28,10.95,10.95,10.95,10.95,60300
13,2018-06-29,12.57,12.57,10.74,11.02,208123
14,2018-07-02,10.88,10.88,9.97,9.97,185725
15,2018-07-03,9.97,9.97,8.99,9.2,78825
16,2018-07-04,9.13,9.34,8.42,9.2,165965
17,2018-07-05,8.42,9.13,8.42,8.85,100720
18,2018-07-06,9.13,9.9,9.13,9.9,17720
19,2018-07-09,10.04,10.18,9.83,9.9,28785
20,2018-07-10,10.18,11.09,9.83,9.83,225252
21,2018-07-11,10.25,10.39,9.83,9.83,30950
22,2018-07-12,10.04,10.04,8.56,9.55,58830
23,2018-07-13,9.48,10.67,9.27,10.67,69480
24,2018-07-16,10.18,10.67,10.18,10.46,60450
25,2018-07-17,10.46,11.23,10.46,11.23,23270
26,2018-07-18,10.67,10.88,10.6,10.88,17880
27,2018-07-19,10.6,11.58,10.6,11.23,64515
28,2018-07-20,10.95,11.16,10.74,11.02,10068
29,2018-07-23,10.74,10.88,10.46,10.53,42922
30,2018-07-24,10.53,10.53,10.53,10.53,7675
31,2018-07-25,10.53,11.58,10.53,11.58,44485
32,2018-07-26,11.09,11.23,11.09,11.23,20450
33,2018-07-27,11.23,11.58,11.16,11.23,24920
34,2018-07-30,11.23,11.58,10.88,11.23,60520
35,2018-07-31,11.23,11.3,10.88,11.3,50610
36,2018-08-01,11.23,11.58,11.16,11.58,35500
37,2018-08-02,11.3,11.58,11.3,11.3,50000
38,2018-08-03,11.23,11.37,11.23,11.37,5400
39,2018-08-06,11.23,12.0,10.74,12.0,51713
40,2018-08-07,11.37,11.44,11.37,11.37,14500
41,2018-08-08,11.37,12.28,11.37,11.44,45820
42,2018-08-09,11.37,11.37,11.37,11.37,1301
43,2018-08-10,11.37,12.28,11.37,12.28,13510
44,2018-08-13,11.86,11.86,11.23,11.86,18700
45,2018-08-14,11.3,12.36,11.3,11.79,68373
46,2018-08-15,12.0,12.28,11.93,12.28,26260
47,2018-08-16,12.07,13.83,11.93,13.83,57200
48,2018-08-17,13.34,13.34,11.93,12.64,71720
49,2018-08-20,11.93,12.0,11.93,11.93,48140
50,2018-08-21,11.23,11.58,11.23,11.58,17050
51,2018-08-22,11.3,11.37,11.3,11.37,1860
52,2018-08-23,11.37,11.58,11.37,11.37,15000
53,2018-08-24,11.51,11.51,11.23,11.23,7020
54,2018-08-27,10.6,10.6,9.83,10.53,10800
55,2018-08-28,10.18,10.18,10.04,10.18,4420
56,2018-08-29,10.04,10.18,10.04,10.18,4410
57,2018-08-30,10.18,10.25,10.18,10.18,5309
58,2018-08-31,10.18,10.53,9.9,10.53,1950
59,2018-09-04,10.25,10.32,10.25,10.32,2550
60,2018-09-05,10.46,10.6,10.46,10.53,10283
61,2018-09-06,10.53,10.88,10.53,10.67,6921
62,2018-09-07,10.53,10.81,10.53,10.53,46600
63,2018-09-10,10.53,10.67,9.13,9.2,2000
64,2018-09-11,9.9,10.46,9.2,9.2,1200
65,2018-09-12,9.62,10.39,9.62,9.62,8205
66,2018-09-13,10.11,11.37,10.11,10.53,6850
67,2018-09-14,11.16,11.16,11.16,11.16,0
68,2018-09-17,11.37,11.51,10.11,10.25,13240
69,2018-09-18,10.18,11.65,10.11,10.18,15100
70,2018-09-19,10.18,11.86,10.04,10.18,14430
71,2018-09-20,10.32,11.86,10.32,11.86,300
72,2018-09-21,10.11,11.51,10.11,10.81,20090
73,2018-09-24,10.18,11.23,10.18,10.88,96900
74,2018-09-25,10.88,10.88,10.53,10.53,700
75,2018-09-26,10.81,10.81,10.81,10.81,1140
76,2018-09-27,10.6,10.81,10.53,10.81,4402
77,2018-09-28,10.81,12.28,10.6,10.88,69180
78,2018-10-01,10.67,11.09,10.6,11.09,8500
79,2018-10-02,10.67,12.21,9.2,11.23,82200
80,2018-10-03,11.58,11.72,11.09,11.72,7500
81,2018-10-04,11.23,11.23,10.88,10.88,3430
82,2018-10-05,11.09,11.09,11.09,11.09,600
83,2018-10-08,11.16,12.14,11.16,11.16,12000
84,2018-10-09,11.51,13.2,11.44,12.92,92790
85,2018-10-10,12.28,13.9,12.0,12.5,51300
86,2018-10-11,11.93,14.18,11.93,12.57,54010
87,2018-10-12,12.43,12.43,12.36,12.36,600
88,2018-10-15,12.5,12.5,12.36,12.36,4200
89,2018-10-16,12.36,14.25,12.0,12.64,61342
90,2018-10-17,14.04,14.25,12.28,12.36,66430
91,2018-10-18,12.43,12.43,12.43,12.43,100
92,2018-10-19,12.99,13.34,12.99,13.34,2169
93,2018-10-22,13.27,14.04,13.06,13.06,18420
94,2018-10-23,12.99,12.99,12.36,12.36,1635
95,2018-10-24,12.36,14.04,10.74,10.74,22320
96,2018-10-25,12.99,13.06,11.37,11.79,50055
97,2018-10-26,12.43,12.43,12.43,12.43,10580
98,2018-10-29,11.79,12.43,11.37,11.37,22900
99,2018-10-30,13.27,13.34,11.93,13.34,27803
100,2018-10-31,12.64,14.25,12.5,13.2,34342
101,2018-11-01,12.36,12.36,12.36,12.36,100
102,2018-11-02,12.36,12.36,12.36,12.36,0
103,2018-11-05,12.64,12.64,12.64,12.64,103
104,2018-11-06,13.2,13.2,13.2,13.2,900
105,2018-11-07,12.14,12.14,12.14,12.14,1640
106,2018-11-08,12.64,12.64,12.64,12.64,100
107,2018-11-09,12.64,12.64,12.64,12.64,0
108,2018-11-12,13.2,13.2,12.43,12.43,4500
109,2018-11-13,12.57,12.57,12.57,12.57,2600
110,2018-11-14,12.57,12.57,12.57,12.57,0
111,2018-11-15,13.34,13.34,13.34,13.34,2143
112,2018-11-16,12.07,12.07,12.07,12.07,3100
113,2018-11-19,12.07,12.07,12.07,12.07,140
114,2018-11-20,11.37,13.83,11.37,11.86,12917
115,2018-11-21,12.64,13.76,12.14,12.14,12900
116,2018-11-22,11.58,11.58,11.37,11.44,9100
117,2018-11-23,12.64,12.64,12.64,12.64,1200
118,2018-11-26,12.71,12.71,12.71,12.71,100
119,2018-11-27,12.71,12.71,12.71,12.71,0
120,2018-11-28,12.78,12.78,12.78,12.78,100
121,2018-11-29,12.78,12.78,12.78,12.78,0
122,2018-11-30,12.78,12.78,12.78,12.78,800
123,2018-12-03,12.64,14.25,12.43,12.43,6000
124,2018-12-04,12.36,12.36,12.36,12.36,500
125,2018-12-05,12.78,12.78,12.78,12.78,1420
126,2018-12-06,13.97,14.04,12.5,12.5,38973
127,2018-12-07,13.06,13.06,13.06,13.06,100
128,2018-12-10,12.99,14.18,12.92,12.92,4300
129,2018-12-11,13.06,13.06,13.06,13.06,100
130,2018-12-12,13.06,13.06,13.06,13.06,107
131,2018-12-13,12.5,14.04,12.5,13.06,15200
132,2018-12-14,12.92,14.04,13.34,13.06,8
133,2018-12-17,12.99,12.99,12.64,12.64,2000
134,2018-12-18,12.64,13.34,12.64,13.34,4110
135,2018-12-19,12.28,12.28,12.28,12.28,100
136,2018-12-20,12.99,12.99,12.99,12.99,100
137,2018-12-21,13.34,13.34,13.13,13.13,1000
138,2018-12-24,13.48,13.48,12.43,13.27,7668
139,2018-12-25,12.71,14.39,12.71,13.06,5720
140,2018-12-26,12.78,14.04,12.78,14.04,200
141,2018-12-27,13.97,14.39,13.97,14.39,7330
142,2018-12-28,14.18,14.39,14.39,14.39,0
143,2019-01-02,12.64,15.44,12.64,15.44,200
144,2019-01-03,13.2,13.2,12.28,12.28,1140
145,2019-01-04,12.78,13.34,12.78,12.85,5200
146,2019-01-07,12.99,12.99,12.99,12.99,300
147,2019-01-08,12.92,14.32,12.92,13.13,2710
148,2019-01-09,13.2,13.2,13.2,13.2,100
149,2019-01-10,13.34,13.34,13.34,13.34,1130
150,2019-01-11,13.34,13.34,13.34,13.34,0
151,2019-01-14,13.69,13.69,13.69,13.69,900
152,2019-01-15,13.06,13.06,12.21,12.21,3000
153,2019-01-16,12.64,12.64,12.64,12.64,120
154,2019-01-17,12.64,12.64,12.64,12.64,400
155,2019-01-18,12.64,12.64,12.64,12.64,620
156,2019-01-21,12.64,13.34,12.64,13.34,1800
157,2019-01-22,13.27,13.69,12.43,12.71,1900
158,2019-01-23,12.64,12.99,12.64,12.99,1100
159,2019-01-24,12.64,12.64,12.64,12.64,1000
160,2019-01-25,12.64,12.64,12.64,12.64,0
161,2019-01-28,13.27,14.39,13.27,14.39,3500
162,2019-01-29,14.04,14.04,12.85,12.99,4000
163,2019-01-30,12.99,12.99,12.99,12.99,210
164,2019-01-31,12.99,12.99,12.99,12.99,0
165,2019-02-01,12.99,12.99,12.99,12.99,0
166,2019-02-11,12.99,12.99,12.99,12.99,120
167,2019-02-12,12.99,12.99,12.99,12.99,0
168,2019-02-13,13.13,13.13,13.13,13.13,1500
169,2019-02-14,12.78,12.99,12.78,12.99,400
170,2019-02-15,12.92,12.92,12.92,12.99,20
171,2019-02-18,12.92,12.99,12.99,12.99,0
172,2019-02-19,12.92,12.99,12.99,12.99,0
173,2019-02-20,12.92,12.99,12.99,12.99,0
174,2019-02-21,12.92,12.92,12.92,12.92,515
175,2019-02-22,12.36,12.36,12.36,12.36,120
176,2019-02-25,12.36,12.36,12.36,12.36,0
177,2019-02-26,12.36,12.71,12.36,12.64,1300
178,2019-02-27,12.5,12.5,12.5,12.5,100
179,2019-02-28,12.5,12.5,12.5,12.5,0
180,2019-03-01,12.5,12.78,12.5,12.78,1100
181,2019-03-04,12.5,12.5,12.5,12.5,1000
182,2019-03-05,12.64,12.71,12.64,12.71,2370
183,2019-03-06,12.64,12.71,12.71,12.71,0
184,2019-03-07,13.34,13.76,13.34,13.76,13400
185,2019-03-08,13.76,13.76,13.76,13.76,0
186,2019-03-11,13.69,13.76,13.69,13.76,1350
187,2019-03-12,13.76,13.76,13.76,13.76,0
188,2019-03-13,13.76,13.76,13.76,13.76,0
189,2019-03-14,12.99,13.06,12.99,13.06,1300
190,2019-03-15,13.06,13.06,13.06,13.06,300
191,2019-03-18,13.34,13.34,13.34,13.34,600
192,2019-03-19,13.34,13.34,13.34,13.34,1030
193,2019-03-20,13.34,13.34,13.34,13.34,0
194,2019-03-21,12.71,13.34,12.28,13.34,700
195,2019-03-22,12.57,12.57,12.57,12.57,350
196,2019-03-25,12.64,12.64,12.64,12.64,700
197,2019-03-26,12.64,12.64,12.64,12.64,198
198,2019-03-27,12.28,12.28,12.28,12.28,300
199,2019-03-28,12.28,12.28,12.28,12.28,0
200,2019-03-29,13.76,13.76,13.76,13.76,152
201,2019-04-01,13.34,13.69,13.34,13.34,700
202,2019-04-02,12.64,13.34,12.64,13.34,1003
203,2019-04-03,12.99,13.34,13.34,13.34,0
204,2019-04-04,12.99,14.88,12.36,12.36,700
205,2019-04-05,14.18,14.18,14.18,12.36,62
206,2019-04-08,14.18,12.36,12.36,12.36,0
207,2019-04-09,12.71,12.78,12.64,12.64,810
208,2019-04-10,12.71,12.71,12.71,12.64,20
209,2019-04-11,12.71,12.71,12.71,12.71,200
210,2019-04-12,12.71,12.71,12.71,12.71,5030
211,2019-04-16,12.71,12.71,12.64,12.64,1700
