,time,open,high,low,close,volume
0,2016-04-06,4.22,0.0,0.0,0.0,0
1,2016-04-07,4.22,0.0,0.0,0.0,0
2,2016-04-08,4.22,0.0,0.0,0.0,0
3,2016-04-11,2.53,2.53,2.53,2.53,900
4,2016-04-12,2.53,2.53,2.53,2.53,0
5,2016-04-13,2.53,2.53,2.53,2.53,0
6,2016-04-14,2.9,2.9,2.9,2.9,100
7,2016-04-15,2.9,2.9,2.9,2.9,0
8,2016-04-19,3.19,3.19,3.19,3.19,400
9,2016-04-20,3.19,3.19,3.19,3.19,300
10,2016-04-21,3.4,3.4,3.4,3.4,200
11,2016-04-22,3.4,3.4,3.4,3.4,0
12,2016-04-25,3.3,3.3,3.3,3.3,200
13,2016-04-26,3.28,3.28,3.09,3.09,3300
14,2016-04-27,3.09,3.11,3.09,3.11,1700
15,2016-04-28,3.11,3.11,3.11,3.11,0
16,2016-04-29,3.3,3.54,3.3,3.54,1600
17,2016-05-04,3.96,3.96,3.96,3.96,700
18,2016-05-05,3.96,3.96,3.96,3.96,0
19,2016-05-06,3.96,3.96,3.96,3.96,0
20,2016-05-09,4.53,4.53,4.53,4.53,100
21,2016-05-10,4.53,4.53,4.53,4.53,0
22,2016-05-11,4.53,4.55,4.53,4.53,3100
23,2016-05-12,4.55,4.55,4.53,4.53,1700
24,2016-05-13,4.64,4.74,4.64,4.74,3800
25,2016-05-16,4.84,5.25,4.84,5.25,14300
26,2016-05-17,5.36,5.36,5.36,5.36,6700
27,2016-05-18,5.36,5.36,5.36,5.36,1300
28,2016-05-19,5.36,5.36,5.36,5.36,1400
29,2016-05-20,5.36,5.46,5.36,5.46,500
30,2016-05-23,5.36,5.36,5.36,5.36,2200
31,2016-05-24,5.36,5.36,5.36,5.36,2400
32,2016-05-25,5.36,5.36,5.36,5.36,0
33,2016-05-26,5.36,5.46,5.36,5.36,6700
34,2016-05-27,5.46,5.46,5.46,5.46,2500
35,2016-05-30,5.46,5.46,5.46,5.46,0
36,2016-05-31,5.46,5.46,5.46,5.46,0
37,2016-06-01,5.4,5.4,5.4,5.4,700
38,2016-06-02,5.4,5.4,5.4,5.4,0
39,2016-06-03,5.38,5.38,5.38,5.38,1700
40,2016-06-06,5.46,5.46,5.46,5.46,2700
41,2016-06-07,5.46,5.46,5.46,5.46,0
42,2016-06-08,5.46,5.46,5.46,5.46,0
43,2016-06-09,5.4,5.4,5.4,5.4,100
44,2016-06-10,5.4,5.4,5.4,5.4,0
45,2016-06-13,5.38,5.38,5.38,5.38,600
46,2016-06-14,5.38,5.38,5.38,5.38,0
47,2016-06-15,5.38,5.38,5.38,5.38,0
48,2016-06-16,5.38,5.38,5.38,5.38,0
49,2016-06-17,5.58,5.58,5.58,5.58,500
50,2016-06-20,5.58,5.58,5.58,5.58,0
51,2016-06-21,5.58,5.58,5.58,5.58,0
52,2016-06-22,5.46,5.46,5.46,5.46,100
53,2016-06-23,5.56,5.56,5.56,5.56,2200
54,2016-06-24,4.74,4.74,4.74,4.74,300
55,2016-06-27,5.44,5.44,5.44,5.44,100
56,2016-06-28,5.56,5.56,5.56,5.56,200
57,2016-06-29,5.56,5.56,5.56,5.56,0
58,2016-06-30,5.56,5.56,5.56,5.56,0
59,2016-07-01,5.56,5.56,5.56,5.56,0
60,2016-07-04,5.56,5.56,5.56,5.56,0
61,2016-07-05,5.56,5.56,5.56,5.56,0
62,2016-07-06,5.56,5.56,5.56,5.56,0
63,2016-07-07,5.62,5.62,5.62,5.62,300
64,2016-07-08,5.62,5.62,5.62,5.62,0
65,2016-07-11,5.62,5.62,5.62,5.62,0
66,2016-07-12,5.62,5.62,5.62,5.62,0
67,2016-07-13,5.62,5.62,5.62,5.62,0
68,2016-07-14,5.62,5.62,5.62,5.62,1900
69,2016-07-15,5.56,5.56,5.56,5.56,400
70,2016-07-18,5.56,5.56,5.56,5.56,0
71,2016-07-19,5.56,5.56,5.56,5.56,0
72,2016-07-20,5.56,5.56,5.56,5.56,0
73,2016-07-21,5.77,6.39,5.77,6.39,7900
74,2016-07-22,6.39,6.39,6.39,6.39,100
