,time,open,high,low,close,volume
0,2015-10-07,8.3,10.03,8.3,8.88,150100
1,2015-10-08,8.99,8.99,8.64,8.78,30370
2,2015-10-09,8.78,8.78,8.57,8.75,40730
3,2015-10-12,8.57,8.57,8.16,8.16,119300
4,2015-10-13,7.61,7.95,7.61,7.74,215830
5,2015-10-14,7.88,8.19,7.88,8.19,8450
6,2015-10-15,8.12,8.3,8.02,8.26,43830
7,2015-10-16,8.3,8.33,8.3,8.3,54700
8,2015-10-19,8.3,8.33,8.3,8.3,24740
9,2015-10-20,8.3,8.47,8.3,8.47,25700
10,2015-10-21,8.4,8.44,8.33,8.33,11660
11,2015-10-22,8.33,8.4,8.33,8.37,19700
12,2015-10-23,8.37,8.68,8.37,8.68,116390
13,2015-10-26,8.64,8.75,8.61,8.61,21810
14,2015-10-27,8.64,8.92,8.64,8.92,84070
15,2015-10-28,8.92,9.33,8.92,9.27,126370
16,2015-10-29,9.4,9.89,9.4,9.89,289240
17,2015-10-30,10.37,10.37,9.89,9.89,105240
18,2015-11-02,10.09,10.09,9.23,9.33,33880
19,2015-11-03,9.37,9.54,8.99,9.54,16800
20,2015-11-04,9.54,9.54,9.06,9.13,40300
21,2015-11-05,9.06,9.27,9.06,9.13,46210
22,2015-11-06,9.2,9.51,9.2,9.33,91190
23,2015-11-09,9.44,9.44,9.16,9.16,33090
24,2015-11-10,9.13,9.23,9.09,9.09,57090
25,2015-11-11,9.16,9.16,9.06,9.06,15240
26,2015-11-12,9.02,9.16,8.99,9.06,65860
27,2015-11-13,9.06,9.37,9.06,9.37,58580
28,2015-11-16,9.33,9.37,9.16,9.37,25360
29,2015-11-17,9.4,9.4,9.33,9.33,49190
30,2015-11-18,9.37,9.37,9.13,9.16,8730
31,2015-11-19,9.16,9.16,8.99,9.16,21590
32,2015-11-20,9.16,9.47,9.16,9.2,49640
33,2015-11-23,9.3,9.3,9.27,9.27,39390
34,2015-11-24,9.16,9.3,9.16,9.16,42570
35,2015-11-25,9.16,9.78,9.16,9.75,164360
36,2015-11-26,9.82,9.82,9.61,9.61,45620
37,2015-11-27,9.78,9.78,9.27,9.27,18040
38,2015-11-30,9.54,9.54,9.16,9.2,36360
39,2015-12-01,9.16,9.33,9.16,9.3,11880
40,2015-12-02,9.33,9.33,9.3,9.3,3210
41,2015-12-03,9.33,9.37,9.23,9.23,28660
42,2015-12-04,9.2,9.3,9.16,9.27,27530
43,2015-12-07,9.2,9.3,9.09,9.27,52450
44,2015-12-08,9.16,9.27,9.16,9.27,56770
45,2015-12-09,9.27,9.33,9.16,9.33,26740
46,2015-12-10,9.16,9.2,9.13,9.2,7040
47,2015-12-11,9.2,9.2,9.16,9.16,28820
48,2015-12-14,9.13,9.16,9.13,9.13,5700
49,2015-12-15,9.2,9.2,9.13,9.16,11650
50,2015-12-16,9.16,9.2,9.13,9.13,8670
51,2015-12-17,9.23,9.23,9.13,9.13,31280
52,2015-12-18,9.09,9.13,9.09,9.13,9320
53,2015-12-21,9.09,9.2,9.09,9.16,25980
54,2015-12-22,9.16,9.27,9.16,9.27,6020
55,2015-12-23,9.27,9.27,9.27,9.27,0
56,2015-12-24,9.2,9.27,9.13,9.2,5930
57,2015-12-25,9.16,9.16,9.09,9.16,10300
58,2015-12-28,9.16,9.16,9.16,9.16,0
