,time,open,high,low,close,volume
0,2012-01-03,3.45,3.5,3.45,3.5,7100
1,2012-01-04,3.25,3.5,3.25,3.45,42200
2,2012-01-05,3.35,3.35,3.35,3.35,16300
3,2012-01-06,3.35,3.35,3.3,3.3,5300
4,2012-01-09,3.3,3.5,3.3,3.5,50700
5,2012-01-10,3.5,3.55,3.5,3.55,4800
6,2012-01-11,3.45,3.5,3.4,3.45,2200
7,2012-01-12,3.35,3.35,3.35,3.35,1000
8,2012-01-13,3.4,3.4,3.35,3.35,1200
9,2012-01-16,3.35,3.55,3.35,3.55,14300
10,2012-01-17,3.5,3.5,3.5,3.5,300
11,2012-01-18,3.7,3.7,3.6,3.7,15400
12,2012-01-19,3.65,3.95,3.65,3.75,11900
13,2012-01-20,3.8,3.8,3.8,3.8,3800
14,2012-01-30,3.6,3.9,3.6,3.8,3500
15,2012-01-31,3.9,3.95,3.8,3.8,14800
16,2012-02-01,3.7,3.7,3.65,3.65,41200
17,2012-02-02,3.6,3.85,3.6,3.8,37700
18,2012-02-03,3.8,3.85,3.6,3.6,33700
19,2012-02-06,3.5,3.6,3.45,3.45,38800
20,2012-02-07,3.45,3.5,3.45,3.5,6400
21,2012-02-08,3.6,3.7,3.55,3.7,55900
22,2012-02-09,3.65,3.7,3.55,3.65,11300
23,2012-02-10,3.55,3.6,3.5,3.5,34600
24,2012-02-13,3.5,3.5,3.45,3.5,24000
25,2012-02-14,3.55,3.65,3.5,3.55,15800
26,2012-02-15,3.5,3.5,3.45,3.5,7700
27,2012-02-16,3.7,3.7,3.65,3.7,70000
28,2012-02-17,3.95,3.95,3.55,3.95,84900
29,2012-02-20,4.1,4.1,3.9,4.1,79900
30,2012-02-21,4.05,4.15,3.9,4.0,84700
31,2012-02-22,4.0,4.2,3.9,4.2,186700
32,2012-02-23,4.25,4.35,4.25,4.35,265800
33,2012-02-24,4.55,4.65,4.45,4.5,221800
34,2012-02-27,4.65,4.85,4.6,4.85,69500
35,2012-02-28,5.05,5.05,4.5,4.55,219000
36,2012-02-29,4.45,4.7,4.4,4.7,138500
37,2012-03-01,4.7,4.7,4.4,4.45,90800
38,2012-03-02,4.55,4.8,4.55,4.8,151700
39,2012-03-05,5.05,5.05,5.05,5.05,42900
40,2012-03-06,5.4,5.4,4.8,4.85,100900
41,2012-03-07,5.0,5.0,4.65,4.65,54500
42,2012-03-08,4.65,4.75,4.4,4.4,41400
43,2012-03-09,4.45,4.65,4.15,4.25,57800
44,2012-03-12,4.2,4.2,4.1,4.15,49600
45,2012-03-13,4.1,4.35,4.1,4.35,21400
46,2012-03-14,4.35,4.55,4.3,4.4,17000
47,2012-03-15,4.2,4.5,4.2,4.5,70500
48,2012-03-16,4.65,4.7,4.4,4.5,47800
49,2012-03-19,4.35,4.55,4.35,4.45,5100
50,2012-03-20,4.4,4.5,4.25,4.45,106200
51,2012-03-21,4.5,4.65,4.45,4.5,71200
52,2012-03-22,4.45,4.65,4.45,4.5,45000
53,2012-03-23,4.6,4.7,4.55,4.7,62800
54,2012-03-26,4.65,4.95,4.6,4.95,202200
55,2012-03-27,5.2,5.25,4.65,4.65,70600
56,2012-03-28,4.7,4.7,4.5,4.7,35000
57,2012-03-29,4.75,4.95,4.75,4.95,289500
58,2012-03-30,5.2,5.25,4.95,5.25,386300
59,2012-04-03,5.45,5.55,5.25,5.5,168200
60,2012-04-04,5.5,5.5,5.15,5.2,61400
61,2012-04-05,5.1,5.35,5.05,5.15,139500
62,2012-04-06,5.2,5.2,4.9,4.9,94000
63,2012-04-09,4.8,5.05,4.75,5.0,125100
64,2012-04-10,4.9,5.0,4.75,4.9,86400
65,2012-04-11,5.0,5.2,5.0,5.2,153600
66,2012-04-12,5.3,5.5,5.2,5.2,142300
67,2012-04-13,5.2,5.2,4.9,5.05,155600
68,2012-04-16,5.1,5.35,5.05,5.35,124900
69,2012-04-17,5.7,5.7,5.6,5.7,301600
70,2012-04-18,5.95,6.05,5.95,6.05,180700
71,2012-04-19,6.4,6.45,6.1,6.45,476200
72,2012-04-20,6.45,6.45,6.0,6.05,254800
73,2012-04-23,6.45,6.45,6.0,6.45,89300
74,2012-04-24,6.45,6.9,6.45,6.9,234700
75,2012-04-25,7.35,7.35,7.3,7.35,241400
76,2012-04-26,7.35,7.8,6.95,7.75,522900
77,2012-04-27,8.0,8.1,7.75,7.95,274700
78,2012-05-02,8.5,8.5,8.4,8.5,327000
79,2012-05-03,8.5,9.05,8.45,9.05,343900
80,2012-05-04,9.6,9.65,9.15,9.65,262200
81,2012-05-07,9.6,10.1,9.0,9.5,296900
82,2012-05-08,9.5,9.5,8.85,8.85,169300
83,2012-05-09,8.25,8.25,8.25,8.25,28000
84,2012-05-10,7.7,8.25,7.7,7.7,549900
85,2012-05-11,7.7,8.2,7.25,8.1,365800
86,2012-05-14,8.15,8.25,7.6,7.6,176100
87,2012-05-15,7.25,7.3,7.1,7.1,118200
88,2012-05-16,6.65,7.05,6.65,6.75,274400
89,2012-05-17,6.6,6.95,6.2,6.2,209300
90,2012-05-18,6.0,6.3,5.8,6.1,212600
91,2012-05-21,6.25,6.45,6.25,6.45,23300
92,2012-05-22,6.9,6.9,6.9,6.9,24300
93,2012-05-23,7.35,7.35,6.55,6.65,191600
94,2012-05-24,6.6,6.7,6.15,6.45,147700
95,2012-05-25,6.75,6.8,6.75,6.8,51500
96,2012-05-28,7.25,7.25,6.4,6.5,90500
97,2012-05-29,6.5,6.65,6.3,6.55,107000
98,2012-05-30,6.45,6.45,6.2,6.3,34500
99,2012-05-31,6.15,6.45,6.0,6.2,52700
100,2012-06-01,6.15,6.45,6.15,6.4,82600
101,2012-06-04,6.3,6.4,6.0,6.15,49200
102,2012-06-05,6.3,6.55,5.9,6.4,75200
103,2012-06-06,6.45,6.75,6.25,6.5,38400
104,2012-06-07,6.6,7.05,6.6,7.05,294500
105,2012-06-08,7.3,7.45,7.05,7.25,199600
106,2012-06-11,7.15,7.25,6.85,6.95,64200
107,2012-06-12,6.6,7.0,6.55,6.7,119300
108,2012-06-13,6.2,6.75,6.2,6.5,93100
109,2012-06-14,6.4,6.85,6.4,6.7,113100
110,2012-06-15,6.75,6.85,6.6,6.8,41700
111,2012-06-18,7.1,7.1,6.55,6.55,43700
112,2012-06-19,6.45,6.5,6.25,6.4,73600
113,2012-06-20,6.3,6.45,6.25,6.35,27500
114,2012-06-21,6.35,6.35,6.2,6.2,51500
115,2012-06-22,6.25,6.25,5.85,6.05,102300
116,2012-06-25,6.0,6.05,5.7,5.75,64600
117,2012-06-26,5.5,5.7,5.35,5.4,83900
118,2012-06-27,5.65,5.65,5.3,5.5,57200
119,2012-06-28,5.3,5.8,5.3,5.8,52400
120,2012-06-29,5.85,5.85,5.5,5.7,28300
121,2012-07-02,5.9,5.9,5.45,5.45,23800
122,2012-07-03,5.35,5.35,5.1,5.2,97700
123,2012-07-04,5.25,5.35,5.1,5.1,55500
124,2012-07-05,5.05,5.5,4.95,5.5,34300
125,2012-07-06,5.4,5.85,5.4,5.5,48500
126,2012-07-09,5.5,5.5,5.15,5.15,47200
127,2012-07-10,5.2,5.2,5.0,5.05,51500
128,2012-07-11,5.05,5.15,5.05,5.05,3900
129,2012-07-12,5.05,5.35,5.05,5.25,52400
130,2012-07-13,5.3,5.65,5.3,5.65,85900
131,2012-07-16,5.65,5.65,5.35,5.35,74100
132,2012-07-17,5.3,5.75,5.25,5.75,50600
133,2012-07-18,5.5,5.75,5.45,5.6,16700
134,2012-07-19,5.65,5.85,5.45,5.85,111200
135,2012-07-20,6.0,6.15,5.65,5.8,75900
136,2012-07-23,5.7,5.7,5.5,5.55,73400
137,2012-07-24,5.35,5.4,5.2,5.2,70300
138,2012-07-25,5.25,5.25,4.95,5.2,88500
139,2012-07-26,5.25,5.3,5.05,5.2,41300
140,2012-07-27,5.0,5.2,4.85,4.95,230300
141,2012-07-30,4.75,4.85,4.65,4.65,31700
142,2012-07-31,4.9,4.9,4.75,4.8,26800
143,2012-08-01,4.8,4.85,4.65,4.8,47300
144,2012-08-02,4.75,4.85,4.7,4.85,42900
145,2012-08-03,4.8,4.8,4.6,4.65,19400
146,2012-08-06,4.85,4.95,4.65,4.95,87200
147,2012-08-07,5.0,5.0,4.75,4.8,32700
148,2012-08-08,4.9,5.2,4.9,5.2,72300
149,2012-08-09,5.55,5.55,5.3,5.3,145200
150,2012-08-10,5.15,5.35,5.05,5.15,52700
151,2012-08-13,5.15,5.25,5.0,5.25,55900
152,2012-08-14,5.35,5.55,5.25,5.55,193600
153,2012-08-15,5.8,5.85,5.55,5.7,117700
154,2012-08-16,5.65,5.7,5.4,5.5,46100
155,2012-08-17,5.55,5.55,5.4,5.5,32000
156,2012-08-20,5.5,5.6,5.3,5.4,61400
157,2012-08-21,5.3,5.3,5.05,5.05,65100
158,2012-08-22,4.7,5.1,4.7,4.7,160800
159,2012-08-23,4.7,4.7,4.4,4.4,75100
160,2012-08-24,4.1,4.65,4.1,4.6,186800
161,2012-08-27,4.3,4.3,4.25,4.25,41200
162,2012-08-28,4.1,4.2,4.0,4.15,23800
163,2012-08-29,4.2,4.4,4.2,4.4,17100
164,2012-08-30,4.4,4.65,4.3,4.5,51400
165,2012-08-31,4.5,4.55,4.4,4.5,15900
166,2012-09-04,4.5,4.55,4.5,4.5,11300
167,2012-09-05,4.55,4.55,4.2,4.2,47100
168,2012-09-06,4.15,4.35,4.05,4.1,27400
169,2012-09-07,4.15,4.25,4.1,4.2,12300
170,2012-09-10,4.1,4.1,3.95,3.95,81600
171,2012-09-11,3.85,3.95,3.7,3.7,48600
172,2012-09-12,3.7,3.9,3.7,3.7,67900
173,2012-09-13,3.7,3.8,3.55,3.8,83700
174,2012-09-14,3.9,4.0,3.75,4.0,35700
175,2012-09-17,4.0,4.1,3.95,3.95,13900
176,2012-09-18,3.9,3.9,3.7,3.7,34200
177,2012-09-19,3.6,3.7,3.6,3.7,23100
178,2012-09-20,3.55,3.6,3.4,3.6,26400
179,2012-09-21,3.75,3.75,3.6,3.65,24000
180,2012-09-24,3.5,3.65,3.5,3.55,9700
181,2012-09-25,3.5,3.6,3.5,3.5,33000
182,2012-09-26,3.5,3.6,3.5,3.55,2100
183,2012-09-27,3.6,3.6,3.4,3.4,31100
184,2012-09-28,3.4,3.4,3.25,3.25,21100
185,2012-10-01,3.25,3.25,3.1,3.1,109700
186,2012-10-02,3.1,3.25,3.0,3.15,14500
187,2012-10-03,3.2,3.35,3.15,3.2,71100
188,2012-10-04,3.3,3.3,3.0,3.0,141100
189,2012-10-05,3.15,3.15,3.0,3.1,14800
190,2012-10-08,3.15,3.2,3.1,3.2,53900
191,2012-10-09,3.2,3.25,3.1,3.1,48700
192,2012-10-10,3.15,3.3,3.1,3.3,71700
193,2012-10-11,3.4,3.5,3.35,3.35,76400
194,2012-10-12,3.35,3.35,3.2,3.25,43800
195,2012-10-15,3.25,3.25,3.15,3.2,56400
196,2012-10-16,3.25,3.4,3.15,3.4,43800
197,2012-10-17,3.4,3.4,3.25,3.3,32900
198,2012-10-18,3.25,3.3,3.25,3.25,15700
199,2012-10-19,3.25,3.25,3.05,3.1,79300
200,2012-10-22,3.1,3.15,3.1,3.1,19600
