,time,open,high,low,close,volume
0,2012-01-03,2.1,2.15,2.08,2.08,17080
1,2012-01-04,2.08,2.18,1.98,2.18,10970
2,2012-01-05,2.08,2.13,2.08,2.13,10170
3,2012-01-06,2.13,2.13,2.06,2.1,13300
4,2012-01-09,2.1,2.1,2.01,2.01,17550
5,2012-01-10,2.06,2.06,2.01,2.01,15210
6,2012-01-11,2.1,2.1,2.01,2.08,18760
7,2012-01-12,2.03,2.08,1.98,2.08,34260
8,2012-01-13,2.01,2.01,1.98,2.01,8530
9,2012-01-16,2.01,2.08,2.01,2.08,20060
10,2012-01-17,2.01,2.08,2.01,2.08,32190
11,2012-01-18,2.06,2.06,2.01,2.03,15750
12,2012-01-19,2.03,2.06,2.01,2.01,23290
13,2012-01-20,2.08,2.1,2.01,2.1,8510
14,2012-01-30,2.1,2.18,2.1,2.18,19230
15,2012-01-31,2.18,2.18,2.08,2.08,14320
16,2012-02-01,2.1,2.1,2.06,2.08,20580
17,2012-02-02,2.13,2.18,2.13,2.13,8150
18,2012-02-03,2.18,2.2,2.08,2.18,46610
19,2012-02-06,2.2,2.2,2.08,2.15,41210
20,2012-02-07,2.08,2.1,2.06,2.06,25800
21,2012-02-08,2.13,2.15,2.06,2.08,59190
22,2012-02-09,2.13,2.13,2.06,2.1,21220
23,2012-02-10,2.13,2.13,2.08,2.1,15620
24,2012-02-13,2.1,2.1,2.06,2.1,36360
25,2012-02-14,2.08,2.08,2.06,2.08,11600
26,2012-02-15,2.1,2.1,2.03,2.1,26540
27,2012-02-16,2.1,2.1,2.08,2.1,15020
28,2012-02-17,2.1,2.13,2.1,2.1,25790
29,2012-02-20,2.13,2.18,2.13,2.18,42510
30,2012-02-21,2.25,2.25,2.18,2.2,70980
31,2012-02-22,2.23,2.25,2.2,2.25,44340
32,2012-02-23,2.2,2.3,2.2,2.28,37250
33,2012-02-24,2.32,2.32,2.23,2.23,45480
34,2012-02-27,2.23,2.28,2.23,2.28,101290
35,2012-02-28,2.28,2.32,2.28,2.28,124880
36,2012-02-29,2.35,2.35,2.3,2.35,57300
37,2012-03-01,2.37,2.45,2.35,2.45,30280
38,2012-03-02,2.52,2.57,2.52,2.55,54260
39,2012-03-05,2.57,2.67,2.57,2.67,512550
40,2012-03-06,2.77,2.77,2.55,2.55,221890
41,2012-03-07,2.57,2.57,2.42,2.42,365300
42,2012-03-08,2.4,2.45,2.32,2.42,94230
43,2012-03-09,2.42,2.42,2.32,2.32,109260
44,2012-03-12,2.32,2.35,2.23,2.28,159790
45,2012-03-13,2.28,2.37,2.28,2.37,105360
46,2012-03-14,2.45,2.45,2.35,2.4,75100
47,2012-03-15,2.37,2.45,2.37,2.45,52900
48,2012-03-16,2.5,2.5,2.37,2.42,84060
49,2012-03-19,2.4,2.42,2.37,2.37,20000
50,2012-03-20,2.37,2.42,2.37,2.4,30240
51,2012-03-21,2.45,2.5,2.4,2.47,284690
52,2012-03-22,2.45,2.5,2.42,2.5,87020
53,2012-03-23,2.52,2.55,2.5,2.55,73760
54,2012-03-26,2.57,2.59,2.52,2.57,83210
55,2012-03-27,2.57,2.57,2.5,2.5,80290
56,2012-03-28,2.5,2.52,2.47,2.5,44950
57,2012-03-29,2.5,2.52,2.45,2.45,54580
58,2012-03-30,2.42,2.47,2.4,2.45,27930
59,2012-04-03,2.42,2.47,2.42,2.47,11270
60,2012-04-04,2.45,2.55,2.45,2.55,20240
61,2012-04-05,2.55,2.55,2.47,2.55,33610
62,2012-04-06,2.55,2.57,2.55,2.55,18240
63,2012-04-09,2.5,2.55,2.47,2.55,115500
64,2012-04-10,2.55,2.55,2.5,2.5,104660
65,2012-04-11,2.55,2.62,2.5,2.62,202300
66,2012-04-12,2.72,2.74,2.69,2.69,94320
67,2012-04-13,2.69,2.69,2.67,2.67,106250
68,2012-04-16,2.69,2.74,2.64,2.69,70060
69,2012-04-17,2.69,2.79,2.67,2.79,202330
70,2012-04-18,2.79,2.91,2.79,2.89,334800
71,2012-04-19,2.94,2.94,2.77,2.77,140090
72,2012-04-20,2.79,2.79,2.69,2.69,140110
73,2012-04-23,2.74,2.81,2.74,2.81,333470
74,2012-04-24,2.89,2.89,2.79,2.84,102830
75,2012-04-25,2.91,2.91,2.84,2.86,73720
76,2012-04-26,2.86,2.86,2.77,2.77,138220
77,2012-04-27,2.77,2.86,2.77,2.81,173190
78,2012-05-02,2.81,2.84,2.77,2.81,138730
79,2012-05-03,2.81,2.84,2.77,2.77,93560
80,2012-05-04,2.79,2.89,2.79,2.89,232790
81,2012-05-07,3.01,3.01,3.01,3.01,113420
82,2012-05-08,3.16,3.16,3.16,3.16,55160
83,2012-05-09,3.3,3.3,3.21,3.3,727130
84,2012-05-10,3.4,3.43,3.21,3.23,624090
85,2012-05-11,3.28,3.38,3.18,3.38,627380
86,2012-05-14,3.4,3.45,3.23,3.28,313210
87,2012-05-15,3.21,3.28,3.13,3.13,590870
88,2012-05-16,3.06,3.21,2.99,3.11,139500
89,2012-05-17,3.11,3.25,3.01,3.01,164030
90,2012-05-18,3.01,3.01,2.86,2.86,252340
91,2012-05-21,2.94,2.99,2.84,2.99,529000
92,2012-05-22,2.99,2.99,2.84,2.84,181880
93,2012-05-23,2.81,2.84,2.7,2.7,189540
94,2012-05-24,2.62,2.65,2.59,2.59,166780
95,2012-05-25,2.65,2.7,2.65,2.7,81300
96,2012-05-28,2.81,2.81,2.7,2.73,104560
97,2012-05-29,2.73,2.73,2.65,2.73,55680
98,2012-05-30,2.76,2.78,2.76,2.78,38410
