,time,open,high,low,close,volume
0,2018-08-08,6.94,6.94,4.05,5.49,1500
1,2018-08-09,4.69,5.21,4.69,5.21,1100
2,2018-08-10,4.11,5.21,4.05,4.11,2300
3,2018-08-13,4.28,4.28,4.28,4.28,0
4,2018-08-14,4.86,4.86,4.74,4.74,600
5,2018-08-15,4.28,4.28,4.28,4.28,200
6,2018-08-16,4.69,4.69,4.22,4.22,1800
7,2018-08-17,4.4,4.4,4.4,4.4,0
8,2018-08-20,4.74,4.74,4.74,4.74,100
9,2018-08-21,4.74,4.74,4.74,4.74,0
10,2018-08-22,4.51,4.51,4.51,4.51,100
11,2018-08-23,4.34,4.34,3.93,3.93,300
12,2018-08-24,3.93,4.34,3.93,4.16,650
13,2018-08-27,4.05,4.05,3.99,4.05,1400
14,2018-08-28,4.05,4.05,4.05,4.05,0
15,2018-08-29,3.76,3.76,3.7,3.7,3600
16,2018-08-30,3.93,3.93,3.93,3.93,100
17,2018-08-31,3.93,4.51,3.93,4.45,4100
18,2018-09-04,3.93,4.8,3.93,4.45,4300
19,2018-09-05,4.74,4.97,4.57,4.57,8600
20,2018-09-06,4.57,4.57,4.57,4.57,0
21,2018-09-07,4.57,4.57,4.57,4.57,0
22,2018-09-10,4.05,4.05,4.05,4.05,100
23,2018-09-11,4.45,4.63,4.45,4.63,200
24,2018-09-12,4.57,4.57,4.57,4.57,0
25,2018-09-13,3.99,4.16,3.99,3.99,1800
26,2018-09-14,4.51,4.57,3.41,4.16,26500
27,2018-09-17,3.59,4.28,3.59,4.05,13700
28,2018-09-18,4.05,4.05,4.05,4.05,100
29,2018-09-19,3.93,3.99,3.93,3.99,7800
30,2018-09-20,4.05,4.05,3.99,3.99,2200
31,2018-09-21,4.05,4.05,4.05,4.05,0
32,2018-09-24,4.05,4.05,4.05,4.05,0
33,2018-09-25,4.34,4.34,3.47,4.05,7500
34,2018-09-26,4.05,4.05,3.64,3.64,6400
35,2018-09-27,4.05,4.05,4.05,4.05,200
36,2018-09-28,3.82,4.05,3.82,4.05,1300
37,2018-10-01,4.05,4.05,3.93,3.93,600
38,2018-10-02,4.05,4.05,4.05,4.05,2900
39,2018-10-03,4.05,4.05,3.99,3.99,500
40,2018-10-04,3.93,4.05,3.93,4.05,10100
41,2018-10-05,3.99,4.05,3.99,4.05,4000
42,2018-10-08,4.43,4.43,4.43,4.43,500
43,2018-10-09,4.75,4.75,4.75,4.75,100
44,2018-10-10,4.05,4.62,4.05,4.62,900
45,2018-10-11,4.56,4.56,4.56,4.56,0
46,2018-10-12,4.56,4.56,4.56,4.56,0
47,2018-10-15,4.56,4.56,4.56,4.56,0
48,2018-10-16,4.43,4.43,4.43,4.43,200
49,2018-10-17,3.86,4.43,3.86,4.43,9600
50,2018-10-18,4.31,4.31,4.31,4.31,700
51,2018-10-19,4.31,4.31,4.31,4.31,0
52,2018-10-22,3.8,4.31,3.8,4.31,8300
53,2018-10-23,3.67,3.67,3.67,3.67,100
54,2018-10-24,4.12,4.18,4.12,4.18,8100
55,2018-10-25,4.18,4.24,3.86,3.86,5800
56,2018-10-26,4.18,4.18,4.18,3.86,50
57,2018-10-29,4.43,4.43,4.43,4.43,500
58,2018-10-30,4.24,4.24,4.24,4.24,100
59,2018-10-31,4.56,4.56,4.56,4.56,100
60,2018-11-01,4.56,4.56,4.56,4.56,100
61,2018-11-02,4.69,4.69,4.69,4.69,100
62,2018-11-05,4.18,4.18,4.18,4.18,2000
63,2018-11-06,4.43,4.43,4.43,4.43,200
64,2018-11-07,4.43,4.43,4.43,4.43,10
65,2018-11-08,4.43,4.43,4.43,4.43,0
66,2018-11-09,4.12,4.43,4.12,4.43,2100
67,2018-11-12,4.31,4.31,4.31,4.31,0
68,2018-11-13,4.31,4.31,4.31,4.31,0
69,2018-11-14,4.31,4.31,4.31,4.31,0
70,2018-11-15,4.31,4.31,4.31,4.31,0
71,2018-11-16,4.31,4.31,4.31,4.31,0
72,2018-11-19,4.31,4.31,4.31,4.31,0
73,2018-11-20,4.75,4.75,4.12,4.12,1041
74,2018-11-21,4.18,4.18,4.18,4.18,0
75,2018-11-22,4.18,4.18,4.18,4.12,9
76,2018-11-23,4.18,4.12,4.12,4.12,0
77,2018-11-26,4.18,4.12,4.12,4.12,0
78,2018-11-27,4.18,4.12,4.12,4.12,0
79,2018-11-28,4.18,4.12,4.12,4.12,0
80,2018-11-29,4.18,4.12,4.12,4.12,0
81,2018-11-30,4.18,4.12,4.12,4.12,0
82,2018-12-03,4.69,4.69,4.69,4.69,100
83,2018-12-04,5.07,5.07,5.07,5.07,109
84,2018-12-05,5.07,5.07,5.07,5.07,0
85,2018-12-06,5.07,5.07,5.07,5.07,0
86,2018-12-07,4.31,4.94,4.31,4.94,400
87,2018-12-10,4.81,4.94,4.94,4.94,0
88,2018-12-11,4.81,4.94,4.94,4.94,0
89,2018-12-12,4.12,5.51,4.12,5.51,1300
90,2018-12-13,4.5,5.51,5.51,5.51,0
91,2018-12-14,4.5,4.5,4.5,4.5,0
92,2018-12-17,4.5,4.5,4.5,5.51,20
93,2018-12-18,4.5,5.51,5.51,5.51,0
94,2018-12-19,4.75,4.75,4.75,4.75,100
95,2018-12-20,4.75,4.75,4.75,4.75,0
96,2018-12-21,4.75,4.75,4.75,4.75,0
97,2018-12-24,4.75,4.75,4.75,4.75,0
98,2018-12-25,4.75,4.75,4.75,4.75,0
99,2018-12-26,4.75,4.75,4.75,4.75,0
100,2018-12-27,5.07,5.07,4.05,4.05,700
101,2018-12-28,3.93,4.5,3.93,4.5,1600
102,2019-01-02,4.43,4.5,4.5,4.5,0
103,2019-01-03,3.8,4.43,3.8,4.43,800
104,2019-01-04,4.24,4.43,4.43,4.43,0
105,2019-01-07,4.24,4.24,4.24,4.43,11
106,2019-01-08,4.24,4.43,4.43,4.43,0
107,2019-01-09,4.24,4.43,4.43,4.43,0
108,2019-01-10,3.67,4.24,3.61,4.24,2300
109,2019-01-11,3.67,4.24,4.24,4.24,0
110,2019-01-14,4.18,4.18,4.18,4.18,100
111,2019-01-15,3.74,4.18,3.67,4.18,1600
112,2019-01-16,3.99,4.18,4.18,4.18,0
113,2019-01-17,3.99,4.18,4.18,4.18,0
114,2019-01-18,3.99,4.18,4.18,4.18,0
115,2019-01-21,3.8,3.8,3.8,3.8,500
116,2019-01-22,3.8,3.8,3.8,3.8,0
117,2019-01-23,3.8,3.8,3.8,3.8,0
118,2019-01-24,3.48,4.31,3.48,4.31,6400
119,2019-01-25,3.55,4.31,4.31,4.31,0
120,2019-01-28,4.05,4.05,4.05,4.05,200
121,2019-01-29,4.05,4.05,4.05,4.05,0
122,2019-01-30,4.05,4.05,4.05,4.05,0
123,2019-01-31,4.05,4.05,4.05,4.05,0
124,2019-02-01,4.05,4.05,4.05,4.05,0
125,2019-02-11,3.48,4.05,3.48,4.05,1200
126,2019-02-12,3.99,4.05,4.05,4.05,0
127,2019-02-13,3.99,4.05,4.05,4.05,0
128,2019-02-14,3.99,4.05,4.05,4.05,0
129,2019-02-15,3.99,4.05,4.05,4.05,0
130,2019-02-18,3.99,4.05,4.05,4.05,0
131,2019-02-19,3.99,4.05,4.05,4.05,0
132,2019-02-20,3.48,3.99,3.48,3.99,6400
133,2019-02-21,3.67,3.99,3.99,3.99,0
134,2019-02-22,4.05,4.05,4.05,4.05,1000
135,2019-02-25,3.48,3.8,3.48,3.8,500
136,2019-02-26,3.74,3.8,3.8,3.8,0
137,2019-02-27,3.74,3.8,3.8,3.8,0
138,2019-02-28,3.67,3.67,3.67,3.67,100
139,2019-03-01,3.67,3.67,3.67,3.67,0
140,2019-03-04,3.67,3.67,3.67,3.67,0
141,2019-03-05,3.67,3.67,3.67,3.67,100
142,2019-03-06,3.67,3.67,3.67,3.67,100
143,2019-03-07,3.67,3.99,3.67,3.99,200
144,2019-03-08,3.74,3.74,3.74,3.74,100
145,2019-03-11,3.74,3.74,3.74,3.74,0
146,2019-03-12,3.99,3.99,3.29,3.29,8300
147,2019-03-13,3.67,3.67,3.67,3.67,100
148,2019-03-14,3.36,3.36,3.17,3.17,3900
149,2019-03-15,3.48,3.61,3.36,3.36,3800
150,2019-03-18,3.42,3.36,3.36,3.36,0
151,2019-03-19,3.42,3.36,3.36,3.36,0
152,2019-03-20,3.42,3.36,3.36,3.36,0
153,2019-03-21,3.42,3.42,3.42,3.36,50
154,2019-03-22,3.29,3.29,3.29,3.29,400
155,2019-03-25,3.29,3.29,3.29,3.29,0
156,2019-03-26,3.29,3.29,3.29,3.29,0
157,2019-03-27,3.29,3.29,3.29,3.29,0
158,2019-03-28,3.04,3.04,3.04,3.04,200
