,time,open,high,low,close,volume
0,2018-08-20,8.98,8.98,8.98,8.98,8000
1,2018-08-21,10.33,10.33,10.33,10.33,27000
2,2018-08-22,11.84,11.84,11.84,11.84,100
3,2018-08-23,10.07,10.07,10.07,10.07,1000
4,2018-08-24,10.07,10.07,10.07,10.07,2200
5,2018-08-27,8.9,8.9,8.9,8.9,100
6,2018-08-28,8.81,8.81,8.39,8.39,6700
7,2018-08-29,8.39,8.39,8.19,8.39,1900
8,2018-08-30,9.02,9.02,9.02,9.02,100
9,2018-08-31,9.44,9.44,8.81,8.81,7100
10,2018-09-04,10.03,10.03,8.81,8.81,3100
11,2018-09-05,8.86,8.86,8.81,8.81,4000
12,2018-09-06,8.86,8.86,8.86,8.86,0
13,2018-09-07,8.86,8.86,8.86,8.86,0
14,2018-09-10,8.86,8.86,8.86,8.86,2000
15,2018-09-11,8.86,8.86,8.86,8.86,8100
16,2018-09-12,8.86,8.86,8.86,8.86,0
17,2018-09-13,8.81,8.86,8.81,8.86,12400
18,2018-09-14,8.6,8.6,8.6,8.6,100
19,2018-09-17,8.6,8.6,8.6,8.6,0
20,2018-09-18,8.69,8.69,8.69,8.69,400
21,2018-09-19,8.69,8.69,8.69,8.69,0
22,2018-09-20,8.69,8.69,8.69,8.69,0
23,2018-09-21,8.69,8.69,8.69,8.69,0
24,2018-09-24,8.94,9.23,8.94,9.07,5400
25,2018-09-25,9.65,9.65,9.61,9.65,10600
26,2018-09-26,9.65,9.65,9.65,9.65,300
27,2018-09-27,9.65,9.65,9.11,9.11,7000
28,2018-09-28,9.36,9.36,9.36,9.36,0
29,2018-10-01,9.65,9.65,9.65,9.65,3000
30,2018-10-02,9.32,9.61,9.32,9.61,5100
31,2018-10-03,9.53,9.53,9.53,9.53,500
32,2018-10-04,9.53,9.53,9.53,9.53,0
33,2018-10-05,9.44,9.44,9.44,9.44,1000
34,2018-10-08,9.44,9.44,9.44,9.44,3000
35,2018-10-09,9.53,9.57,9.53,9.57,5000
36,2018-10-10,9.57,9.57,9.53,9.53,4800
37,2018-10-11,9.36,9.4,9.36,9.4,4100
38,2018-10-12,9.61,9.61,9.53,9.53,900
39,2018-10-15,9.53,9.53,9.53,9.53,2500
40,2018-10-16,9.61,9.61,9.61,9.61,500
41,2018-10-17,9.57,9.57,9.57,9.57,2100
42,2018-10-18,9.57,9.57,9.57,9.57,7600
43,2018-10-19,9.57,9.57,9.57,9.57,0
44,2018-10-22,9.57,9.65,9.57,9.65,22700
45,2018-10-23,9.57,9.61,9.57,9.61,5400
46,2018-10-24,9.57,9.57,9.57,9.57,0
47,2018-10-25,9.57,9.57,9.57,9.57,100
48,2018-10-26,9.82,9.82,9.61,9.61,1100
49,2018-10-29,9.44,9.44,9.44,9.44,2100
50,2018-10-30,9.44,9.44,9.44,9.44,0
51,2018-10-31,9.44,9.53,9.44,9.53,4900
52,2018-11-01,9.53,9.53,9.53,9.53,100
53,2018-11-02,9.53,9.53,9.53,9.53,0
54,2018-11-05,9.4,9.4,9.4,9.4,700
55,2018-11-06,9.4,9.4,9.4,9.4,0
56,2018-11-07,9.4,9.4,9.4,9.4,3400
57,2018-11-08,9.4,9.4,9.4,9.4,2400
58,2018-11-09,9.36,9.36,9.36,9.36,1400
59,2018-11-12,9.36,9.36,9.36,9.36,1900
60,2018-11-13,9.36,9.36,9.36,9.36,0
61,2018-11-14,9.02,9.23,9.02,9.23,1800
62,2018-11-15,9.23,9.23,8.81,9.02,7000
63,2018-11-16,9.07,9.07,7.98,7.98,14200
64,2018-11-19,9.36,9.36,9.36,9.36,100
65,2018-11-20,8.81,8.81,8.81,8.81,27900
66,2018-11-21,9.02,9.02,9.02,9.02,2600
67,2018-11-22,9.02,9.02,9.02,9.02,0
68,2018-11-23,9.11,9.19,9.11,9.11,13700
69,2018-11-26,9.11,9.11,9.11,9.11,8020
70,2018-11-27,9.11,9.15,9.07,9.07,15300
71,2018-11-28,9.07,9.07,9.07,9.07,100
72,2018-11-29,8.81,8.86,8.81,8.81,4000
73,2018-11-30,9.02,9.02,8.94,8.94,17000
74,2018-12-03,8.98,9.02,8.98,9.02,12493
75,2018-12-04,8.98,9.02,9.02,9.02,0
76,2018-12-05,8.98,9.07,8.98,9.07,5101
77,2018-12-06,9.07,9.15,9.07,9.07,10510
78,2018-12-07,8.65,9.19,8.65,9.11,5000
79,2018-12-10,8.98,9.11,9.11,9.11,0
80,2018-12-11,9.02,9.02,9.02,9.02,11100
81,2018-12-12,8.39,8.98,8.39,8.98,14503
82,2018-12-13,8.81,8.81,8.81,8.81,4000
83,2018-12-14,8.86,8.86,8.86,8.86,3900
84,2018-12-17,8.9,8.94,8.86,8.86,6500
85,2018-12-18,8.9,9.07,8.86,8.9,26700
86,2018-12-19,9.81,9.81,8.98,8.98,6600
87,2018-12-20,9.09,9.14,8.73,8.73,11400
88,2018-12-21,8.98,8.98,8.93,8.93,10260
89,2018-12-24,9.19,9.19,8.93,8.93,400
90,2018-12-25,8.68,8.68,8.32,8.47,11400
91,2018-12-26,8.62,8.62,8.21,8.42,10500
92,2018-12-27,8.47,8.47,8.42,8.42,7400
93,2018-12-28,8.42,8.73,8.42,8.73,2700
94,2019-01-02,8.83,8.83,8.47,8.47,2700
95,2019-01-03,8.47,8.47,8.37,8.37,4350
96,2019-01-04,8.37,8.37,8.37,8.37,2500
97,2019-01-07,8.47,8.47,8.37,8.37,4010
98,2019-01-08,8.37,8.47,8.37,8.47,6100
99,2019-01-09,8.52,8.52,8.52,8.52,300
100,2019-01-10,8.42,8.42,8.37,8.37,19000
101,2019-01-11,8.32,8.32,8.32,8.32,1000
102,2019-01-14,8.42,8.42,8.32,8.32,13000
103,2019-01-15,8.32,8.32,8.32,8.32,200
104,2019-01-16,8.32,8.32,8.32,8.32,0
105,2019-01-17,8.32,8.32,8.32,8.32,0
106,2019-01-18,8.21,8.27,8.21,8.21,8400
107,2019-01-21,8.27,8.21,8.21,8.21,0
108,2019-01-22,8.27,8.27,8.21,8.21,9000
109,2019-01-23,8.27,8.21,8.21,8.21,0
110,2019-01-24,8.27,8.21,8.21,8.21,0
111,2019-01-25,8.27,8.21,8.21,8.21,0
112,2019-01-28,8.32,8.32,8.21,8.21,7300
113,2019-01-29,8.21,8.21,8.21,8.21,2500
114,2019-01-30,8.21,8.21,8.16,8.16,7100
115,2019-01-31,8.21,8.27,8.16,8.27,20400
116,2019-02-01,8.21,8.21,8.21,8.21,14400
117,2019-02-11,8.93,8.93,8.21,8.21,12700
118,2019-02-12,8.21,8.32,8.21,8.27,19500
119,2019-02-13,8.47,8.47,8.47,8.47,17666
120,2019-02-14,8.62,8.62,8.47,8.47,6200
121,2019-02-15,8.57,8.57,8.52,8.52,1000
122,2019-02-18,8.57,8.52,8.52,8.52,0
123,2019-02-19,8.57,8.57,8.57,8.57,2566
124,2019-02-20,8.57,8.57,8.57,8.57,29500
125,2019-02-21,8.57,8.57,8.57,8.57,2200
126,2019-02-22,8.57,8.57,8.57,8.57,18300
127,2019-02-25,8.57,8.73,8.57,8.73,5200
128,2019-02-26,8.73,8.73,8.27,8.27,12700
129,2019-02-27,8.98,8.98,8.73,8.73,1700
130,2019-02-28,8.73,8.73,8.47,8.52,20500
131,2019-03-01,8.57,8.57,8.57,8.57,4000
132,2019-03-04,8.27,8.62,8.27,8.57,25960
133,2019-03-05,8.57,8.57,8.37,8.37,1100
134,2019-03-06,8.57,8.62,8.37,8.42,6100
135,2019-03-07,8.37,8.37,8.37,8.37,260
136,2019-03-08,8.37,8.37,8.37,8.37,2000
137,2019-03-11,8.47,8.52,8.47,8.47,15980
138,2019-03-12,8.42,8.42,8.42,8.42,500
139,2019-03-13,8.42,8.42,8.37,8.37,6800
140,2019-03-14,8.37,8.37,8.21,8.21,21100
141,2019-03-15,8.27,8.32,8.21,8.21,22880
142,2019-03-18,8.11,8.16,8.01,8.01,33400
143,2019-03-19,8.06,8.06,7.85,7.96,21000
144,2019-03-20,8.01,8.01,8.01,8.01,12200
145,2019-03-21,8.01,8.01,8.01,8.01,1200
146,2019-03-22,8.01,8.01,7.96,8.01,10000
147,2019-03-25,7.91,7.91,7.91,7.91,3900
148,2019-03-26,7.91,7.96,7.7,7.75,15400
149,2019-03-27,7.96,7.96,7.96,7.96,1300
150,2019-03-28,7.96,7.96,7.96,7.96,2000
151,2019-03-29,7.96,8.01,7.96,8.01,8700
152,2019-04-01,8.01,8.01,7.96,8.01,7200
153,2019-04-02,8.06,8.11,8.06,8.11,5000
154,2019-04-03,8.16,8.21,8.16,8.21,2500
155,2019-04-04,8.21,8.21,8.21,8.21,2100
156,2019-04-05,8.06,8.06,8.06,8.06,1500
157,2019-04-08,8.06,8.21,8.06,8.11,17100
158,2019-04-09,8.16,8.16,8.11,8.11,10000
159,2019-04-10,8.11,8.11,8.11,8.11,0
160,2019-04-11,8.11,8.11,8.11,8.11,11600
161,2019-04-12,7.96,8.06,7.91,8.06,1500
162,2019-04-16,8.06,8.06,8.06,8.06,200
163,2019-04-17,8.06,8.06,8.06,8.06,0
164,2019-04-18,8.16,8.16,7.96,7.96,3440
165,2019-04-19,7.96,7.96,7.96,7.96,0
166,2019-04-22,7.96,7.96,7.85,7.85,2500
167,2019-04-23,7.85,7.85,7.85,7.85,0
168,2019-04-24,7.85,7.91,7.85,7.91,6900
