,time,open,high,low,close,volume
0,2017-06-16,11.5,11.5,11.5,11.5,500
1,2017-06-19,13.19,13.19,13.19,13.19,100
2,2017-06-20,15.12,15.12,15.12,15.12,100
3,2017-06-21,17.35,17.35,14.49,14.49,41300
4,2017-06-22,14.49,14.49,14.35,14.35,9500
5,2017-06-23,12.32,12.32,12.32,12.32,2600
6,2017-06-26,10.48,12.08,10.48,12.08,8510
7,2017-06-27,10.53,10.53,10.53,10.53,200
8,2017-06-28,9.18,9.18,9.18,9.18,300
9,2017-06-29,8.94,8.94,8.94,8.94,1020
10,2017-06-30,8.94,8.94,8.94,8.94,0
11,2017-07-03,9.18,9.66,9.18,9.57,2300
12,2017-07-04,10.73,10.73,10.58,10.63,14400
13,2017-07-05,10.63,10.63,10.15,10.15,20220
14,2017-07-06,9.04,9.28,8.89,9.28,3900
15,2017-07-07,8.7,8.94,8.7,8.7,23600
16,2017-07-10,8.79,8.84,8.79,8.84,3300
17,2017-07-11,8.79,8.79,8.79,8.79,100
18,2017-07-12,8.46,8.46,8.21,8.46,11100
19,2017-07-13,8.36,8.36,8.21,8.21,11320
20,2017-07-14,8.31,8.31,8.31,8.31,12500
21,2017-07-17,8.36,9.42,8.36,8.7,10400
22,2017-07-18,8.46,8.46,8.46,8.46,900
23,2017-07-19,8.7,8.94,8.7,8.94,1200
24,2017-07-20,8.75,8.75,8.75,8.75,0
25,2017-07-21,8.94,8.94,8.94,8.94,100
26,2017-07-24,8.5,8.5,7.63,8.21,4800
27,2017-07-25,8.36,8.36,8.36,8.36,900
28,2017-07-26,7.83,8.36,7.83,8.36,3100
29,2017-07-27,8.46,8.46,8.46,8.46,1500
30,2017-07-28,8.46,8.5,8.36,8.36,3300
31,2017-07-31,8.46,8.46,8.46,8.46,0
32,2017-08-01,8.7,8.7,8.7,8.7,100
33,2017-08-02,8.7,8.7,8.26,8.7,1400
34,2017-08-03,8.7,8.79,8.7,8.79,4600
35,2017-08-04,8.79,8.79,8.79,8.79,0
36,2017-08-07,8.9,9.26,8.9,9.26,1100
37,2017-08-08,9.26,9.26,9.26,9.26,1000
38,2017-08-09,9.0,9.0,9.0,9.0,200
39,2017-08-10,9.05,9.05,9.05,9.05,1000
40,2017-08-11,9.05,9.05,9.05,9.05,15000
41,2017-08-14,9.05,9.05,9.05,9.05,0
42,2017-08-15,9.05,9.05,9.05,9.05,0
43,2017-08-16,8.79,8.79,8.79,8.79,200
44,2017-08-17,8.79,8.79,8.79,8.79,0
45,2017-08-18,8.79,8.79,8.79,8.79,0
46,2017-08-21,8.54,8.54,8.54,8.54,100
47,2017-08-22,8.54,8.54,8.54,8.54,0
48,2017-08-23,8.54,8.54,8.54,8.54,0
49,2017-08-24,7.76,7.76,7.55,7.71,6400
50,2017-08-25,7.5,7.76,7.5,7.5,3100
51,2017-08-28,7.5,7.5,7.5,7.5,3200
52,2017-08-29,7.5,7.5,7.5,7.5,3300
53,2017-08-30,7.5,7.5,7.5,7.5,0
54,2017-08-31,7.76,7.76,7.76,7.76,6500
55,2017-09-01,7.76,7.76,7.76,7.76,1000
56,2017-09-05,8.28,8.28,8.23,8.23,7400
57,2017-09-06,8.23,8.23,8.23,8.23,200
58,2017-09-07,8.28,8.28,8.28,8.28,0
59,2017-09-08,8.28,8.28,8.28,8.28,0
60,2017-09-11,7.76,7.76,7.76,7.76,2000
61,2017-09-12,7.76,7.76,7.76,7.76,0
62,2017-09-13,7.76,7.76,7.76,7.76,6800
63,2017-09-14,7.76,7.76,7.76,7.76,0
64,2017-09-15,7.76,7.76,7.76,7.76,0
65,2017-09-18,7.76,7.76,7.76,7.76,3900
66,2017-09-19,7.6,7.6,7.6,7.6,100
67,2017-09-20,8.17,8.17,8.17,8.17,100
68,2017-09-21,7.76,7.76,7.76,7.76,1000
69,2017-09-22,7.76,7.76,7.76,7.76,0
70,2017-09-25,7.76,7.76,7.76,7.76,0
71,2017-09-26,7.76,7.76,7.76,7.76,0
72,2017-09-27,7.76,7.76,7.76,7.76,0
73,2017-09-28,7.76,7.76,7.76,7.76,0
74,2017-09-29,7.76,7.76,7.76,7.76,0
75,2017-10-02,7.76,8.02,7.76,8.02,7200
76,2017-10-03,7.76,7.76,7.76,7.76,100
77,2017-10-04,7.6,7.6,7.45,7.45,1000
78,2017-10-05,7.5,7.5,7.24,7.24,4000
79,2017-10-06,7.45,7.45,7.45,7.45,0
80,2017-10-09,7.45,7.45,7.45,7.45,0
81,2017-10-10,7.45,7.45,7.45,7.45,0
82,2017-10-11,7.76,7.76,7.76,7.76,1000
83,2017-10-12,7.76,7.76,7.76,7.76,300
84,2017-10-13,7.76,7.76,7.76,7.76,0
85,2017-10-16,7.76,7.76,7.76,7.76,0
86,2017-10-17,7.76,7.76,7.76,7.76,500
87,2017-10-18,7.5,7.5,7.5,7.5,400
88,2017-10-19,7.5,7.5,7.5,7.5,200
89,2017-10-20,7.4,7.4,7.4,7.4,100
90,2017-10-23,7.4,7.4,7.4,7.4,0
91,2017-10-24,7.4,7.4,7.4,7.4,0
92,2017-10-25,7.66,7.66,7.66,7.66,5000
93,2017-10-26,7.66,7.66,7.66,7.66,0
94,2017-10-27,7.4,7.4,7.4,7.4,300
95,2017-10-30,7.4,7.4,7.4,7.4,0
96,2017-10-31,7.5,7.5,7.5,7.5,2100
97,2017-11-01,7.5,7.5,7.5,7.5,0
98,2017-11-02,7.5,7.5,7.5,7.5,0
99,2017-11-03,7.76,7.76,7.76,7.76,1500
100,2017-11-06,7.5,7.5,7.5,7.5,100
101,2017-11-07,7.6,7.6,7.6,7.6,100
102,2017-11-08,7.6,7.6,7.6,7.6,200
103,2017-11-09,7.6,7.6,7.6,7.6,900
104,2017-11-10,7.6,7.6,7.6,7.6,0
105,2017-11-13,7.5,7.5,7.5,7.5,5200
106,2017-11-14,7.5,7.5,7.5,7.5,5000
107,2017-11-15,7.5,7.5,7.5,7.5,0
108,2017-11-16,7.5,7.5,7.5,7.5,0
109,2017-11-17,7.5,7.5,7.5,7.5,0
110,2017-11-20,7.5,7.5,7.5,7.5,100
111,2017-11-21,7.5,7.5,7.5,7.5,0
112,2017-11-22,7.5,7.5,7.5,7.5,0
113,2017-11-23,7.5,7.5,7.5,7.5,0
114,2017-11-24,7.5,7.5,7.5,7.5,1400
115,2017-11-27,7.5,7.5,7.5,7.5,200
116,2017-11-28,7.5,7.5,7.5,7.5,0
117,2017-11-29,8.59,8.59,8.54,8.59,12000
118,2017-11-30,7.76,7.76,7.76,7.76,2000
119,2017-12-01,8.79,8.79,8.79,8.79,1000
120,2017-12-04,8.79,8.79,8.79,8.79,0
121,2017-12-05,7.5,7.5,7.5,7.5,700
122,2017-12-06,8.17,8.17,8.17,8.17,100
123,2017-12-07,7.24,8.17,7.24,7.24,5500
124,2017-12-08,7.24,7.24,7.24,7.24,0
125,2017-12-11,7.24,7.24,7.24,7.24,0
126,2017-12-12,7.24,7.24,7.19,7.19,1000
127,2017-12-13,8.33,8.33,8.28,8.28,400
128,2017-12-14,8.54,8.54,8.54,8.54,100
129,2017-12-15,8.54,8.54,8.54,8.54,0
130,2017-12-18,8.64,8.64,8.64,8.64,300
131,2017-12-19,8.64,8.64,8.64,8.64,0
132,2017-12-20,8.64,8.64,8.64,8.64,0
133,2017-12-21,8.28,8.28,8.28,8.28,1000
134,2017-12-22,8.28,8.28,8.28,8.28,0
135,2017-12-25,8.28,8.28,8.28,8.28,0
136,2017-12-26,8.28,8.28,8.28,8.28,0
137,2017-12-27,8.28,8.28,8.28,8.28,0
138,2017-12-28,8.38,8.38,8.38,8.38,9400
139,2017-12-29,8.38,8.38,8.38,8.38,0
140,2018-01-02,8.38,8.38,8.38,8.38,0
141,2018-01-03,8.02,8.02,8.02,8.02,300
142,2018-01-04,8.02,8.02,8.02,8.02,0
143,2018-01-05,8.74,8.79,8.74,8.79,500
144,2018-01-08,8.02,8.02,8.02,8.02,1000
145,2018-01-09,8.02,8.02,8.02,8.02,0
146,2018-01-10,8.28,8.28,8.28,8.28,3000
147,2018-01-11,8.28,8.28,8.28,8.28,0
148,2018-01-12,8.02,8.54,8.02,8.54,300
149,2018-01-15,8.38,8.38,8.38,8.38,0
150,2018-01-16,8.38,8.38,8.38,8.38,0
151,2018-01-17,8.38,8.38,8.38,8.38,0
152,2018-01-18,8.38,8.38,8.38,8.38,0
153,2018-01-19,8.38,8.38,8.38,8.38,0
154,2018-01-22,9.62,9.62,9.62,9.62,5100
155,2018-01-23,9.83,9.83,9.83,9.83,100
156,2018-01-24,10.09,10.09,10.09,10.09,100
157,2018-01-25,10.09,10.09,10.09,10.09,0
158,2018-01-26,10.35,10.35,9.83,9.83,5900
159,2018-01-29,9.93,9.93,9.93,9.93,0
160,2018-01-30,9.93,9.93,9.93,9.93,0
161,2018-01-31,8.48,8.54,8.48,8.54,2900
162,2018-02-01,8.54,8.54,8.54,8.54,0
163,2018-02-02,8.54,8.54,8.54,8.54,3100
164,2018-02-05,8.54,8.54,8.54,8.54,0
165,2018-02-06,8.54,8.54,8.54,8.54,0
166,2018-02-07,8.54,8.54,8.54,8.54,0
167,2018-02-08,8.54,8.54,8.54,8.54,0
168,2018-02-09,7.76,7.76,7.76,7.76,2000
169,2018-02-12,7.76,7.76,7.76,7.76,0
170,2018-02-13,7.76,7.76,7.76,7.76,0
171,2018-02-21,7.76,7.76,7.76,7.76,0
172,2018-02-22,7.76,7.76,7.76,7.76,0
173,2018-02-23,7.76,7.76,7.76,7.76,0
174,2018-02-26,8.02,8.02,8.02,8.02,1000
175,2018-02-27,8.02,8.02,8.02,8.02,0
176,2018-02-28,8.02,8.02,8.02,8.02,2000
177,2018-03-01,8.02,8.02,8.02,8.02,0
178,2018-03-02,8.02,8.02,8.02,8.02,0
179,2018-03-05,8.02,8.02,8.02,8.02,0
180,2018-03-06,8.07,8.07,8.07,8.07,2000
181,2018-03-07,8.07,8.07,8.07,8.07,0
182,2018-03-08,8.07,8.07,8.07,8.07,0
183,2018-03-09,8.07,8.07,8.07,8.07,6000
184,2018-03-12,8.07,8.07,8.07,8.07,6000
185,2018-03-13,8.07,8.07,8.02,8.07,17100
186,2018-03-14,8.07,8.07,8.07,8.07,11000
187,2018-03-15,8.07,8.07,8.07,8.07,6000
188,2018-03-16,8.07,8.07,8.07,8.07,0
189,2018-03-19,8.07,8.07,8.07,8.07,0
190,2018-03-20,8.07,8.07,8.07,8.07,6000
191,2018-03-21,8.07,8.07,8.07,8.07,0
192,2018-03-22,8.07,8.07,8.07,8.07,0
193,2018-03-23,8.07,8.23,8.07,8.23,2000
194,2018-03-26,8.12,8.12,8.12,8.12,0
195,2018-03-27,8.12,8.12,8.12,8.12,0
196,2018-03-28,8.12,8.12,8.12,8.12,0
197,2018-03-29,8.12,8.12,8.12,8.12,0
198,2018-03-30,7.5,7.5,7.5,7.5,1000
199,2018-04-02,7.5,7.5,7.5,7.5,0
200,2018-04-03,6.98,7.35,6.98,7.35,5400
201,2018-04-04,7.24,7.35,7.24,7.35,1300
202,2018-04-05,7.24,7.24,7.24,7.24,1000
203,2018-04-06,7.24,7.24,7.24,7.24,1700
204,2018-04-09,7.24,7.35,7.24,7.35,600
205,2018-04-10,8.33,8.33,7.5,7.5,300
206,2018-04-11,7.5,7.5,7.5,7.5,1200
207,2018-04-12,7.5,7.5,7.5,7.5,0
208,2018-04-13,7.5,7.5,7.5,7.5,300
209,2018-04-16,7.35,7.35,7.35,7.35,700
210,2018-04-17,7.35,7.35,7.35,7.35,0
211,2018-04-18,7.35,7.35,7.35,7.35,0
212,2018-04-19,8.28,8.28,8.28,8.28,100
213,2018-04-20,8.28,8.28,8.28,8.28,0
214,2018-04-23,8.69,8.69,8.69,8.69,100
215,2018-04-24,9.0,9.0,9.0,9.0,100
216,2018-04-26,7.76,7.76,7.76,7.76,1000
217,2018-04-27,7.76,7.76,7.76,7.76,1000
218,2018-05-02,7.76,7.76,7.76,7.76,6200
219,2018-05-03,7.76,7.76,7.76,7.76,0
220,2018-05-04,8.28,8.28,7.76,7.76,11100
221,2018-05-07,7.76,7.76,7.76,7.76,0
222,2018-05-08,7.76,7.76,7.76,7.76,10000
223,2018-05-09,7.76,7.76,7.76,7.76,0
224,2018-05-10,7.76,7.76,7.76,7.76,0
225,2018-05-11,7.76,7.76,7.76,7.76,0
226,2018-05-14,7.76,7.76,7.76,7.76,0
227,2018-05-15,7.76,7.76,7.76,7.76,0
228,2018-05-16,7.76,7.76,7.76,7.76,0
229,2018-05-17,7.76,7.76,7.76,7.76,0
230,2018-05-18,7.76,7.76,7.76,7.76,0
231,2018-05-21,7.76,7.76,7.76,7.76,0
232,2018-05-22,7.76,7.76,7.76,7.76,3000
233,2018-05-23,7.76,7.76,7.76,7.76,0
234,2018-05-24,7.5,7.5,7.5,7.5,200
235,2018-05-25,7.5,7.5,7.5,7.5,0
236,2018-05-28,7.5,7.5,7.5,7.5,1000
237,2018-05-29,7.5,7.5,7.5,7.5,100
238,2018-05-30,7.5,7.5,7.5,7.5,0
239,2018-05-31,8.48,8.48,8.48,8.48,1200
240,2018-06-01,7.76,7.76,7.76,7.76,100
241,2018-06-04,7.76,7.76,7.76,7.76,300
242,2018-06-05,7.76,7.76,7.76,7.76,1000
243,2018-06-06,7.76,7.76,7.76,7.76,600
244,2018-06-07,7.76,7.76,7.76,7.76,0
245,2018-06-08,7.76,7.76,7.76,7.76,500
246,2018-06-11,8.74,8.74,8.74,8.74,1900
247,2018-06-12,8.74,8.74,8.74,8.74,0
248,2018-06-13,8.74,8.74,8.74,8.74,0
249,2018-06-14,8.74,8.74,8.74,8.74,0
250,2018-06-15,8.74,8.74,8.74,8.74,0
251,2018-06-18,8.74,8.74,8.74,8.74,0
252,2018-06-19,8.74,8.74,8.74,8.74,500
253,2018-06-20,8.74,8.74,8.74,8.74,50
254,2018-06-21,8.74,8.74,8.74,8.74,0
255,2018-06-22,8.74,8.74,8.74,8.74,0
256,2018-06-25,8.74,8.74,8.74,8.74,0
257,2018-06-26,7.76,7.76,7.76,7.76,2700
258,2018-06-27,7.76,7.76,7.76,7.76,1300
259,2018-06-28,7.76,7.76,7.76,7.76,400
260,2018-06-29,8.02,8.74,8.02,8.74,6600
261,2018-07-02,8.54,8.54,8.54,8.54,0
262,2018-07-03,7.76,7.76,7.76,7.76,100
263,2018-07-04,7.76,7.76,7.76,7.76,4100
264,2018-07-05,7.81,7.81,7.76,7.76,3300
265,2018-07-06,7.76,7.76,7.76,7.76,0
266,2018-07-09,7.76,7.76,7.76,7.76,0
267,2018-07-10,8.74,8.74,8.02,8.02,22000
268,2018-07-11,8.43,8.43,8.43,8.43,0
269,2018-07-12,8.43,8.43,8.43,8.43,0
270,2018-07-13,8.43,8.43,8.43,8.43,0
271,2018-07-16,8.43,8.43,8.43,8.43,0
272,2018-07-17,8.43,8.43,8.43,8.43,0
273,2018-07-18,8.43,8.43,8.43,8.43,0
274,2018-07-19,8.43,8.43,8.43,8.43,0
275,2018-07-20,8.43,8.43,8.43,8.43,0
276,2018-07-23,8.43,8.43,8.43,8.43,0
277,2018-07-24,7.76,7.76,7.76,7.76,500
278,2018-07-25,7.76,7.76,7.76,7.76,6400
279,2018-07-26,7.76,7.76,7.76,7.76,0
280,2018-07-27,7.86,7.86,7.86,7.86,3000
281,2018-07-30,7.76,7.76,7.76,7.76,900
282,2018-07-31,7.76,7.76,7.76,7.76,5000
283,2018-08-01,7.76,7.76,7.76,7.76,9100
284,2018-08-02,7.76,7.76,7.76,7.76,0
285,2018-08-03,7.97,8.02,7.97,8.02,7000
286,2018-08-06,8.02,8.02,8.02,8.02,0
287,2018-08-07,8.4,8.4,8.4,8.4,100
288,2018-08-08,8.62,9.27,8.62,9.27,32700
289,2018-08-09,8.18,8.18,8.18,8.18,3000
290,2018-08-10,8.18,8.18,8.18,8.18,23500
291,2018-08-13,8.18,8.24,8.18,8.18,5000
292,2018-08-14,8.24,8.24,8.24,8.24,0
293,2018-08-15,9.27,9.27,9.27,9.27,26500
294,2018-08-16,9.27,9.27,9.27,9.27,5000
295,2018-08-17,9.27,9.27,9.27,9.27,0
296,2018-08-20,8.18,8.18,8.18,8.18,3000
297,2018-08-21,8.18,8.18,8.18,8.18,0
298,2018-08-22,8.18,8.18,8.18,8.18,0
299,2018-08-23,8.18,8.18,8.18,8.18,0
300,2018-08-24,8.46,8.46,8.46,8.46,3000
301,2018-08-27,8.46,8.46,8.46,8.46,0
302,2018-08-28,8.46,8.46,8.46,8.46,0
303,2018-08-29,8.46,8.46,8.46,8.46,0
304,2018-08-30,8.46,8.46,8.46,8.46,0
305,2018-08-31,9.0,9.0,9.0,9.0,3000
306,2018-09-04,9.0,9.0,9.0,9.0,0
307,2018-09-05,9.0,9.0,9.0,9.0,0
308,2018-09-06,9.0,9.0,9.0,9.0,0
309,2018-09-07,8.18,8.18,8.18,8.18,3000
310,2018-09-10,8.18,8.18,8.18,8.18,0
311,2018-09-11,8.18,8.18,8.18,8.18,0
312,2018-09-12,8.18,8.18,8.18,8.18,0
313,2018-09-13,7.53,7.53,7.53,7.53,2000
314,2018-09-14,8.07,8.07,8.07,8.07,100
315,2018-09-17,8.02,8.02,8.02,8.02,100
316,2018-09-18,8.02,8.02,8.02,8.02,0
317,2018-09-19,7.91,7.91,7.64,7.91,2900
318,2018-09-20,7.91,7.91,7.91,7.91,0
319,2018-09-21,7.91,7.91,7.91,7.91,0
320,2018-09-24,7.91,7.91,7.91,7.91,0
321,2018-09-25,7.91,7.91,7.91,7.91,0
322,2018-09-26,7.91,7.91,7.91,7.91,0
323,2018-09-27,7.91,7.91,7.91,7.91,0
324,2018-09-28,7.91,7.91,7.91,7.91,0
325,2018-10-01,7.91,7.91,7.91,7.91,500
326,2018-10-02,7.91,7.91,7.91,7.91,0
327,2018-10-03,7.91,7.91,7.91,7.91,0
328,2018-10-04,7.91,7.91,7.91,7.91,800
329,2018-10-05,7.91,7.91,7.91,7.91,1400
330,2018-10-08,7.91,7.91,7.91,7.91,0
331,2018-10-09,7.91,7.91,7.91,7.91,0
