,time,open,high,low,close,volume
0,2012-01-03,1.77,1.77,1.77,1.77,100
1,2012-01-04,1.77,1.77,1.77,1.77,3000
2,2012-01-05,1.7,1.74,1.7,1.74,3100
3,2012-01-06,1.7,1.74,1.7,1.74,900
4,2012-01-09,1.7,1.7,1.7,1.7,200
5,2012-01-10,1.74,1.74,1.74,1.74,100
6,2012-01-11,1.74,1.74,1.74,1.74,0
7,2012-01-12,1.81,1.81,1.81,1.81,100
8,2012-01-13,1.81,1.81,1.81,1.81,0
9,2012-01-16,1.91,1.91,1.91,1.91,100
10,2012-01-17,1.91,1.91,1.91,1.91,0
11,2012-01-18,1.91,1.91,1.91,1.91,0
12,2012-01-19,1.91,1.91,1.91,1.91,0
13,2012-01-20,1.91,1.91,1.91,1.91,0
14,2012-01-30,1.91,1.91,1.91,1.91,0
15,2012-01-31,2.01,2.01,2.01,2.01,100
16,2012-02-01,1.88,1.88,1.88,1.88,7600
17,2012-02-02,1.88,1.88,1.88,1.88,0
18,2012-02-03,1.88,1.88,1.88,1.88,0
19,2012-02-06,1.77,1.77,1.77,1.77,100
20,2012-02-07,1.77,1.77,1.77,1.77,1600
21,2012-02-08,1.77,1.77,1.77,1.77,0
22,2012-02-09,1.77,1.77,1.77,1.77,0
23,2012-02-10,1.77,1.77,1.77,1.77,0
24,2012-02-13,1.77,1.77,1.77,1.77,0
25,2012-02-14,1.77,1.77,1.77,1.77,10000
26,2012-02-15,1.84,1.84,1.84,1.84,1000
27,2012-02-16,1.84,1.84,1.84,1.84,2000
28,2012-02-17,1.84,1.84,1.81,1.81,7200
29,2012-02-20,1.81,1.81,1.81,1.81,0
30,2012-02-21,1.81,1.81,1.81,1.81,0
31,2012-02-22,1.81,1.81,1.81,1.81,0
32,2012-02-23,1.81,1.81,1.81,1.81,0
33,2012-02-24,1.94,1.94,1.94,1.94,100
34,2012-02-27,2.05,2.05,1.98,1.98,1600
35,2012-02-28,1.98,1.98,1.98,1.98,0
36,2012-02-29,1.98,2.15,1.88,2.11,35100
37,2012-03-01,2.15,2.15,2.15,2.15,500
38,2012-03-02,2.22,2.28,2.22,2.28,1300
39,2012-03-05,2.15,2.39,2.15,2.39,4000
40,2012-03-06,2.35,2.35,2.35,2.35,2000
41,2012-03-07,2.49,2.49,2.39,2.49,2700
42,2012-03-08,2.49,2.49,2.49,2.49,0
43,2012-03-09,2.49,2.49,2.49,2.49,0
44,2012-03-12,2.63,2.63,2.63,2.63,1000
45,2012-03-13,2.76,2.76,2.76,2.76,200
46,2012-03-14,2.76,2.76,2.76,2.76,0
47,2012-03-15,2.76,2.76,2.76,2.76,0
48,2012-03-16,2.83,2.93,2.83,2.93,3500
49,2012-03-19,3.07,3.07,3.07,3.07,700
50,2012-03-20,3.07,3.07,3.07,3.07,0
51,2012-03-21,3.07,3.07,3.07,3.07,0
52,2012-03-22,3.24,3.24,3.24,3.24,800
53,2012-03-23,3.24,3.24,3.24,3.24,200
54,2012-03-26,3.31,3.34,3.31,3.34,23800
55,2012-03-27,3.34,3.34,3.34,3.34,0
56,2012-03-28,3.34,3.34,3.34,3.34,0
57,2012-03-29,3.34,3.34,3.34,3.34,0
58,2012-03-30,3.34,3.34,3.34,3.34,0
59,2012-04-03,3.34,3.34,3.34,3.34,0
60,2012-04-04,3.34,3.34,3.34,3.34,0
61,2012-04-05,3.34,3.34,3.34,3.34,0
62,2012-04-06,3.14,3.14,3.14,3.14,1300
63,2012-04-09,3.14,3.14,3.14,3.14,0
64,2012-04-10,3.14,3.14,3.14,3.14,0
65,2012-04-11,3.34,3.34,3.34,3.34,200
66,2012-04-12,3.34,3.34,3.34,3.34,0
67,2012-04-13,3.34,3.34,3.34,3.34,0
68,2012-04-16,3.34,3.34,3.34,3.34,0
69,2012-04-17,3.34,3.34,3.34,3.34,0
70,2012-04-18,3.34,3.34,3.34,3.34,0
71,2012-04-19,3.34,3.34,3.34,3.34,0
72,2012-04-20,3.34,3.34,3.34,3.34,0
73,2012-04-23,3.34,3.34,3.34,3.34,0
74,2012-04-24,3.34,3.34,3.34,3.34,0
75,2012-04-25,3.34,3.34,3.34,3.34,0
76,2012-04-26,3.34,3.34,3.34,3.34,0
77,2012-04-27,3.34,3.34,3.34,3.34,0
78,2012-05-02,3.34,3.34,3.34,3.34,0
79,2012-05-03,3.34,3.34,3.34,3.34,0
80,2012-05-04,3.34,3.34,3.34,3.34,0
81,2012-05-07,3.34,3.34,3.34,3.34,0
82,2012-05-08,3.34,3.34,3.34,3.34,0
83,2012-05-09,3.34,3.34,3.34,3.34,0
84,2012-05-10,3.34,3.34,3.34,3.34,0
85,2012-05-11,3.34,3.34,3.34,3.34,0
86,2012-05-14,3.34,3.34,3.34,3.34,0
87,2012-05-15,3.34,3.34,3.34,3.34,0
88,2012-05-16,3.34,3.34,3.34,3.34,0
89,2012-05-17,3.34,3.34,3.34,3.34,0
90,2012-05-18,3.34,3.34,3.34,3.34,0
91,2012-05-21,3.34,3.34,3.34,3.34,0
92,2012-05-22,3.34,3.34,3.34,3.34,0
93,2012-05-23,3.34,3.34,3.34,3.34,0
94,2012-05-24,3.34,3.34,3.34,3.34,0
95,2012-05-25,3.34,3.34,3.34,3.34,0
96,2012-05-28,3.34,3.34,3.34,3.34,0
97,2012-05-29,3.34,3.34,3.34,3.34,0
98,2012-05-30,3.34,3.34,3.34,3.34,0
99,2012-05-31,3.34,3.34,3.34,3.34,0
100,2012-06-01,3.34,3.34,3.34,3.34,0
101,2012-06-04,3.34,3.34,3.34,3.34,0
102,2012-06-05,3.34,3.34,3.34,3.34,0
103,2012-06-06,3.34,3.34,3.34,3.34,0
104,2012-06-07,3.34,3.34,3.34,3.34,0
105,2012-06-08,3.34,3.34,3.34,3.34,0
