,time,open,high,low,close,volume
0,2012-01-03,5.99,5.99,5.81,5.81,3240
1,2012-01-04,5.53,5.81,5.53,5.53,2740
2,2012-01-05,5.53,5.53,5.53,5.53,1920
3,2012-01-06,5.53,5.53,5.35,5.35,150
4,2012-01-09,5.53,5.53,5.26,5.35,3000
5,2012-01-10,5.53,5.53,5.53,5.53,10
6,2012-01-11,5.62,5.62,5.53,5.53,3320
7,2012-01-12,5.62,5.62,5.53,5.53,510
8,2012-01-13,5.53,5.53,5.53,5.53,1270
9,2012-01-16,5.53,5.72,5.53,5.72,2920
10,2012-01-17,5.44,5.44,5.44,5.44,5980
11,2012-01-18,5.53,5.62,5.53,5.53,1210
12,2012-01-19,5.81,5.81,5.53,5.53,6620
13,2012-01-20,5.62,5.72,5.62,5.62,110
14,2012-01-30,5.81,5.81,5.62,5.81,10640
15,2012-01-31,5.81,6.09,5.81,6.09,18990
16,2012-02-01,6.09,6.09,5.81,5.81,14490
17,2012-02-02,5.81,6.09,5.81,6.09,34220
18,2012-02-03,6.27,6.36,5.81,5.81,38560
19,2012-02-06,5.81,5.81,5.53,5.81,4970
20,2012-02-07,5.99,5.99,5.72,5.81,3800
21,2012-02-08,5.9,6.09,5.9,6.09,51510
22,2012-02-09,6.09,6.27,5.99,6.27,21190
23,2012-02-10,5.99,6.55,5.99,6.09,17150
24,2012-02-13,5.81,6.18,5.81,6.18,6410
25,2012-02-14,5.99,6.09,5.9,5.99,13210
26,2012-02-15,5.99,5.99,5.81,5.9,5360
27,2012-02-16,5.81,5.81,5.72,5.72,12700
28,2012-02-17,5.72,5.9,5.72,5.9,2330
29,2012-02-20,6.18,6.18,6.09,6.18,30000
30,2012-02-21,6.45,6.45,6.18,6.36,1890
31,2012-02-22,6.36,6.45,6.27,6.45,6350
32,2012-02-23,6.55,6.73,6.45,6.55,16150
33,2012-02-24,6.73,6.82,6.45,6.55,37840
34,2012-02-27,6.64,6.82,6.45,6.82,65480
35,2012-02-28,7.01,7.01,6.73,6.82,29920
36,2012-02-29,6.73,7.01,6.73,6.73,17220
37,2012-03-01,6.73,6.73,6.55,6.64,6060
38,2012-03-02,6.73,6.73,6.45,6.55,22440
39,2012-03-05,6.82,6.82,6.82,6.82,2080
40,2012-03-06,7.1,7.1,6.92,7.1,67570
41,2012-03-07,7.28,7.28,6.82,7.1,16200
42,2012-03-08,6.82,7.28,6.82,6.82,22690
43,2012-03-09,6.55,6.64,6.55,6.55,12020
44,2012-03-12,6.55,6.55,6.27,6.45,4040
45,2012-03-13,6.36,6.55,6.27,6.55,6290
46,2012-03-14,6.45,6.55,6.45,6.45,5120
47,2012-03-15,6.45,6.64,6.45,6.64,15280
48,2012-03-16,6.73,6.92,6.64,6.82,13190
49,2012-03-19,6.92,6.92,6.55,6.55,3260
50,2012-03-20,6.55,6.73,6.55,6.64,11700
51,2012-03-21,6.64,6.92,6.64,6.92,23420
52,2012-03-22,7.19,7.19,6.92,7.1,3610
53,2012-03-23,7.1,7.38,7.1,7.38,48460
54,2012-03-26,7.75,7.75,7.38,7.75,13650
55,2012-03-27,7.75,7.75,7.38,7.38,17280
56,2012-03-28,7.1,7.38,7.1,7.28,7500
57,2012-03-29,7.1,7.19,7.01,7.01,15140
58,2012-03-30,6.73,7.01,6.73,7.01,2230
59,2012-04-03,7.19,7.19,6.92,6.92,9390
60,2012-04-04,7.1,7.1,6.82,6.92,3480
61,2012-04-05,6.92,7.19,6.92,7.19,810
62,2012-04-06,7.1,7.19,7.1,7.19,1800
63,2012-04-09,7.19,7.19,7.01,7.19,7550
64,2012-04-10,7.19,7.28,7.01,7.19,9150
65,2012-04-11,7.19,7.38,7.19,7.38,12260
66,2012-04-12,7.56,7.65,7.38,7.56,41910
67,2012-04-13,7.56,7.65,7.38,7.65,16770
68,2012-04-16,7.65,7.93,7.56,7.84,19500
69,2012-04-17,7.93,8.11,7.84,8.02,14980
70,2012-04-18,8.21,8.39,8.02,8.39,49450
71,2012-04-19,8.67,8.67,8.02,8.02,13200
72,2012-04-20,7.75,8.3,7.65,8.21,7030
73,2012-04-23,7.93,8.21,7.93,8.21,5370
74,2012-04-24,8.21,8.21,7.84,8.21,8160
75,2012-04-25,8.21,8.3,7.84,7.93,17650
76,2012-04-26,7.93,7.93,7.65,7.93,16010
77,2012-04-27,7.65,8.11,7.65,8.11,8930
78,2012-05-02,7.93,8.11,7.84,8.11,18320
79,2012-05-03,7.84,8.02,7.75,7.93,13100
80,2012-05-04,8.02,8.3,7.93,8.21,72010
81,2012-05-07,8.39,8.58,8.39,8.58,44990
82,2012-05-08,8.94,8.94,8.76,8.94,27970
83,2012-05-09,9.13,9.22,8.94,9.04,15350
84,2012-05-10,9.22,9.22,8.67,8.67,29970
85,2012-05-11,8.94,8.94,8.3,8.39,38240
86,2012-05-14,8.48,8.48,8.02,8.02,20010
87,2012-05-15,7.75,8.3,7.65,7.65,15190
88,2012-05-16,7.65,7.65,7.38,7.38,1200
89,2012-05-17,7.56,7.75,7.38,7.75,2520
90,2012-05-18,7.75,7.75,7.38,7.75,8940
91,2012-05-21,7.75,8.11,7.75,8.11,12980
92,2012-05-22,8.39,8.39,7.93,8.3,16880
93,2012-05-23,8.3,8.3,8.02,8.02,5460
94,2012-05-24,7.75,8.3,7.75,7.75,3960
95,2012-05-25,7.84,8.11,7.84,8.11,9250
96,2012-05-28,8.3,8.3,7.75,7.75,3230
97,2012-05-29,7.75,8.11,7.75,8.11,1690
98,2012-05-30,8.11,8.11,8.11,8.11,200
99,2012-05-31,7.84,8.11,7.75,8.11,2010
100,2012-06-01,8.11,8.11,8.11,8.11,10
101,2012-06-04,7.75,7.75,7.75,7.75,1200
102,2012-06-05,7.84,7.84,7.38,7.65,3620
103,2012-06-06,7.75,7.75,7.75,7.75,520
104,2012-06-07,8.02,8.11,7.84,8.11,1030
105,2012-06-08,8.3,8.3,8.11,8.11,680
106,2012-06-11,8.11,8.11,7.75,8.11,8210
107,2012-06-12,7.75,7.75,7.75,7.75,5050
108,2012-06-13,7.65,7.75,7.47,7.47,100
109,2012-06-14,7.84,7.84,7.75,7.75,3000
110,2012-06-15,7.75,7.75,7.75,7.75,0
111,2012-06-18,7.93,7.93,7.75,7.93,2700
112,2012-06-19,7.56,7.56,7.56,7.56,170
113,2012-06-20,7.56,7.75,7.56,7.75,1010
114,2012-06-21,7.47,7.84,7.47,7.84,4090
115,2012-06-22,7.65,7.65,7.65,7.65,1110
116,2012-06-25,7.65,7.65,7.38,7.38,12000
117,2012-06-26,7.56,7.56,7.56,7.56,40
118,2012-06-27,7.38,7.38,7.38,7.38,1220
119,2012-06-28,7.19,7.19,7.19,7.19,4440
120,2012-06-29,7.38,7.38,7.38,7.38,430
121,2012-07-02,7.65,7.65,7.65,7.65,10
122,2012-07-03,7.28,7.28,7.28,7.28,10
123,2012-07-04,7.28,7.28,7.28,7.28,100
124,2012-07-05,7.28,7.28,7.28,7.28,100
125,2012-07-06,7.28,7.28,7.28,7.28,0
126,2012-07-09,7.01,7.01,7.01,7.01,340
127,2012-07-10,6.92,7.01,6.92,7.01,2950
128,2012-07-11,7.1,7.1,7.1,7.1,5320
129,2012-07-12,6.82,7.01,6.82,7.01,270
130,2012-07-13,7.01,7.1,7.01,7.1,4160
131,2012-07-16,6.82,6.82,6.82,6.82,3240
132,2012-07-17,6.73,6.73,6.73,6.73,5910
133,2012-07-18,6.73,6.92,6.73,6.92,1530
134,2012-07-19,7.01,7.19,7.01,7.19,5850
