,time,open,high,low,close,volume
0,2012-01-03,6.7,6.7,6.7,6.7,0
1,2012-01-04,6.7,6.7,6.7,6.7,0
2,2012-01-05,6.7,6.7,6.7,6.7,0
3,2012-01-06,6.7,6.7,6.7,6.7,0
4,2012-01-09,6.7,6.7,6.7,6.7,0
5,2012-01-10,6.7,6.7,6.7,6.7,0
6,2012-01-11,6.7,6.7,6.7,6.7,0
7,2012-01-12,6.7,6.7,6.7,6.7,0
8,2012-01-13,6.7,6.7,6.7,6.7,0
9,2012-01-16,6.7,6.7,6.7,6.7,0
10,2012-01-17,6.7,6.7,6.7,6.7,0
11,2012-01-18,6.7,6.7,6.7,6.7,0
12,2012-01-19,6.7,6.7,6.7,6.7,0
13,2012-01-20,6.7,6.7,6.7,6.7,0
14,2012-01-30,6.7,6.7,6.7,6.7,0
15,2012-01-31,6.7,6.7,6.7,6.7,0
16,2012-02-01,6.7,6.7,6.7,6.7,0
17,2012-02-02,6.7,6.7,6.7,6.7,0
18,2012-02-03,6.7,6.7,6.7,6.7,0
19,2012-02-06,6.7,6.7,6.7,6.7,0
20,2012-02-07,6.7,6.7,6.7,6.7,0
21,2012-02-08,6.7,6.7,6.7,6.7,0
22,2012-02-09,6.7,6.7,6.7,6.7,0
23,2012-02-10,6.7,6.7,6.7,6.7,0
24,2012-02-13,6.7,6.7,6.7,6.7,0
25,2012-02-14,6.7,6.7,6.7,6.7,0
26,2012-02-15,6.7,6.7,6.7,6.7,0
27,2012-02-16,6.7,6.7,6.7,6.7,0
28,2012-02-17,6.7,6.7,6.7,6.7,0
29,2012-02-20,6.7,6.7,6.7,6.7,0
30,2012-02-21,6.7,6.7,6.7,6.7,0
31,2012-02-22,6.7,6.7,6.7,6.7,0
32,2012-02-23,6.7,6.7,6.7,6.7,0
33,2012-02-24,6.7,6.7,6.7,6.7,0
34,2012-02-27,6.7,6.7,6.7,6.7,0
35,2012-02-28,6.7,6.7,6.7,6.7,0
36,2012-02-29,6.7,6.7,6.7,6.7,0
37,2012-03-01,6.7,6.7,6.7,6.7,0
38,2012-03-02,6.7,6.7,6.7,6.7,0
39,2012-03-05,6.7,6.7,6.7,6.7,0
40,2012-03-06,6.7,6.7,6.7,6.7,0
41,2012-03-07,6.7,6.7,6.7,6.7,0
42,2012-03-08,6.7,6.7,6.7,6.7,0
43,2012-03-09,6.7,6.7,6.7,6.7,0
44,2012-03-12,6.7,6.7,6.7,6.7,0
45,2012-03-13,6.7,6.7,6.7,6.7,0
46,2012-03-14,6.7,6.7,6.7,6.7,0
47,2012-03-15,7.15,7.15,7.15,7.15,100
48,2012-03-16,7.15,7.15,7.15,7.15,0
49,2012-03-19,7.15,7.15,7.15,7.15,0
50,2012-03-20,7.15,7.15,7.15,7.15,0
51,2012-03-21,7.15,7.15,7.15,7.15,0
52,2012-03-22,7.29,7.29,7.29,7.29,100
53,2012-03-23,7.29,7.29,7.29,7.29,0
54,2012-03-26,7.29,7.29,7.29,7.29,0
55,2012-03-27,7.77,7.77,7.77,7.77,0
56,2012-03-28,7.77,7.77,7.77,7.77,0
57,2012-03-29,6.81,6.81,6.81,6.81,100
58,2012-03-30,6.81,6.81,6.81,6.81,0
59,2012-04-03,6.81,6.81,6.81,6.81,0
60,2012-04-04,6.81,6.81,6.81,6.81,0
61,2012-04-05,6.81,6.81,6.81,6.81,0
62,2012-04-06,6.81,6.81,6.81,6.81,0
63,2012-04-09,6.81,6.81,6.81,6.81,0
64,2012-04-10,6.81,6.81,6.81,6.81,0
65,2012-04-11,6.81,6.81,6.81,6.81,0
66,2012-04-12,6.81,6.81,6.81,6.81,0
67,2012-04-13,6.52,6.52,6.52,6.52,100
68,2012-04-16,6.52,6.52,6.52,6.52,0
69,2012-04-17,6.52,6.52,6.52,6.52,0
70,2012-04-18,6.09,6.09,6.09,6.09,100
71,2012-04-19,6.09,6.09,6.09,6.09,0
72,2012-04-20,5.7,5.7,5.7,5.7,100
73,2012-04-23,5.32,5.32,5.32,5.32,1100
74,2012-04-24,4.99,4.99,4.99,4.99,100
75,2012-04-25,4.99,4.99,4.99,4.99,0
76,2012-04-26,4.65,4.65,4.65,4.65,3000
77,2012-04-27,4.65,4.65,4.65,4.65,0
78,2012-05-02,4.65,4.65,4.65,4.65,0
79,2012-05-03,4.65,4.65,4.65,4.65,0
80,2012-05-04,4.65,4.65,4.65,4.65,0
81,2012-05-07,4.94,4.94,4.94,4.94,100
82,2012-05-08,4.94,4.94,4.94,4.94,0
83,2012-05-09,4.94,4.94,4.94,4.94,0
84,2012-05-10,4.94,4.94,4.94,4.94,0
85,2012-05-11,4.94,4.94,4.94,4.94,0
86,2012-05-14,4.94,4.94,4.94,4.94,0
87,2012-05-15,4.94,4.94,4.94,4.94,0
88,2012-05-16,4.94,4.94,4.94,4.94,0
89,2012-05-17,4.94,4.94,4.94,4.94,0
90,2012-05-18,4.94,4.94,4.94,4.94,0
91,2012-05-21,4.94,4.94,4.94,4.94,0
92,2012-05-22,4.94,4.94,4.94,4.94,0
93,2012-05-23,4.94,4.94,4.94,4.94,0
94,2012-05-24,4.94,4.94,4.94,4.94,0
95,2012-05-25,4.94,4.94,4.94,4.94,0
96,2012-05-28,4.94,4.94,4.94,4.94,0
97,2012-05-29,4.94,4.94,4.94,4.94,0
98,2012-05-30,4.94,4.94,4.94,4.94,0
99,2012-05-31,4.94,4.94,4.94,4.94,0
100,2012-06-01,4.94,4.94,4.94,4.94,0
101,2012-06-04,4.94,4.94,4.94,4.94,0
102,2012-06-05,4.94,4.94,4.94,4.94,0
103,2012-06-06,4.94,4.94,4.94,4.94,0
104,2012-06-07,4.94,4.94,4.94,4.94,0
105,2012-06-08,4.94,4.94,4.94,4.94,0
106,2012-06-11,4.94,4.94,4.94,4.94,0
107,2012-06-12,4.6,4.6,4.6,4.6,100
108,2012-06-13,4.6,4.6,4.6,4.6,0
109,2012-06-14,4.31,4.31,4.31,4.31,1600
110,2012-06-15,4.03,4.03,4.03,4.03,2500
111,2012-06-18,3.79,3.79,3.79,3.79,1000
112,2012-06-19,3.55,3.55,3.55,3.55,200
113,2012-06-20,3.31,3.31,3.31,3.31,100
114,2012-06-21,3.12,3.12,3.12,3.12,300
115,2012-06-22,3.31,3.31,3.02,3.02,500
116,2012-06-25,2.83,2.83,2.83,2.83,100
117,2012-06-26,2.64,2.64,2.64,2.64,100
118,2012-06-27,2.49,2.49,2.49,2.49,100
119,2012-06-28,2.35,2.35,2.35,2.35,400
120,2012-06-29,2.21,2.21,2.21,2.21,600
121,2012-07-02,2.21,2.21,2.21,2.21,100
122,2012-07-03,2.35,2.35,2.35,2.35,100
123,2012-07-04,2.35,2.35,2.35,2.35,0
124,2012-07-05,2.49,2.49,2.49,2.49,100
125,2012-07-06,2.64,2.64,2.64,2.64,200
126,2012-07-09,2.54,2.54,2.54,2.54,200
127,2012-07-10,2.44,2.44,2.4,2.4,400
128,2012-07-11,2.4,2.4,2.4,2.4,0
129,2012-07-12,2.4,2.4,2.4,2.4,0
130,2012-07-13,2.4,2.4,2.25,2.25,1100
131,2012-07-16,2.25,2.25,2.25,2.25,0
132,2012-07-17,2.25,2.25,2.25,2.25,0
133,2012-07-18,2.4,2.4,2.4,2.4,1000
134,2012-07-19,2.54,2.54,2.54,2.54,500
135,2012-07-20,2.68,2.68,2.68,2.68,100
136,2012-07-23,2.68,2.68,2.68,2.68,0
137,2012-07-24,2.54,2.54,2.54,2.54,100
138,2012-07-25,2.4,2.4,2.4,2.4,100
139,2012-07-26,2.4,2.4,2.4,2.4,0
140,2012-07-27,2.25,2.25,2.25,2.25,300
141,2012-07-30,2.25,2.25,2.25,2.25,0
142,2012-07-31,2.25,2.25,2.25,2.25,0
143,2012-08-01,2.11,2.4,2.11,2.4,200
144,2012-08-02,2.4,2.4,2.4,2.4,0
145,2012-08-03,2.25,2.25,2.25,2.25,100
146,2012-08-06,2.4,2.4,2.4,2.4,100
147,2012-08-07,2.3,2.3,2.3,2.3,100
148,2012-08-08,2.3,2.3,2.3,2.3,0
149,2012-08-09,2.3,2.3,2.3,2.3,0
150,2012-08-10,2.3,2.3,2.3,2.3,0
151,2012-08-13,2.21,2.21,2.21,2.21,100
152,2012-08-14,2.21,2.21,2.21,2.21,0
153,2012-08-15,2.35,2.35,2.35,2.35,100
154,2012-08-16,2.35,2.35,2.35,2.35,0
155,2012-08-17,2.25,2.49,2.25,2.49,200
156,2012-08-20,2.4,2.4,2.4,2.4,100
157,2012-08-21,2.25,2.25,2.25,2.25,100
158,2012-08-22,2.25,2.25,2.25,2.25,0
159,2012-08-23,2.25,2.25,2.25,2.25,0
160,2012-08-24,2.16,2.16,2.16,2.16,100
161,2012-08-27,2.16,2.16,2.16,2.16,0
162,2012-08-28,2.16,2.16,2.16,2.16,0
163,2012-08-29,2.16,2.16,2.16,2.16,0
164,2012-08-30,2.3,2.3,2.3,2.3,100
165,2012-08-31,2.3,2.3,2.3,2.3,0
166,2012-09-04,2.3,2.3,2.3,2.3,0
167,2012-09-05,2.3,2.3,2.3,2.3,0
168,2012-09-06,2.3,2.3,2.3,2.3,0
169,2012-09-07,2.3,2.3,2.3,2.3,0
170,2012-09-10,2.3,2.3,2.3,2.3,0
171,2012-09-11,2.3,2.3,2.3,2.3,0
172,2012-09-12,2.3,2.3,2.3,2.3,0
173,2012-09-13,2.3,2.3,2.3,2.3,0
174,2012-09-14,2.3,2.3,2.3,2.3,0
175,2012-09-17,2.3,2.3,2.3,2.3,0
176,2012-09-18,2.3,2.3,2.3,2.3,0
177,2012-09-19,2.3,2.3,2.3,2.3,0
178,2012-09-20,2.3,2.3,2.3,2.3,0
179,2012-09-21,2.3,2.3,2.3,2.3,0
180,2012-09-24,2.16,2.16,2.16,2.16,100
181,2012-09-25,2.16,2.16,2.16,2.16,0
182,2012-09-26,2.16,2.16,2.16,2.16,0
183,2012-09-27,2.16,2.16,2.16,2.16,0
184,2012-09-28,2.16,2.16,2.16,2.16,0
185,2012-10-01,2.16,2.16,2.16,2.16,0
186,2012-10-02,2.16,2.16,2.16,2.16,0
187,2012-10-03,2.16,2.16,2.16,2.16,1000
188,2012-10-04,2.16,2.16,2.16,2.16,0
189,2012-10-05,2.16,2.16,2.16,2.16,0
190,2012-10-08,2.16,2.16,2.16,2.16,0
191,2012-10-09,2.01,2.01,2.01,2.01,100
192,2012-10-10,2.01,2.01,2.01,2.01,0
193,2012-10-11,2.01,2.01,2.01,2.01,1600
194,2012-10-12,2.01,2.01,2.01,2.01,0
195,2012-10-15,1.92,1.92,1.92,1.92,100
196,2012-10-16,1.92,1.92,1.92,1.92,0
197,2012-10-17,1.92,1.92,1.92,1.92,0
198,2012-10-18,1.87,1.87,1.87,1.87,100
199,2012-10-19,1.92,1.92,1.92,1.92,1000
200,2012-10-22,1.92,1.92,1.92,1.92,0
201,2012-10-23,1.92,1.92,1.92,1.92,0
202,2012-10-24,1.92,1.92,1.92,1.92,0
203,2012-10-25,1.92,1.92,1.92,1.92,0
204,2012-10-26,1.92,1.92,1.92,1.92,0
205,2012-10-29,1.92,1.92,1.92,1.92,0
206,2012-10-30,1.92,1.92,1.92,1.92,0
207,2012-10-31,1.92,1.92,1.92,1.92,0
208,2012-11-01,1.92,1.92,1.92,1.92,0
209,2012-11-02,1.92,1.92,1.92,1.92,0
210,2012-11-05,1.92,1.92,1.92,1.92,0
211,2012-11-06,1.92,1.92,1.92,1.92,0
212,2012-11-07,1.92,1.92,1.92,1.92,0
213,2012-11-08,1.92,1.92,1.92,1.92,0
214,2012-11-09,1.92,1.92,1.92,1.92,0
215,2012-11-12,1.92,1.92,1.92,1.92,1000
216,2012-11-13,2.01,2.01,2.01,2.01,100
217,2012-11-14,2.11,2.11,2.11,2.11,500
218,2012-11-15,2.25,2.25,2.25,2.25,500
219,2012-11-16,2.4,2.4,2.4,2.4,500
220,2012-11-19,2.4,2.4,2.4,2.4,0
221,2012-11-20,2.4,2.4,2.4,2.4,0
222,2012-11-21,2.4,2.4,2.4,2.4,0
223,2012-11-22,2.25,2.25,2.25,2.25,100
224,2012-11-23,2.25,2.25,2.25,2.25,0
225,2012-11-26,2.25,2.25,2.25,2.25,0
226,2012-11-27,2.25,2.25,2.25,2.25,0
227,2012-11-28,2.25,2.25,2.25,2.25,0
228,2012-11-29,2.25,2.25,2.25,2.25,0
229,2012-11-30,2.4,2.4,2.4,2.4,500
230,2012-12-03,2.4,2.4,2.4,2.4,0
231,2012-12-04,2.49,2.49,2.49,2.49,100
232,2012-12-05,2.49,2.49,2.49,2.49,0
233,2012-12-06,2.49,2.49,2.49,2.49,0
234,2012-12-07,2.49,2.49,2.49,2.49,0
235,2012-12-10,2.49,2.49,2.49,2.49,0
236,2012-12-11,2.64,2.64,2.64,2.64,500
237,2012-12-12,2.64,2.64,2.64,2.64,0
238,2012-12-13,2.64,2.64,2.64,2.64,0
239,2012-12-14,2.64,2.64,2.64,2.64,0
240,2012-12-17,2.64,2.64,2.64,2.64,0
241,2012-12-18,2.64,2.64,2.64,2.64,0
242,2012-12-19,2.64,2.64,2.64,2.64,0
243,2012-12-20,2.64,2.64,2.64,2.64,0
244,2012-12-21,2.64,2.64,2.64,2.64,0
245,2012-12-24,2.64,2.64,2.64,2.64,0
246,2012-12-25,2.64,2.64,2.64,2.64,0
247,2012-12-26,2.78,2.78,2.78,2.78,4500
248,2012-12-27,2.78,2.78,2.78,2.78,0
249,2012-12-28,2.78,2.78,2.78,2.78,0
250,2013-01-02,2.78,2.78,2.78,2.78,0
251,2013-01-03,2.78,2.78,2.78,2.78,0
252,2013-01-04,2.78,2.78,2.78,2.78,0
253,2013-01-07,2.78,2.78,2.78,2.78,0
254,2013-01-08,2.59,2.59,2.59,2.59,100
255,2013-01-09,2.59,2.59,2.59,2.59,0
256,2013-01-10,2.44,2.44,2.44,2.44,100
257,2013-01-11,2.44,2.44,2.44,2.44,0
258,2013-01-14,2.44,2.44,2.44,2.44,0
259,2013-01-15,2.44,2.44,2.44,2.44,0
260,2013-01-16,2.44,2.44,2.44,2.44,0
261,2013-01-17,2.44,2.44,2.44,2.44,0
262,2013-01-18,2.44,2.44,2.44,2.44,0
263,2013-01-21,2.49,2.49,2.49,2.49,100
264,2013-01-22,2.49,2.49,2.49,2.49,0
265,2013-01-23,2.49,2.49,2.49,2.49,0
266,2013-01-24,2.49,2.49,2.49,2.49,0
267,2013-01-25,2.49,2.49,2.49,2.49,0
268,2013-01-28,2.49,2.49,2.49,2.49,0
269,2013-01-29,2.49,2.49,2.49,2.49,0
270,2013-01-30,2.49,2.49,2.49,2.49,0
271,2013-01-31,2.49,2.49,2.49,2.49,0
272,2013-02-01,2.49,2.49,2.49,2.49,0
273,2013-02-04,2.49,2.49,2.49,2.49,0
274,2013-02-05,2.49,2.49,2.49,2.49,0
275,2013-02-06,2.49,2.49,2.49,2.49,0
276,2013-02-07,2.49,2.49,2.49,2.49,0
277,2013-02-08,2.49,2.49,2.49,2.49,0
278,2013-02-18,2.73,2.73,2.73,2.73,200
279,2013-02-19,2.49,2.49,2.49,2.49,500
280,2013-02-20,2.49,2.49,2.49,2.49,0
281,2013-02-21,2.73,2.73,2.73,2.73,100
282,2013-02-22,2.97,2.97,2.97,2.97,1100
283,2013-02-25,3.26,3.26,3.26,3.26,100
284,2013-02-26,2.97,2.97,2.97,2.97,100
285,2013-02-27,2.78,2.78,2.78,2.78,100
286,2013-02-28,2.78,2.78,2.78,2.78,0
287,2013-03-01,2.78,2.78,2.78,2.78,0
288,2013-03-04,2.78,2.78,2.78,2.78,0
289,2013-03-05,2.59,3.02,2.59,3.02,300
290,2013-03-06,2.73,2.73,2.73,2.73,100
291,2013-03-07,2.73,2.73,2.73,2.73,0
292,2013-03-08,2.49,2.97,2.49,2.97,600
