,time,open,high,low,close,volume
0,2012-01-03,4.39,4.39,4.39,4.39,100
1,2012-01-04,4.13,4.13,4.13,4.13,100
2,2012-01-05,3.87,3.87,3.87,3.87,2000
3,2012-01-06,3.61,3.61,3.61,3.61,500
4,2012-01-09,3.61,3.82,3.61,3.82,400
5,2012-01-10,4.03,4.03,3.51,3.51,1600
6,2012-01-11,3.77,3.77,3.36,3.41,1800
7,2012-01-12,3.25,3.25,3.2,3.2,5300
8,2012-01-13,2.99,3.15,2.99,3.15,10200
9,2012-01-16,2.89,2.89,2.89,2.89,2000
10,2012-01-17,3.05,3.05,3.05,3.05,3000
11,2012-01-18,3.25,3.25,3.25,3.25,100
12,2012-01-19,3.46,3.46,3.46,3.46,200
13,2012-01-20,3.3,3.3,3.3,3.3,500
14,2012-01-30,3.1,3.46,3.1,3.46,7000
15,2012-01-31,3.46,3.51,3.41,3.51,21600
16,2012-02-01,3.51,3.56,3.51,3.56,4000
17,2012-02-02,3.51,3.72,3.51,3.72,9400
18,2012-02-03,3.82,3.82,3.82,3.82,200
19,2012-02-06,3.56,3.56,3.56,3.56,2600
20,2012-02-07,3.36,3.36,3.36,3.36,100
21,2012-02-08,3.2,3.56,3.2,3.56,9100
22,2012-02-09,3.61,3.61,3.61,3.61,3200
23,2012-02-10,3.41,3.82,3.41,3.82,300
24,2012-02-13,3.51,3.87,3.51,3.87,1400
25,2012-02-14,3.87,3.87,3.87,3.87,0
26,2012-02-15,3.67,3.87,3.67,3.72,6400
27,2012-02-16,3.56,4.03,3.56,3.87,1800
28,2012-02-17,3.87,3.92,3.72,3.92,4000
29,2012-02-20,4.08,4.13,4.08,4.13,5900
30,2012-02-21,4.39,4.39,4.18,4.18,10800
31,2012-02-22,4.23,4.54,4.23,4.54,2700
32,2012-02-23,4.7,4.75,4.7,4.75,9500
33,2012-02-24,4.9,5.01,4.44,5.01,8200
34,2012-02-27,4.54,5.16,4.54,5.11,11600
35,2012-02-28,5.16,5.16,4.9,4.96,1400
36,2012-02-29,5.27,5.27,4.65,4.96,2600
37,2012-03-01,5.06,5.06,4.75,4.96,4100
38,2012-03-02,4.96,4.96,4.65,4.65,2300
