,time,open,high,low,close,volume
0,2012-01-03,15.09,15.09,15.09,15.09,100
1,2012-01-04,14.15,15.09,14.15,15.09,2500
2,2012-01-05,15.09,15.09,15.09,15.09,0
3,2012-01-06,13.56,15.15,13.56,15.15,2400
4,2012-01-09,13.15,13.15,13.15,13.15,900
5,2012-01-10,13.56,13.56,13.56,13.56,1000
6,2012-01-11,14.5,14.5,14.44,14.44,5300
7,2012-01-12,13.56,14.15,13.56,14.15,1300
8,2012-01-13,14.15,14.15,14.15,14.15,0
9,2012-01-16,13.68,13.74,13.68,13.74,900
10,2012-01-17,13.74,13.74,13.74,13.74,0
11,2012-01-18,13.74,13.74,13.74,13.74,0
12,2012-01-19,13.68,13.68,13.68,13.68,1000
13,2012-01-20,13.68,13.68,13.68,13.68,6700
14,2012-01-30,13.68,13.68,13.68,13.68,1000
15,2012-01-31,13.68,13.68,13.68,13.68,1000
16,2012-02-01,13.56,13.56,13.56,13.56,500
17,2012-02-02,14.15,14.21,13.85,14.15,11100
18,2012-02-03,14.15,14.44,14.15,14.33,15800
19,2012-02-06,15.21,15.33,14.21,15.33,21900
20,2012-02-07,15.33,15.56,14.74,15.33,33800
21,2012-02-08,15.56,15.62,15.33,15.33,16500
22,2012-02-09,15.33,15.33,14.44,15.33,6600
23,2012-02-10,13.8,13.8,13.8,13.8,800
24,2012-02-13,13.21,13.21,13.21,13.21,200
25,2012-02-14,13.21,13.21,13.21,13.21,0
26,2012-02-15,13.21,13.21,13.21,13.21,0
27,2012-02-16,14.09,14.09,14.09,14.09,1100
28,2012-02-17,14.44,14.44,14.44,14.44,2000
29,2012-02-20,14.86,15.33,14.86,15.33,3800
30,2012-02-21,14.74,14.74,14.74,14.74,100
31,2012-02-22,15.62,15.62,15.62,15.62,2000
32,2012-02-23,15.92,16.27,15.92,16.21,4600
33,2012-02-24,15.03,15.03,15.03,15.03,100
34,2012-02-27,15.86,15.86,15.86,15.86,100
35,2012-02-28,15.33,15.33,15.33,15.33,100
36,2012-02-29,14.44,15.33,14.44,15.33,4500
37,2012-03-01,14.92,14.92,14.92,14.92,3600
38,2012-03-02,14.92,15.92,14.92,15.92,23000
39,2012-03-05,15.92,16.98,15.92,16.98,14400
40,2012-03-06,16.98,16.98,16.98,16.98,0
