,time,open,high,low,close,volume
0,2022-07-13,7.88,7.88,7.88,7.88,100
1,2022-07-14,9.06,9.06,9.06,9.06,100
2,2022-07-15,10.39,10.39,10.39,10.39,16700
3,2022-07-18,11.93,11.93,11.93,11.93,100
4,2022-07-19,13.67,13.67,11.88,11.88,12100
5,2022-07-20,11.88,15.36,11.36,13.87,6700
6,2022-07-21,12.34,12.44,12.29,12.34,10800
7,2022-07-22,12.34,12.39,11.93,12.39,6000
8,2022-07-25,11.57,12.23,11.52,12.23,3900
9,2022-07-26,13.36,13.82,13.16,13.72,15200
10,2022-07-27,13.46,14.23,13.46,14.08,2700
11,2022-07-28,13.72,13.97,13.36,13.97,1800
12,2022-07-29,13.97,13.97,12.54,13.87,19800
13,2022-08-01,13.62,13.62,13.41,13.62,14200
14,2022-08-02,13.51,15.36,13.51,15.36,19800
15,2022-08-03,15.36,15.61,15.05,15.31,14500
16,2022-08-04,15.31,15.82,15.31,15.77,15200
17,2022-08-05,15.46,15.87,15.46,15.87,5600
18,2022-08-08,15.61,15.87,15.61,15.61,5700
19,2022-08-09,15.61,15.66,15.51,15.61,1600
20,2022-08-10,15.56,17.87,15.56,17.87,17600
21,2022-08-11,16.89,17.81,16.79,17.35,9600
22,2022-08-12,16.89,17.4,16.74,16.74,9200
23,2022-08-15,16.74,17.61,16.12,17.61,17400
24,2022-08-16,16.64,17.05,16.28,16.33,8300
25,2022-08-17,16.38,16.64,16.28,16.64,5000
26,2022-08-18,16.12,16.12,15.61,15.61,3500
27,2022-08-19,15.72,16.74,15.61,16.74,8300
28,2022-08-22,15.87,17.05,15.66,16.59,14600
29,2022-08-23,16.12,16.84,16.12,16.74,5900
30,2022-08-24,16.33,17.71,16.33,17.71,13100
31,2022-08-25,16.84,18.07,16.84,18.07,12100
32,2022-08-26,17.4,18.17,17.4,17.87,7800
33,2022-08-29,17.66,18.12,16.53,18.12,12000
34,2022-08-30,17.15,17.87,16.53,17.87,11300
35,2022-08-31,17.05,18.12,16.84,16.84,15500
36,2022-09-05,17.3,17.56,16.33,16.59,10700
37,2022-09-06,16.64,16.99,16.38,16.38,5300
38,2022-09-07,16.59,16.64,15.36,15.36,7200
39,2022-09-08,15.61,15.97,15.56,15.66,3800
40,2022-09-09,15.61,16.33,15.61,16.18,7000
41,2022-09-12,15.87,16.48,15.87,16.48,5400
42,2022-09-13,16.02,16.12,15.56,15.97,7300
43,2022-09-14,15.51,15.66,15.41,15.51,3400
44,2022-09-15,15.25,15.61,15.2,15.36,6800
45,2022-09-16,15.2,15.46,15.0,15.31,6200
46,2022-09-19,15.0,15.0,14.64,14.79,4500
