,time,open,high,low,close,volume
0,2017-07-20,5.39,0.0,0.0,0.0,0
1,2017-07-21,5.39,5.39,5.39,5.39,0
2,2017-07-24,7.52,7.52,7.52,7.52,100
3,2017-07-25,8.62,8.62,8.62,8.62,200
4,2017-07-26,9.91,9.91,9.91,9.91,200
5,2017-07-27,11.4,11.4,11.4,11.4,5500
6,2017-07-28,11.4,11.4,11.4,11.4,0
7,2017-07-31,9.69,9.69,9.69,9.69,100
8,2017-08-01,8.24,8.24,8.24,8.24,200
9,2017-08-02,9.08,9.08,9.08,9.08,100
10,2017-08-03,9.08,9.08,9.08,9.08,1000
11,2017-08-04,9.08,9.08,9.08,9.08,0
12,2017-08-07,7.75,7.75,7.75,7.75,2600
13,2017-08-08,7.75,7.75,7.75,7.75,0
14,2017-08-09,7.75,7.75,7.75,7.75,0
15,2017-08-10,6.61,6.61,6.61,6.61,400
16,2017-08-11,7.56,7.56,7.56,7.56,100
17,2017-08-14,7.56,7.56,7.56,7.56,0
18,2017-08-15,7.56,7.56,7.56,7.56,0
19,2017-08-16,8.32,8.32,8.32,8.32,100
20,2017-08-17,8.32,8.32,8.32,8.32,0
21,2017-08-18,8.32,8.32,8.32,8.32,0
22,2017-08-21,8.32,8.32,8.32,8.32,0
23,2017-08-22,7.1,8.74,7.1,7.6,800
24,2017-08-23,6.46,6.46,6.46,6.46,600
25,2017-08-24,7.18,7.22,7.18,7.22,400
26,2017-08-25,6.12,6.12,6.12,6.12,200
27,2017-08-28,6.31,7.03,6.31,7.03,400
28,2017-08-29,7.03,7.03,7.03,7.03,100
29,2017-08-30,7.03,7.03,7.03,7.03,0
30,2017-08-31,7.03,7.03,7.03,7.03,0
31,2017-09-01,7.6,7.6,7.6,7.6,100
32,2017-09-05,6.46,6.46,6.46,6.46,100
33,2017-09-06,6.46,6.46,6.46,6.46,0
34,2017-09-07,6.46,6.46,6.46,6.46,0
35,2017-09-08,6.46,6.46,6.46,6.46,0
36,2017-09-11,6.46,6.46,6.46,6.46,0
37,2017-09-12,6.46,6.46,6.46,6.46,0
38,2017-09-13,6.8,6.8,6.46,6.46,300
39,2017-09-14,6.57,6.57,6.57,6.57,0
40,2017-09-15,6.57,6.57,6.57,6.57,0
41,2017-09-18,6.46,6.46,6.46,6.46,800
42,2017-09-19,6.38,6.38,6.38,6.38,200
43,2017-09-20,6.38,6.38,6.38,6.38,0
44,2017-09-21,6.08,6.08,6.08,6.08,1000
45,2017-09-22,6.08,6.08,6.08,6.08,0
46,2017-09-25,6.08,6.08,6.08,6.08,0
