,time,open,high,low,close,volume
0,2015-09-24,10.08,10.08,10.08,10.08,300
1,2015-09-25,11.57,11.57,11.57,11.57,100
2,2015-09-28,9.93,9.93,9.86,9.86,500
3,2015-09-29,9.86,9.86,9.86,9.86,0
4,2015-09-30,9.86,9.86,9.86,9.86,0
5,2015-10-01,9.86,9.86,9.86,9.86,0
6,2015-10-02,9.86,9.86,9.86,9.86,0
7,2015-10-05,9.86,9.86,9.86,9.86,0
8,2015-10-06,9.86,9.86,9.86,9.86,0
9,2015-10-07,9.86,9.86,9.86,9.86,0
10,2015-10-08,9.86,9.86,9.86,9.86,0
11,2015-10-09,9.86,9.86,9.86,9.86,0
12,2015-10-12,9.86,9.86,9.86,9.86,0
13,2015-10-13,9.86,9.86,9.86,9.86,0
14,2015-10-14,9.86,9.86,9.86,9.86,0
15,2015-10-15,9.86,9.86,9.86,9.86,0
16,2015-10-16,8.44,8.44,8.44,8.44,1000
17,2015-10-19,8.44,8.44,8.44,8.44,0
18,2015-10-20,8.44,8.44,8.44,8.44,0
19,2015-10-21,8.44,8.44,8.44,8.44,0
20,2015-10-22,8.44,8.44,8.44,8.44,0
21,2015-10-23,8.44,8.44,8.44,8.44,0
22,2015-10-26,8.44,8.44,8.44,8.44,0
23,2015-10-27,8.44,8.44,8.44,8.44,0
24,2015-10-28,8.44,8.44,8.44,8.44,0
25,2015-10-29,8.44,8.44,8.44,8.44,0
26,2015-10-30,8.44,8.44,8.44,8.44,1000
27,2015-11-02,7.45,7.45,7.45,7.45,1000
28,2015-11-03,7.45,7.45,7.45,7.45,0
29,2015-11-04,7.45,7.45,7.45,7.45,0
30,2015-11-05,8.52,8.52,8.52,8.52,200
31,2015-11-06,8.52,8.52,8.52,8.52,0
32,2015-11-09,8.52,8.52,8.52,8.52,0
33,2015-11-10,8.52,8.52,8.52,8.52,0
34,2015-11-11,8.52,8.52,8.52,8.52,0
35,2015-11-12,8.52,8.52,8.52,8.52,0
36,2015-11-13,7.24,7.24,7.24,7.24,100
37,2015-11-16,7.24,7.24,7.24,7.24,0
38,2015-11-17,7.24,7.24,7.24,7.24,0
39,2015-11-18,6.17,6.17,6.17,6.17,100
40,2015-11-19,6.17,6.17,6.17,6.17,0
41,2015-11-20,6.17,6.17,6.17,6.17,0
42,2015-11-23,6.17,6.17,6.17,6.17,0
43,2015-11-24,6.17,6.17,6.17,6.17,0
44,2015-11-25,6.17,6.17,6.17,6.17,0
45,2015-11-26,6.17,6.17,6.17,6.17,0
46,2015-11-27,6.17,6.17,6.17,6.17,0
