,time,open,high,low,close,volume
0,2014-09-29,4.65,4.65,4.52,4.65,2604800
1,2014-09-30,5.11,5.11,5.11,5.11,425690
2,2014-10-01,5.61,5.61,5.61,5.61,1125625
3,2014-10-02,6.17,6.17,5.64,6.14,1980565
4,2014-10-03,6.2,6.48,6.01,6.14,770850
5,2014-10-06,6.14,6.2,5.64,5.64,801205
6,2014-10-07,5.64,5.89,5.49,5.7,1044220
7,2014-10-08,5.73,5.83,5.3,5.3,963660
8,2014-10-09,5.3,5.42,5.14,5.18,776090
9,2014-10-10,5.21,5.21,4.9,4.9,1184660
10,2014-10-13,4.9,4.9,4.77,4.83,603690
11,2014-10-14,4.83,5.05,4.8,4.93,473790
12,2014-10-15,4.93,4.96,4.46,4.83,634900
13,2014-10-16,4.83,4.9,4.65,4.77,614740
14,2014-10-17,4.77,4.96,4.77,4.96,500900
15,2014-10-20,5.05,5.05,4.8,4.93,349900
16,2014-10-21,4.87,4.93,4.8,4.9,122700
17,2014-10-22,4.83,4.93,4.83,4.93,250410
18,2014-10-23,4.93,5.27,4.87,5.02,487603
19,2014-10-24,4.96,5.18,4.96,5.05,232410
20,2014-10-27,5.02,5.14,4.96,5.02,303500
21,2014-10-28,5.02,5.05,4.9,5.02,213800
22,2014-10-29,4.99,5.3,4.99,5.18,821900
23,2014-10-30,5.18,5.39,5.14,5.21,633930
24,2014-10-31,5.27,5.3,5.18,5.27,676620
25,2014-11-03,5.3,5.49,5.3,5.39,1342200
26,2014-11-04,5.42,5.42,5.3,5.3,555815
27,2014-11-05,5.3,5.33,5.14,5.24,806800
28,2014-11-06,5.24,5.27,5.11,5.11,644140
29,2014-11-07,5.14,5.21,5.11,5.18,713500
30,2014-11-10,5.21,5.42,5.21,5.36,1300900
31,2014-11-11,5.36,5.39,5.27,5.27,879740
32,2014-11-12,5.27,5.33,5.24,5.27,1040350
33,2014-11-13,5.27,5.27,5.21,5.27,615420
34,2014-11-14,5.27,5.42,5.24,5.33,1872510
