,time,open,high,low,close,volume
0,2015-05-21,3.77,4.93,3.77,4.93,800
1,2015-05-22,4.73,4.73,4.04,4.28,700
2,2015-05-25,3.87,3.87,3.87,3.87,1000
3,2015-05-26,3.49,3.49,3.49,3.49,100
4,2015-05-27,3.49,3.49,3.49,3.49,5
5,2015-05-28,3.49,3.49,3.49,3.49,0
6,2015-05-29,3.42,3.42,3.42,3.42,700
7,2015-06-01,3.08,3.08,3.08,3.08,105
8,2015-06-02,3.08,3.08,3.08,3.08,500
9,2015-06-03,3.08,3.08,3.08,3.08,0
10,2015-06-04,3.39,3.39,3.39,3.39,100
11,2015-06-05,3.29,3.29,3.29,3.29,100
12,2015-06-08,3.56,3.56,3.49,3.53,1400
13,2015-06-09,3.63,3.63,3.53,3.53,2000
14,2015-06-10,3.56,3.6,3.56,3.56,10200
15,2015-06-11,3.7,3.7,3.7,3.7,1000
16,2015-06-12,3.7,3.7,3.63,3.63,2000
17,2015-06-15,3.63,3.63,3.63,3.63,0
18,2015-06-16,3.56,3.56,3.56,3.56,100
19,2015-06-17,3.56,3.56,3.56,3.56,100
20,2015-06-18,3.56,3.56,3.56,3.56,0
21,2015-06-19,3.56,3.56,3.56,3.56,0
22,2015-06-22,3.56,3.56,3.56,3.56,0
23,2015-06-23,3.56,3.56,3.56,3.56,0
24,2015-06-24,3.56,3.56,3.56,3.56,0
25,2015-06-25,3.53,3.53,3.53,3.53,100
26,2015-06-26,3.25,3.56,3.25,3.56,400
27,2015-06-29,3.56,3.56,3.56,3.56,0
28,2015-06-30,3.56,3.56,3.56,3.56,0
29,2015-07-01,3.56,3.56,3.56,3.56,0
30,2015-07-02,2.91,2.91,2.91,2.91,100
31,2015-07-03,2.91,2.91,2.91,2.91,0
32,2015-07-06,2.91,2.91,2.91,2.91,0
33,2015-07-07,2.91,2.91,2.91,2.91,0
34,2015-07-08,2.91,2.91,2.91,2.91,0
35,2015-07-09,3.32,3.32,3.32,3.32,300
