,time,open,high,low,close,volume
0,2012-01-03,10.57,10.57,10.14,10.57,149900
1,2012-01-04,10.06,10.23,10.06,10.23,196210
2,2012-01-05,10.06,10.23,9.97,10.14,208720
3,2012-01-06,10.14,10.14,9.97,10.14,210020
4,2012-01-09,10.06,10.23,9.97,10.14,147620
5,2012-01-10,10.14,10.49,10.14,10.31,159710
6,2012-01-11,10.31,10.4,10.14,10.31,166420
7,2012-01-12,10.31,10.31,9.97,10.23,165590
8,2012-01-13,10.23,10.23,10.06,10.06,171410
9,2012-01-16,10.06,10.14,9.88,9.88,166530
10,2012-01-17,9.88,9.88,9.54,9.54,178620
11,2012-01-18,9.2,9.54,9.11,9.54,207460
12,2012-01-19,9.54,9.54,9.45,9.54,167730
13,2012-01-20,9.45,9.54,9.11,9.54,205840
14,2012-01-30,9.63,9.97,9.63,9.97,147030
15,2012-01-31,9.97,10.06,9.8,10.06,183540
16,2012-02-01,10.06,10.06,9.8,9.97,147400
17,2012-02-02,9.97,9.97,9.63,9.8,195060
18,2012-02-03,9.63,9.8,9.37,9.8,162500
19,2012-02-06,10.14,10.14,9.63,10.14,165130
20,2012-02-07,9.88,10.06,9.71,10.06,167730
21,2012-02-08,9.88,9.88,9.63,9.63,182980
22,2012-02-09,9.63,9.63,9.2,9.2,144580
23,2012-02-10,9.02,9.45,8.94,9.45,134260
24,2012-02-13,9.2,9.45,9.11,9.45,100800
25,2012-02-14,9.45,9.54,9.11,9.11,117710
26,2012-02-15,8.77,9.11,8.77,9.11,132610
27,2012-02-16,9.02,9.11,8.94,9.11,110960
28,2012-02-17,9.11,9.28,9.02,9.2,149500
29,2012-02-20,9.2,9.54,8.94,9.45,174560
30,2012-02-21,9.45,9.45,9.11,9.11,188500
31,2012-02-22,9.45,9.54,9.11,9.54,139550
32,2012-02-23,9.71,9.88,9.54,9.8,169190
33,2012-02-24,10.14,10.14,9.71,9.88,166150
34,2012-02-27,10.06,10.31,9.8,10.31,222030
35,2012-02-28,10.57,10.83,9.88,10.83,180960
36,2012-02-29,10.66,10.83,10.4,10.66,155120
37,2012-03-01,10.23,10.74,10.14,10.74,212300
38,2012-03-02,10.74,10.92,10.49,10.92,212510
39,2012-03-05,10.92,11.43,10.92,11.43,317120
40,2012-03-06,11.78,11.78,11.26,11.43,154990
41,2012-03-07,11.17,11.78,10.92,11.78,259180
42,2012-03-08,11.43,11.69,11.35,11.6,124720
43,2012-03-09,11.43,11.43,11.09,11.26,188420
44,2012-03-12,11.26,11.26,10.74,10.74,176680
45,2012-03-13,10.49,11.17,10.49,11.17,177270
46,2012-03-14,11.17,11.43,11.17,11.17,227060
47,2012-03-15,11.0,11.69,10.92,11.69,234260
48,2012-03-16,11.86,11.86,11.43,11.6,80930
49,2012-03-19,11.17,11.43,11.17,11.43,239710
50,2012-03-20,11.17,11.52,11.17,11.52,181720
51,2012-03-21,11.52,11.78,11.43,11.52,183810
52,2012-03-22,11.35,11.6,11.35,11.6,144300
53,2012-03-23,11.35,11.35,11.17,11.26,121800
54,2012-03-26,11.09,11.52,10.83,11.52,206940
55,2012-03-27,11.52,11.69,11.35,11.52,129400
56,2012-03-28,11.35,12.03,11.26,12.03,153110
57,2012-03-29,11.86,12.03,11.43,11.78,215700
58,2012-03-30,11.26,11.52,11.26,11.52,210780
59,2012-04-03,11.26,11.35,11.0,11.0,137260
60,2012-04-04,10.92,11.09,10.83,10.92,163210
61,2012-04-05,10.74,11.09,10.74,11.09,172030
62,2012-04-06,10.57,11.26,10.57,10.83,185620
63,2012-04-09,11.17,11.26,10.74,11.26,141150
64,2012-04-10,11.35,11.43,11.0,11.43,191490
65,2012-04-11,11.52,11.95,11.35,11.95,152220
66,2012-04-12,12.03,12.03,11.52,11.95,185160
67,2012-04-13,11.95,12.46,11.6,12.46,186410
68,2012-04-16,12.89,12.89,12.38,12.81,187650
69,2012-04-17,12.89,13.32,12.46,13.32,154480
70,2012-04-18,12.89,13.32,12.72,12.72,172380
71,2012-04-19,12.12,12.72,12.12,12.63,140280
72,2012-04-20,12.55,12.72,12.03,12.55,144330
73,2012-04-23,12.38,12.46,12.2,12.46,161930
74,2012-04-24,12.12,12.12,11.86,11.86,170540
75,2012-04-25,11.86,12.29,11.52,11.95,166790
76,2012-04-26,11.52,12.2,11.43,12.2,264580
77,2012-04-27,11.86,12.81,11.78,12.81,161480
78,2012-05-02,12.81,12.89,12.2,12.2,121450
79,2012-05-03,11.6,11.6,11.6,11.6,78020
80,2012-05-04,11.6,11.69,11.09,11.69,205070
81,2012-05-07,11.69,11.95,11.17,11.95,211930
82,2012-05-08,11.43,11.78,11.43,11.43,113610
83,2012-05-09,11.43,11.86,11.43,11.78,192440
84,2012-05-10,11.69,11.95,11.6,11.6,186140
85,2012-05-11,11.52,11.6,11.35,11.43,175880
86,2012-05-14,11.43,11.43,11.17,11.43,78380
87,2012-05-15,11.35,11.35,11.0,11.09,129360
88,2012-05-16,10.66,11.09,10.57,10.57,171740
89,2012-05-17,10.57,10.66,10.31,10.57,213080
90,2012-05-18,10.83,10.83,10.31,10.49,173890
91,2012-05-21,10.66,10.92,10.49,10.57,103280
92,2012-05-22,10.74,11.09,10.57,11.09,154580
93,2012-05-23,11.26,11.26,10.66,10.92,130770
94,2012-05-24,10.83,10.83,10.4,10.4,130580
95,2012-05-25,10.4,10.92,9.97,10.83,78680
96,2012-05-28,11.0,11.26,10.31,11.09,142550
97,2012-05-29,11.17,11.17,10.57,10.83,123020
98,2012-05-30,10.83,10.92,10.31,10.92,181120
99,2012-05-31,10.83,10.83,10.4,10.4,164830
100,2012-06-01,10.4,10.4,9.88,10.4,171660
101,2012-06-04,10.49,10.57,9.88,10.23,242970
102,2012-06-05,10.14,10.31,9.8,10.23,182630
103,2012-06-06,10.23,10.31,9.8,10.23,245340
104,2012-06-07,9.88,10.4,9.8,10.4,175570
105,2012-06-08,10.57,10.57,10.31,10.4,247140
106,2012-06-11,10.4,10.4,9.88,10.06,189270
107,2012-06-12,9.97,10.14,9.63,10.14,221570
108,2012-06-13,9.88,9.97,9.71,9.97,135060
109,2012-06-14,9.8,9.88,9.54,9.8,180330
110,2012-06-15,9.8,9.97,9.45,9.88,214380
111,2012-06-18,9.88,9.88,9.45,9.8,379310
112,2012-06-19,9.45,9.8,9.37,9.63,182720
113,2012-06-20,9.63,9.63,9.2,9.37,313940
114,2012-06-21,9.02,9.45,9.02,9.45,207520
115,2012-06-22,9.45,9.45,9.02,9.02,199680
116,2012-06-25,8.59,8.94,8.59,8.77,68670
117,2012-06-26,8.42,8.42,8.34,8.34,1220
118,2012-06-27,7.99,7.99,7.99,7.99,1880
119,2012-06-28,7.65,7.65,7.65,7.65,1100
120,2012-06-29,7.31,7.99,7.31,7.99,166970
121,2012-07-02,8.08,8.08,7.65,7.65,57610
122,2012-07-03,7.31,7.65,7.31,7.65,52480
123,2012-07-04,7.31,7.74,7.31,7.31,25890
124,2012-07-05,6.96,7.22,6.96,7.22,112070
125,2012-07-06,6.96,7.48,6.96,7.22,66870
126,2012-07-09,7.31,7.31,6.88,7.22,57810
127,2012-07-10,7.13,7.48,7.13,7.48,27600
128,2012-07-11,7.39,7.74,7.31,7.74,24970
129,2012-07-12,7.56,7.82,7.56,7.74,49060
130,2012-07-13,7.74,7.99,7.74,7.91,55180
131,2012-07-16,7.74,7.82,7.56,7.56,71980
132,2012-07-17,7.56,7.82,7.56,7.74,38630
133,2012-07-18,7.74,7.74,7.39,7.65,18010
134,2012-07-19,7.65,7.82,7.48,7.74,55230
135,2012-07-20,7.82,7.91,7.65,7.74,70610
136,2012-07-23,7.74,7.74,7.48,7.48,22070
137,2012-07-24,7.48,7.48,7.31,7.39,21330
138,2012-07-25,7.39,7.39,7.31,7.39,4360
139,2012-07-26,7.56,7.56,7.13,7.48,25850
140,2012-07-27,7.48,7.65,7.31,7.39,95460
141,2012-07-30,7.31,7.31,7.05,7.05,65850
