,time,open,high,low,close,volume
0,2012-01-03,3.68,3.68,3.59,3.59,1000
1,2012-01-04,3.78,3.78,3.49,3.49,10500
2,2012-01-05,3.59,3.59,3.4,3.4,25400
3,2012-01-06,3.49,3.49,3.3,3.3,22600
4,2012-01-09,3.21,3.21,3.21,3.21,5200
5,2012-01-10,3.3,3.4,3.21,3.3,13900
6,2012-01-11,3.4,3.4,3.21,3.21,2200
7,2012-01-12,3.4,3.4,3.21,3.21,8000
8,2012-01-13,3.12,3.12,3.12,3.12,1000
9,2012-01-16,2.93,3.12,2.93,3.02,3200
10,2012-01-17,3.02,3.12,3.02,3.12,8000
11,2012-01-18,2.93,3.3,2.93,3.3,29200
12,2012-01-19,3.4,3.4,3.3,3.3,6100
13,2012-01-20,3.3,3.49,3.3,3.4,16000
14,2012-01-30,3.49,3.59,3.49,3.59,7300
15,2012-01-31,3.78,3.78,3.59,3.59,3200
16,2012-02-01,3.68,3.68,3.68,3.68,7400
17,2012-02-02,3.68,3.78,3.68,3.78,13600
18,2012-02-03,3.68,3.78,3.49,3.49,28800
19,2012-02-06,3.49,3.59,3.49,3.59,6300
20,2012-02-07,3.4,3.49,3.4,3.49,13800
21,2012-02-08,3.4,3.59,3.4,3.59,4700
22,2012-02-09,3.68,3.68,3.3,3.68,97800
23,2012-02-10,3.59,3.68,3.59,3.59,49900
24,2012-02-13,3.49,3.78,3.49,3.68,29000
25,2012-02-14,3.59,3.87,3.49,3.87,91400
26,2012-02-15,3.87,3.87,3.87,3.87,1700
27,2012-02-16,4.06,4.06,4.06,4.06,31700
28,2012-02-17,4.25,4.25,3.78,3.87,31100
29,2012-02-20,4.06,4.06,3.68,3.68,172100
30,2012-02-21,3.68,3.87,3.49,3.59,89200
31,2012-02-22,3.68,3.78,3.68,3.78,18700
32,2012-02-23,3.78,3.97,3.78,3.97,39800
33,2012-02-24,3.97,4.06,3.78,3.78,66600
34,2012-02-27,3.78,4.15,3.78,4.15,146500
35,2012-02-28,4.34,4.34,4.15,4.34,155200
36,2012-02-29,4.34,4.44,4.15,4.44,47500
37,2012-03-01,4.34,4.63,4.34,4.63,153200
38,2012-03-02,4.81,4.81,4.81,4.81,47200
39,2012-03-05,5.1,5.1,5.1,5.1,17100
40,2012-03-06,5.38,5.38,5.29,5.38,178100
41,2012-03-07,5.48,5.48,5.1,5.1,165800
42,2012-03-08,4.81,4.91,4.81,4.81,46700
43,2012-03-09,4.53,4.81,4.53,4.53,100000
44,2012-03-12,4.25,4.34,4.25,4.25,38400
45,2012-03-13,4.06,4.25,3.97,4.15,90100
46,2012-03-14,4.15,4.15,3.97,4.15,67200
47,2012-03-15,3.97,4.44,3.87,4.34,31600
48,2012-03-16,4.44,4.44,4.34,4.44,71600
49,2012-03-19,4.53,4.53,4.25,4.25,30100
50,2012-03-20,4.34,4.44,4.15,4.44,123500
51,2012-03-21,4.34,4.44,4.34,4.44,93700
52,2012-03-22,4.44,4.53,4.34,4.44,63100
53,2012-03-23,4.15,4.72,4.15,4.63,232600
54,2012-03-26,4.72,4.72,4.63,4.72,111100
