,time,open,high,low,close,volume
0,2012-01-03,5.45,5.57,5.45,5.57,3970
1,2012-01-04,5.57,5.57,5.57,5.57,0
2,2012-01-05,5.69,5.69,5.69,5.69,3000
3,2012-01-06,5.69,5.69,5.69,5.69,2110
4,2012-01-09,5.57,5.57,5.57,5.57,1030
5,2012-01-10,5.57,5.69,5.57,5.69,1990
6,2012-01-11,5.62,5.62,5.57,5.57,2040
7,2012-01-12,5.57,5.57,5.57,5.57,1150
8,2012-01-13,5.57,5.57,5.57,5.57,10
9,2012-01-16,5.62,5.69,5.62,5.69,1520
10,2012-01-17,5.69,5.97,5.69,5.97,3230
11,2012-01-18,5.94,5.94,5.94,5.94,500
12,2012-01-19,6.06,6.06,5.94,5.94,4030
13,2012-01-20,6.06,6.06,6.06,6.06,500
14,2012-01-30,6.06,6.06,6.06,6.06,0
15,2012-01-31,6.06,6.14,6.06,6.14,5700
16,2012-02-01,6.06,6.06,6.01,6.01,7750
17,2012-02-02,5.94,5.94,5.94,5.94,4110
18,2012-02-03,5.92,5.92,5.92,5.92,1590
19,2012-02-06,5.94,5.94,5.89,5.89,2100
20,2012-02-07,5.82,5.89,5.82,5.89,1990
21,2012-02-08,5.89,5.89,5.89,5.89,0
22,2012-02-09,5.82,5.84,5.82,5.84,2270
23,2012-02-10,5.62,5.62,5.62,5.62,2000
24,2012-02-13,5.64,5.64,5.35,5.35,2190
25,2012-02-14,5.45,5.45,5.45,5.45,570
26,2012-02-15,5.35,5.35,5.35,5.35,450
27,2012-02-16,5.32,5.35,5.32,5.35,2600
28,2012-02-17,5.1,5.32,5.1,5.32,3600
29,2012-02-20,5.1,5.25,5.1,5.2,4290
30,2012-02-21,5.2,5.25,5.2,5.2,9290
31,2012-02-22,5.2,5.45,5.07,5.45,8790
32,2012-02-23,5.45,5.45,5.45,5.45,0
33,2012-02-24,5.45,5.5,5.35,5.47,8780
34,2012-02-27,5.45,5.69,5.32,5.69,4840
35,2012-02-28,5.69,5.69,5.45,5.69,2080
36,2012-02-29,5.96,5.96,5.96,5.96,1000
37,2012-03-01,6.24,6.24,6.24,6.24,10
38,2012-03-02,6.32,6.32,6.1,6.24,6090
39,2012-03-05,6.27,6.27,6.27,6.27,6000
40,2012-03-06,6.38,6.38,6.35,6.35,3280
41,2012-03-07,6.35,6.38,6.35,6.38,3500
42,2012-03-08,6.35,6.35,6.29,6.29,2000
43,2012-03-09,6.32,6.32,6.32,6.32,2000
44,2012-03-12,6.24,6.24,6.24,6.24,650
45,2012-03-13,6.35,6.35,6.24,6.24,1250
46,2012-03-14,6.24,6.24,6.24,6.24,1180
47,2012-03-15,6.1,6.24,6.1,6.24,1220
48,2012-03-16,6.38,6.38,6.38,6.38,10
49,2012-03-19,6.24,6.24,6.07,6.24,2280
50,2012-03-20,6.21,6.24,6.21,6.21,520
51,2012-03-21,6.38,6.38,5.9,6.32,580
52,2012-03-22,6.04,6.27,6.04,6.27,1010
53,2012-03-23,5.99,6.24,5.99,6.24,2350
54,2012-03-26,6.04,6.24,6.04,6.24,5010
55,2012-03-27,5.96,6.24,5.96,6.24,5010
56,2012-03-28,6.24,6.24,6.1,6.21,6210
57,2012-03-29,6.18,6.27,6.1,6.24,2720
58,2012-03-30,6.04,6.27,6.04,6.27,2750
59,2012-04-03,6.32,6.32,6.29,6.29,2000
60,2012-04-04,6.24,6.24,6.24,6.24,2900
61,2012-04-05,6.27,6.27,6.27,6.27,2500
62,2012-04-06,6.24,6.24,6.24,6.24,4000
63,2012-04-09,6.24,6.24,5.93,6.21,6000
64,2012-04-10,5.96,6.21,5.96,6.21,4000
65,2012-04-11,5.99,6.21,5.99,5.99,2070
66,2012-04-12,6.24,6.24,6.02,6.02,3510
67,2012-04-13,5.74,6.24,5.74,6.24,1480
68,2012-04-16,6.27,6.27,6.27,6.27,100
69,2012-04-17,6.24,6.24,6.24,6.24,1000
70,2012-04-18,6.24,6.24,6.24,6.24,0
71,2012-04-19,5.96,6.21,5.96,6.21,200
72,2012-04-20,6.21,6.21,6.1,6.1,1350
