,time,open,high,low,close,volume
0,2012-01-03,12.04,12.04,12.04,12.04,10
1,2012-01-04,12.42,12.42,12.42,12.42,50
2,2012-01-05,12.42,12.42,12.42,12.42,0
3,2012-01-06,12.42,12.42,12.42,12.42,0
4,2012-01-09,12.38,12.42,12.38,12.42,500
5,2012-01-10,12.42,12.42,12.42,12.42,0
6,2012-01-11,12.42,12.42,12.42,12.42,0
7,2012-01-12,12.42,12.42,11.82,11.82,20
8,2012-01-13,11.27,12.38,11.27,12.38,20
9,2012-01-16,12.38,12.38,12.38,12.38,0
10,2012-01-17,12.38,12.38,12.38,12.38,0
11,2012-01-18,12.38,12.38,12.38,12.38,0
12,2012-01-19,12.38,12.38,12.38,12.38,0
13,2012-01-20,12.38,12.38,12.38,12.38,0
14,2012-01-30,12.38,12.38,12.38,12.38,0
15,2012-01-31,12.42,12.42,12.42,12.42,20
16,2012-02-01,12.64,12.64,12.0,12.0,230
17,2012-02-02,12.0,12.0,12.0,12.0,0
18,2012-02-03,12.6,12.6,11.4,11.4,50
19,2012-02-06,10.88,10.92,10.88,10.88,1170
20,2012-02-07,10.88,10.88,10.41,10.41,440
21,2012-02-08,10.71,10.71,10.71,10.71,50
22,2012-02-09,11.22,11.22,11.22,11.22,20
23,2012-02-10,11.57,11.57,11.57,11.57,120
24,2012-02-13,11.57,11.57,11.1,11.1,220
25,2012-02-14,11.01,11.01,11.01,11.01,20
26,2012-02-15,10.5,11.01,10.5,11.01,560
27,2012-02-16,10.54,10.54,10.54,10.54,30
28,2012-02-17,10.71,11.05,10.71,11.05,530
29,2012-02-20,11.05,11.35,11.05,11.35,40
30,2012-02-21,10.8,10.8,10.8,10.8,30
31,2012-02-22,11.22,11.22,11.22,11.22,30
32,2012-02-23,10.92,11.65,10.67,11.65,550
33,2012-02-24,11.65,11.65,11.65,11.65,10
34,2012-02-27,11.1,11.1,11.1,11.1,30
35,2012-02-28,11.1,11.31,11.1,11.31,540
36,2012-02-29,10.75,11.31,10.75,10.75,200
37,2012-03-01,10.37,10.37,10.37,10.37,10
38,2012-03-02,9.98,10.8,9.98,10.8,840
39,2012-03-05,11.27,11.27,10.71,11.27,4840
40,2012-03-06,11.7,11.7,11.7,11.7,30
41,2012-03-07,11.7,12.0,11.57,11.57,150
42,2012-03-08,11.01,11.48,11.01,11.48,220
43,2012-03-09,10.97,10.97,10.92,10.92,910
44,2012-03-12,10.41,10.41,10.41,10.41,230
45,2012-03-13,10.92,10.92,10.92,10.92,500
46,2012-03-14,10.45,10.5,10.41,10.5,270
47,2012-03-15,10.5,10.5,10.5,10.5,220
48,2012-03-16,10.32,10.32,10.32,10.32,30
49,2012-03-19,9.98,10.71,9.98,10.5,470
50,2012-03-20,10.71,10.71,10.71,10.71,200
51,2012-03-21,10.8,10.8,10.8,10.8,20
52,2012-03-22,11.31,11.31,11.31,11.31,200
53,2012-03-23,11.31,11.31,10.75,11.31,130
54,2012-03-26,10.75,11.31,10.75,11.22,1570
55,2012-03-27,11.22,11.22,11.22,11.22,0
56,2012-03-28,11.22,11.22,11.22,11.22,0
57,2012-03-29,10.67,10.67,10.67,10.67,100
58,2012-03-30,10.88,10.88,10.88,10.88,100
59,2012-04-03,10.88,10.88,10.88,10.88,100
60,2012-04-04,10.37,10.5,10.37,10.5,310
61,2012-04-05,10.5,10.5,10.5,10.5,50
62,2012-04-06,10.67,10.67,10.02,10.02,400
63,2012-04-09,10.02,10.28,10.02,10.28,590
64,2012-04-10,10.24,10.24,9.77,9.77,1670
