,time,open,high,low,close,volume
0,2012-01-03,2.99,2.99,2.99,2.99,100
1,2012-01-04,2.91,2.91,2.91,2.91,100
2,2012-01-05,2.91,2.91,2.91,2.91,0
3,2012-01-06,2.91,2.91,2.91,2.91,0
4,2012-01-09,2.91,2.91,2.91,2.91,0
5,2012-01-10,2.91,2.91,2.91,2.91,0
6,2012-01-11,2.91,2.91,2.91,2.91,1000
7,2012-01-12,2.91,2.91,2.91,2.91,0
8,2012-01-13,2.91,2.91,2.91,2.91,0
9,2012-01-16,2.72,2.72,2.72,2.72,1200
10,2012-01-17,2.62,2.62,2.62,2.62,1500
11,2012-01-18,2.78,2.78,2.78,2.78,100
12,2012-01-19,2.64,2.64,2.64,2.64,1000
13,2012-01-20,2.56,2.7,2.56,2.7,4000
14,2012-01-30,2.59,2.59,2.59,2.59,200
15,2012-01-31,2.75,2.75,2.67,2.75,2100
16,2012-02-01,2.94,2.94,2.8,2.94,2100
17,2012-02-02,3.1,3.1,3.1,3.1,19500
18,2012-02-03,3.13,3.24,2.97,2.97,6200
19,2012-02-06,3.07,3.07,3.07,3.07,2800
20,2012-02-07,3.18,3.18,3.07,3.07,500
21,2012-02-08,3.16,3.28,3.16,3.28,3600
22,2012-02-09,3.13,3.19,3.13,3.19,2300
23,2012-02-10,3.13,3.25,3.13,3.25,1400
24,2012-02-13,3.25,3.25,3.25,3.25,0
25,2012-02-14,3.25,3.25,3.25,3.25,1400
26,2012-02-15,3.25,3.25,3.25,3.25,1100
27,2012-02-16,3.25,3.25,3.25,3.25,2000
28,2012-02-17,3.22,3.22,3.22,3.22,2100
29,2012-02-20,3.13,3.25,3.13,3.25,1200
30,2012-02-21,3.25,3.25,3.25,3.25,0
31,2012-02-22,3.25,3.25,3.25,3.25,0
32,2012-02-23,3.25,3.25,3.25,3.25,1000
33,2012-02-24,3.25,3.25,3.25,3.25,1000
34,2012-02-27,3.25,3.25,3.25,3.25,0
35,2012-02-28,3.16,3.16,3.1,3.1,10300
36,2012-02-29,3.1,3.1,3.1,3.1,0
37,2012-03-01,3.13,3.13,3.13,3.13,800
38,2012-03-02,3.16,3.16,3.16,3.16,700
39,2012-03-05,3.36,3.36,3.36,3.36,12400
40,2012-03-06,3.42,3.42,3.36,3.36,20000
41,2012-03-07,3.39,3.39,3.36,3.39,9900
42,2012-03-08,3.25,3.39,3.25,3.39,10200
43,2012-03-09,3.39,3.39,3.39,3.39,0
44,2012-03-12,3.39,3.39,3.36,3.36,8400
45,2012-03-13,3.36,3.36,3.36,3.36,0
46,2012-03-14,3.36,3.36,3.33,3.33,6500
47,2012-03-15,3.36,3.36,3.36,3.36,700
48,2012-03-16,3.36,3.36,3.36,3.36,0
49,2012-03-19,3.36,3.36,3.36,3.36,0
50,2012-03-20,3.39,3.39,3.39,3.39,600
51,2012-03-21,3.39,3.39,3.39,3.39,2200
52,2012-03-22,3.39,3.39,3.39,3.39,0
53,2012-03-23,3.39,3.39,3.33,3.33,13100
54,2012-03-26,3.36,3.36,3.28,3.28,9500
55,2012-03-27,3.33,3.33,3.25,3.25,5600
56,2012-03-28,3.19,3.22,3.19,3.19,10000
57,2012-03-29,3.36,3.36,3.36,3.36,100
58,2012-03-30,3.36,3.36,3.36,3.36,0
59,2012-04-03,3.36,3.36,3.36,3.36,0
60,2012-04-04,3.31,3.31,3.31,3.31,500
61,2012-04-05,3.31,3.31,3.31,3.31,0
62,2012-04-06,3.42,3.42,3.42,3.42,5000
63,2012-04-09,3.39,3.42,3.39,3.42,1300
64,2012-04-10,3.42,3.42,3.42,3.42,500
65,2012-04-11,3.6,3.66,3.54,3.66,25400
66,2012-04-12,3.69,3.81,3.63,3.78,3200
67,2012-04-13,3.63,3.63,3.63,3.63,4200
68,2012-04-16,3.69,3.72,3.69,3.72,4100
69,2012-04-17,3.69,3.72,3.63,3.69,19100
70,2012-04-18,3.69,3.78,3.66,3.78,12300
71,2012-04-19,3.78,3.78,3.75,3.75,4300
72,2012-04-20,3.75,3.75,3.75,3.75,10300
73,2012-04-23,3.75,3.75,3.75,3.75,4000
74,2012-04-24,3.72,3.78,3.72,3.78,1400
75,2012-04-25,3.87,3.9,3.84,3.9,18000
76,2012-04-26,3.95,3.98,3.84,3.84,4700
77,2012-04-27,3.9,3.98,3.9,3.98,13500
78,2012-05-02,3.92,4.01,3.9,3.98,5200
79,2012-05-03,3.95,3.98,3.95,3.95,3700
80,2012-05-04,4.04,4.04,4.01,4.04,2500
81,2012-05-07,4.13,4.25,4.1,4.25,13400
82,2012-05-08,4.4,4.43,4.4,4.43,9700
83,2012-05-09,4.43,4.43,4.43,4.43,1000
84,2012-05-10,4.43,4.57,4.16,4.51,5500
85,2012-05-11,4.19,4.22,4.19,4.19,8000
86,2012-05-14,4.01,4.01,3.95,3.95,10100
87,2012-05-15,3.84,3.87,3.84,3.84,3100
88,2012-05-16,3.9,3.9,3.87,3.9,4100
89,2012-05-17,3.9,3.9,3.9,3.9,1000
90,2012-05-18,3.9,3.9,3.9,3.9,0
91,2012-05-21,3.83,4.06,3.83,4.06,4700
92,2012-05-22,3.96,3.96,3.96,3.96,2000
93,2012-05-23,3.77,3.77,3.73,3.73,4100
94,2012-05-24,3.54,3.54,3.54,3.54,100
95,2012-05-25,3.54,3.77,3.54,3.77,500
96,2012-05-28,3.99,4.02,3.77,3.77,2300
97,2012-05-29,3.77,3.77,3.77,3.77,2000
98,2012-05-30,3.86,3.93,3.86,3.93,3200
99,2012-05-31,3.86,3.86,3.73,3.73,10200
100,2012-06-01,3.73,3.77,3.7,3.7,3300
101,2012-06-04,3.67,3.67,3.67,3.67,200
102,2012-06-05,3.67,3.67,3.67,3.67,800
103,2012-06-06,3.67,3.67,3.67,3.67,0
104,2012-06-07,3.8,3.9,3.8,3.9,700
105,2012-06-08,3.9,3.9,3.9,3.9,1900
106,2012-06-11,3.99,3.99,3.93,3.93,700
107,2012-06-12,3.67,3.67,3.67,3.67,100
108,2012-06-13,3.73,3.73,3.73,3.73,6000
109,2012-06-14,3.83,3.96,3.83,3.96,8500
110,2012-06-15,4.06,4.06,4.06,4.06,100
111,2012-06-18,4.06,4.06,4.06,4.06,0
112,2012-06-19,3.86,3.86,3.8,3.8,7100
113,2012-06-20,4.02,4.02,4.02,4.02,100
114,2012-06-21,4.02,4.02,4.02,4.02,0
115,2012-06-22,4.02,4.02,3.77,3.77,300
116,2012-06-25,3.77,3.77,3.77,3.77,0
117,2012-06-26,3.7,3.7,3.7,3.7,4000
118,2012-06-27,3.7,3.7,3.7,3.7,0
119,2012-06-28,3.54,3.54,3.54,3.54,1000
120,2012-06-29,3.77,3.77,3.77,3.77,100
121,2012-07-02,3.93,3.93,3.93,3.93,2000
122,2012-07-03,3.93,3.93,3.93,3.93,0
123,2012-07-04,3.93,3.93,3.93,3.93,0
124,2012-07-05,3.7,3.7,3.7,3.7,1000
125,2012-07-06,3.7,3.7,3.7,3.7,0
126,2012-07-09,3.8,3.8,3.8,3.8,1000
127,2012-07-10,3.8,3.8,3.8,3.8,0
128,2012-07-11,3.8,3.8,3.54,3.8,800
129,2012-07-12,3.8,3.8,3.8,3.8,0
130,2012-07-13,3.93,3.99,3.93,3.99,5500
131,2012-07-16,3.99,4.02,3.99,4.02,2100
132,2012-07-17,4.02,4.02,4.02,4.02,0
133,2012-07-18,4.02,4.09,3.77,3.96,15800
134,2012-07-19,3.99,4.02,3.99,4.02,10000
135,2012-07-20,3.93,3.93,3.93,3.93,2000
136,2012-07-23,4.02,4.09,4.02,4.09,3600
137,2012-07-24,3.83,4.02,3.83,4.02,6500
138,2012-07-25,4.02,4.02,4.02,4.02,600
139,2012-07-26,4.02,4.02,4.02,4.02,0
140,2012-07-27,4.02,4.02,4.02,4.02,0
141,2012-07-30,3.96,3.96,3.93,3.93,3000
142,2012-07-31,3.9,3.96,3.9,3.96,1200
