,time,open,high,low,close,volume
0,2012-01-03,11.91,11.91,11.04,11.04,4830
1,2012-01-04,10.66,11.3,10.66,11.04,5950
2,2012-01-05,11.0,11.19,11.0,11.0,8610
3,2012-01-06,11.0,11.0,10.85,10.85,3200
4,2012-01-09,10.47,11.19,10.47,11.19,5750
5,2012-01-10,10.81,11.19,10.73,10.85,13330
6,2012-01-11,11.15,11.15,11.15,11.15,20
7,2012-01-12,10.73,10.73,10.62,10.66,53780
8,2012-01-13,10.66,10.66,10.66,10.66,500
9,2012-01-16,10.28,11.0,10.28,10.81,1560
10,2012-01-17,10.81,10.81,10.81,10.81,1100
11,2012-01-18,10.81,11.11,10.81,11.11,750
12,2012-01-19,11.11,11.11,11.11,11.11,4950
13,2012-01-20,11.11,11.11,11.0,11.0,130
14,2012-01-30,11.0,11.19,11.0,11.0,1490
15,2012-01-31,11.19,11.19,11.0,11.0,8860
16,2012-02-01,11.0,11.11,11.0,11.0,8090
17,2012-02-02,11.0,11.3,11.0,11.0,14560
18,2012-02-03,11.0,11.19,11.0,11.15,12450
19,2012-02-06,11.0,11.04,11.0,11.0,830
20,2012-02-07,11.08,11.19,11.08,11.08,27310
21,2012-02-08,11.19,11.61,11.08,11.61,35780
22,2012-02-09,11.57,11.57,11.27,11.57,5480
23,2012-02-10,11.19,11.57,11.19,11.19,24280
24,2012-02-13,11.34,11.38,11.0,11.0,13000
25,2012-02-14,11.0,11.19,11.0,11.0,10810
26,2012-02-15,11.0,11.0,11.0,11.0,19690
27,2012-02-16,11.0,11.0,11.0,11.0,12990
28,2012-02-17,11.0,11.38,10.96,11.0,58350
29,2012-02-20,11.19,11.46,11.19,11.19,13680
30,2012-02-21,11.61,11.61,11.23,11.23,8730
31,2012-02-22,11.57,11.57,11.27,11.27,130
32,2012-02-23,11.27,11.8,11.27,11.8,9940
33,2012-02-24,11.76,11.76,11.46,11.46,3060
34,2012-02-27,11.76,11.76,11.46,11.76,9220
35,2012-02-28,12.14,12.14,11.3,11.53,20320
36,2012-02-29,11.53,11.95,11.53,11.95,11650
37,2012-03-01,12.18,12.18,11.68,11.68,10500
38,2012-03-02,12.14,12.14,11.64,11.95,160
39,2012-03-05,12.52,12.52,12.48,12.52,25730
40,2012-03-06,12.56,12.56,11.99,11.99,10840
41,2012-03-07,11.8,12.33,11.8,11.91,4600
42,2012-03-08,11.95,12.44,11.95,12.44,2670
43,2012-03-09,11.99,12.33,11.99,12.14,14400
44,2012-03-12,12.37,12.37,11.91,11.91,11300
45,2012-03-13,11.91,11.91,11.83,11.83,9390
46,2012-03-14,12.33,12.4,12.29,12.4,37300
47,2012-03-15,13.01,13.01,13.01,13.01,10840
48,2012-03-16,13.66,13.66,13.66,13.66,14150
49,2012-03-19,14.34,14.34,13.66,14.34,64860
50,2012-03-20,14.94,14.94,14.41,14.6,42110
51,2012-03-21,14.79,14.79,13.88,13.88,22400
52,2012-03-22,13.28,14.19,13.28,14.19,40710
53,2012-03-23,14.6,14.6,14.0,14.41,21290
54,2012-03-26,14.22,14.6,14.22,14.57,73990
55,2012-03-27,14.6,14.6,14.41,14.6,22750
56,2012-03-28,14.57,14.91,14.22,14.22,3890
57,2012-03-29,14.22,14.6,14.22,14.26,19470
58,2012-03-30,14.26,14.41,14.22,14.34,29450
59,2012-04-03,14.34,14.41,14.3,14.38,11910
60,2012-04-04,14.26,14.26,14.22,14.22,3840
61,2012-04-05,14.26,14.38,14.26,14.38,11000
62,2012-04-06,14.79,14.79,14.26,14.26,14310
63,2012-04-09,14.57,14.6,14.3,14.6,21220
64,2012-04-10,14.41,14.6,14.41,14.49,12180
65,2012-04-11,15.06,15.06,14.64,14.64,7570
66,2012-04-12,15.06,15.36,14.64,15.25,72930
67,2012-04-13,15.25,15.93,15.25,15.93,21530
68,2012-04-16,15.93,15.93,15.74,15.93,8150
69,2012-04-17,15.93,16.31,15.17,15.93,16340
70,2012-04-18,15.93,15.93,15.13,15.17,3900
71,2012-04-19,14.57,15.37,14.57,15.29,12410
72,2012-04-20,15.17,15.29,15.17,15.29,3620
73,2012-04-23,15.17,15.29,14.97,14.97,7090
74,2012-04-24,15.13,15.17,14.49,15.17,6170
75,2012-04-25,14.97,15.17,14.97,14.97,15530
76,2012-04-26,15.17,15.69,15.17,15.69,69640
77,2012-04-27,15.73,15.77,15.65,15.65,20600
78,2012-05-02,15.93,16.29,15.57,15.97,21240
79,2012-05-03,15.97,16.25,15.57,16.13,11800
80,2012-05-04,15.97,16.69,15.97,16.69,46850
81,2012-05-07,16.97,17.09,16.97,16.97,16620
82,2012-05-08,16.37,16.73,16.37,16.61,11450
83,2012-05-09,16.37,16.73,16.37,16.73,8030
84,2012-05-10,16.73,16.73,15.93,16.13,28570
85,2012-05-11,15.69,15.77,15.69,15.69,8400
86,2012-05-14,15.41,15.41,15.01,15.05,16510
87,2012-05-15,15.57,15.57,15.05,15.05,16760
88,2012-05-16,15.13,15.65,15.01,15.65,63750
89,2012-05-17,15.65,15.65,15.17,15.17,1140
90,2012-05-18,15.29,15.29,15.09,15.29,17330
91,2012-05-21,15.93,15.97,15.57,15.97,14130
92,2012-05-22,15.97,15.97,15.57,15.57,4700
93,2012-05-23,15.93,15.93,15.93,15.93,10
94,2012-05-24,15.93,15.93,15.93,15.93,0
95,2012-05-25,15.29,15.29,15.29,15.29,170
96,2012-05-28,15.29,15.37,14.89,15.37,3020
97,2012-05-29,15.37,15.37,15.37,15.37,10
98,2012-05-30,15.89,15.89,15.85,15.85,10010
99,2012-05-31,15.85,15.85,15.85,15.85,0
100,2012-06-01,15.09,15.09,15.09,15.09,400
101,2012-06-04,15.57,15.73,15.57,15.73,9700
102,2012-06-05,15.73,15.73,15.73,15.73,0
103,2012-06-06,15.73,15.73,15.73,15.73,1000
104,2012-06-07,15.57,15.57,15.17,15.53,4510
105,2012-06-08,15.45,15.45,15.17,15.17,6460
106,2012-06-11,15.01,15.01,14.97,14.97,3470
107,2012-06-12,14.89,14.97,14.85,14.89,15790
108,2012-06-13,14.97,14.97,14.69,14.93,6600
109,2012-06-14,14.89,14.89,14.89,14.89,200
110,2012-06-15,14.77,14.81,14.65,14.65,5280
111,2012-06-18,14.69,14.69,14.17,14.17,4200
112,2012-06-19,14.49,14.49,14.45,14.45,200
113,2012-06-20,14.41,14.45,14.41,14.45,1310
114,2012-06-21,14.25,14.41,14.21,14.37,1230
115,2012-06-22,14.17,14.21,14.17,14.21,1800
116,2012-06-25,14.21,14.21,13.78,13.85,5200
117,2012-06-26,13.22,13.22,13.22,13.22,30
118,2012-06-27,13.78,13.78,12.78,13.7,670
119,2012-06-28,13.58,13.78,13.1,13.1,5030
120,2012-06-29,13.54,13.54,13.18,13.18,520
121,2012-07-02,13.38,13.5,13.34,13.5,8480
122,2012-07-03,12.9,13.5,12.9,13.5,3520
123,2012-07-04,13.38,13.5,13.38,13.38,2210
124,2012-07-05,13.38,13.58,13.3,13.58,14680
125,2012-07-06,13.58,13.58,13.18,13.18,13120
126,2012-07-09,13.18,13.74,12.58,13.74,2880
127,2012-07-10,13.74,14.25,13.74,13.97,320
128,2012-07-11,14.01,14.01,14.01,14.01,100
129,2012-07-12,13.34,14.17,13.34,14.01,4020
130,2012-07-13,13.38,14.01,13.34,14.01,6630
131,2012-07-16,13.5,13.93,13.38,13.93,4690
132,2012-07-17,13.34,13.38,13.26,13.38,6510
133,2012-07-18,13.38,13.38,13.38,13.38,1000
134,2012-07-19,13.93,13.93,13.93,13.93,20
135,2012-07-20,13.93,14.37,13.93,14.37,3300
136,2012-07-23,13.85,13.97,13.66,13.66,5610
137,2012-07-24,14.05,14.05,14.05,14.05,10
138,2012-07-25,13.46,13.46,13.46,13.46,500
139,2012-07-26,13.97,13.97,12.86,12.98,4530
140,2012-07-27,13.62,13.62,13.62,13.62,30
141,2012-07-30,13.18,13.5,13.18,13.5,2010
142,2012-07-31,13.93,13.93,13.93,13.93,10
143,2012-08-01,13.3,13.3,13.26,13.26,3170
144,2012-08-02,13.26,13.26,13.26,13.26,0
145,2012-08-03,12.7,13.18,12.66,13.18,7130
146,2012-08-06,12.78,13.14,12.62,12.98,11840
147,2012-08-07,13.58,13.58,12.98,12.98,300
148,2012-08-08,12.58,13.5,12.58,13.5,20
149,2012-08-09,13.78,13.78,13.78,13.78,10
150,2012-08-10,13.1,13.22,13.1,13.14,690
151,2012-08-13,12.58,13.18,12.58,13.18,1560
152,2012-08-14,13.18,13.18,12.78,12.98,11530
153,2012-08-15,12.98,13.02,12.98,13.02,2980
154,2012-08-16,13.02,13.02,12.78,13.02,2120
155,2012-08-17,13.02,13.02,12.78,12.98,2740
156,2012-08-20,12.82,12.82,12.82,12.82,3650
157,2012-08-21,12.82,12.82,12.18,12.18,22580
158,2012-08-22,12.3,12.3,12.18,12.18,2760
159,2012-08-23,11.62,11.98,11.58,11.58,15170
160,2012-08-24,11.06,12.1,11.06,12.1,2520
161,2012-08-27,12.1,12.1,12.1,12.1,110
162,2012-08-28,12.58,12.58,12.1,12.1,240
163,2012-08-29,12.1,12.1,12.02,12.1,2000
164,2012-08-30,12.38,12.38,12.26,12.3,4850
165,2012-08-31,12.38,12.38,12.38,12.38,210
166,2012-09-04,12.78,12.78,12.78,12.78,10
167,2012-09-05,12.78,12.78,12.18,12.18,11120
168,2012-09-06,11.66,12.5,11.58,12.18,10140
169,2012-09-07,12.18,12.18,12.18,12.18,320
170,2012-09-10,11.58,11.58,11.58,11.58,700
171,2012-09-11,11.62,11.94,11.62,11.7,2670
172,2012-09-12,11.74,11.98,11.74,11.98,2700
173,2012-09-13,11.98,11.98,11.58,11.98,13030
174,2012-09-14,11.98,11.98,11.9,11.98,3000
175,2012-09-17,12.3,12.3,12.3,12.3,10
176,2012-09-18,11.82,11.82,11.78,11.78,2550
177,2012-09-19,11.58,11.98,11.58,11.98,3430
178,2012-09-20,11.78,12.18,11.78,12.18,610
179,2012-09-21,12.06,12.06,11.82,11.82,5050
180,2012-09-24,11.86,11.98,11.82,11.98,8490
181,2012-09-25,11.98,11.98,11.98,11.98,0
182,2012-09-26,11.98,11.98,11.98,11.98,0
183,2012-09-27,12.1,12.1,11.9,12.1,28300
184,2012-09-28,12.1,12.1,11.98,11.98,2900
185,2012-10-01,11.98,11.98,11.98,11.98,300
186,2012-10-02,11.98,11.98,11.98,11.98,0
187,2012-10-03,11.82,11.82,11.82,11.82,200
188,2012-10-04,11.78,11.78,11.78,11.78,100
189,2012-10-05,11.78,11.78,11.78,11.78,4000
190,2012-10-08,11.98,12.02,11.98,11.98,39160
191,2012-10-09,11.58,11.98,11.58,11.98,110
192,2012-10-10,11.98,11.98,11.58,11.58,30830
193,2012-10-11,11.98,11.98,11.98,11.98,700
194,2012-10-12,11.98,11.98,11.98,11.98,0
195,2012-10-15,11.98,11.98,11.98,11.98,0
196,2012-10-16,11.9,11.9,11.9,11.9,3000
197,2012-10-17,11.9,11.9,11.9,11.9,1500
198,2012-10-18,11.9,11.9,11.9,11.9,0
199,2012-10-19,11.38,11.86,11.38,11.86,510
200,2012-10-22,11.86,11.94,11.86,11.94,7260
201,2012-10-23,11.94,11.94,11.94,11.94,0
202,2012-10-24,11.42,11.42,11.42,11.42,80
203,2012-10-25,11.9,11.9,11.9,11.9,10
204,2012-10-26,11.86,11.86,11.86,11.86,2100
205,2012-10-29,11.82,11.9,11.82,11.9,7390
206,2012-10-30,11.58,11.82,11.58,11.78,8010
207,2012-10-31,11.58,11.58,11.58,11.58,1000
208,2012-11-01,11.78,11.78,11.58,11.58,3210
209,2012-11-02,11.02,11.02,11.02,11.02,550
210,2012-11-05,11.26,11.26,11.26,11.26,590
211,2012-11-06,10.82,11.38,10.7,11.38,6260
212,2012-11-07,11.66,11.66,11.66,11.66,10
213,2012-11-08,11.66,11.66,11.66,11.66,0
214,2012-11-09,11.62,11.66,11.62,11.66,3000
215,2012-11-12,11.62,11.62,11.62,11.62,1840
216,2012-11-13,11.62,11.62,11.62,11.62,0
217,2012-11-14,11.62,11.62,11.62,11.62,0
218,2012-11-15,11.62,11.62,11.62,11.62,0
219,2012-11-16,11.62,11.62,11.1,11.58,2570
220,2012-11-19,11.58,11.58,11.58,11.58,1000
221,2012-11-20,11.58,11.58,11.58,11.58,500
222,2012-11-21,11.58,11.58,11.58,11.58,0
223,2012-11-22,11.58,11.58,11.58,11.58,0
224,2012-11-23,11.3,11.46,11.3,11.46,4600
225,2012-11-26,11.54,11.54,11.54,11.54,560
226,2012-11-27,11.54,11.54,11.54,11.54,0
227,2012-11-28,11.54,11.54,11.54,11.54,0
228,2012-11-29,11.9,11.9,11.9,11.9,10
229,2012-11-30,11.9,11.9,11.9,11.9,0
230,2012-12-03,11.9,11.9,11.9,11.9,0
231,2012-12-04,11.38,11.9,11.38,11.9,3020
232,2012-12-05,11.9,11.9,11.9,11.9,0
