,time,open,high,low,close,volume
0,2012-01-03,10.44,11.18,10.44,10.98,16390
1,2012-01-04,10.44,10.44,10.44,10.44,6490
2,2012-01-05,9.95,10.49,9.95,9.95,10060
3,2012-01-06,9.45,9.45,9.45,9.45,1150
4,2012-01-09,9.01,9.01,9.01,9.01,1820
5,2012-01-10,8.56,8.56,8.56,8.56,2150
6,2012-01-11,8.16,8.91,8.16,8.91,7600
7,2012-01-12,8.46,8.91,8.46,8.86,6130
8,2012-01-13,8.46,8.76,8.46,8.76,7290
9,2012-01-16,8.36,8.76,8.36,8.76,46680
10,2012-01-17,8.36,8.36,8.36,8.36,9700
11,2012-01-18,7.97,7.97,7.97,7.97,6790
12,2012-01-19,7.57,8.02,7.57,7.57,78630
13,2012-01-20,7.22,7.87,7.22,7.87,14550
14,2012-01-30,7.92,8.07,7.87,8.07,1730
15,2012-01-31,8.31,8.31,7.67,7.67,63570
16,2012-02-01,7.32,7.32,7.32,7.32,11090
17,2012-02-02,6.98,6.98,6.98,6.98,106790
18,2012-02-03,6.63,7.12,6.63,6.73,116170
19,2012-02-06,6.58,7.03,6.58,7.03,68910
20,2012-02-07,6.83,7.22,6.68,6.68,98330
21,2012-02-08,6.68,6.93,6.58,6.78,45140
22,2012-02-09,6.88,6.93,6.53,6.63,51560
23,2012-02-10,6.63,6.68,6.53,6.63,34260
24,2012-02-13,6.68,6.68,6.53,6.63,63370
25,2012-02-14,6.58,6.93,6.58,6.93,34180
26,2012-02-15,7.27,7.27,7.22,7.27,103520
27,2012-02-16,7.62,7.62,7.57,7.62,114070
28,2012-02-17,7.42,7.87,7.42,7.52,86910
29,2012-02-20,7.57,7.82,7.42,7.77,32840
30,2012-02-21,7.77,7.77,7.42,7.42,60070
31,2012-02-22,7.17,7.52,7.17,7.42,58300
32,2012-02-23,7.42,7.62,7.32,7.57,72060
33,2012-02-24,7.52,7.67,7.32,7.62,92700
34,2012-02-27,7.67,7.67,7.42,7.42,94240
35,2012-02-28,7.27,7.37,7.17,7.17,16630
36,2012-02-29,6.93,7.17,6.93,7.17,7440
37,2012-03-01,7.37,7.52,7.17,7.47,10290
38,2012-03-02,7.62,7.62,7.42,7.42,74650
39,2012-03-05,7.57,7.77,7.57,7.77,44140
40,2012-03-06,7.92,7.92,7.47,7.47,40520
41,2012-03-07,7.27,7.52,7.22,7.32,16450
42,2012-03-08,7.32,7.32,6.98,6.98,28460
43,2012-03-09,6.98,7.12,6.78,6.83,21910
44,2012-03-12,6.88,7.03,6.63,6.63,54270
45,2012-03-13,6.73,6.93,6.53,6.78,27540
46,2012-03-14,7.08,7.08,6.83,6.88,21750
47,2012-03-15,6.88,7.12,6.88,7.12,3940
48,2012-03-16,7.32,7.37,7.17,7.22,48530
49,2012-03-19,6.98,7.27,6.98,7.22,45930
50,2012-03-20,7.17,7.27,6.93,7.17,25160
51,2012-03-21,7.03,7.22,6.98,7.12,20340
52,2012-03-22,7.12,7.17,7.12,7.12,18300
53,2012-03-23,7.17,7.42,7.12,7.37,2570
54,2012-03-26,7.37,7.37,7.03,7.22,15780
55,2012-03-27,7.22,7.32,6.98,6.98,104200
56,2012-03-28,6.98,6.98,6.78,6.93,62020
