,time,open,high,low,close,volume
0,2012-01-03,3.65,3.65,3.56,3.56,2100
1,2012-01-04,3.46,3.56,3.37,3.56,8700
2,2012-01-05,3.56,3.56,3.46,3.46,8600
3,2012-01-06,3.46,3.46,3.37,3.37,10800
4,2012-01-09,3.65,3.65,3.46,3.46,9100
5,2012-01-10,3.46,3.56,3.46,3.56,5400
6,2012-01-11,3.56,3.56,3.46,3.56,4800
7,2012-01-12,3.65,3.65,3.56,3.56,3300
8,2012-01-13,3.65,3.65,3.46,3.46,15100
9,2012-01-16,3.65,3.75,3.65,3.75,3800
10,2012-01-17,3.75,3.75,3.65,3.65,3600
11,2012-01-18,3.75,3.85,3.56,3.85,2100
12,2012-01-19,3.94,4.04,3.94,3.94,3300
13,2012-01-20,4.13,4.13,3.85,3.85,300
14,2012-01-30,4.04,4.04,4.04,4.04,600
15,2012-01-31,4.04,4.23,3.85,3.85,5300
16,2012-02-01,3.75,4.04,3.75,3.94,3900
17,2012-02-02,4.04,4.13,4.04,4.13,22200
18,2012-02-03,4.42,4.42,4.04,4.23,13900
19,2012-02-06,4.04,4.04,3.85,3.85,8500
20,2012-02-07,4.04,4.04,3.85,3.85,11900
21,2012-02-08,3.85,4.04,3.85,4.04,37200
22,2012-02-09,4.04,4.04,3.94,4.04,9700
23,2012-02-10,4.04,4.04,3.85,3.94,22200
24,2012-02-13,3.85,3.85,3.75,3.75,27000
25,2012-02-14,3.85,3.94,3.85,3.94,22000
26,2012-02-15,3.85,3.94,3.85,3.94,8500
27,2012-02-16,3.85,4.04,3.85,3.94,4700
28,2012-02-17,4.04,4.13,3.94,4.04,10300
29,2012-02-20,4.13,4.23,4.04,4.23,10700
30,2012-02-21,4.42,4.42,4.13,4.13,10100
31,2012-02-22,4.04,4.33,4.04,4.33,2200
32,2012-02-23,4.23,4.33,4.23,4.33,11500
33,2012-02-24,4.42,4.52,4.33,4.52,52200
34,2012-02-27,4.52,4.71,4.42,4.71,30800
35,2012-02-28,4.81,4.81,4.33,4.42,25000
36,2012-02-29,4.52,4.52,4.42,4.42,20500
37,2012-03-01,4.33,4.52,4.33,4.42,17300
38,2012-03-02,4.42,4.62,4.33,4.52,49300
39,2012-03-05,4.71,4.71,4.71,4.71,16100
40,2012-03-06,5.0,5.0,4.71,4.71,21800
41,2012-03-07,4.81,4.81,4.52,4.52,15600
42,2012-03-08,4.33,4.52,4.33,4.42,12100
43,2012-03-09,4.52,4.52,4.23,4.33,15600
44,2012-03-12,4.33,4.33,4.04,4.04,16600
45,2012-03-13,4.42,4.42,4.13,4.33,10200
46,2012-03-14,4.23,4.23,4.13,4.13,4000
47,2012-03-15,3.94,4.33,3.94,4.23,52400
48,2012-03-16,4.04,4.23,4.04,4.23,37100
49,2012-03-19,4.33,4.33,4.04,4.13,24500
50,2012-03-20,4.13,4.33,4.13,4.33,57100
51,2012-03-21,4.33,4.62,4.33,4.52,81500
52,2012-03-22,4.52,4.62,4.23,4.62,61100
53,2012-03-23,4.62,4.71,4.52,4.71,100000
54,2012-03-26,4.81,4.9,4.81,4.9,91200
55,2012-03-27,5.19,5.19,4.81,4.81,157700
