,time,open,high,low,close,volume
0,2012-01-03,1.4,1.43,1.34,1.37,36300
1,2012-01-04,1.4,1.4,1.32,1.32,37900
2,2012-01-05,1.34,1.34,1.32,1.32,15900
3,2012-01-06,1.32,1.32,1.29,1.32,66300
4,2012-01-09,1.37,1.37,1.34,1.34,34200
5,2012-01-10,1.4,1.45,1.4,1.45,100900
6,2012-01-11,1.51,1.51,1.43,1.45,93400
7,2012-01-12,1.43,1.45,1.4,1.43,48700
8,2012-01-13,1.45,1.48,1.43,1.45,32600
9,2012-01-16,1.48,1.53,1.45,1.53,167500
10,2012-01-17,1.53,1.53,1.48,1.48,125800
11,2012-01-18,1.53,1.56,1.51,1.56,72700
12,2012-01-19,1.53,1.61,1.53,1.61,80900
13,2012-01-20,1.59,1.61,1.53,1.61,72700
14,2012-01-30,1.61,1.67,1.56,1.64,47500
15,2012-01-31,1.64,1.72,1.64,1.69,134400
16,2012-02-01,1.67,1.67,1.61,1.64,87700
17,2012-02-02,1.59,1.75,1.59,1.75,327900
18,2012-02-03,1.8,1.83,1.67,1.72,192400
19,2012-02-06,1.72,1.72,1.64,1.67,103600
20,2012-02-07,1.69,1.72,1.67,1.69,68900
21,2012-02-08,1.72,1.75,1.69,1.75,91100
22,2012-02-09,1.72,1.75,1.64,1.64,110000
23,2012-02-10,1.67,1.67,1.59,1.59,136300
24,2012-02-13,1.61,1.61,1.51,1.59,112300
25,2012-02-14,1.53,1.59,1.53,1.59,90000
26,2012-02-15,1.56,1.56,1.48,1.56,104800
27,2012-02-16,1.53,1.59,1.53,1.53,18100
28,2012-02-17,1.59,1.64,1.56,1.64,123100
29,2012-02-20,1.67,1.72,1.67,1.72,347100
30,2012-02-21,1.72,1.83,1.72,1.75,440300
31,2012-02-22,1.75,1.86,1.72,1.83,271400
32,2012-02-23,1.88,1.91,1.8,1.88,299500
33,2012-02-24,1.88,1.96,1.86,1.91,200800
34,2012-02-27,1.88,1.96,1.86,1.94,357400
35,2012-02-28,1.94,1.94,1.8,1.83,360500
36,2012-02-29,1.77,1.86,1.77,1.86,299100
37,2012-03-01,1.83,1.91,1.8,1.91,362000
38,2012-03-02,1.91,1.99,1.91,1.99,647000
39,2012-03-05,2.12,2.12,2.12,2.12,67200
40,2012-03-06,2.26,2.26,2.15,2.26,1740700
41,2012-03-07,2.37,2.39,2.23,2.39,768700
42,2012-03-08,2.42,2.45,2.21,2.21,454200
43,2012-03-09,2.23,2.37,2.18,2.23,122000
44,2012-03-12,2.23,2.23,2.1,2.1,320900
45,2012-03-13,1.99,2.18,1.99,2.12,255200
