,time,open,high,low,close,volume
0,2012-01-03,1.1,1.13,1.1,1.13,11600
1,2012-01-04,1.11,1.13,1.1,1.11,14400
2,2012-01-05,1.06,1.06,1.04,1.04,5500
3,2012-01-06,1.0,1.0,1.0,1.0,300
4,2012-01-09,1.0,1.0,0.97,0.97,10800
5,2012-01-10,0.95,1.03,0.95,1.03,6100
6,2012-01-11,1.03,1.07,1.03,1.06,500
7,2012-01-12,1.06,1.06,1.06,1.06,0
8,2012-01-13,1.04,1.07,1.04,1.07,3000
9,2012-01-16,1.1,1.1,1.07,1.1,6400
10,2012-01-17,1.1,1.1,1.09,1.09,3500
11,2012-01-18,1.13,1.13,1.13,1.13,100
12,2012-01-19,1.14,1.18,1.14,1.16,12400
13,2012-01-20,1.17,1.17,1.14,1.14,15300
14,2012-01-30,1.16,1.16,1.16,1.16,4500
15,2012-01-31,1.2,1.2,1.14,1.16,15400
16,2012-02-01,1.16,1.16,1.13,1.14,13100
17,2012-02-02,1.2,1.2,1.17,1.18,10800
18,2012-02-03,1.2,1.2,1.13,1.14,21800
19,2012-02-06,1.13,1.14,1.11,1.11,17000
20,2012-02-07,1.17,1.17,1.13,1.13,4200
21,2012-02-08,1.13,1.18,1.13,1.18,16200
22,2012-02-09,1.16,1.17,1.16,1.16,9100
23,2012-02-10,1.16,1.16,1.11,1.11,3900
24,2012-02-13,1.11,1.11,1.09,1.09,10100
25,2012-02-14,1.14,1.14,1.1,1.1,600
26,2012-02-15,1.13,1.13,1.13,1.13,900
27,2012-02-16,1.13,1.14,1.13,1.13,2500
28,2012-02-17,1.16,1.16,1.11,1.16,10800
29,2012-02-20,1.17,1.18,1.16,1.18,43300
30,2012-02-21,1.17,1.17,1.13,1.13,46100
31,2012-02-22,1.11,1.13,1.11,1.13,72800
32,2012-02-23,1.16,1.2,1.14,1.2,135300
33,2012-02-24,1.25,1.25,1.2,1.22,64800
34,2012-02-27,1.24,1.28,1.24,1.28,45200
35,2012-02-28,1.25,1.25,1.21,1.22,83500
36,2012-02-29,1.24,1.27,1.2,1.27,43200
37,2012-03-01,1.29,1.32,1.28,1.32,45100
38,2012-03-02,1.36,1.39,1.36,1.39,44300
39,2012-03-05,1.48,1.49,1.48,1.49,52800
40,2012-03-06,1.59,1.59,1.46,1.5,179300
41,2012-03-07,1.49,1.49,1.43,1.45,110800
42,2012-03-08,1.39,1.45,1.35,1.35,78300
43,2012-03-09,1.35,1.43,1.32,1.36,29900
44,2012-03-12,1.38,1.45,1.36,1.41,63500
45,2012-03-13,1.49,1.5,1.49,1.5,134400
46,2012-03-14,1.53,1.53,1.46,1.48,27700
47,2012-03-15,1.48,1.53,1.39,1.53,59200
48,2012-03-16,1.48,1.54,1.46,1.48,51200
49,2012-03-19,1.5,1.5,1.43,1.48,52100
50,2012-03-20,1.49,1.54,1.45,1.53,48300
51,2012-03-21,1.56,1.6,1.54,1.6,142900
52,2012-03-22,1.67,1.68,1.61,1.68,111100
53,2012-03-23,1.7,1.7,1.59,1.68,63800
54,2012-03-26,1.67,1.75,1.66,1.71,82600
55,2012-03-27,1.8,1.8,1.6,1.6,55100
56,2012-03-28,1.53,1.6,1.5,1.59,60700
57,2012-03-29,1.6,1.6,1.5,1.5,44900
58,2012-03-30,1.5,1.52,1.46,1.52,22900
59,2012-04-03,1.52,1.6,1.52,1.6,25600
60,2012-04-04,1.59,1.6,1.52,1.56,18000
61,2012-04-05,1.49,1.56,1.49,1.54,31000
62,2012-04-06,1.53,1.56,1.52,1.52,12200
63,2012-04-09,1.53,1.61,1.53,1.6,33500
64,2012-04-10,1.63,1.64,1.57,1.64,32300
65,2012-04-11,1.7,1.7,1.64,1.67,55800
66,2012-04-12,1.67,1.71,1.66,1.7,89800
67,2012-04-13,1.66,1.67,1.63,1.64,46000
68,2012-04-16,1.71,1.71,1.6,1.67,36400
69,2012-04-17,1.66,1.68,1.64,1.67,45200
70,2012-04-18,1.68,1.68,1.66,1.67,42300
71,2012-04-19,1.61,1.67,1.57,1.57,42000
72,2012-04-20,1.59,1.63,1.56,1.57,25800
73,2012-04-23,1.59,1.67,1.59,1.67,45400
74,2012-04-24,1.78,1.78,1.7,1.78,218400
75,2012-04-25,1.87,1.89,1.81,1.89,136800
76,2012-04-26,1.96,1.96,1.81,1.81,31400
77,2012-04-27,1.81,1.82,1.78,1.82,44900
78,2012-05-02,1.8,1.81,1.71,1.75,99000
79,2012-05-03,1.73,1.77,1.7,1.71,119300
80,2012-05-04,1.77,1.82,1.77,1.82,45500
81,2012-05-07,1.93,1.95,1.91,1.95,150800
82,2012-05-08,2.06,2.07,1.89,1.95,77200
83,2012-05-09,2.07,2.07,2.07,2.07,267100
84,2012-05-10,2.21,2.21,2.17,2.19,208000
85,2012-05-11,2.19,2.19,2.05,2.05,152400
86,2012-05-14,2.03,2.03,1.91,1.92,170800
87,2012-05-15,1.92,2.02,1.92,1.99,181700
88,2012-05-16,2.03,2.03,1.89,1.99,82000
89,2012-05-17,1.99,2.0,1.89,1.92,92200
90,2012-05-18,1.93,1.93,1.87,1.88,158800
91,2012-05-21,1.82,2.02,1.82,2.0,54700
92,2012-05-22,2.0,2.0,1.89,1.89,40600
93,2012-05-23,2.03,2.03,1.92,2.02,117400
94,2012-05-24,2.09,2.12,1.91,1.95,54400
95,2012-05-25,2.02,2.06,2.0,2.06,172300
96,2012-05-28,2.09,2.09,1.96,1.96,110000
97,2012-05-29,2.0,2.0,1.92,1.99,66700
98,2012-05-30,2.0,2.02,1.95,2.02,48200
99,2012-05-31,1.99,1.99,1.95,1.95,21100
100,2012-06-01,1.93,1.95,1.91,1.95,47300
101,2012-06-04,1.95,1.95,1.87,1.91,116500
102,2012-06-05,1.91,1.95,1.88,1.95,39100
103,2012-06-06,1.99,1.99,1.92,1.92,74700
104,2012-06-07,1.95,2.0,1.95,1.98,59200
105,2012-06-08,2.07,2.07,1.96,1.99,35800
106,2012-06-11,1.98,2.02,1.98,1.99,56700
107,2012-06-12,2.02,2.02,1.98,2.02,82100
108,2012-06-13,2.02,2.02,1.94,2.0,21700
109,2012-06-14,1.96,1.99,1.92,1.99,27400
110,2012-06-15,1.97,1.99,1.94,1.97,31000
111,2012-06-18,1.94,1.97,1.94,1.97,37600
112,2012-06-19,1.84,1.97,1.84,1.94,94800
113,2012-06-20,1.96,1.97,1.96,1.96,20000
114,2012-06-21,1.97,1.99,1.94,1.96,47100
115,2012-06-22,1.94,1.94,1.91,1.94,58500
116,2012-06-25,1.86,1.92,1.84,1.91,60600
117,2012-06-26,1.86,1.89,1.84,1.89,76900
118,2012-06-27,1.89,1.91,1.83,1.83,76200
119,2012-06-28,1.84,1.84,1.73,1.73,93300
120,2012-06-29,1.84,1.84,1.62,1.62,78000
121,2012-07-02,1.62,1.62,1.5,1.5,68000
122,2012-07-03,1.52,1.54,1.41,1.5,155000
123,2012-07-04,1.47,1.47,1.42,1.42,29700
124,2012-07-05,1.45,1.52,1.36,1.52,29700
125,2012-07-06,1.47,1.52,1.47,1.52,9200
126,2012-07-09,1.5,1.5,1.42,1.42,48100
127,2012-07-10,1.45,1.45,1.45,1.45,76200
128,2012-07-11,1.45,1.49,1.45,1.45,7400
129,2012-07-12,1.49,1.52,1.41,1.5,27200
130,2012-07-13,1.54,1.6,1.54,1.58,86800
131,2012-07-16,1.65,1.65,1.54,1.54,27200
