,time,open,high,low,close,volume
0,2012-01-03,1.73,1.73,1.73,1.73,0
1,2012-01-04,1.73,1.73,1.73,1.73,0
2,2012-01-05,1.79,1.79,1.79,1.79,10
3,2012-01-06,1.79,1.79,1.79,1.79,0
4,2012-01-09,1.83,1.83,1.79,1.79,120
5,2012-01-10,1.83,1.83,1.79,1.79,20
6,2012-01-11,1.79,1.83,1.79,1.79,110
7,2012-01-12,1.79,1.79,1.79,1.79,0
8,2012-01-13,1.73,1.73,1.73,1.73,1010
9,2012-01-16,1.66,1.79,1.66,1.79,1640
10,2012-01-17,1.86,1.86,1.86,1.86,20
11,2012-01-18,1.86,1.86,1.86,1.86,0
12,2012-01-19,1.83,1.86,1.83,1.86,730
13,2012-01-20,1.86,1.86,1.86,1.86,0
14,2012-01-30,1.79,1.79,1.79,1.79,2000
15,2012-01-31,1.79,1.83,1.79,1.83,4260
16,2012-02-01,1.83,1.86,1.83,1.86,2680
17,2012-02-02,1.86,1.89,1.79,1.89,5310
18,2012-02-03,1.93,1.93,1.83,1.89,12410
19,2012-02-06,1.86,1.89,1.86,1.89,1730
20,2012-02-07,1.89,1.89,1.83,1.86,12800
21,2012-02-08,1.79,1.89,1.79,1.79,9970
22,2012-02-09,1.86,1.86,1.86,1.86,5050
23,2012-02-10,1.93,1.93,1.93,1.93,2750
24,2012-02-13,2.0,2.0,1.96,1.96,23590
25,2012-02-14,2.0,2.03,1.96,2.03,14980
26,2012-02-15,2.03,2.06,2.0,2.06,7200
27,2012-02-16,2.06,2.06,1.96,1.96,3140
28,2012-02-17,2.03,2.03,1.93,1.93,6470
29,2012-02-20,2.0,2.0,1.96,2.0,11850
30,2012-02-21,2.06,2.06,2.0,2.03,2530
31,2012-02-22,2.03,2.06,2.0,2.03,7350
32,2012-02-23,2.1,2.1,2.03,2.06,1070
33,2012-02-24,2.1,2.1,2.0,2.1,13060
34,2012-02-27,2.06,2.13,2.06,2.13,2590
35,2012-02-28,2.17,2.17,2.1,2.1,11700
36,2012-02-29,2.13,2.17,2.1,2.17,3970
37,2012-03-01,2.2,2.2,2.06,2.2,220
38,2012-03-02,2.17,2.23,2.13,2.23,20850
39,2012-03-05,2.23,2.33,2.23,2.33,26080
40,2012-03-06,2.44,2.44,2.33,2.37,46700
41,2012-03-07,2.4,2.44,2.33,2.44,71390
42,2012-03-08,2.37,2.4,2.33,2.33,86420
43,2012-03-09,2.23,2.33,2.23,2.3,61330
44,2012-03-12,2.37,2.37,2.2,2.2,48790
45,2012-03-13,2.2,2.3,2.2,2.3,58260
46,2012-03-14,2.37,2.37,2.27,2.33,22130
47,2012-03-15,2.3,2.44,2.23,2.44,71200
48,2012-03-16,2.5,2.5,2.44,2.44,78340
49,2012-03-19,2.4,2.44,2.4,2.44,59990
50,2012-03-20,2.37,2.44,2.33,2.33,46060
51,2012-03-21,2.33,2.44,2.33,2.4,73770
52,2012-03-22,2.33,2.44,2.33,2.37,53980
53,2012-03-23,2.33,2.4,2.3,2.3,62130
54,2012-03-26,2.37,2.4,2.33,2.4,84230
55,2012-03-27,2.47,2.5,2.37,2.37,218770
56,2012-03-28,2.33,2.47,2.33,2.47,154640
57,2012-03-29,2.54,2.54,2.37,2.37,88650
58,2012-03-30,2.33,2.4,2.3,2.3,79870
59,2012-04-03,2.37,2.4,2.37,2.4,75840
60,2012-04-04,2.5,2.5,2.3,2.4,85980
61,2012-04-05,2.47,2.47,2.37,2.47,60040
62,2012-04-06,2.4,2.5,2.4,2.44,72480
63,2012-04-09,2.47,2.5,2.4,2.44,91220
64,2012-04-10,2.44,2.54,2.4,2.47,181970
65,2012-04-11,2.5,2.57,2.5,2.57,168870
66,2012-04-12,2.64,2.67,2.5,2.57,56570
67,2012-04-13,2.6,2.6,2.47,2.47,46060
68,2012-04-16,2.54,2.57,2.44,2.47,29340
69,2012-04-17,2.47,2.57,2.47,2.57,114560
70,2012-04-18,2.67,2.67,2.57,2.64,37880
71,2012-04-19,2.6,2.64,2.54,2.54,45130
72,2012-04-20,2.64,2.64,2.64,2.64,66320
73,2012-04-23,2.71,2.71,2.54,2.54,25000
74,2012-04-24,2.64,2.64,2.57,2.64,7900
75,2012-04-25,2.74,2.74,2.74,2.74,15150
76,2012-04-26,2.88,2.88,2.88,2.88,1110
77,2012-04-27,3.01,3.01,3.01,3.01,24340
78,2012-05-02,3.15,3.15,3.15,3.15,21450
79,2012-05-03,3.28,3.28,3.28,3.28,1120
80,2012-05-04,3.42,3.42,3.42,3.42,100010
81,2012-05-07,3.59,3.59,3.59,3.59,10180
82,2012-05-08,3.76,3.76,3.76,3.76,46580
83,2012-05-09,3.92,3.92,3.89,3.92,73850
84,2012-05-10,4.09,4.09,3.76,3.76,218920
85,2012-05-11,3.76,3.92,3.72,3.76,126220
86,2012-05-14,3.92,3.92,3.76,3.82,46330
87,2012-05-15,3.99,3.99,3.82,3.99,49330
88,2012-05-16,3.96,4.03,3.96,4.03,23290
89,2012-05-17,3.99,3.99,3.86,3.86,75660
90,2012-05-18,3.69,3.72,3.69,3.69,49970
91,2012-05-21,3.59,3.72,3.52,3.72,56300
92,2012-05-22,3.59,3.82,3.55,3.55,32500
93,2012-05-23,3.38,3.55,3.38,3.42,12610
94,2012-05-24,3.32,3.32,3.25,3.25,38330
95,2012-05-25,3.25,3.25,3.25,3.25,10470
96,2012-05-28,3.15,3.38,3.15,3.35,30920
97,2012-05-29,3.25,3.35,3.21,3.35,48600
98,2012-05-30,3.45,3.48,3.45,3.48,22550
99,2012-05-31,3.42,3.52,3.42,3.48,20880
100,2012-06-01,3.48,3.65,3.48,3.65,111100
101,2012-06-04,3.79,3.82,3.62,3.82,35960
102,2012-06-05,3.82,3.99,3.82,3.99,35680
103,2012-06-06,3.99,4.09,3.92,4.09,48760
104,2012-06-07,4.09,4.3,4.03,4.3,80320
105,2012-06-08,4.5,4.5,4.09,4.09,47540
106,2012-06-11,4.16,4.3,3.96,4.3,119210
107,2012-06-12,4.43,4.5,4.26,4.43,8460
108,2012-06-13,4.4,4.57,4.4,4.53,29500
109,2012-06-14,4.5,4.5,4.43,4.43,24560
110,2012-06-15,4.4,4.6,4.4,4.53,18480
111,2012-06-18,4.53,4.57,4.5,4.57,25900
112,2012-06-19,4.53,4.57,4.36,4.53,25130
113,2012-06-20,4.53,4.53,4.43,4.43,21090
114,2012-06-21,4.43,4.43,4.36,4.36,17000
115,2012-06-22,4.36,4.36,4.23,4.23,10890
116,2012-06-25,4.06,4.36,4.03,4.03,14680
117,2012-06-26,3.86,4.19,3.86,4.03,19870
118,2012-06-27,4.19,4.19,4.19,4.19,17340
119,2012-06-28,4.4,4.4,4.4,4.4,9120
120,2012-06-29,4.57,4.6,4.53,4.6,39100
121,2012-07-02,4.8,4.8,4.57,4.57,3890
122,2012-07-03,4.53,4.53,4.36,4.36,7300
123,2012-07-04,4.4,4.4,4.4,4.4,22700
124,2012-07-05,4.43,4.53,4.43,4.53,25100
125,2012-07-06,4.47,4.5,4.33,4.47,35350
