,time,open,high,low,close,volume
0,2012-01-03,1.59,1.59,1.59,1.59,200
1,2012-01-04,1.59,1.62,1.59,1.62,1100
2,2012-01-05,1.62,1.62,1.62,1.62,0
3,2012-01-06,1.48,1.51,1.48,1.51,8400
4,2012-01-09,1.56,1.56,1.56,1.56,100
5,2012-01-10,1.62,1.62,1.62,1.62,100
6,2012-01-11,1.62,1.62,1.62,1.62,0
7,2012-01-12,1.62,1.62,1.62,1.62,3800
8,2012-01-13,1.7,1.73,1.7,1.73,15000
9,2012-01-16,1.83,1.83,1.78,1.78,200
10,2012-01-17,1.78,1.78,1.78,1.78,0
11,2012-01-18,1.78,1.78,1.78,1.78,2000
12,2012-01-19,1.89,1.89,1.81,1.83,2000
13,2012-01-20,1.94,1.94,1.81,1.81,1200
14,2012-01-30,1.94,1.94,1.94,1.94,100
15,2012-01-31,2.03,2.03,2.03,2.03,1200
16,2012-02-01,2.05,2.05,2.05,2.05,100
17,2012-02-02,1.97,2.03,1.97,2.03,5100
18,2012-02-03,1.92,1.92,1.89,1.89,6900
19,2012-02-06,2.0,2.0,1.78,1.78,1900
20,2012-02-07,1.78,1.78,1.78,1.78,2000
21,2012-02-08,1.78,1.78,1.78,1.78,500
22,2012-02-09,1.75,1.75,1.75,1.75,3700
23,2012-02-10,1.73,1.75,1.73,1.73,3100
24,2012-02-13,1.73,1.73,1.73,1.73,0
25,2012-02-14,1.83,1.83,1.73,1.73,1600
26,2012-02-15,1.86,1.86,1.75,1.75,1800
27,2012-02-16,1.89,1.89,1.83,1.89,29100
28,2012-02-17,2.0,2.0,1.97,1.97,11500
29,2012-02-20,2.03,2.14,2.03,2.14,10300
30,2012-02-21,2.19,2.19,2.08,2.08,8600
31,2012-02-22,2.05,2.11,2.05,2.11,3000
32,2012-02-23,1.97,2.0,1.97,1.97,28200
33,2012-02-24,2.11,2.11,2.08,2.11,6700
34,2012-02-27,2.19,2.25,2.19,2.25,84900
35,2012-02-28,2.14,2.38,2.11,2.38,26000
36,2012-02-29,2.52,2.52,2.38,2.46,47200
37,2012-03-01,2.41,2.49,2.35,2.46,18800
38,2012-03-02,2.46,2.6,2.46,2.55,41600
39,2012-03-05,2.6,2.68,2.6,2.68,83800
40,2012-03-06,2.85,2.85,2.68,2.85,161000
41,2012-03-07,2.85,2.88,2.68,2.82,34900
42,2012-03-08,2.74,2.82,2.66,2.68,24500
43,2012-03-09,2.74,2.79,2.57,2.68,32900
44,2012-03-12,2.79,2.82,2.66,2.74,144200
45,2012-03-13,2.77,2.77,2.58,2.58,600
46,2012-03-14,2.58,2.58,2.52,2.52,13300
47,2012-03-15,2.42,2.61,2.42,2.61,21700
48,2012-03-16,2.74,2.74,2.58,2.58,10000
49,2012-03-19,2.74,2.74,2.52,2.52,7600
50,2012-03-20,2.58,2.58,2.39,2.39,23900
51,2012-03-21,2.36,2.45,2.33,2.42,121400
52,2012-03-22,2.49,2.49,2.49,2.49,6300
53,2012-03-23,2.49,2.64,2.49,2.64,64400
54,2012-03-26,2.68,2.68,2.55,2.68,1900
55,2012-03-27,2.55,2.58,2.42,2.42,39200
56,2012-03-28,2.42,2.55,2.42,2.45,10800
57,2012-03-29,2.55,2.55,2.45,2.45,7000
58,2012-03-30,2.45,2.45,2.45,2.45,0
59,2012-04-03,2.45,2.45,2.39,2.39,500
60,2012-04-04,2.3,2.33,2.3,2.33,900
61,2012-04-05,2.36,2.45,2.33,2.45,4000
62,2012-04-06,2.42,2.45,2.36,2.45,5700
63,2012-04-09,2.45,2.49,2.42,2.42,6800
64,2012-04-10,2.45,2.45,2.39,2.45,18400
65,2012-04-11,2.45,2.52,2.42,2.52,6900
66,2012-04-12,2.55,2.55,2.52,2.52,13800
67,2012-04-13,2.55,2.55,2.52,2.52,6400
68,2012-04-16,2.45,2.58,2.45,2.55,2500
69,2012-04-17,2.49,2.55,2.49,2.52,11100
70,2012-04-18,2.55,2.55,2.42,2.42,9700
71,2012-04-19,2.52,2.52,2.42,2.42,4400
72,2012-04-20,2.39,2.42,2.33,2.33,8000
73,2012-04-23,2.36,2.36,2.36,2.36,100
74,2012-04-24,2.33,2.39,2.33,2.39,200
75,2012-04-25,2.45,2.55,2.45,2.55,18200
76,2012-04-26,2.52,2.52,2.52,2.52,2500
77,2012-04-27,2.52,2.58,2.52,2.58,14900
78,2012-05-02,2.58,2.61,2.58,2.61,27200
79,2012-05-03,2.61,2.61,2.55,2.58,7900
80,2012-05-04,2.55,2.74,2.55,2.71,46800
81,2012-05-07,2.9,2.9,2.77,2.86,17200
82,2012-05-08,2.93,2.93,2.8,2.83,37500
83,2012-05-09,2.83,2.83,2.8,2.8,6700
84,2012-05-10,2.83,2.9,2.8,2.83,30300
85,2012-05-11,2.86,2.86,2.77,2.77,27500
86,2012-05-14,2.71,2.71,2.58,2.58,14500
87,2012-05-15,2.49,2.58,2.49,2.52,30700
88,2012-05-16,2.52,2.52,2.52,2.52,200
89,2012-05-17,2.49,2.52,2.36,2.52,12800
90,2012-05-18,2.36,2.52,2.36,2.52,5100
91,2012-05-21,2.49,2.52,2.36,2.39,16900
92,2012-05-22,2.36,2.49,2.3,2.49,7300
93,2012-05-23,2.33,2.33,2.33,2.33,58600
94,2012-05-24,2.27,2.27,2.23,2.23,600
95,2012-05-25,2.39,2.42,2.27,2.36,8300
96,2012-05-28,2.49,2.49,2.33,2.33,300
97,2012-05-29,2.23,2.33,2.2,2.33,1700
98,2012-05-30,2.36,2.36,2.36,2.36,100
99,2012-05-31,2.33,2.33,2.2,2.2,3400
100,2012-06-01,2.23,2.23,2.14,2.23,4600
101,2012-06-04,2.14,2.17,2.14,2.14,7100
102,2012-06-05,2.23,2.27,2.05,2.27,1200
103,2012-06-06,2.27,2.27,2.27,2.27,0
104,2012-06-07,2.39,2.42,2.39,2.42,900
105,2012-06-08,2.45,2.45,2.33,2.45,6700
106,2012-06-11,2.49,2.49,2.49,2.49,200
107,2012-06-12,2.49,2.55,2.33,2.55,600
108,2012-06-13,2.55,2.55,2.55,2.55,0
109,2012-06-14,2.55,2.55,2.55,2.55,0
110,2012-06-15,2.45,2.45,2.45,2.45,1000
111,2012-06-18,2.36,2.36,2.3,2.3,600
112,2012-06-19,2.3,2.3,2.27,2.27,3200
113,2012-06-20,2.23,2.33,2.23,2.33,200
114,2012-06-21,2.33,2.33,2.33,2.33,0
115,2012-06-22,2.27,2.3,2.17,2.27,5900
116,2012-06-25,2.39,2.39,2.39,2.39,100
117,2012-06-26,2.23,2.23,2.23,2.23,5400
118,2012-06-27,2.23,2.23,2.23,2.23,1200
119,2012-06-28,2.23,2.23,2.23,2.23,0
120,2012-06-29,2.23,2.23,2.23,2.23,0
121,2012-07-02,2.23,2.23,2.23,2.23,0
122,2012-07-03,2.2,2.2,2.11,2.11,2900
123,2012-07-04,2.14,2.14,2.14,2.14,500
124,2012-07-05,2.14,2.14,2.14,2.14,500
125,2012-07-06,2.14,2.14,2.14,2.14,1900
126,2012-07-09,2.11,2.11,2.11,2.11,400
127,2012-07-10,2.11,2.11,2.11,2.11,0
128,2012-07-11,2.11,2.11,2.11,2.11,400
129,2012-07-12,2.08,2.08,2.08,2.08,500
130,2012-07-13,2.2,2.2,2.2,2.2,100
131,2012-07-16,2.2,2.2,2.2,2.2,0
132,2012-07-17,2.2,2.2,2.2,2.2,2100
133,2012-07-18,2.23,2.23,2.2,2.2,400
134,2012-07-19,2.2,2.27,2.2,2.27,700
135,2012-07-20,2.2,2.27,2.2,2.2,1500
136,2012-07-23,2.2,2.2,2.2,2.2,0
137,2012-07-24,2.17,2.17,2.11,2.11,9800
138,2012-07-25,2.2,2.2,2.2,2.2,200
139,2012-07-26,2.3,2.3,2.3,2.3,200
140,2012-07-27,2.3,2.3,2.3,2.3,0
141,2012-07-30,2.2,2.2,2.2,2.2,2000
142,2012-07-31,2.2,2.2,2.2,2.2,0
143,2012-08-01,2.11,2.11,2.11,2.11,600
144,2012-08-02,2.2,2.2,2.14,2.14,500
145,2012-08-03,2.14,2.14,2.14,2.14,0
146,2012-08-06,2.14,2.14,2.14,2.14,100
147,2012-08-07,2.17,2.17,2.01,2.17,4200
148,2012-08-08,2.17,2.3,2.17,2.3,2100
149,2012-08-09,2.2,2.2,2.2,2.2,100
150,2012-08-10,2.3,2.3,2.2,2.27,300
151,2012-08-13,2.2,2.2,2.2,2.2,12900
152,2012-08-14,2.2,2.23,2.2,2.23,2300
153,2012-08-15,2.17,2.17,2.14,2.17,10500
154,2012-08-16,2.14,2.14,2.14,2.14,100
155,2012-08-17,2.14,2.14,2.14,2.14,5500
156,2012-08-20,2.17,2.23,2.17,2.23,7500
157,2012-08-21,2.14,2.14,2.11,2.11,3600
158,2012-08-22,2.11,2.11,2.11,2.11,20700
159,2012-08-23,2.05,2.05,1.98,1.98,1100
160,2012-08-24,2.11,2.11,2.08,2.11,16500
161,2012-08-27,2.01,2.01,2.01,2.01,1700
162,2012-08-28,1.95,2.14,1.95,2.14,7100
163,2012-08-29,2.14,2.14,2.14,2.14,0
164,2012-08-30,2.14,2.14,2.14,2.14,0
165,2012-08-31,2.14,2.14,2.14,2.14,0
166,2012-09-04,2.14,2.14,2.14,2.14,0
167,2012-09-05,2.14,2.14,2.14,2.14,0
168,2012-09-06,2.17,2.17,2.17,2.17,100
169,2012-09-07,2.17,2.17,2.17,2.17,0
170,2012-09-10,2.05,2.05,2.05,2.05,100
171,2012-09-11,2.05,2.05,2.05,2.05,0
172,2012-09-12,2.11,2.11,2.11,2.11,200
173,2012-09-13,2.11,2.11,2.11,2.11,0
174,2012-09-14,2.14,2.17,2.14,2.17,3500
175,2012-09-17,2.17,2.27,2.17,2.27,1500
176,2012-09-18,2.27,2.27,2.27,2.27,0
177,2012-09-19,2.27,2.27,2.27,2.27,0
178,2012-09-20,2.11,2.11,2.11,2.11,400
179,2012-09-21,2.11,2.11,2.11,2.11,700
