,time,open,high,low,close,volume
0,2012-01-03,4.1,4.2,4.1,4.2,22290
1,2012-01-04,4.2,4.4,4.2,4.2,48100
2,2012-01-05,4.2,4.2,4.1,4.1,1370
3,2012-01-06,4.1,4.3,4.0,4.0,7070
4,2012-01-09,3.9,4.1,3.9,4.1,8610
5,2012-01-10,4.0,4.2,4.0,4.2,4100
6,2012-01-11,4.2,4.2,4.1,4.2,2330
7,2012-01-12,4.1,4.2,4.1,4.2,5430
8,2012-01-13,4.4,4.4,4.2,4.4,11400
9,2012-01-16,4.3,4.5,4.3,4.4,9450
10,2012-01-17,4.3,4.4,4.3,4.4,18150
11,2012-01-18,4.4,4.5,4.3,4.5,9090
12,2012-01-19,4.5,4.6,4.5,4.6,12940
13,2012-01-20,4.5,4.6,4.5,4.6,9350
14,2012-01-30,4.7,4.7,4.6,4.6,11810
15,2012-01-31,4.6,4.7,4.6,4.6,15180
16,2012-02-01,4.5,4.6,4.4,4.4,33520
17,2012-02-02,4.6,4.6,4.3,4.4,83380
18,2012-02-03,4.4,4.5,4.4,4.5,76930
19,2012-02-06,4.5,4.6,4.5,4.5,14790
20,2012-02-07,4.5,4.6,4.3,4.3,75350
21,2012-02-08,4.2,4.4,4.2,4.4,50350
22,2012-02-09,4.4,4.4,4.3,4.3,68920
23,2012-02-10,4.3,4.3,4.2,4.2,64950
24,2012-02-13,4.3,4.3,4.1,4.2,16680
25,2012-02-14,4.2,4.3,4.2,4.2,10230
26,2012-02-15,4.1,4.3,4.1,4.2,42420
27,2012-02-16,4.2,4.3,4.2,4.2,21980
28,2012-02-17,4.3,4.3,4.2,4.3,13480
29,2012-02-20,4.4,4.5,4.4,4.5,97230
30,2012-02-21,4.6,4.6,4.3,4.4,75240
31,2012-02-22,4.4,4.6,4.4,4.6,55400
32,2012-02-23,4.7,4.8,4.6,4.8,248990
33,2012-02-24,4.8,5.0,4.8,5.0,201080
34,2012-02-27,5.0,5.2,5.0,5.2,167380
35,2012-02-28,5.2,5.4,5.0,5.0,103580
36,2012-02-29,4.9,5.1,4.8,4.9,188960
37,2012-03-01,5.0,5.0,4.8,4.9,122810
38,2012-03-02,5.0,5.1,4.9,5.1,216170
39,2012-03-05,5.3,5.3,5.3,5.3,150980
40,2012-03-06,5.4,5.4,5.1,5.2,244790
41,2012-03-07,5.2,5.3,5.0,5.3,103030
42,2012-03-08,5.1,5.2,5.1,5.1,119580
43,2012-03-09,5.0,5.1,5.0,5.1,32230
44,2012-03-12,5.0,5.0,4.9,4.9,72820
45,2012-03-13,4.9,5.0,4.9,5.0,9890
46,2012-03-14,4.9,5.1,4.8,4.8,58990
47,2012-03-15,4.9,4.9,4.7,4.9,223840
48,2012-03-16,5.0,5.0,4.8,4.9,123610
49,2012-03-19,5.0,5.0,4.7,4.7,188430
50,2012-03-20,4.8,4.9,4.7,4.8,185560
51,2012-03-21,4.9,5.0,4.8,5.0,437400
52,2012-03-22,5.2,5.2,5.2,5.2,385070
53,2012-03-23,5.4,5.4,5.4,5.4,119060
54,2012-03-26,5.6,5.6,5.6,5.6,567100
55,2012-03-27,5.6,5.7,5.4,5.4,557500
56,2012-03-28,5.3,5.4,5.2,5.4,184590
57,2012-03-29,5.4,5.4,5.2,5.2,164550
58,2012-03-30,5.2,5.2,5.0,5.1,285070
59,2012-04-03,5.1,5.3,5.0,5.2,127430
60,2012-04-04,5.2,5.3,5.0,5.1,120340
61,2012-04-05,5.1,5.2,4.9,5.2,78880
62,2012-04-06,5.3,5.3,5.1,5.2,127690
63,2012-04-09,5.3,5.3,5.2,5.3,310780
64,2012-04-10,5.3,5.4,5.3,5.3,273540
65,2012-04-11,5.4,5.5,5.3,5.5,496520
66,2012-04-12,5.6,5.7,5.6,5.7,364180
67,2012-04-13,5.8,5.8,5.6,5.7,690000
68,2012-04-16,5.7,5.9,5.6,5.9,657080
69,2012-04-17,5.9,6.1,5.9,6.1,697740
70,2012-04-18,6.4,6.4,6.2,6.4,519660
71,2012-04-19,6.7,6.7,6.4,6.5,1003380
72,2012-04-20,6.4,6.4,6.2,6.2,740330
73,2012-04-23,6.2,6.3,6.0,6.1,249310
74,2012-04-24,6.2,6.4,6.2,6.4,429640
75,2012-04-25,6.5,6.7,6.5,6.7,470520
76,2012-04-26,7.0,7.0,6.9,7.0,547920
77,2012-04-27,7.3,7.3,7.2,7.2,710380
78,2012-05-02,6.9,7.0,6.9,6.9,1078670
