,time,open,high,low,close,volume
0,2015-06-10,13.41,13.41,10.35,10.92,321700
1,2015-06-11,11.26,11.75,10.51,10.76,155300
2,2015-06-12,10.35,11.92,10.35,10.68,17200
3,2015-06-15,10.35,10.76,10.26,10.26,41100
4,2015-06-16,9.93,10.35,9.35,9.35,52000
5,2015-06-17,8.77,9.77,8.77,9.27,40700
6,2015-06-18,9.43,9.93,9.43,9.93,6748
7,2015-06-19,9.85,9.85,9.85,9.85,100
8,2015-06-22,9.93,9.93,9.1,9.27,4500
9,2015-06-23,9.35,9.68,9.35,9.68,8000
10,2015-06-24,9.77,9.85,9.1,9.1,15900
11,2015-06-25,9.43,9.43,9.1,9.1,2300
12,2015-06-26,9.68,10.01,8.77,9.52,1481000
13,2015-06-29,9.77,10.59,9.77,10.51,1062900
14,2015-06-30,10.59,10.59,10.1,10.26,1901600
15,2015-07-01,10.35,10.35,9.43,10.1,2213000
16,2015-07-02,10.1,10.1,9.68,9.93,7300
17,2015-07-03,9.93,9.93,9.52,9.68,736900
18,2015-07-06,9.68,9.77,9.35,9.35,21100
19,2015-07-07,9.68,10.18,9.52,9.85,784300
20,2015-07-08,9.77,9.93,9.52,9.85,51600
21,2015-07-09,9.6,9.85,9.1,9.1,37400
22,2015-07-10,9.6,9.93,9.43,9.93,8000
23,2015-07-13,10.51,10.51,10.43,10.43,1100
24,2015-07-14,9.93,9.93,9.52,9.68,13500
25,2015-07-15,9.35,9.68,9.1,9.68,3600
26,2015-07-16,9.52,9.52,9.52,9.52,500
27,2015-07-17,9.35,9.93,9.1,9.1,590500
28,2015-07-20,9.6,9.93,8.94,9.68,1177900
29,2015-07-21,9.1,9.1,9.1,9.1,1600
30,2015-07-22,9.1,9.68,8.86,9.1,1265700
31,2015-07-23,8.44,9.93,8.44,9.1,897300
32,2015-07-24,9.1,9.1,9.1,9.1,6600
33,2015-07-27,8.69,9.6,8.69,9.6,1400
34,2015-07-28,9.68,9.68,9.52,9.52,400
35,2015-07-29,9.1,9.43,9.1,9.43,244700
36,2015-07-30,9.1,9.1,9.1,9.1,30000
37,2015-07-31,9.52,9.52,7.95,9.43,4100
38,2015-08-03,9.35,9.35,9.35,9.35,100
39,2015-08-04,9.85,9.85,9.85,9.85,100
40,2015-08-05,9.93,10.35,9.93,10.35,3100
41,2015-08-06,10.35,10.35,10.35,10.35,2000
42,2015-08-07,11.84,11.84,9.02,9.02,10500
43,2015-08-10,9.1,9.43,9.1,9.35,7000
44,2015-08-11,10.35,10.35,10.35,10.35,100
45,2015-08-12,8.94,9.43,8.94,9.43,6900
