,time,open,high,low,close,volume
0,2015-08-03,6.14,6.14,5.65,5.7,313220
1,2015-08-04,5.7,5.74,5.3,5.3,9220
2,2015-08-05,5.3,5.45,5.25,5.45,19420
3,2015-08-06,5.3,5.3,5.1,5.1,23650
4,2015-08-07,4.74,5.1,4.74,4.74,23890
5,2015-08-10,4.74,5.05,4.74,5.05,11530
6,2015-08-11,5.1,5.3,4.8,4.8,22830
7,2015-08-12,4.81,4.9,4.66,4.75,25000
8,2015-08-13,4.75,4.85,4.55,4.84,14720
9,2015-08-14,4.7,4.84,4.69,4.83,3570
10,2015-08-17,4.62,4.81,4.62,4.79,49820
11,2015-08-18,4.74,4.77,4.71,4.75,47070
12,2015-08-19,4.75,4.84,4.74,4.79,25460
13,2015-08-20,4.81,4.85,4.68,4.85,102480
14,2015-08-21,4.85,4.94,4.77,4.92,104370
15,2015-08-24,4.82,4.82,4.73,4.82,48760
16,2015-08-25,4.87,4.87,4.56,4.71,75340
17,2015-08-26,4.78,4.78,4.56,4.72,105380
18,2015-08-27,4.72,4.74,4.64,4.64,20510
19,2015-08-28,4.74,4.74,4.59,4.6,49470
20,2015-08-31,4.67,4.67,4.56,4.61,63050
21,2015-09-01,4.66,4.68,4.58,4.61,64670
22,2015-09-03,4.63,4.63,4.52,4.59,105250
23,2015-09-04,4.62,4.62,4.52,4.52,16340
24,2015-09-07,4.53,4.53,4.46,4.52,82270
25,2015-09-08,4.49,4.51,4.46,4.49,57180
26,2015-09-09,4.51,4.51,4.45,4.45,59660
27,2015-09-10,4.46,4.46,4.44,4.45,60240
28,2015-09-11,4.45,4.46,4.44,4.45,17410
29,2015-09-14,4.45,4.55,4.44,4.45,69820
30,2015-09-15,4.45,4.45,4.26,4.44,12800
31,2015-09-16,4.4,4.45,4.39,4.41,71540
32,2015-09-17,4.41,4.59,4.41,4.55,43750
33,2015-09-18,4.55,4.66,4.55,4.59,44790
34,2015-09-21,4.56,4.63,4.53,4.58,41170
35,2015-09-22,4.58,4.64,4.56,4.64,78730
36,2015-09-23,4.64,4.64,4.6,4.61,6260
37,2015-09-24,4.64,4.64,4.45,4.59,47390
38,2015-09-25,4.59,4.59,4.56,4.58,30020
39,2015-09-28,4.57,4.57,4.55,4.56,50280
40,2015-09-29,4.56,4.56,4.48,4.56,47480
41,2015-09-30,4.64,4.64,4.56,4.63,25130
