,time,open,high,low,close,volume
0,2012-01-03,1.15,1.15,1.15,1.15,0
1,2012-01-04,1.15,1.15,1.15,1.15,6010
2,2012-01-05,1.17,1.17,1.17,1.17,100
3,2012-01-06,1.15,1.15,1.15,1.15,1410
4,2012-01-09,1.12,1.14,1.12,1.14,1970
5,2012-01-10,1.14,1.14,1.14,1.14,0
6,2012-01-11,1.14,1.14,1.14,1.14,0
7,2012-01-12,1.19,1.19,1.17,1.19,3610
8,2012-01-13,1.2,1.24,1.2,1.24,58270
9,2012-01-16,1.24,1.29,1.24,1.29,46450
10,2012-01-17,1.34,1.34,1.34,1.34,10
11,2012-01-18,1.34,1.36,1.29,1.29,21000
12,2012-01-19,1.34,1.34,1.29,1.29,3110
13,2012-01-20,1.29,1.34,1.29,1.29,22000
14,2012-01-30,1.29,1.34,1.29,1.34,21110
15,2012-01-31,1.36,1.39,1.36,1.39,182900
16,2012-02-01,1.36,1.36,1.32,1.36,3750
17,2012-02-02,1.39,1.42,1.36,1.39,23230
18,2012-02-03,1.36,1.41,1.36,1.41,4850
19,2012-02-06,1.44,1.46,1.44,1.44,9600
20,2012-02-07,1.44,1.44,1.37,1.42,30510
21,2012-02-08,1.44,1.46,1.42,1.46,16000
22,2012-02-09,1.41,1.41,1.41,1.41,1600
23,2012-02-10,1.37,1.46,1.37,1.39,13800
24,2012-02-13,1.39,1.44,1.39,1.44,11230
25,2012-02-14,1.42,1.44,1.42,1.44,1550
26,2012-02-15,1.37,1.37,1.37,1.37,10
27,2012-02-16,1.32,1.32,1.32,1.32,3200
28,2012-02-17,1.36,1.37,1.36,1.37,11010
29,2012-02-20,1.39,1.44,1.39,1.44,21790
30,2012-02-21,1.44,1.44,1.37,1.37,110
31,2012-02-22,1.41,1.44,1.36,1.39,20890
32,2012-02-23,1.39,1.44,1.32,1.44,30310
33,2012-02-24,1.37,1.44,1.37,1.39,4820
34,2012-02-27,1.32,1.44,1.32,1.44,12000
35,2012-02-28,1.39,1.39,1.37,1.37,12510
36,2012-02-29,1.42,1.42,1.37,1.42,6010
37,2012-03-01,1.36,1.37,1.36,1.37,560
38,2012-03-02,1.41,1.44,1.41,1.44,113840
39,2012-03-05,1.44,1.51,1.44,1.44,54020
40,2012-03-06,1.47,1.51,1.37,1.37,80760
41,2012-03-07,1.36,1.44,1.36,1.44,18010
42,2012-03-08,1.39,1.46,1.39,1.39,17810
43,2012-03-09,1.44,1.46,1.44,1.46,47510
44,2012-03-12,1.49,1.49,1.42,1.46,44010
45,2012-03-13,1.46,1.49,1.46,1.47,16150
46,2012-03-14,1.41,1.47,1.41,1.47,2310
47,2012-03-15,1.41,1.47,1.41,1.47,3700
48,2012-03-16,1.47,1.53,1.41,1.41,11700
49,2012-03-19,1.44,1.47,1.44,1.47,59750
50,2012-03-20,1.54,1.54,1.53,1.54,59050
