,time,open,high,low,close,volume
0,2012-01-03,2.77,2.77,2.77,2.77,200
1,2012-01-04,2.6,2.6,2.6,2.6,900
2,2012-01-05,2.47,2.47,2.47,2.47,1000
3,2012-01-06,2.47,2.47,2.47,2.47,0
4,2012-01-09,2.47,2.47,2.47,2.47,0
5,2012-01-10,2.47,2.47,2.47,2.47,0
6,2012-01-11,2.47,2.47,2.47,2.47,0
7,2012-01-12,2.47,2.47,2.47,2.47,0
8,2012-01-13,2.6,2.64,2.6,2.64,200
9,2012-01-16,2.77,2.77,2.77,2.77,100
10,2012-01-17,2.9,2.94,2.9,2.94,1000
11,2012-01-18,3.14,3.14,3.14,3.14,200
12,2012-01-19,3.34,3.34,3.34,3.34,100
13,2012-01-20,3.34,3.34,3.34,3.34,0
14,2012-01-30,3.34,3.34,3.34,3.34,0
15,2012-01-31,3.57,3.57,3.57,3.57,100
16,2012-02-01,3.57,3.57,3.57,3.57,0
17,2012-02-02,3.57,3.57,3.57,3.57,0
18,2012-02-03,3.57,3.57,3.57,3.57,0
19,2012-02-06,3.57,3.57,3.57,3.57,7400
20,2012-02-07,3.57,3.57,3.57,3.57,0
21,2012-02-08,3.57,3.57,3.57,3.57,0
22,2012-02-09,3.57,3.7,3.57,3.7,7000
23,2012-02-10,3.7,3.7,3.7,3.7,0
24,2012-02-13,3.44,3.44,3.44,3.44,500
25,2012-02-14,3.2,3.2,3.2,3.2,100
26,2012-02-15,3.07,3.07,3.07,3.07,300
27,2012-02-16,3.07,3.07,3.07,3.07,0
28,2012-02-17,3.27,3.27,3.27,3.27,200
29,2012-02-20,3.27,3.47,3.27,3.47,600
30,2012-02-21,3.4,3.4,3.4,3.4,100
31,2012-02-22,3.4,3.4,3.4,3.4,0
32,2012-02-23,3.4,3.4,3.4,3.4,0
33,2012-02-24,3.64,3.64,3.64,3.64,500
34,2012-02-27,3.67,3.67,3.67,3.67,100
35,2012-02-28,3.67,3.67,3.67,3.67,0
36,2012-02-29,3.9,3.9,3.9,3.9,1000
37,2012-03-01,3.9,3.9,3.9,3.9,0
38,2012-03-02,3.9,3.9,3.9,3.9,0
39,2012-03-05,4.0,4.17,4.0,4.17,15500
40,2012-03-06,4.17,4.44,4.17,4.44,13000
41,2012-03-07,4.5,4.57,4.5,4.57,23100
42,2012-03-08,4.64,4.64,4.24,4.24,10300
43,2012-03-09,4.07,4.07,4.07,4.07,200
44,2012-03-12,4.34,4.34,4.24,4.27,23700
45,2012-03-13,4.27,4.54,4.27,4.54,16900
46,2012-03-14,4.6,4.6,4.6,4.6,100
47,2012-03-15,4.9,4.9,4.9,4.9,100
48,2012-03-16,5.24,5.24,5.24,5.24,100
49,2012-03-19,5.24,5.24,5.24,5.24,0
50,2012-03-20,5.24,5.24,5.24,5.24,0
51,2012-03-21,5.57,5.57,5.24,5.24,1100
52,2012-03-22,4.9,5.64,4.9,5.6,39300
53,2012-03-23,5.87,5.87,5.67,5.84,48800
54,2012-03-26,6.24,6.24,6.24,6.24,47200
55,2012-03-27,6.64,6.67,5.94,6.37,96300
56,2012-03-28,6.01,6.17,5.94,5.94,33700
57,2012-03-29,6.17,6.17,5.74,5.74,26500
58,2012-03-30,6.01,6.01,5.74,5.87,34300
59,2012-04-03,6.27,6.27,6.01,6.27,74000
60,2012-04-04,6.51,6.51,6.07,6.24,8100
61,2012-04-05,6.21,6.21,6.01,6.01,11000
62,2012-04-06,6.14,6.14,6.04,6.07,23900
63,2012-04-09,6.14,6.14,6.04,6.14,33800
64,2012-04-10,6.17,6.24,6.14,6.14,58800
