,time,open,high,low,close,volume
0,2012-01-03,8.4,8.4,8.4,8.4,3000
1,2012-01-04,8.4,8.4,8.4,8.4,100
2,2012-01-05,8.4,8.4,8.4,8.4,0
3,2012-01-06,8.4,8.4,8.4,8.4,0
4,2012-01-09,8.4,8.4,8.4,8.4,0
5,2012-01-10,8.4,8.4,8.4,8.4,0
6,2012-01-11,7.84,7.84,7.84,7.84,1000
7,2012-01-12,7.84,7.84,7.84,7.84,0
8,2012-01-13,7.84,7.84,7.84,7.84,0
9,2012-01-16,7.34,7.34,7.34,7.34,1100
10,2012-01-17,7.34,7.34,7.34,7.34,200
11,2012-01-18,7.34,7.34,7.34,7.34,0
12,2012-01-19,7.34,7.34,7.34,7.34,500
13,2012-01-20,7.34,7.34,7.34,7.34,0
14,2012-01-30,7.34,7.34,7.34,7.34,0
15,2012-01-31,7.34,7.34,7.34,7.34,0
16,2012-02-01,7.34,7.34,7.34,7.34,0
17,2012-02-02,7.73,7.84,7.73,7.84,3000
18,2012-02-03,8.29,8.29,8.29,8.29,100
19,2012-02-06,7.73,7.73,7.73,7.73,200
20,2012-02-07,8.23,8.23,8.23,8.23,9800
21,2012-02-08,8.51,8.51,8.51,8.51,100
22,2012-02-09,8.51,8.51,8.51,8.51,300
23,2012-02-10,8.51,8.51,8.51,8.51,0
24,2012-02-13,8.51,8.51,8.51,8.51,0
25,2012-02-14,8.51,8.51,8.51,8.51,0
26,2012-02-15,8.51,8.51,8.51,8.51,0
27,2012-02-16,8.51,8.51,8.51,8.51,0
28,2012-02-17,8.51,8.51,8.51,8.51,0
29,2012-02-20,9.01,9.01,9.01,9.01,100
30,2012-02-21,8.4,8.4,8.4,8.4,300
31,2012-02-22,8.4,8.4,8.4,8.4,0
32,2012-02-23,8.4,8.4,8.4,8.4,0
33,2012-02-24,8.62,8.96,8.51,8.9,12600
34,2012-02-27,9.29,9.29,9.18,9.18,16200
35,2012-02-28,9.68,9.68,8.57,8.57,4600
36,2012-02-29,8.96,9.23,8.96,9.23,10300
37,2012-03-01,9.46,9.73,9.46,9.46,12600
38,2012-03-02,10.4,10.4,10.4,10.4,100
39,2012-03-05,10.4,10.57,10.4,10.4,5000
40,2012-03-06,10.46,11.07,10.46,11.07,5700
41,2012-03-07,10.35,10.35,10.35,10.35,1000
42,2012-03-08,10.29,11.07,9.62,10.29,16200
43,2012-03-09,11.01,11.29,11.01,11.29,10400
44,2012-03-12,11.29,11.63,10.51,10.51,22200
45,2012-03-13,11.51,11.68,10.74,10.74,13000
46,2012-03-14,10.79,11.46,10.79,11.01,2400
47,2012-03-15,11.01,11.01,11.01,11.01,0
48,2012-03-16,10.85,11.9,10.46,10.46,16300
49,2012-03-19,10.46,10.46,10.46,10.46,0
50,2012-03-20,10.46,10.46,10.46,10.46,0
51,2012-03-21,10.68,10.68,10.68,10.68,100
52,2012-03-22,9.96,9.96,9.96,9.96,300
53,2012-03-23,9.29,9.29,9.29,9.29,2100
54,2012-03-26,9.18,9.9,9.18,9.79,5900
55,2012-03-27,9.79,9.79,9.79,9.79,0
56,2012-03-28,9.79,9.79,9.79,9.79,0
57,2012-03-29,9.79,9.79,9.79,9.79,0
58,2012-03-30,9.79,9.79,9.79,9.79,0
59,2012-04-03,10.18,10.18,10.18,10.18,100
60,2012-04-04,10.18,10.18,10.18,10.18,0
61,2012-04-05,10.18,10.18,10.18,10.18,0
62,2012-04-06,9.51,9.51,9.51,9.51,100
63,2012-04-09,8.9,8.9,8.9,8.9,1500
64,2012-04-10,8.45,8.45,8.4,8.4,2000
65,2012-04-11,8.4,8.4,8.4,8.4,0
66,2012-04-12,8.51,8.96,8.34,8.96,5500
67,2012-04-13,8.96,8.96,8.96,8.96,1000
68,2012-04-16,8.96,8.96,8.96,8.96,0
69,2012-04-17,8.51,9.12,8.51,9.12,1100
70,2012-04-18,8.51,8.62,8.51,8.62,1400
71,2012-04-19,9.01,9.01,9.01,9.01,100
72,2012-04-20,9.01,9.01,9.01,9.01,0
73,2012-04-23,8.96,9.23,8.96,9.23,1600
74,2012-04-24,9.07,9.23,9.07,9.23,1600
75,2012-04-25,8.62,8.68,8.62,8.68,1800
76,2012-04-26,8.51,8.9,8.51,8.9,200
77,2012-04-27,8.57,8.57,8.57,8.57,800
78,2012-05-02,8.12,8.12,8.12,8.12,100
79,2012-05-03,7.84,8.68,7.84,7.84,2400
80,2012-05-04,7.95,7.95,7.95,7.95,100
81,2012-05-07,7.73,8.51,7.73,8.51,2100
82,2012-05-08,8.51,8.51,8.51,8.51,0
83,2012-05-09,8.12,8.12,8.12,8.12,500
84,2012-05-10,8.23,8.23,8.23,8.23,100
85,2012-05-11,8.79,8.79,8.79,8.79,3200
86,2012-05-14,9.29,9.34,9.29,9.34,1400
87,2012-05-15,8.73,8.73,8.73,8.73,100
88,2012-05-16,8.73,8.73,8.73,8.73,0
89,2012-05-17,8.73,9.01,8.73,9.01,300
90,2012-05-18,9.01,9.01,9.01,9.01,0
91,2012-05-21,9.01,9.01,9.01,9.01,0
92,2012-05-22,9.01,9.01,9.01,9.01,0
93,2012-05-23,9.01,9.01,9.01,9.01,0
94,2012-05-24,9.01,9.01,9.01,9.01,0
95,2012-05-25,8.9,8.9,8.9,8.9,500
96,2012-05-28,8.29,8.29,8.29,8.29,100
97,2012-05-29,8.29,8.29,8.29,8.29,0
98,2012-05-30,8.29,8.29,8.29,8.29,0
99,2012-05-31,8.29,8.29,8.29,8.29,0
100,2012-06-01,8.29,8.29,8.29,8.29,0
101,2012-06-04,7.73,7.73,7.73,7.73,100
102,2012-06-05,7.51,7.51,7.23,7.23,300
103,2012-06-06,7.56,7.56,7.23,7.23,200
104,2012-06-07,7.29,7.29,7.29,7.29,100
105,2012-06-08,6.95,7.79,6.95,7.79,500
106,2012-06-11,7.45,7.45,7.45,7.45,100
107,2012-06-12,7.56,7.56,7.23,7.23,10900
108,2012-06-13,7.23,7.23,7.23,7.23,100
109,2012-06-14,6.95,7.18,6.79,7.18,4600
110,2012-06-15,6.67,7.34,6.67,7.34,200
111,2012-06-18,6.95,7.51,6.95,7.51,400
112,2012-06-19,7.01,7.01,7.01,7.01,100
113,2012-06-20,6.67,7.34,6.67,7.34,300
114,2012-06-21,7.01,7.45,7.01,7.45,200
115,2012-06-22,7.34,7.56,7.06,7.06,3200
116,2012-06-25,6.84,6.84,6.84,6.84,100
117,2012-06-26,6.4,7.01,6.4,7.01,600
118,2012-06-27,6.67,6.67,6.67,6.67,100
119,2012-06-28,6.23,6.95,6.23,6.95,1000
120,2012-06-29,6.51,7.34,6.51,6.51,1100
121,2012-07-02,6.29,6.29,6.29,6.29,100
122,2012-07-03,5.9,6.56,5.9,6.56,600
123,2012-07-04,6.12,6.79,6.12,6.79,300
124,2012-07-05,6.34,7.06,6.34,6.4,400
125,2012-07-06,6.34,6.34,6.34,6.34,100
126,2012-07-09,5.95,6.51,5.95,6.51,1700
127,2012-07-10,6.12,6.12,6.06,6.06,200
128,2012-07-11,6.06,6.06,6.06,6.06,0
129,2012-07-12,6.12,6.12,5.67,5.67,1300
130,2012-07-13,5.34,6.06,5.34,6.06,600
131,2012-07-16,5.73,6.29,5.73,6.29,200
132,2012-07-17,5.9,6.12,5.9,6.12,200
133,2012-07-18,6.12,6.12,6.12,6.12,0
134,2012-07-19,5.78,6.51,5.78,6.51,1000
135,2012-07-20,6.17,6.23,6.17,6.17,3100
136,2012-07-23,5.9,5.9,5.9,5.9,100
137,2012-07-24,6.12,6.29,6.12,6.29,800
138,2012-07-25,6.29,6.29,6.29,6.29,0
139,2012-07-26,6.06,6.06,6.06,6.06,100
140,2012-07-27,5.78,5.78,5.78,5.78,100
141,2012-07-30,5.45,5.45,5.45,5.45,100
142,2012-07-31,5.45,5.45,5.45,5.45,0
143,2012-08-01,5.78,5.78,5.78,5.78,1000
144,2012-08-02,5.62,5.62,5.62,5.62,100
145,2012-08-03,5.95,5.95,5.95,5.95,100
146,2012-08-06,5.67,5.73,5.67,5.73,1100
147,2012-08-07,6.01,6.12,5.84,5.84,900
148,2012-08-08,5.73,5.73,5.73,5.73,100
149,2012-08-09,5.67,6.12,5.67,5.84,3100
150,2012-08-10,5.73,5.73,5.73,5.73,200
151,2012-08-13,5.73,5.73,5.73,5.73,0
152,2012-08-14,5.73,5.73,5.73,5.73,0
153,2012-08-15,5.73,5.73,5.73,5.73,0
154,2012-08-16,5.34,5.34,5.34,5.34,100
155,2012-08-17,5.62,5.62,5.62,5.62,45800
156,2012-08-20,6.01,6.01,6.01,6.01,100
157,2012-08-21,6.4,6.4,6.4,6.4,3100
158,2012-08-22,6.84,6.84,6.84,6.84,800
159,2012-08-23,7.29,7.29,6.84,7.18,51300
160,2012-08-24,6.67,7.06,6.67,6.67,2400
161,2012-08-27,6.9,6.9,6.23,6.23,3600
162,2012-08-28,5.9,6.62,5.9,6.62,1000
163,2012-08-29,6.23,6.95,6.23,6.95,300
164,2012-08-30,6.4,6.67,6.29,6.67,3400
165,2012-08-31,6.23,6.23,6.23,6.23,1500
166,2012-09-04,6.23,6.23,6.23,6.23,200
167,2012-09-05,5.84,5.84,5.84,5.84,100
168,2012-09-06,5.56,5.56,5.51,5.51,300
169,2012-09-07,5.28,5.84,5.28,5.84,300
170,2012-09-10,6.06,6.17,5.45,6.17,3400
171,2012-09-11,6.17,6.17,6.17,6.17,0
172,2012-09-12,6.17,6.17,6.17,6.17,0
173,2012-09-13,5.56,5.95,5.56,5.95,10100
174,2012-09-14,5.95,5.95,5.67,5.95,8700
175,2012-09-17,5.95,5.95,5.56,5.56,12000
176,2012-09-18,5.78,5.78,5.78,5.78,2900
177,2012-09-19,5.78,5.78,5.78,5.78,1700
178,2012-09-20,5.78,5.78,5.78,5.78,1000
179,2012-09-21,5.62,5.73,5.4,5.73,800
180,2012-09-24,5.45,5.45,5.45,5.45,100
181,2012-09-25,5.45,5.62,5.12,5.28,1900
182,2012-09-26,5.28,5.45,5.28,5.45,5000
183,2012-09-27,5.4,5.62,5.34,5.51,2700
184,2012-09-28,5.23,5.51,5.23,5.51,300
185,2012-10-01,5.56,5.56,5.56,5.56,100
186,2012-10-02,5.17,5.84,5.17,5.28,3300
187,2012-10-03,5.06,5.62,5.06,5.17,700
188,2012-10-04,5.17,5.17,5.17,5.17,0
189,2012-10-05,4.95,5.51,4.95,5.51,2100
190,2012-10-08,5.17,5.84,5.17,5.84,6900
191,2012-10-09,5.45,6.23,5.45,6.23,1200
192,2012-10-10,5.84,6.62,5.84,6.62,16500
193,2012-10-11,6.17,6.79,6.17,6.56,4400
194,2012-10-12,6.12,6.12,6.12,6.12,100
195,2012-10-15,5.73,6.29,5.73,5.73,8600
196,2012-10-16,5.4,5.4,5.4,5.4,1000
197,2012-10-17,5.4,5.4,5.4,5.4,0
198,2012-10-18,5.12,5.23,5.12,5.23,700
199,2012-10-19,5.01,5.23,5.01,5.23,500
200,2012-10-22,5.01,5.12,5.01,5.12,300
201,2012-10-23,4.89,4.89,4.89,4.89,100
202,2012-10-24,4.89,4.89,4.89,4.89,0
