,time,open,high,low,close,volume
0,2012-01-03,0.49,0.49,0.49,0.49,100
1,2012-01-04,0.46,0.51,0.46,0.51,200
2,2012-01-05,0.46,0.46,0.46,0.46,100
3,2012-01-06,0.46,0.46,0.46,0.46,0
4,2012-01-09,0.46,0.46,0.46,0.46,0
5,2012-01-10,0.46,0.46,0.46,0.46,0
6,2012-01-11,0.46,0.46,0.46,0.46,0
7,2012-01-12,0.46,0.46,0.46,0.46,0
8,2012-01-13,0.5,0.5,0.5,0.5,100
9,2012-01-16,0.51,0.51,0.51,0.51,100
10,2012-01-17,0.51,0.51,0.51,0.51,0
11,2012-01-18,0.51,0.51,0.51,0.51,0
12,2012-01-19,0.51,0.51,0.51,0.51,0
13,2012-01-20,0.53,0.53,0.48,0.48,200
14,2012-01-30,0.48,0.48,0.48,0.48,0
15,2012-01-31,0.47,0.47,0.47,0.47,100
16,2012-02-01,0.49,0.49,0.45,0.45,200
17,2012-02-02,0.45,0.5,0.45,0.5,600
18,2012-02-03,0.53,0.53,0.53,0.53,100
19,2012-02-06,0.5,0.5,0.5,0.5,100
20,2012-02-07,0.53,0.53,0.48,0.48,200
21,2012-02-08,0.47,0.53,0.47,0.53,300
22,2012-02-09,0.54,0.54,0.54,0.54,100
23,2012-02-10,0.5,0.5,0.5,0.5,100
24,2012-02-13,0.48,0.48,0.48,0.48,100
25,2012-02-14,0.46,0.51,0.46,0.51,300
26,2012-02-15,0.52,0.52,0.52,0.52,200
27,2012-02-16,0.5,0.54,0.5,0.54,200
28,2012-02-17,0.54,0.54,0.49,0.49,200
29,2012-02-20,0.49,0.49,0.49,0.49,0
30,2012-02-21,0.5,0.5,0.5,0.5,100
31,2012-02-22,0.47,0.54,0.47,0.54,200
32,2012-02-23,0.52,0.52,0.52,0.52,100
33,2012-02-24,0.52,0.52,0.52,0.52,0
34,2012-02-27,0.55,0.55,0.55,0.55,100
35,2012-02-28,0.52,0.57,0.52,0.57,200
36,2012-02-29,0.57,0.57,0.57,0.57,0
37,2012-03-01,0.57,0.57,0.57,0.57,0
38,2012-03-02,0.55,0.55,0.55,0.55,100
39,2012-03-05,0.58,0.58,0.58,0.58,100
40,2012-03-06,0.58,0.58,0.58,0.58,0
41,2012-03-07,0.58,0.58,0.58,0.58,0
42,2012-03-08,0.58,0.58,0.58,0.58,0
43,2012-03-09,0.58,0.58,0.58,0.58,0
44,2012-03-12,0.62,0.62,0.61,0.61,200
45,2012-03-13,0.61,0.61,0.61,0.61,0
46,2012-03-14,0.61,0.61,0.61,0.61,0
47,2012-03-15,0.61,0.61,0.61,0.61,0
48,2012-03-16,0.57,0.57,0.57,0.57,100
49,2012-03-19,0.57,0.57,0.57,0.57,500
50,2012-03-20,0.61,0.61,0.61,0.61,200
51,2012-03-21,0.61,0.61,0.61,0.61,0
52,2012-03-22,0.61,0.61,0.61,0.61,200
53,2012-03-23,0.64,0.64,0.64,0.64,100
54,2012-03-26,0.64,0.64,0.64,0.64,200
55,2012-03-27,0.6,0.6,0.6,0.6,100
56,2012-03-28,0.6,0.6,0.6,0.6,0
57,2012-03-29,0.6,0.6,0.6,0.6,0
58,2012-03-30,0.63,0.63,0.63,0.63,500
59,2012-04-03,0.63,0.63,0.63,0.63,0
60,2012-04-04,0.63,0.63,0.63,0.63,0
61,2012-04-05,0.63,0.63,0.63,0.63,0
62,2012-04-06,0.63,0.63,0.63,0.63,0
63,2012-04-09,0.63,0.63,0.63,0.63,0
64,2012-04-10,0.63,0.63,0.63,0.63,0
65,2012-04-11,0.63,0.63,0.63,0.63,0
66,2012-04-12,0.63,0.63,0.63,0.63,0
67,2012-04-13,0.63,0.63,0.63,0.63,0
68,2012-04-16,0.64,0.64,0.64,0.64,200
69,2012-04-17,0.64,0.64,0.64,0.64,0
70,2012-04-18,0.64,0.64,0.64,0.64,0
71,2012-04-19,0.64,0.64,0.64,0.64,0
72,2012-04-20,0.64,0.64,0.64,0.64,0
73,2012-04-23,0.6,0.6,0.6,0.6,100
74,2012-04-24,0.56,0.56,0.56,0.56,100
75,2012-04-25,0.56,0.56,0.56,0.56,0
76,2012-04-26,0.56,0.56,0.56,0.56,0
77,2012-04-27,0.56,0.56,0.56,0.56,0
78,2012-05-02,0.53,0.53,0.53,0.53,100
79,2012-05-03,0.54,0.54,0.53,0.53,3000
80,2012-05-04,0.53,0.53,0.53,0.53,0
81,2012-05-07,0.5,0.56,0.5,0.51,3300
82,2012-05-08,0.54,0.54,0.54,0.54,100
83,2012-05-09,0.54,0.54,0.54,0.54,0
