,time,open,high,low,close,volume
0,2016-03-16,10.35,10.35,10.35,10.35,100
1,2016-03-17,11.87,11.87,11.87,11.87,100
2,2016-03-18,11.87,11.87,11.87,11.87,0
3,2016-03-21,11.87,11.87,11.87,11.87,100200
4,2016-03-22,11.87,11.87,11.87,11.87,0
5,2016-03-23,11.57,11.57,11.57,11.57,200
6,2016-03-24,11.57,11.57,11.57,11.57,0
7,2016-03-25,11.57,11.57,11.57,11.57,0
8,2016-03-28,9.86,9.86,9.86,9.86,100
9,2016-03-29,11.32,11.32,11.32,11.32,11200
10,2016-03-30,11.57,11.57,11.57,11.57,4500
11,2016-03-31,11.57,11.57,11.57,11.57,300
12,2016-04-01,11.57,11.57,11.57,11.57,0
13,2016-04-04,11.57,11.57,11.57,11.57,0
14,2016-04-05,10.05,10.11,10.05,10.11,2700
15,2016-04-06,10.35,10.35,10.35,10.35,200
16,2016-04-07,10.96,11.26,10.35,11.26,400
17,2016-04-08,10.35,10.35,10.35,10.35,1000
18,2016-04-11,10.35,10.96,10.05,10.96,2000
19,2016-04-12,10.96,10.96,10.96,10.96,300
20,2016-04-13,10.96,10.96,10.96,10.96,500
21,2016-04-14,10.35,10.35,10.35,10.35,500
22,2016-04-15,10.23,10.23,10.23,10.23,2400
23,2016-04-19,10.11,10.11,10.11,10.11,500
24,2016-04-20,10.11,10.11,10.11,10.11,0
25,2016-04-21,10.11,10.11,10.11,10.11,0
26,2016-04-22,10.11,10.11,10.11,10.11,0
27,2016-04-25,10.96,10.96,10.96,10.96,100
28,2016-04-26,9.74,9.74,9.74,9.74,300
29,2016-04-27,9.86,9.86,9.8,9.8,2200
30,2016-04-28,10.72,10.96,10.72,10.78,1400
31,2016-04-29,10.78,10.78,10.78,10.78,0
32,2016-05-04,9.8,9.8,9.8,9.8,200
33,2016-05-05,9.74,9.74,9.74,9.74,500
34,2016-05-06,9.74,9.74,9.74,9.74,0
35,2016-05-09,9.74,9.74,9.74,9.74,0
36,2016-05-10,10.35,10.35,10.35,10.35,100
37,2016-05-11,10.35,10.35,10.35,10.35,0
38,2016-05-12,10.35,10.35,10.35,10.35,0
39,2016-05-13,10.47,10.47,10.47,10.47,100
40,2016-05-16,10.47,10.47,10.47,10.47,0
41,2016-05-17,10.47,10.47,10.47,10.47,0
42,2016-05-18,10.47,10.47,10.47,10.47,0
43,2016-05-19,10.47,10.47,10.47,10.47,0
44,2016-05-20,10.47,10.47,10.47,10.47,0
45,2016-05-23,10.47,10.47,10.47,10.47,0
46,2016-05-24,10.47,10.47,10.47,10.47,0
47,2016-05-25,10.47,10.47,10.47,10.47,0
48,2016-05-26,10.47,10.47,10.47,10.47,0
49,2016-05-27,10.47,10.47,10.47,10.47,0
50,2016-05-30,10.47,10.47,10.47,10.47,0
51,2016-05-31,10.47,10.47,10.47,10.47,0
52,2016-06-01,10.47,10.47,10.47,10.47,0
53,2016-06-02,10.47,10.47,10.47,10.47,0
54,2016-06-03,10.47,10.47,10.47,10.47,0
55,2016-06-06,11.87,11.87,11.87,11.87,100
56,2016-06-07,11.87,11.87,11.87,11.87,0
57,2016-06-08,11.87,11.87,11.87,11.87,0
58,2016-06-09,11.87,11.87,11.87,11.87,0
59,2016-06-10,11.87,11.87,11.87,11.87,0
60,2016-06-13,10.96,10.96,10.96,10.96,3000
61,2016-06-14,10.96,10.96,10.96,10.96,0
62,2016-06-15,10.96,10.96,10.96,10.96,0
63,2016-06-16,10.96,10.96,10.96,10.96,0
64,2016-06-17,10.96,10.96,10.96,10.96,0
65,2016-06-20,9.74,9.74,9.74,9.74,200
66,2016-06-21,9.13,10.65,9.13,10.65,300
67,2016-06-22,10.65,10.65,10.65,10.65,0
68,2016-06-23,10.65,10.65,10.65,10.65,0
69,2016-06-24,9.74,9.74,9.13,9.13,1500
70,2016-06-27,10.35,10.35,10.35,10.35,100
71,2016-06-28,10.65,10.65,10.35,10.35,8800
72,2016-06-29,9.25,9.25,9.13,9.13,5400
73,2016-06-30,9.13,9.13,9.13,9.13,2800
74,2016-07-01,9.13,9.13,9.13,9.13,11000
75,2016-07-04,9.13,9.13,9.13,9.13,600
76,2016-07-05,9.13,9.13,9.13,9.13,2900
77,2016-07-06,9.13,9.13,9.13,9.13,5800
78,2016-07-07,9.13,9.13,9.13,9.13,0
79,2016-07-08,9.13,9.13,9.13,9.13,5000
80,2016-07-11,9.13,9.13,9.13,9.13,4500
81,2016-07-12,10.11,10.11,10.11,10.11,200
82,2016-07-13,9.13,9.13,9.13,9.13,23900
83,2016-07-14,10.45,10.45,10.45,10.45,100
84,2016-07-15,10.45,10.45,10.45,10.45,0
85,2016-07-18,10.45,10.45,10.45,10.45,0
86,2016-07-19,9.13,9.13,9.13,9.13,100
87,2016-07-20,9.13,9.13,9.13,9.13,0
88,2016-07-21,9.45,9.45,9.45,9.45,100
89,2016-07-22,9.45,9.45,9.45,9.45,0
90,2016-07-25,9.45,9.45,9.45,9.45,0
91,2016-07-26,8.19,8.19,8.19,8.19,5000
92,2016-07-27,9.38,9.38,9.38,9.38,200
93,2016-07-28,9.38,9.38,9.38,9.38,0
94,2016-07-29,8.5,8.5,8.19,8.19,8300
95,2016-08-01,8.5,8.5,8.31,8.31,4400
96,2016-08-02,8.31,8.31,8.31,8.31,0
97,2016-08-03,8.31,8.31,8.31,8.31,0
98,2016-08-04,8.31,8.31,8.31,8.31,0
99,2016-08-05,8.31,8.31,8.31,8.31,0
100,2016-08-08,8.31,8.31,8.31,8.31,0
101,2016-08-09,8.31,8.31,8.31,8.31,0
102,2016-08-10,8.31,8.31,8.31,8.31,0
103,2016-08-11,8.31,8.31,8.31,8.31,0
104,2016-08-12,8.31,8.31,8.31,8.31,0
105,2016-08-15,8.31,8.31,8.31,8.31,0
106,2016-08-16,8.31,8.31,8.31,8.31,0
107,2016-08-17,8.31,8.31,8.31,8.31,0
108,2016-08-18,8.31,8.31,8.31,8.31,0
109,2016-08-19,8.31,8.31,8.31,8.31,0
110,2016-08-22,8.19,8.19,7.87,7.87,5600
111,2016-08-23,7.87,7.87,7.87,7.87,0
112,2016-08-24,8.5,9.07,8.5,9.07,300
113,2016-08-25,7.94,7.94,7.87,7.87,9800
114,2016-08-26,6.93,6.93,6.74,6.93,12500
115,2016-08-29,6.93,6.93,6.93,6.93,0
116,2016-08-30,6.93,6.93,6.93,6.93,0
117,2016-08-31,6.3,6.3,5.98,5.98,6500
118,2016-09-01,6.3,6.3,6.3,6.3,600
119,2016-09-05,7.24,7.24,7.24,7.24,600
120,2016-09-06,7.24,7.24,7.24,7.24,100
121,2016-09-07,7.56,7.56,7.56,7.56,100
122,2016-09-08,6.93,6.93,6.61,6.61,12500
123,2016-09-09,6.61,6.61,6.61,6.61,0
124,2016-09-12,6.61,6.61,6.61,6.61,0
125,2016-09-13,6.3,6.3,6.3,6.3,500
126,2016-09-14,6.3,6.3,6.3,6.3,0
127,2016-09-15,7.24,7.24,6.86,6.93,1600
128,2016-09-16,7.05,8.0,7.05,8.0,6000
129,2016-09-19,7.87,8.19,7.87,8.19,500
130,2016-09-20,7.56,8.82,7.24,8.82,2600
131,2016-09-21,8.25,9.13,8.25,9.13,900
132,2016-09-22,9.51,9.51,9.45,9.51,3800
133,2016-09-23,10.08,10.83,9.89,9.89,800
134,2016-09-26,11.46,11.46,11.46,11.46,100
135,2016-09-27,11.46,11.46,11.46,11.46,0
136,2016-09-28,11.46,11.46,11.46,11.46,0
137,2016-09-29,9.76,9.76,9.76,9.76,500
138,2016-09-30,9.76,9.76,9.76,9.76,0
139,2016-10-03,9.76,9.76,9.76,9.76,0
140,2016-10-04,9.76,9.76,9.76,9.76,0
141,2016-10-05,9.76,9.76,9.76,9.76,0
142,2016-10-06,9.76,9.76,9.76,9.76,0
143,2016-10-07,9.76,9.76,9.76,9.76,0
144,2016-10-10,9.76,9.76,9.76,9.76,400
145,2016-10-11,9.76,9.76,9.76,9.76,0
146,2016-10-12,9.76,9.76,9.76,9.76,0
147,2016-10-13,9.76,9.76,9.76,9.76,0
148,2016-10-14,9.76,9.76,9.76,9.76,0
149,2016-10-17,8.31,8.31,8.31,8.31,400
150,2016-10-18,8.31,8.31,8.31,8.31,0
151,2016-10-19,8.31,8.31,8.31,8.31,0
152,2016-10-20,8.31,8.31,8.31,8.31,0
153,2016-10-21,8.31,8.31,8.31,8.31,0
154,2016-10-24,8.31,8.31,8.31,8.31,1600
155,2016-10-25,8.31,8.31,8.31,8.31,0
156,2016-10-26,9.45,9.45,9.45,9.45,100
157,2016-10-27,9.45,9.45,9.45,9.45,0
158,2016-10-28,9.45,9.45,9.45,9.45,0
159,2016-10-31,8.31,8.31,8.31,8.31,300
160,2016-11-01,8.38,8.38,8.31,8.31,1200
161,2016-11-02,8.31,8.31,8.31,8.31,0
162,2016-11-03,8.31,8.31,8.31,8.31,0
163,2016-11-04,8.31,8.31,8.31,8.31,0
164,2016-11-07,8.31,8.31,8.31,8.31,0
165,2016-11-08,8.31,8.31,8.31,8.31,0
166,2016-11-09,8.31,8.31,8.31,8.31,0
167,2016-11-10,8.31,8.31,8.31,8.31,0
168,2016-11-11,8.31,8.31,8.31,8.31,0
169,2016-11-14,8.31,8.31,8.31,8.31,0
170,2016-11-15,8.31,8.31,8.31,8.31,0
171,2016-11-16,8.31,8.31,8.31,8.31,0
172,2016-11-17,8.31,8.31,8.31,8.31,0
173,2016-11-18,8.31,8.31,8.31,8.31,0
174,2016-11-21,8.31,8.31,8.31,8.31,0
175,2016-11-22,8.31,8.31,8.31,8.31,0
176,2016-11-23,8.31,8.31,8.31,8.31,0
177,2016-11-24,8.31,8.31,8.31,8.31,0
178,2016-11-25,8.31,8.31,8.31,8.31,0
179,2016-11-28,8.31,8.31,8.31,8.31,0
180,2016-11-29,8.31,8.31,8.31,8.31,0
181,2016-11-30,8.31,8.31,8.31,8.31,0
182,2016-12-01,8.31,8.31,8.31,8.31,0
183,2016-12-02,8.31,8.31,8.31,8.31,0
184,2016-12-05,8.31,8.31,8.31,8.31,0
185,2016-12-06,8.31,8.31,8.31,8.31,0
186,2016-12-07,8.31,8.31,8.31,8.31,0
187,2016-12-08,8.31,8.31,8.31,8.31,0
188,2016-12-09,8.31,8.31,8.31,8.31,0
189,2016-12-12,8.31,8.31,8.31,8.31,0
190,2016-12-13,8.31,8.31,8.31,8.31,0
191,2016-12-14,8.31,8.31,8.31,8.31,0
192,2016-12-15,8.31,8.31,8.31,8.31,0
193,2016-12-16,8.31,8.31,8.31,8.31,0
194,2016-12-19,8.31,8.31,8.31,8.31,0
195,2016-12-20,8.31,8.31,8.31,8.31,0
196,2016-12-21,8.31,8.31,8.31,8.31,0
197,2016-12-22,8.31,8.31,8.31,8.31,0
198,2016-12-23,8.31,8.31,8.31,8.31,0
199,2016-12-26,8.31,8.31,8.31,8.31,0
200,2016-12-27,8.31,8.31,8.31,8.31,0
201,2016-12-28,8.31,8.31,8.31,8.31,0
202,2016-12-29,8.31,8.31,8.31,8.31,0
203,2016-12-30,8.31,8.31,8.31,8.31,0
204,2017-01-03,5.1,5.1,5.1,5.1,100
205,2017-01-04,4.41,5.86,4.41,5.86,300
206,2017-01-05,4.66,6.11,4.66,6.11,200
207,2017-01-06,6.17,6.17,6.17,6.17,100
208,2017-01-09,7.05,7.05,7.05,7.05,100
209,2017-01-10,8.06,8.06,8.06,8.06,1000
210,2017-01-11,8.06,8.06,8.06,8.06,300
211,2017-01-12,8.06,8.06,8.06,8.06,0
212,2017-01-13,8.06,8.06,8.06,8.06,0
213,2017-01-16,8.19,8.19,8.19,8.19,1200
214,2017-01-17,8.19,8.19,8.19,8.19,0
215,2017-01-18,8.19,8.19,8.19,8.19,0
216,2017-01-19,8.19,8.19,8.19,8.19,0
217,2017-01-20,8.19,8.19,8.19,8.19,0
218,2017-01-23,8.5,8.5,8.5,8.5,1500
219,2017-01-24,8.5,8.5,8.5,8.5,0
220,2017-01-25,8.88,8.88,8.88,8.88,100
221,2017-02-02,8.88,8.88,8.88,8.88,0
222,2017-02-03,8.88,8.88,8.88,8.88,0
223,2017-02-06,8.88,8.88,8.88,8.88,0
224,2017-02-07,8.88,8.88,8.88,8.88,0
225,2017-02-08,8.88,8.88,8.88,8.88,0
226,2017-02-09,8.88,8.88,8.88,8.88,0
227,2017-02-10,8.88,8.88,8.88,8.88,0
228,2017-02-13,8.88,8.88,8.88,8.88,0
229,2017-02-14,8.82,8.82,7.62,7.62,1300
230,2017-02-15,7.62,7.62,7.62,7.62,0
231,2017-02-16,7.12,7.12,7.12,7.12,100
232,2017-02-17,6.17,7.94,6.17,7.94,600
233,2017-02-20,8.5,8.5,8.5,8.5,500
234,2017-02-21,8.5,8.5,8.5,8.5,1000
235,2017-02-22,7.31,7.31,7.31,7.31,100
236,2017-02-23,8.38,8.38,8.38,8.38,500
237,2017-02-24,7.31,8.5,7.31,8.5,400
238,2017-02-27,7.05,7.05,7.05,7.05,100
239,2017-02-28,8.06,8.06,8.06,8.06,100
240,2017-03-01,6.93,6.93,6.93,6.93,100
241,2017-03-02,7.94,7.94,7.94,7.94,100
242,2017-03-03,7.94,7.94,7.94,7.94,0
243,2017-03-06,7.94,7.94,7.94,7.94,0
