,time,open,high,low,close,volume
0,2018-06-12,9.19,9.19,9.19,9.19,100
1,2018-06-13,10.55,10.55,10.55,10.55,3900
2,2018-06-14,12.1,12.1,11.79,12.1,24500
3,2018-06-15,13.9,13.9,13.03,13.03,9700
4,2018-06-18,13.65,13.65,13.65,13.65,600
5,2018-06-19,11.61,11.61,11.61,11.61,2199
6,2018-06-20,9.93,9.93,9.93,9.93,2700
7,2018-06-21,9.93,9.93,9.93,9.93,0
8,2018-06-22,9.93,9.93,9.93,9.93,10
9,2018-06-25,8.75,8.75,8.75,8.75,100
10,2018-06-26,8.75,8.75,8.75,8.75,30
11,2018-06-27,8.75,8.75,8.75,8.75,0
12,2018-06-28,8.75,8.75,8.75,8.75,0
13,2018-06-29,8.75,8.75,8.75,8.75,0
14,2018-07-02,7.76,7.76,7.45,7.45,3699
15,2018-07-03,7.51,7.51,7.45,7.45,2500
16,2018-07-04,6.58,6.58,6.58,6.58,200
17,2018-07-05,7.14,7.14,7.14,7.14,200
18,2018-07-06,7.14,7.14,7.14,7.14,0
19,2018-07-09,7.76,8.13,7.45,7.45,3000
20,2018-07-10,7.7,8.07,7.7,8.07,5100
21,2018-07-11,7.45,7.45,7.45,7.45,12200
22,2018-07-12,7.45,7.45,7.45,7.45,2700
23,2018-07-13,7.45,7.45,7.45,7.45,900
24,2018-07-16,7.45,7.45,7.45,7.45,5000
25,2018-07-17,7.45,7.45,7.45,7.45,1400
26,2018-07-18,7.45,7.45,6.83,6.83,4100
27,2018-07-19,7.45,7.45,7.45,7.45,0
28,2018-07-20,7.45,7.45,7.2,7.2,6000
29,2018-07-23,7.14,7.14,7.14,7.14,2000
30,2018-07-24,7.14,7.14,7.14,7.14,0
31,2018-07-25,7.14,7.14,7.14,7.14,1220
32,2018-07-26,7.14,7.14,7.14,7.14,6710
33,2018-07-27,7.14,7.14,7.14,7.14,9600
34,2018-07-30,6.83,7.14,6.83,7.14,4700
35,2018-07-31,7.14,7.14,7.14,7.14,3700
36,2018-08-01,7.14,7.14,7.14,7.14,0
37,2018-08-02,7.14,7.14,7.14,7.14,4900
38,2018-08-03,7.2,7.45,6.27,7.45,5702
39,2018-08-06,7.45,7.63,7.45,7.63,7500
40,2018-08-07,8.07,8.07,8.07,8.07,2100
41,2018-08-08,8.07,8.07,8.07,8.07,0
