,time,open,high,low,close,volume
0,2012-01-03,3.57,3.59,3.48,3.5,215580
1,2012-01-04,3.44,3.47,3.42,3.44,96730
2,2012-01-05,3.44,3.44,3.38,3.38,186030
3,2012-01-06,3.41,3.41,3.35,3.35,166820
4,2012-01-09,3.44,3.44,3.37,3.44,152650
5,2012-01-10,3.41,3.56,3.41,3.51,194510
6,2012-01-11,3.57,3.6,3.53,3.57,211340
7,2012-01-12,3.54,3.57,3.5,3.54,89370
8,2012-01-13,3.56,3.57,3.53,3.53,128040
9,2012-01-16,3.54,3.56,3.51,3.54,191080
10,2012-01-17,3.57,3.57,3.51,3.51,139230
11,2012-01-18,3.57,3.65,3.56,3.62,127020
12,2012-01-19,3.62,3.8,3.62,3.8,236780
13,2012-01-20,3.84,3.95,3.81,3.87,229080
14,2012-01-30,3.87,4.06,3.87,4.06,271660
15,2012-01-31,4.17,4.23,4.02,4.02,581680
16,2012-02-01,4.02,4.11,3.95,4.11,324540
17,2012-02-02,4.17,4.3,4.14,4.29,420010
18,2012-02-03,4.39,4.48,4.17,4.17,600970
19,2012-02-06,4.2,4.2,4.08,4.11,171500
20,2012-02-07,4.14,4.17,4.04,4.12,438490
21,2012-02-08,4.12,4.23,4.11,4.2,430080
22,2012-02-09,4.21,4.24,4.14,4.17,412550
23,2012-02-10,4.18,4.33,4.12,4.24,682740
24,2012-02-13,4.24,4.39,4.23,4.3,414930
25,2012-02-14,4.27,4.36,4.27,4.32,369100
26,2012-02-15,4.36,4.36,4.26,4.27,374160
27,2012-02-16,4.27,4.32,4.24,4.27,280210
28,2012-02-17,4.3,4.32,4.27,4.3,249590
29,2012-02-20,4.36,4.47,4.35,4.47,567020
30,2012-02-21,4.54,4.54,4.38,4.38,471280
31,2012-02-22,4.39,4.51,4.36,4.47,411470
32,2012-02-23,4.5,4.53,4.41,4.51,627690
33,2012-02-24,4.51,4.56,4.48,4.53,759510
34,2012-02-27,4.6,4.75,4.56,4.75,1373080
35,2012-02-28,4.76,4.78,4.57,4.57,500700
36,2012-02-29,4.54,4.62,4.51,4.62,589620
37,2012-03-01,4.62,4.63,4.56,4.63,477910
38,2012-03-02,4.65,4.71,4.59,4.63,616570
39,2012-03-05,4.81,4.85,4.78,4.85,724740
40,2012-03-06,4.99,4.99,4.62,4.62,1088530
41,2012-03-07,4.62,4.62,4.44,4.56,936190
42,2012-03-08,4.47,4.48,4.33,4.33,919450
43,2012-03-09,4.33,4.45,4.3,4.35,714080
44,2012-03-12,4.35,4.39,4.32,4.35,477510
45,2012-03-13,4.35,4.39,4.32,4.35,569770
46,2012-03-14,4.44,4.44,4.29,4.32,818480
47,2012-03-15,4.27,4.53,4.18,4.53,1085220
48,2012-03-16,4.69,4.69,4.3,4.3,1464170
49,2012-03-19,4.32,4.39,4.26,4.36,1056400
50,2012-03-20,4.36,4.47,4.36,4.45,671390
51,2012-03-21,4.47,4.59,4.47,4.54,935790
52,2012-03-22,4.5,4.53,4.47,4.48,492010
53,2012-03-23,4.5,4.51,4.47,4.5,591280
54,2012-03-26,4.56,4.72,4.5,4.71,1187710
55,2012-03-27,4.69,4.74,4.48,4.48,736660
56,2012-03-28,4.47,4.54,4.38,4.53,332950
57,2012-03-29,4.54,4.57,4.47,4.48,338400
58,2012-03-30,4.47,4.47,4.35,4.35,973890
59,2012-04-03,4.35,4.54,4.35,4.53,616210
60,2012-04-04,4.57,4.57,4.45,4.45,305500
61,2012-04-05,4.39,4.47,4.39,4.47,340370
62,2012-04-06,4.51,4.51,4.45,4.45,578650
63,2012-04-09,4.51,4.54,4.45,4.47,220990
64,2012-04-10,4.47,4.62,4.47,4.51,407010
65,2012-04-11,4.62,4.66,4.57,4.6,1077170
66,2012-04-12,4.62,4.78,4.62,4.69,1203020
67,2012-04-13,4.69,4.74,4.65,4.69,1148140
68,2012-04-16,4.71,4.87,4.71,4.82,1498920
69,2012-04-17,4.88,5.06,4.84,5.06,1624060
70,2012-04-18,5.18,5.23,4.99,5.03,938560
71,2012-04-19,5.03,5.03,4.82,4.84,920950
72,2012-04-20,4.84,4.93,4.82,4.85,1079260
73,2012-04-23,4.9,4.93,4.85,4.85,804990
74,2012-04-24,4.85,4.88,4.81,4.88,949080
75,2012-04-25,4.94,5.12,4.94,5.11,1067770
76,2012-04-26,5.36,5.36,5.24,5.24,2225390
77,2012-04-27,5.32,5.41,5.26,5.36,697800
78,2012-05-02,5.48,5.58,5.42,5.46,1391210
79,2012-05-03,5.48,5.51,5.35,5.48,859550
80,2012-05-04,5.48,5.61,5.48,5.58,872420
81,2012-05-07,5.84,5.85,5.79,5.85,1103050
82,2012-05-08,5.88,6.13,5.85,6.08,1543250
83,2012-05-09,6.08,6.13,5.99,6.06,866660
84,2012-05-10,6.05,6.09,5.81,5.82,1476510
85,2012-05-11,5.84,5.85,5.75,5.78,1369220
86,2012-05-14,5.78,5.79,5.49,5.51,1612790
87,2012-05-15,5.39,5.55,5.32,5.38,1281440
88,2012-05-16,5.54,5.55,5.2,5.33,1580050
89,2012-05-17,5.36,5.49,5.36,5.36,1038010
90,2012-05-18,5.3,5.31,5.12,5.22,990960
91,2012-05-21,5.26,5.47,5.26,5.47,614530
92,2012-05-22,5.55,5.73,5.44,5.52,1007690
93,2012-05-23,5.52,5.54,5.38,5.39,824900
94,2012-05-24,5.36,5.44,5.23,5.36,604320
95,2012-05-25,5.52,5.62,5.44,5.62,957110
96,2012-05-28,5.76,5.76,5.46,5.54,556370
97,2012-05-29,5.54,5.55,5.49,5.54,395860
98,2012-05-30,5.58,5.62,5.55,5.55,498960
99,2012-05-31,5.54,5.54,5.39,5.39,700610
100,2012-06-01,5.47,5.47,5.38,5.39,333980
101,2012-06-04,5.34,5.34,5.15,5.18,853570
102,2012-06-05,5.18,5.34,5.14,5.34,598350
103,2012-06-06,5.34,5.44,5.33,5.44,373460
104,2012-06-07,5.47,5.6,5.46,5.52,905890
105,2012-06-08,5.6,5.6,5.44,5.44,756460
106,2012-06-11,5.44,5.52,5.42,5.44,451620
107,2012-06-12,5.39,5.46,5.39,5.39,250980
108,2012-06-13,5.39,5.47,5.38,5.44,337550
109,2012-06-14,5.44,5.44,5.38,5.38,159140
110,2012-06-15,5.42,5.6,5.42,5.6,1026070
111,2012-06-18,5.6,5.68,5.57,5.57,554150
112,2012-06-19,5.54,5.55,5.47,5.5,362910
113,2012-06-20,5.57,5.57,5.5,5.52,188140
114,2012-06-21,5.52,5.57,5.5,5.5,131610
115,2012-06-22,5.52,5.62,5.47,5.52,530350
116,2012-06-25,5.58,5.6,5.47,5.49,358480
117,2012-06-26,5.46,5.52,5.42,5.44,391720
118,2012-06-27,5.5,5.54,5.44,5.44,311560
119,2012-06-28,5.33,5.44,5.33,5.41,167210
120,2012-06-29,5.44,5.54,5.44,5.49,182250
121,2012-07-02,5.49,5.52,5.41,5.41,126460
122,2012-07-03,5.46,5.46,5.36,5.38,201700
123,2012-07-04,5.44,5.44,5.38,5.38,114440
124,2012-07-05,5.38,5.44,5.36,5.42,184840
125,2012-07-06,5.44,5.52,5.44,5.44,108480
126,2012-07-09,5.44,5.44,5.36,5.36,359200
127,2012-07-10,5.31,5.38,5.31,5.31,184620
128,2012-07-11,5.31,5.38,5.3,5.36,73290
129,2012-07-12,5.3,5.42,5.3,5.33,86530
130,2012-07-13,5.41,5.57,5.39,5.55,482150
131,2012-07-16,5.55,5.63,5.49,5.49,174810
132,2012-07-17,5.47,5.65,5.47,5.6,397370
133,2012-07-18,5.6,5.71,5.57,5.66,460120
134,2012-07-19,5.73,5.94,5.71,5.94,1253170
135,2012-07-20,6.11,6.14,5.76,5.76,895490
136,2012-07-23,5.92,6.05,5.89,5.95,700130
137,2012-07-24,5.92,5.95,5.82,5.86,697220
138,2012-07-25,5.82,5.84,5.73,5.79,505530
139,2012-07-26,5.92,5.92,5.74,5.81,258590
140,2012-07-27,5.82,6.02,5.82,5.87,652930
141,2012-07-30,5.84,5.92,5.82,5.82,228840
142,2012-07-31,5.89,5.9,5.82,5.84,331580
143,2012-08-01,5.82,5.84,5.76,5.82,144780
144,2012-08-02,5.79,5.86,5.79,5.81,125500
145,2012-08-03,5.82,5.95,5.82,5.87,461890
146,2012-08-06,5.92,6.08,5.89,6.0,517520
147,2012-08-07,6.0,6.05,5.92,5.95,517630
148,2012-08-08,5.97,6.03,5.95,6.0,382200
149,2012-08-09,6.02,6.03,6.0,6.02,521480
150,2012-08-10,6.03,6.03,5.97,5.97,406770
151,2012-08-13,5.95,6.02,5.92,5.97,190380
152,2012-08-14,5.95,6.0,5.95,5.98,238000
153,2012-08-15,6.0,6.24,5.98,6.18,938640
154,2012-08-16,6.18,6.35,6.18,6.29,1030430
155,2012-08-17,6.29,6.54,6.27,6.38,1129410
