,time,open,high,low,close,volume
0,2012-01-03,6.48,6.48,6.48,6.48,0
1,2012-01-04,6.16,6.16,6.16,6.16,2250
2,2012-01-05,5.96,6.16,5.96,6.16,2050
3,2012-01-06,6.16,6.16,6.16,6.16,0
4,2012-01-09,6.44,6.44,6.44,6.44,50
5,2012-01-10,6.44,6.44,6.44,6.44,0
6,2012-01-11,6.44,6.44,6.3,6.3,2050
7,2012-01-12,6.3,6.3,6.3,6.3,0
8,2012-01-13,6.52,6.55,6.3,6.3,12790
9,2012-01-16,6.3,6.51,6.3,6.51,370
10,2012-01-17,6.56,6.56,6.56,6.56,50
11,2012-01-18,6.56,6.56,6.56,6.56,1000
12,2012-01-19,6.58,6.58,6.58,6.58,800
13,2012-01-20,6.65,6.9,6.56,6.9,2880
14,2012-01-30,6.9,7.21,6.9,7.21,5560
15,2012-01-31,7.21,7.21,7.21,7.21,0
16,2012-02-01,7.28,7.28,7.0,7.07,8140
17,2012-02-02,7.07,7.21,7.07,7.21,860
18,2012-02-03,7.21,7.21,7.0,7.0,1870
19,2012-02-06,6.86,7.0,6.86,7.0,1140
20,2012-02-07,7.0,7.0,6.94,6.94,8040
21,2012-02-08,7.28,7.28,6.96,6.96,750
22,2012-02-09,7.0,7.0,6.96,7.0,4290
23,2012-02-10,7.0,7.28,7.0,7.0,2930
24,2012-02-13,7.28,7.28,7.14,7.28,7090
25,2012-02-14,7.42,7.42,7.0,7.0,12800
26,2012-02-15,7.0,7.0,7.0,7.0,0
27,2012-02-16,7.0,7.0,7.0,7.0,0
28,2012-02-17,7.0,7.0,7.0,7.0,1810
29,2012-02-20,7.0,7.0,7.0,7.0,630
30,2012-02-21,7.35,7.35,7.14,7.21,2330
31,2012-02-22,7.35,7.35,7.21,7.35,3020
32,2012-02-23,7.35,7.35,7.35,7.35,1640
33,2012-02-24,7.35,7.35,6.98,6.98,5340
34,2012-02-27,7.14,7.21,6.93,6.93,9710
35,2012-02-28,7.0,7.0,6.65,6.93,9600
36,2012-02-29,6.9,7.14,6.62,7.14,2300
37,2012-03-01,6.82,7.14,6.79,6.79,10320
38,2012-03-02,6.93,6.93,6.54,6.79,4870
39,2012-03-05,7.0,7.07,7.0,7.07,19850
40,2012-03-06,7.21,7.21,6.72,6.75,7170
41,2012-03-07,6.75,7.07,6.75,7.0,8010
42,2012-03-08,6.93,7.35,6.93,7.35,23410
43,2012-03-09,7.28,7.7,7.28,7.7,194170
44,2012-03-12,7.98,7.98,7.7,7.7,46140
45,2012-03-13,7.7,7.84,7.7,7.84,26100
46,2012-03-14,7.84,7.91,7.7,7.7,22530
47,2012-03-15,7.7,7.77,7.35,7.77,25410
48,2012-03-16,7.77,7.77,7.63,7.63,38100
49,2012-03-19,7.28,7.56,7.28,7.28,20360
50,2012-03-20,7.28,7.49,7.14,7.49,10670
51,2012-03-21,7.49,7.7,7.28,7.7,27650
52,2012-03-22,7.49,7.7,7.35,7.7,6600
53,2012-03-23,7.7,7.7,7.56,7.63,31820
54,2012-03-26,7.7,7.7,7.56,7.56,2100
55,2012-03-27,7.7,7.7,7.56,7.63,15320
56,2012-03-28,7.63,7.63,7.63,7.63,1000
57,2012-03-29,7.7,7.7,7.42,7.56,19450
58,2012-03-30,7.56,7.63,7.49,7.63,8590
59,2012-04-03,7.91,7.91,7.56,7.56,5050
60,2012-04-04,7.56,7.56,7.49,7.49,13500
61,2012-04-05,7.49,7.56,7.42,7.42,8700
62,2012-04-06,7.49,7.56,7.42,7.42,4670
63,2012-04-09,7.56,7.56,7.56,7.56,5580
64,2012-04-10,7.63,7.7,7.42,7.63,4050
65,2012-04-11,7.56,7.91,7.49,7.91,18800
66,2012-04-12,7.91,7.91,7.56,7.84,57230
67,2012-04-13,7.63,7.7,7.56,7.7,5050
68,2012-04-16,7.7,7.7,7.7,7.7,1700
69,2012-04-17,7.7,7.7,7.56,7.56,15610
70,2012-04-18,7.63,7.63,7.56,7.56,580
71,2012-04-19,7.7,7.7,7.56,7.56,850
72,2012-04-20,7.63,7.84,7.63,7.84,7440
73,2012-04-23,7.98,7.98,7.7,7.91,6150
74,2012-04-24,7.84,7.84,7.77,7.84,5300
75,2012-04-25,7.56,7.98,7.56,7.91,33580
76,2012-04-26,7.84,7.91,7.7,7.91,9660
77,2012-04-27,7.84,7.91,7.77,7.91,6850
78,2012-05-02,8.12,8.19,7.98,8.12,24910
79,2012-05-03,8.19,8.19,7.77,7.77,14230
80,2012-05-04,8.05,8.05,7.91,7.98,9040
81,2012-05-07,8.33,8.33,8.26,8.33,73950
82,2012-05-08,8.61,8.61,8.26,8.26,59540
83,2012-05-09,8.26,8.26,8.12,8.19,14990
84,2012-05-10,8.12,8.19,7.98,8.05,5970
85,2012-05-11,8.12,8.12,7.98,8.05,8020
86,2012-05-14,8.05,8.05,7.7,7.7,11990
87,2012-05-15,7.49,7.84,7.42,7.56,11700
88,2012-05-16,7.63,7.63,7.56,7.56,5100
