,time,open,high,low,close,volume
0,2022-05-17,11.29,11.29,11.29,11.29,100
1,2022-05-18,12.98,12.98,12.98,12.98,100
2,2022-05-19,12.98,12.98,12.98,12.98,0
3,2022-05-20,12.98,12.98,12.98,12.98,0
4,2022-05-23,14.92,14.92,14.92,14.92,300
5,2022-05-24,17.1,17.1,17.1,17.1,100
6,2022-05-25,19.6,19.6,19.6,19.6,400
7,2022-05-26,19.6,19.6,19.6,19.6,0
8,2022-05-27,22.5,22.5,22.5,22.5,200
9,2022-05-30,25.81,25.81,25.81,25.81,100
10,2022-05-31,21.94,22.58,21.94,22.58,300
11,2022-06-01,22.42,22.42,22.42,22.42,300
12,2022-06-02,22.42,22.42,22.42,22.42,0
13,2022-06-03,19.11,19.11,19.11,19.11,100
14,2022-06-06,20.16,20.16,20.16,20.16,200
15,2022-06-07,20.16,20.16,20.16,20.16,0
16,2022-06-08,20.16,20.16,20.16,20.16,0
17,2022-06-09,17.74,17.74,17.74,17.74,1100
18,2022-06-10,17.74,17.74,17.74,17.74,0
19,2022-06-13,17.74,17.74,17.74,17.74,100
20,2022-06-14,17.74,17.74,17.74,17.74,0
21,2022-06-15,17.74,17.74,17.74,17.74,0
22,2022-06-16,16.94,16.94,16.94,16.94,200
23,2022-06-17,15.32,16.94,14.44,14.44,600
24,2022-06-20,16.13,16.13,16.13,16.13,0
25,2022-06-21,16.13,16.13,16.13,16.13,0
26,2022-06-22,16.13,16.13,16.13,16.13,0
27,2022-06-23,16.13,16.13,16.13,16.13,0
28,2022-06-24,16.94,16.94,16.94,16.94,100
29,2022-06-27,16.94,16.94,16.94,16.94,0
30,2022-06-28,16.13,16.13,16.13,16.13,100
31,2022-06-29,16.13,16.13,16.13,16.13,0
32,2022-06-30,16.13,16.13,16.13,16.13,0
33,2022-07-01,16.94,16.94,16.94,16.94,100
34,2022-07-04,16.94,16.94,16.94,16.94,0
35,2022-07-05,16.94,16.94,16.94,16.94,0
36,2022-07-06,16.94,16.94,16.94,16.94,0
37,2022-07-07,16.94,16.94,16.94,16.94,0
38,2022-07-08,16.94,16.94,16.94,16.94,0
39,2022-07-11,16.94,16.94,16.94,16.94,0
40,2022-07-12,16.94,16.94,16.94,16.94,0
41,2022-07-13,16.94,16.94,16.94,16.94,0
42,2022-07-14,16.94,16.94,16.94,16.94,0
43,2022-07-15,16.94,16.94,16.94,16.94,0
44,2022-07-18,16.13,16.13,16.13,16.13,100
45,2022-07-19,16.13,16.13,16.13,16.13,0
46,2022-07-20,16.13,16.13,16.13,16.13,300
47,2022-07-21,16.13,16.13,16.13,16.13,0
