,time,open,high,low,close,volume
0,2012-01-03,2.0,2.0,2.0,2.0,100
1,2012-01-04,1.87,2.12,1.87,2.12,800
2,2012-01-05,2.12,2.12,2.12,2.12,0
3,2012-01-06,1.81,1.81,1.81,1.81,2100
4,2012-01-09,1.93,1.93,1.93,1.93,200
5,2012-01-10,2.06,2.06,2.06,2.06,300
6,2012-01-11,2.06,2.06,2.06,2.06,0
7,2012-01-12,2.06,2.06,2.06,2.06,0
8,2012-01-13,2.06,2.06,2.06,2.06,0
9,2012-01-16,1.93,1.93,1.93,1.93,200
10,2012-01-17,1.93,1.93,1.93,1.93,0
11,2012-01-18,1.93,1.93,1.93,1.93,900
12,2012-01-19,1.87,2.06,1.87,2.06,2100
13,2012-01-20,2.06,2.06,2.06,2.06,0
14,2012-01-30,2.06,2.06,2.06,2.06,500
15,2012-01-31,1.93,2.18,1.93,2.18,900
16,2012-02-01,2.18,2.18,2.18,2.18,0
17,2012-02-02,2.12,2.12,2.12,2.12,100
18,2012-02-03,2.24,2.24,2.24,2.24,500
19,2012-02-06,2.12,2.12,2.12,2.12,600
20,2012-02-07,2.12,2.12,2.12,2.12,0
21,2012-02-08,2.0,2.18,2.0,2.18,200
22,2012-02-09,2.18,2.18,2.18,2.18,100
23,2012-02-10,2.06,2.06,2.06,2.06,4000
24,2012-02-13,2.0,2.0,2.0,2.0,100
25,2012-02-14,2.0,2.0,2.0,2.0,0
26,2012-02-15,1.87,2.12,1.87,2.06,2300
27,2012-02-16,2.06,2.06,2.06,2.06,100
28,2012-02-17,2.06,2.06,1.93,2.0,7500
29,2012-02-20,2.12,2.12,2.12,2.12,100
30,2012-02-21,2.12,2.12,2.12,2.12,3000
31,2012-02-22,2.12,2.18,2.12,2.12,7700
32,2012-02-23,2.24,2.24,2.12,2.12,6000
33,2012-02-24,2.24,2.24,2.24,2.24,1200
34,2012-02-27,2.18,2.36,2.18,2.36,7600
35,2012-02-28,2.36,2.36,2.36,2.36,0
36,2012-02-29,2.36,2.36,2.24,2.36,3700
37,2012-03-01,2.48,2.48,2.48,2.48,4800
38,2012-03-02,2.6,2.6,2.6,2.6,5000
39,2012-03-05,2.78,2.78,2.78,2.78,3900
40,2012-03-06,2.96,2.96,2.72,2.96,36800
41,2012-03-07,2.9,3.08,2.9,3.08,34600
42,2012-03-08,3.2,3.26,3.2,3.2,10400
43,2012-03-09,3.45,3.45,3.33,3.45,19100
44,2012-03-12,3.63,3.63,3.57,3.63,29000
45,2012-03-13,3.87,3.87,3.81,3.81,18200
46,2012-03-14,4.11,4.11,4.05,4.05,2100
47,2012-03-15,3.87,3.87,3.87,3.87,100
48,2012-03-16,3.63,3.63,3.63,3.63,100
49,2012-03-19,3.51,3.51,3.39,3.39,1100
50,2012-03-20,3.2,3.2,3.2,3.2,5400
51,2012-03-21,3.02,3.02,3.02,3.02,11500
52,2012-03-22,2.89,2.89,2.83,2.83,600
53,2012-03-23,3.02,3.02,2.96,2.96,500
54,2012-03-26,3.09,3.15,3.09,3.15,3400
55,2012-03-27,3.02,3.02,3.02,3.02,100
56,2012-03-28,3.02,3.02,3.02,3.02,200
57,2012-03-29,3.02,3.02,3.02,3.02,100
58,2012-03-30,3.02,3.02,3.02,3.02,0
59,2012-04-03,2.89,2.89,2.89,2.89,100
60,2012-04-04,2.7,2.83,2.7,2.83,2000
61,2012-04-05,2.7,2.7,2.7,2.7,100
62,2012-04-06,2.57,2.7,2.57,2.7,4100
63,2012-04-09,2.77,2.77,2.77,2.77,1300
64,2012-04-10,2.77,2.77,2.77,2.77,0
65,2012-04-11,2.96,2.96,2.96,2.96,600
66,2012-04-12,3.09,3.09,3.09,3.09,900
67,2012-04-13,3.09,3.09,3.09,3.09,100
68,2012-04-16,3.09,3.09,3.09,3.09,0
69,2012-04-17,3.28,3.28,3.22,3.28,7100
70,2012-04-18,3.28,3.41,3.28,3.28,4100
71,2012-04-19,3.28,3.28,3.28,3.28,4000
72,2012-04-20,3.22,3.22,3.22,3.22,900
73,2012-04-23,3.22,3.22,3.22,3.22,0
74,2012-04-24,3.22,3.22,3.22,3.22,0
75,2012-04-25,3.22,3.22,3.22,3.22,0
76,2012-04-26,3.22,3.22,3.22,3.22,0
77,2012-04-27,3.22,3.22,3.22,3.22,0
78,2012-05-02,3.22,3.22,3.22,3.22,0
79,2012-05-03,3.02,3.02,3.02,3.02,100
80,2012-05-04,2.83,3.02,2.83,3.02,500
81,2012-05-07,3.22,3.22,3.22,3.22,10600
82,2012-05-08,3.41,3.41,3.41,3.41,900
83,2012-05-09,3.6,3.6,3.6,3.6,200
84,2012-05-10,3.79,3.79,3.73,3.73,2600
85,2012-05-11,3.99,3.99,3.99,3.99,100
86,2012-05-14,3.73,3.73,3.73,3.73,1000
87,2012-05-15,3.47,3.47,3.47,3.47,800
88,2012-05-16,3.28,3.28,3.28,3.28,200
89,2012-05-17,3.09,3.09,3.09,3.09,200
90,2012-05-18,2.89,2.89,2.89,2.89,100
91,2012-05-21,3.02,3.02,3.02,3.02,100
92,2012-05-22,3.02,3.02,3.02,3.02,0
93,2012-05-23,3.02,3.02,3.02,3.02,0
94,2012-05-24,2.89,2.89,2.89,2.89,500
95,2012-05-25,2.77,2.77,2.77,2.77,100
96,2012-05-28,2.89,2.89,2.89,2.89,100
97,2012-05-29,3.09,3.09,3.09,3.09,100
98,2012-05-30,2.89,2.89,2.89,2.89,400
99,2012-05-31,2.89,2.89,2.89,2.89,0
100,2012-06-01,2.7,2.7,2.7,2.7,200
101,2012-06-04,2.7,2.7,2.7,2.7,0
102,2012-06-05,2.7,2.83,2.7,2.83,1100
103,2012-06-06,2.64,3.02,2.64,3.02,400
104,2012-06-07,2.83,3.09,2.83,3.09,200
105,2012-06-08,2.89,3.02,2.89,3.02,1500
106,2012-06-11,2.96,2.96,2.83,2.96,1200
107,2012-06-12,2.77,2.77,2.77,2.77,1000
108,2012-06-13,2.57,2.77,2.57,2.77,2400
109,2012-06-14,2.57,2.57,2.57,2.57,1000
110,2012-06-15,2.44,2.57,2.44,2.57,900
111,2012-06-18,2.7,2.7,2.64,2.64,1200
112,2012-06-19,2.57,2.57,2.57,2.57,300
113,2012-06-20,2.57,2.57,2.57,2.57,0
114,2012-06-21,2.51,2.64,2.51,2.64,400
115,2012-06-22,2.57,2.57,2.51,2.51,5800
116,2012-06-25,2.44,2.57,2.44,2.57,2100
117,2012-06-26,2.44,2.7,2.44,2.7,1700
118,2012-06-27,2.57,2.77,2.57,2.77,2800
119,2012-06-28,2.57,2.57,2.57,2.57,1100
120,2012-06-29,2.44,2.44,2.44,2.44,3300
121,2012-07-02,2.38,2.57,2.38,2.51,1900
122,2012-07-03,2.51,2.51,2.51,2.51,2200
123,2012-07-04,2.64,2.64,2.44,2.44,1200
124,2012-07-05,2.44,2.44,2.44,2.44,1000
125,2012-07-06,2.44,2.44,2.44,2.44,0
126,2012-07-09,2.44,2.44,2.44,2.44,100
127,2012-07-10,2.44,2.44,2.44,2.44,0
128,2012-07-11,2.57,2.57,2.57,2.57,200
129,2012-07-12,2.64,2.7,2.64,2.7,1500
130,2012-07-13,2.83,2.83,2.83,2.83,4800
131,2012-07-16,2.7,2.7,2.64,2.64,3000
132,2012-07-17,2.57,2.64,2.57,2.57,3500
133,2012-07-18,2.57,2.57,2.57,2.57,4500
134,2012-07-19,2.51,2.51,2.51,2.51,600
135,2012-07-20,2.51,2.51,2.51,2.51,0
