,time,open,high,low,close,volume
0,2012-01-03,21.45,21.45,21.45,21.45,0
1,2012-01-04,21.45,21.45,21.45,21.45,0
2,2012-01-05,19.95,19.95,19.95,19.95,100
3,2012-01-06,19.95,19.95,19.95,19.95,0
4,2012-01-09,19.95,19.95,19.95,19.95,0
5,2012-01-10,19.95,19.95,19.95,19.95,0
6,2012-01-11,19.95,19.95,19.95,19.95,0
7,2012-01-12,18.62,18.62,18.62,18.62,400
8,2012-01-13,18.62,18.62,18.62,18.62,0
9,2012-01-16,17.37,17.37,17.37,17.37,100
10,2012-01-17,16.21,16.21,16.21,16.21,1100
11,2012-01-18,15.13,15.13,15.13,15.13,300
12,2012-01-19,15.13,15.13,14.13,14.13,1000
13,2012-01-20,14.55,14.55,13.47,14.05,600
14,2012-01-30,13.05,14.88,13.05,14.63,500
15,2012-01-31,13.47,14.55,13.47,13.47,4400
16,2012-02-01,14.05,14.05,12.64,12.72,1400
17,2012-02-02,13.38,13.47,13.3,13.3,5500
18,2012-02-03,13.97,13.97,12.47,12.47,2300
19,2012-02-06,12.22,12.22,12.22,12.22,3000
20,2012-02-07,12.39,12.39,11.39,11.47,9100
21,2012-02-08,11.47,11.47,10.72,10.72,21900
22,2012-02-09,11.62,11.62,11.62,11.62,4400
23,2012-02-10,12.09,12.09,11.62,11.62,2200
24,2012-02-13,11.72,11.72,11.72,11.72,1300
25,2012-02-14,11.53,11.53,10.97,10.97,5600
26,2012-02-15,10.41,10.41,10.41,10.41,3300
27,2012-02-16,10.88,11.06,10.88,11.06,27200
28,2012-02-17,11.72,11.72,11.25,11.72,3900
29,2012-02-20,12.46,12.46,12.09,12.09,400
30,2012-02-21,12.55,12.55,12.55,12.55,500
31,2012-02-22,12.55,12.55,12.55,12.55,0
32,2012-02-23,12.27,12.27,11.72,11.72,13900
33,2012-02-24,11.25,11.99,11.25,11.53,9000
34,2012-02-27,11.62,11.62,11.44,11.53,12000
35,2012-02-28,11.25,11.44,10.79,10.79,36000
36,2012-02-29,11.16,11.16,11.16,11.16,600
37,2012-03-01,11.16,11.16,10.69,11.06,3300
38,2012-03-02,10.69,10.97,10.69,10.88,4700
39,2012-03-05,10.41,11.44,10.13,11.34,68000
40,2012-03-06,11.81,11.81,11.16,11.16,2000
41,2012-03-07,10.79,11.06,10.79,10.79,6200
42,2012-03-08,11.16,11.16,11.16,11.16,300
43,2012-03-09,10.51,10.79,10.41,10.79,7000
44,2012-03-12,10.23,10.88,10.23,10.41,4100
45,2012-03-13,10.41,10.41,10.41,10.41,0
46,2012-03-14,10.97,10.97,9.86,9.86,27400
47,2012-03-15,9.2,10.13,9.2,10.13,2400
48,2012-03-16,9.67,10.04,9.39,10.04,8200
49,2012-03-19,10.04,10.04,10.04,10.04,5100
50,2012-03-20,10.04,10.04,9.76,9.95,1500
51,2012-03-21,9.95,9.95,9.95,9.95,3000
52,2012-03-22,10.04,10.04,9.86,9.86,12700
53,2012-03-23,9.76,10.23,9.67,9.76,16200
54,2012-03-26,9.86,9.95,9.76,9.86,9200
55,2012-03-27,9.95,10.04,9.95,9.95,2800
56,2012-03-28,9.76,9.95,9.76,9.95,4800
57,2012-03-29,9.3,9.67,9.3,9.39,11600
58,2012-03-30,9.86,9.86,9.86,9.86,100
59,2012-04-03,9.76,9.86,9.76,9.86,300
60,2012-04-04,9.86,9.86,9.86,9.86,0
61,2012-04-05,9.76,9.86,9.58,9.58,2500
