,time,open,high,low,close,volume
0,2017-11-16,5.14,5.14,4.95,5.14,1174500
1,2017-11-17,5.64,5.64,5.14,5.47,650800
2,2017-11-20,5.47,5.57,5.44,5.44,228400
3,2017-11-21,5.28,5.34,5.14,5.24,492500
4,2017-11-22,5.21,5.28,4.75,4.91,77700
5,2017-11-23,4.91,5.28,4.68,4.85,76500
6,2017-11-24,4.85,5.11,4.85,5.11,150500
7,2017-11-27,5.08,5.08,4.98,5.01,91600
8,2017-11-28,5.01,5.05,4.95,5.05,113700
9,2017-11-29,5.01,5.01,4.95,5.01,88800
10,2017-11-30,5.01,5.11,5.01,5.11,100800
11,2017-12-01,5.11,5.14,5.11,5.14,104900
12,2017-12-04,5.18,5.18,5.11,5.14,102400
13,2017-12-05,5.11,5.11,5.08,5.11,86600
14,2017-12-06,4.62,5.08,4.62,5.01,101300
15,2017-12-07,5.05,5.05,4.91,4.98,94400
16,2017-12-08,5.01,5.01,4.91,4.98,104700
17,2017-12-11,5.01,5.01,4.98,4.98,36100
18,2017-12-12,4.98,4.98,4.98,4.98,18500
19,2017-12-13,4.98,4.98,4.98,4.98,34900
20,2017-12-14,4.95,4.95,4.85,4.88,34300
21,2017-12-15,4.85,4.85,4.78,4.78,137000
22,2017-12-18,4.78,4.88,4.78,4.88,100600
23,2017-12-19,4.91,4.98,4.91,4.98,89200
24,2017-12-20,4.98,4.98,4.91,4.91,99800
25,2017-12-21,4.91,4.91,4.81,4.81,21200
26,2017-12-22,4.81,4.81,4.81,4.81,0
27,2017-12-25,4.81,4.85,4.81,4.85,74400
28,2017-12-26,4.88,4.88,4.85,4.88,88400
29,2017-12-27,4.88,4.88,4.88,4.88,98000
30,2017-12-28,4.81,4.81,4.74,4.74,100100
31,2017-12-29,4.74,4.81,4.74,4.78,135500
32,2018-01-02,4.81,4.81,4.78,4.81,109300
33,2018-01-03,4.81,4.81,4.74,4.74,113000
34,2018-01-04,4.78,4.78,4.74,4.78,102800
35,2018-01-05,4.81,4.88,4.81,4.88,64500
36,2018-01-08,4.91,4.98,4.91,4.91,207500
37,2018-01-09,4.98,5.01,4.91,4.91,150500
