,time,open,high,low,close,volume
0,2022-04-18,15.24,15.24,15.24,15.24,0
1,2022-04-19,15.24,15.24,15.24,15.24,0
2,2022-04-20,15.24,15.24,15.24,15.24,0
3,2022-04-21,14.34,14.34,14.34,14.34,200
4,2022-04-22,14.34,14.34,14.34,14.34,0
5,2022-04-25,14.34,14.34,14.34,14.34,0
6,2022-04-26,14.34,14.34,14.34,14.34,0
7,2022-04-27,14.34,14.34,14.34,14.34,0
8,2022-04-28,14.34,14.34,14.34,14.34,0
9,2022-04-29,14.34,14.34,14.34,14.34,0
10,2022-05-04,12.19,12.19,12.19,12.19,200
11,2022-05-05,13.98,13.98,13.98,13.98,57652
12,2022-05-06,13.98,13.98,13.98,13.98,16
13,2022-05-09,13.98,13.98,13.98,13.98,0
14,2022-05-10,13.98,13.98,13.98,13.98,0
15,2022-05-11,13.98,13.98,13.98,13.98,0
16,2022-05-12,13.98,13.98,13.98,13.98,0
17,2022-05-13,13.98,13.98,13.98,13.98,0
18,2022-05-16,13.98,13.98,13.98,13.98,0
19,2022-05-17,13.98,13.98,13.98,13.98,0
20,2022-05-18,13.98,13.98,13.98,13.98,0
21,2022-05-19,13.98,13.98,13.98,13.98,0
22,2022-05-20,13.98,13.98,13.98,13.98,0
23,2022-05-23,13.98,13.98,13.98,13.98,0
24,2022-05-24,13.98,13.98,13.98,13.98,0
25,2022-05-25,13.98,13.98,13.98,13.98,0
26,2022-05-26,13.98,13.98,13.98,13.98,0
27,2022-05-27,13.98,13.98,13.98,13.98,0
28,2022-05-30,13.98,13.98,13.98,13.98,0
29,2022-05-31,13.98,13.98,13.98,13.98,0
30,2022-06-01,13.98,13.98,13.98,13.98,0
31,2022-06-02,13.98,13.98,13.98,13.98,0
32,2022-06-03,13.98,13.98,13.98,13.98,0
33,2022-06-06,13.98,13.98,13.98,13.98,0
34,2022-06-07,13.98,13.98,13.98,13.98,0
35,2022-06-08,13.98,13.98,13.98,13.98,0
36,2022-06-09,13.98,13.98,13.98,13.98,1
37,2022-06-10,13.98,13.98,13.98,13.98,0
38,2022-06-13,13.98,13.98,13.98,13.98,0
39,2022-06-14,13.98,13.98,13.98,13.98,0
40,2022-06-15,13.98,13.98,13.98,13.98,0
41,2022-06-16,13.98,13.98,13.98,13.98,0
42,2022-06-17,13.98,13.98,13.98,13.98,0
43,2022-06-20,13.98,13.98,13.98,13.98,0
44,2022-06-21,13.98,13.98,13.98,13.98,0
45,2022-06-22,13.98,13.98,13.98,13.98,0
46,2022-06-23,13.98,13.98,13.98,13.98,0
47,2022-06-24,13.98,13.98,13.98,13.98,0
48,2022-06-27,13.98,13.98,13.98,13.98,0
49,2022-06-28,13.98,13.98,13.98,13.98,0
50,2022-06-29,13.98,13.98,13.98,13.98,0
51,2022-06-30,13.98,13.98,13.98,13.98,0
52,2022-07-01,13.98,13.98,13.98,13.98,0
53,2022-07-04,13.98,13.98,13.98,13.98,0
54,2022-07-05,13.98,13.98,13.98,13.98,0
55,2022-07-06,13.98,13.98,13.98,13.98,0
56,2022-07-07,13.98,13.98,13.98,13.98,0
57,2022-07-08,13.98,13.98,13.98,13.98,0
58,2022-07-11,13.98,13.98,13.98,13.98,0
59,2022-07-12,13.98,13.98,13.98,13.98,0
60,2022-07-13,13.98,13.98,13.98,13.98,0
61,2022-07-14,13.98,13.98,13.98,13.98,0
62,2022-07-15,13.98,13.98,13.98,13.98,0
63,2022-07-18,13.98,13.98,13.98,13.98,0
64,2022-07-19,13.98,13.98,13.98,13.98,0
65,2022-07-20,13.98,13.98,13.98,13.98,0
66,2022-07-21,13.98,13.98,13.98,13.98,0
67,2022-07-22,13.98,13.98,13.98,13.98,0
68,2022-07-25,13.98,13.98,13.98,13.98,0
69,2022-07-26,13.98,13.98,13.98,13.98,0
70,2022-07-27,13.98,13.98,13.98,13.98,0
71,2022-07-28,13.98,13.98,13.98,13.98,0
72,2022-07-29,13.98,13.98,13.98,13.98,0
73,2022-08-01,13.98,13.98,13.98,13.98,0
74,2022-08-02,13.98,13.98,13.98,13.98,0
75,2022-08-03,13.98,13.98,13.98,13.98,0
76,2022-08-04,13.98,13.98,13.98,13.98,0
77,2022-08-05,13.98,13.98,13.98,13.98,2
78,2022-08-08,13.98,13.98,13.98,13.98,0
79,2022-08-09,13.98,13.98,13.98,13.98,0
80,2022-08-10,13.98,13.98,13.98,13.98,0
81,2022-08-11,13.98,13.98,13.98,13.98,0
82,2022-08-12,13.98,13.98,13.98,13.98,0
83,2022-08-15,13.98,13.98,13.98,13.98,0
84,2022-08-16,13.98,13.98,13.98,13.98,0
85,2022-08-17,13.98,13.98,13.98,13.98,0
86,2022-08-18,13.98,13.98,13.98,13.98,0
87,2022-08-19,13.98,13.98,13.98,13.98,0
88,2022-08-22,13.98,13.98,13.98,13.98,0
89,2022-08-23,13.98,13.98,13.98,13.98,0
90,2022-08-24,13.98,13.98,13.98,13.98,0
91,2022-08-25,13.98,13.98,13.98,13.98,0
92,2022-08-26,13.98,13.98,13.98,13.98,0
93,2022-08-29,13.98,13.98,13.98,13.98,0
94,2022-08-30,13.98,13.98,13.98,13.98,0
95,2022-08-31,13.98,13.98,13.98,13.98,0
96,2022-09-05,13.98,13.98,13.98,13.98,0
97,2022-09-06,13.98,13.98,13.98,13.98,0
98,2022-09-07,13.98,13.98,13.98,13.98,0
99,2022-09-08,13.98,13.98,13.98,13.98,0
100,2022-09-09,13.98,13.98,13.98,13.98,0
101,2022-09-12,13.98,13.98,13.98,13.98,0
102,2022-09-13,13.98,13.98,13.98,13.98,0
103,2022-09-14,13.98,13.98,13.98,13.98,0
104,2022-09-15,13.98,13.98,13.98,13.98,0
105,2022-09-16,13.98,13.98,13.98,13.98,0
106,2022-09-19,13.98,13.98,13.98,13.98,0
107,2022-09-20,13.98,13.98,13.98,13.98,0
108,2022-09-21,13.98,13.98,13.98,13.98,0
109,2022-09-22,13.98,13.98,13.98,13.98,0
110,2022-09-23,13.98,13.98,13.98,13.98,0
111,2022-09-26,13.98,13.98,13.98,13.98,0
112,2022-09-27,13.98,13.98,13.98,13.98,0
113,2022-09-28,13.98,13.98,13.98,13.98,0
114,2022-09-29,13.98,13.98,13.98,13.98,0
115,2022-09-30,13.98,13.98,13.98,13.98,0
116,2022-10-03,13.98,13.98,13.98,13.98,0
117,2022-10-04,13.98,13.98,13.98,13.98,0
118,2022-10-05,13.98,13.98,13.98,13.98,0
119,2022-10-06,13.98,13.98,13.98,13.98,0
120,2022-10-07,13.98,13.98,13.98,13.98,0
121,2022-10-10,13.98,13.98,13.98,13.98,0
122,2022-10-11,13.98,13.98,13.98,13.98,0
123,2022-10-12,13.98,13.98,13.98,13.98,0
124,2022-10-13,13.98,13.98,13.98,13.98,0
125,2022-10-14,13.98,13.98,13.98,13.98,0
126,2022-10-17,13.98,13.98,13.98,13.98,0
127,2022-10-18,13.98,13.98,13.98,13.98,0
128,2022-10-19,13.98,13.98,13.98,13.98,0
129,2022-10-20,13.98,13.98,13.98,13.98,0
130,2022-10-21,13.98,13.98,13.98,13.98,0
131,2022-10-24,13.98,13.98,13.98,13.98,0
132,2022-10-25,13.98,13.98,13.98,13.98,0
133,2022-10-26,13.98,13.98,13.98,13.98,0
134,2022-10-27,13.98,13.98,13.98,13.98,0
135,2022-10-28,13.98,13.98,13.98,13.98,0
136,2022-10-31,13.98,13.98,13.98,13.98,0
137,2022-11-01,13.98,13.98,13.98,13.98,0
138,2022-11-02,13.98,13.98,13.98,13.98,0
139,2022-11-03,13.98,13.98,13.98,13.98,0
140,2022-11-04,13.98,13.98,13.98,13.98,0
141,2022-11-07,13.98,13.98,13.98,13.98,0
142,2022-11-08,13.98,13.98,13.98,13.98,0
143,2022-11-09,13.98,13.98,13.98,13.98,0
144,2022-11-10,13.98,13.98,13.98,13.98,0
145,2022-11-11,12.51,12.51,12.51,12.51,100
146,2022-11-14,12.51,12.51,12.51,12.51,0
147,2022-11-15,12.51,12.51,12.51,12.51,0
148,2022-11-16,12.51,12.51,12.51,12.51,0
149,2022-11-17,12.51,12.51,12.51,12.51,0
150,2022-11-18,12.51,12.51,12.51,12.51,0
151,2022-11-21,12.51,12.51,12.51,12.51,0
152,2022-11-22,12.51,12.51,12.51,12.51,0
153,2022-11-23,12.51,12.51,12.51,12.51,0
154,2022-11-24,12.51,12.51,12.51,12.51,0
155,2022-11-25,12.51,12.51,12.51,12.51,0
156,2022-11-28,12.51,12.51,12.51,12.51,0
157,2022-11-29,12.51,12.51,12.51,12.51,0
158,2022-11-30,12.51,12.51,12.51,12.51,0
159,2022-12-01,12.51,12.51,12.51,12.51,0
160,2022-12-02,12.51,12.51,12.51,12.51,0
161,2022-12-05,12.51,12.51,12.51,12.51,0
162,2022-12-06,12.51,12.51,12.51,12.51,0
163,2022-12-07,12.51,12.51,12.51,12.51,0
164,2022-12-08,12.51,12.51,12.51,12.51,0
165,2022-12-09,12.51,12.51,12.51,12.51,0
166,2022-12-12,12.51,12.51,12.51,12.51,0
167,2022-12-13,12.51,12.51,12.51,12.51,0
168,2022-12-14,12.51,12.51,12.51,12.51,0
169,2022-12-15,12.51,12.51,12.51,12.51,0
170,2022-12-16,12.51,12.51,12.51,12.51,0
171,2022-12-19,12.51,12.51,12.51,12.51,0
172,2022-12-20,12.51,12.51,12.51,12.51,0
173,2022-12-21,12.51,12.51,12.51,12.51,0
174,2022-12-22,12.51,12.51,12.51,12.51,0
175,2022-12-23,12.51,12.51,12.51,12.51,0
176,2022-12-26,12.51,12.51,12.51,12.51,0
177,2022-12-27,12.51,12.51,12.51,12.51,0
178,2022-12-28,12.51,12.51,12.51,12.51,0
179,2022-12-29,12.51,12.51,12.51,12.51,2600
180,2022-12-30,12.51,12.51,12.51,12.51,41
181,2023-01-03,12.51,12.51,12.51,12.51,0
182,2023-01-04,12.51,12.51,12.51,12.51,0
183,2023-01-05,12.51,12.51,12.51,12.51,0
184,2023-01-06,12.51,12.51,12.51,12.51,0
185,2023-01-09,12.51,12.51,12.51,12.51,0
186,2023-01-10,12.51,12.51,12.51,12.51,0
187,2023-01-11,12.51,12.51,12.51,12.51,0
188,2023-01-12,12.51,12.51,12.51,12.51,0
189,2023-01-13,12.51,12.51,12.51,12.51,0
190,2023-01-16,12.51,12.51,12.51,12.51,0
191,2023-01-17,12.51,12.51,12.51,12.51,0
192,2023-01-18,12.51,12.51,12.51,12.51,0
193,2023-01-19,12.51,12.51,12.51,12.51,0
194,2023-01-27,12.51,12.51,12.51,12.51,0
195,2023-01-30,12.51,12.51,12.51,12.51,0
196,2023-01-31,12.51,12.51,12.51,12.51,0
197,2023-02-01,12.51,12.51,12.51,12.51,0
198,2023-02-02,12.51,12.51,12.51,12.51,0
199,2023-02-03,12.51,12.51,12.51,12.51,0
200,2023-02-06,12.51,12.51,12.51,12.51,0
201,2023-02-07,12.51,12.51,12.51,12.51,0
202,2023-02-08,12.51,12.51,12.51,12.51,0
203,2023-02-09,12.51,12.51,12.51,12.51,0
204,2023-02-10,12.51,12.51,12.51,12.51,0
205,2023-02-13,12.51,12.51,12.51,12.51,0
206,2023-02-14,12.51,12.51,12.51,12.51,0
207,2023-02-15,12.51,12.51,12.51,12.51,0
208,2023-02-16,12.51,12.51,12.51,12.51,0
209,2023-02-17,12.51,12.51,12.51,12.51,0
210,2023-02-20,12.51,12.51,12.51,12.51,0
211,2023-02-21,12.51,12.51,12.51,12.51,0
212,2023-02-22,12.51,12.51,12.51,12.51,1000
213,2023-02-23,12.51,12.51,12.51,12.51,0
214,2023-02-24,12.51,12.51,12.51,12.51,0
215,2023-02-27,12.51,12.51,12.51,12.51,0
216,2023-02-28,12.51,12.51,12.51,12.51,0
217,2023-03-01,12.51,12.51,12.51,12.51,0
218,2023-03-02,12.51,12.51,12.51,12.51,0
219,2023-03-03,12.51,12.51,12.51,12.51,0
220,2023-03-06,12.51,12.51,12.51,12.51,0
221,2023-03-07,12.51,12.51,12.51,12.51,0
222,2023-03-08,12.51,12.51,12.51,12.51,0
223,2023-03-09,12.51,12.51,12.51,12.51,0
224,2023-03-10,12.51,12.51,12.51,12.51,0
225,2023-03-13,12.51,12.51,12.51,12.51,0
226,2023-03-14,12.51,12.51,12.51,12.51,0
227,2023-03-15,12.51,12.51,12.51,12.51,0
228,2023-03-16,12.51,12.51,12.51,12.51,0
229,2023-03-17,12.51,12.51,12.51,12.51,0
230,2023-03-20,12.51,12.51,12.51,12.51,0
231,2023-03-21,12.51,12.51,12.51,12.51,0
232,2023-03-22,12.51,12.51,12.51,12.51,0
233,2023-03-23,12.51,12.51,12.51,12.51,0
234,2023-03-24,12.51,12.51,12.51,12.51,0
235,2023-03-27,12.51,12.51,12.51,12.51,0
236,2023-03-28,12.51,12.51,12.51,12.51,0
237,2023-03-29,12.51,12.51,12.51,12.51,0
238,2023-03-30,12.51,12.51,12.51,12.51,100
239,2023-03-31,12.51,12.51,12.51,12.51,0
240,2023-04-03,12.51,12.51,12.51,12.51,0
241,2023-04-04,12.51,12.51,12.51,12.51,0
242,2023-04-05,12.51,12.51,12.51,12.51,0
243,2023-04-06,12.51,12.51,12.51,12.51,0
244,2023-04-07,12.51,12.51,12.51,12.51,0
245,2023-04-10,12.51,12.51,12.51,12.51,0
246,2023-04-11,12.51,12.51,12.51,12.51,0
247,2023-04-12,12.51,12.51,12.51,12.51,0
248,2023-04-13,12.51,12.51,12.51,12.51,0
249,2023-04-14,12.51,12.51,12.51,12.51,0
250,2023-04-17,12.51,12.51,12.51,12.51,100
251,2023-04-18,12.51,12.51,12.51,12.51,0
252,2023-04-19,12.51,12.51,12.51,12.51,0
253,2023-04-20,12.51,12.51,12.51,12.51,0
254,2023-04-21,12.51,12.51,12.51,12.51,0
255,2023-04-24,12.51,12.51,12.51,12.51,0
256,2023-04-25,12.51,12.51,12.51,12.51,0
257,2023-04-26,12.51,12.51,12.51,12.51,0
258,2023-04-27,12.51,12.51,12.51,12.51,0
259,2023-04-28,12.51,12.51,12.51,12.51,0
260,2023-05-04,12.51,12.51,12.51,12.51,0
261,2023-05-05,12.51,12.51,12.51,12.51,0
262,2023-05-08,12.51,12.51,12.51,12.51,0
263,2023-05-09,12.51,12.51,12.51,12.51,0
264,2023-05-10,12.51,12.51,12.51,12.51,0
265,2023-05-11,12.51,12.51,12.51,12.51,0
266,2023-05-12,12.51,12.51,12.51,12.51,0
267,2023-05-15,12.51,12.51,12.51,12.51,0
268,2023-05-16,12.51,12.51,12.51,12.51,0
269,2023-05-17,12.51,12.51,12.51,12.51,0
270,2023-05-18,12.51,12.51,12.51,12.51,1300
271,2023-05-19,12.51,12.51,12.51,12.51,0
272,2023-05-22,12.51,12.51,12.51,12.51,0
273,2023-05-23,12.51,12.51,12.51,12.51,0
274,2023-05-24,12.51,12.51,12.51,12.51,0
275,2023-05-25,12.51,12.51,12.51,12.51,0
276,2023-05-26,12.51,12.51,12.51,12.51,0
277,2023-05-29,12.51,12.51,12.51,12.51,0
278,2023-05-30,12.51,12.51,12.51,12.51,0
279,2023-05-31,12.51,12.51,12.51,12.51,0
280,2023-06-01,12.51,12.51,12.51,12.51,0
281,2023-06-02,12.51,12.51,12.51,12.51,0
282,2023-06-05,12.51,12.51,12.51,12.51,0
283,2023-06-06,12.51,12.51,12.51,12.51,0
284,2023-06-07,12.51,12.51,12.51,12.51,0
285,2023-06-08,12.51,12.51,12.51,12.51,0
286,2023-06-09,12.51,12.51,12.51,12.51,0
287,2023-06-12,12.51,12.51,12.51,12.51,0
288,2023-06-13,12.51,12.51,12.51,12.51,0
289,2023-06-14,12.51,12.51,12.51,12.51,0
290,2023-06-15,12.51,12.51,12.51,12.51,0
291,2023-06-16,12.51,12.51,12.51,12.51,0
292,2023-06-19,12.51,12.51,12.51,12.51,0
293,2023-06-20,12.89,12.89,12.89,12.89,4192
294,2023-06-21,12.89,12.89,12.89,12.89,0
295,2023-06-22,12.89,12.89,12.89,12.89,0
