,time,open,high,low,close,volume
0,2012-01-03,6.21,6.21,5.96,5.96,1760
1,2012-01-04,6.06,6.06,6.06,6.06,10
2,2012-01-05,5.77,5.9,5.77,5.9,440
3,2012-01-06,5.82,5.82,5.82,5.82,10
4,2012-01-09,6.11,6.11,5.53,5.53,1360
5,2012-01-10,5.74,5.74,5.57,5.57,1070
6,2012-01-11,5.3,5.74,5.3,5.3,30
7,2012-01-12,5.53,5.53,5.23,5.23,50
8,2012-01-13,5.23,5.47,5.23,5.47,1010
9,2012-01-16,5.47,5.72,5.47,5.72,100
10,2012-01-17,5.97,5.97,5.74,5.74,20
11,2012-01-18,6.01,6.01,6.01,6.01,100
12,2012-01-19,6.04,6.28,5.72,5.72,3710
13,2012-01-20,5.97,5.97,5.72,5.72,1630
14,2012-01-30,5.99,5.99,5.45,5.74,130
15,2012-01-31,5.9,5.9,5.52,5.52,110
16,2012-02-01,5.52,5.52,5.52,5.52,0
17,2012-02-02,5.52,5.74,5.4,5.74,1220
18,2012-02-03,5.99,5.99,5.99,5.99,10
19,2012-02-06,5.82,5.82,5.82,5.82,10
20,2012-02-07,5.82,5.9,5.53,5.9,2270
21,2012-02-08,5.9,5.9,5.74,5.82,50
22,2012-02-09,5.79,5.79,5.79,5.79,490
23,2012-02-10,5.87,5.87,5.5,5.5,20
24,2012-02-13,5.33,5.53,5.23,5.53,1040
25,2012-02-14,5.65,5.8,5.65,5.8,2140
26,2012-02-15,6.07,6.09,6.06,6.09,12520
27,2012-02-16,6.31,6.39,6.28,6.39,34670
28,2012-02-17,6.39,6.58,6.39,6.58,21000
29,2012-02-20,6.58,6.58,6.41,6.48,1140
30,2012-02-21,6.23,6.33,6.21,6.33,1470
31,2012-02-22,6.12,6.24,6.12,6.24,110
32,2012-02-23,6.11,6.11,6.07,6.09,2260
33,2012-02-24,6.07,6.16,6.07,6.16,7110
34,2012-02-27,6.23,6.26,6.23,6.26,3880
35,2012-02-28,6.24,6.24,6.21,6.21,6810
36,2012-02-29,6.16,6.23,6.16,6.23,1010
37,2012-03-01,6.23,6.28,6.23,6.28,6900
38,2012-03-02,6.41,6.41,6.39,6.39,530
39,2012-03-05,6.5,6.63,6.28,6.58,16400
40,2012-03-06,6.41,6.44,6.26,6.43,13030
41,2012-03-07,6.28,6.58,6.28,6.43,640
42,2012-03-08,6.41,6.44,6.38,6.44,5070
43,2012-03-09,6.41,6.5,6.41,6.5,7270
44,2012-03-12,6.5,6.5,6.34,6.34,9370
45,2012-03-13,6.38,6.48,6.38,6.48,7210
46,2012-03-14,6.5,6.58,6.48,6.5,22210
47,2012-03-15,6.5,6.5,6.33,6.33,4550
48,2012-03-16,6.41,6.48,6.41,6.48,8720
49,2012-03-19,6.5,6.56,6.48,6.56,12000
50,2012-03-20,6.33,6.58,6.33,6.58,20
51,2012-03-21,6.58,6.58,6.34,6.58,4010
52,2012-03-22,6.58,6.58,6.58,6.58,0
53,2012-03-23,6.58,6.58,6.58,6.58,0
54,2012-03-26,6.58,6.58,6.58,6.58,500
55,2012-03-27,6.38,6.38,6.38,6.38,1000
56,2012-03-28,6.56,6.56,6.56,6.56,10
57,2012-03-29,6.28,6.56,6.24,6.24,3070
58,2012-03-30,6.19,6.5,6.12,6.12,1830
59,2012-04-03,6.38,6.38,6.24,6.24,1090
60,2012-04-04,6.24,6.24,6.24,6.24,0
61,2012-04-05,6.24,6.29,6.24,6.29,1010
62,2012-04-06,6.24,6.24,6.24,6.24,200
63,2012-04-09,6.55,6.55,6.5,6.51,3900
64,2012-04-10,6.56,6.56,6.55,6.55,1910
65,2012-04-11,6.44,6.55,6.44,6.55,11000
66,2012-04-12,6.44,6.55,6.44,6.55,9590
67,2012-04-13,6.58,6.58,6.55,6.55,12550
68,2012-04-16,6.87,6.87,6.55,6.55,5510
69,2012-04-17,6.55,6.58,6.53,6.55,18330
70,2012-04-18,6.34,6.87,6.34,6.58,3820
71,2012-04-19,6.55,6.56,6.33,6.33,5200
72,2012-04-20,6.28,6.63,6.28,6.33,420
73,2012-04-23,6.63,6.63,6.34,6.41,1180
74,2012-04-24,6.73,6.73,6.43,6.43,1000
75,2012-04-25,6.55,6.55,6.44,6.44,130
76,2012-04-26,6.76,6.76,6.44,6.58,2730
77,2012-04-27,6.75,6.9,6.51,6.51,1760
78,2012-05-02,6.83,6.83,6.75,6.75,390
79,2012-05-03,6.75,6.85,6.73,6.73,6210
80,2012-05-04,6.66,6.92,6.65,6.73,8970
81,2012-05-07,6.83,6.83,6.75,6.76,23980
82,2012-05-08,6.76,6.76,6.73,6.75,20750
83,2012-05-09,6.58,6.73,6.5,6.6,14180
84,2012-05-10,6.92,6.92,6.41,6.43,3230
85,2012-05-11,6.7,6.7,6.5,6.5,22100
86,2012-05-14,6.26,6.5,6.26,6.5,220
87,2012-05-15,6.33,6.46,6.24,6.46,3310
88,2012-05-16,6.53,6.53,6.24,6.24,3140
89,2012-05-17,6.55,6.55,6.55,6.55,10
90,2012-05-18,6.28,6.28,6.24,6.24,520
91,2012-05-21,6.24,6.41,6.24,6.41,160
92,2012-05-22,6.71,6.71,6.24,6.24,20
93,2012-05-23,6.41,6.41,6.17,6.41,440
94,2012-05-24,6.24,6.24,6.09,6.12,1110
95,2012-05-25,6.41,6.41,6.14,6.14,1390
96,2012-05-28,6.41,6.41,6.11,6.33,970
97,2012-05-29,6.24,6.44,6.24,6.44,110
98,2012-05-30,6.14,6.14,6.14,6.14,220
99,2012-05-31,6.16,6.16,6.16,6.16,70
100,2012-06-01,6.17,6.24,6.17,6.24,650
101,2012-06-04,6.24,6.24,5.99,6.24,150
102,2012-06-05,6.24,6.34,6.24,6.34,250
103,2012-06-06,6.41,6.41,6.41,6.41,100
104,2012-06-07,6.11,6.41,6.11,6.24,1380
105,2012-06-08,6.24,6.28,6.16,6.16,1130
106,2012-06-11,6.16,6.33,6.16,6.24,5480
107,2012-06-12,6.24,6.24,6.24,6.24,1500
108,2012-06-13,6.28,6.28,6.23,6.24,8040
109,2012-06-14,6.21,6.24,6.21,6.24,440
110,2012-06-15,6.29,6.29,6.11,6.11,110
111,2012-06-18,6.26,6.26,6.24,6.24,320
112,2012-06-19,6.24,6.24,6.24,6.24,0
113,2012-06-20,6.24,6.24,6.24,6.24,30
114,2012-06-21,6.24,6.24,6.24,6.24,0
