,time,open,high,low,close,volume
0,2012-01-03,3.34,3.34,3.31,3.33,600
1,2012-01-04,3.33,3.33,3.3,3.3,2300
2,2012-01-05,3.46,3.46,3.37,3.37,3300
3,2012-01-06,3.46,3.46,3.37,3.37,1400
4,2012-01-09,3.63,3.63,3.39,3.49,9000
5,2012-01-10,3.6,3.6,3.6,3.6,4100
6,2012-01-11,3.65,3.65,3.55,3.6,13300
7,2012-01-12,3.72,3.72,3.59,3.59,1600
8,2012-01-13,3.49,3.5,3.47,3.47,2000
9,2012-01-16,3.49,3.49,3.46,3.46,1000
10,2012-01-17,3.49,3.67,3.49,3.57,6700
11,2012-01-18,3.6,3.83,3.6,3.75,18400
12,2012-01-19,3.95,3.95,3.78,3.86,1600
13,2012-01-20,3.82,3.82,3.75,3.75,5900
14,2012-01-30,3.79,3.85,3.79,3.85,3200
15,2012-01-31,3.88,3.92,3.8,3.8,17500
16,2012-02-01,3.93,3.93,3.86,3.86,10700
17,2012-02-02,3.89,4.05,3.89,4.05,9400
18,2012-02-03,4.15,4.15,3.89,3.91,6500
19,2012-02-06,3.89,3.89,3.73,3.73,1400
20,2012-02-07,3.76,3.76,3.73,3.73,1500
21,2012-02-08,3.84,3.87,3.84,3.87,2400
22,2012-02-09,3.89,3.89,3.81,3.83,3800
23,2012-02-10,3.91,4.07,3.84,3.84,18300
24,2012-02-13,3.89,3.89,3.89,3.89,100
25,2012-02-14,3.89,3.89,3.89,3.89,700
26,2012-02-15,3.83,3.87,3.83,3.87,300
27,2012-02-16,3.87,3.87,3.87,3.87,0
28,2012-02-17,3.86,3.86,3.81,3.86,10500
29,2012-02-20,3.94,3.97,3.94,3.97,5400
30,2012-02-21,3.83,3.89,3.83,3.84,1900
31,2012-02-22,3.89,3.89,3.89,3.89,2000
32,2012-02-23,3.92,3.96,3.92,3.96,1900
33,2012-02-24,3.96,3.96,3.92,3.96,2400
34,2012-02-27,3.97,3.99,3.94,3.94,16700
35,2012-02-28,3.97,3.97,3.91,3.91,7000
36,2012-02-29,3.89,3.89,3.86,3.89,32000
37,2012-03-01,3.89,3.92,3.89,3.92,10800
38,2012-03-02,4.05,4.05,3.94,3.94,13700
39,2012-03-05,4.02,4.25,4.02,4.25,39700
40,2012-03-06,3.91,4.2,3.91,4.07,3300
41,2012-03-07,4.05,4.05,3.87,4.05,13500
42,2012-03-08,3.92,3.92,3.87,3.87,4100
43,2012-03-09,3.81,3.83,3.75,3.83,6000
44,2012-03-12,3.83,3.91,3.83,3.83,2300
45,2012-03-13,3.84,3.89,3.84,3.84,7100
46,2012-03-14,3.94,3.94,3.86,3.86,4400
47,2012-03-15,3.96,3.96,3.96,3.96,100
48,2012-03-16,3.96,3.97,3.84,3.84,4200
49,2012-03-19,3.89,3.89,3.84,3.84,5100
50,2012-03-20,3.89,3.89,3.89,3.89,2400
51,2012-03-21,3.91,3.96,3.87,3.91,21800
52,2012-03-22,3.87,3.89,3.86,3.87,6500
53,2012-03-23,3.86,3.86,3.86,3.86,300
54,2012-03-26,3.87,3.89,3.84,3.89,5100
55,2012-03-27,3.87,3.87,3.76,3.79,1700
56,2012-03-28,3.81,3.81,3.81,3.81,1600
57,2012-03-29,3.81,3.81,3.79,3.79,700
