,time,open,high,low,close,volume
0,2012-01-03,2.75,2.75,2.75,2.75,520
1,2012-01-04,2.75,2.75,2.75,2.75,1000
2,2012-01-05,2.75,2.75,2.67,2.67,21300
3,2012-01-06,2.59,2.75,2.59,2.75,13530
4,2012-01-09,2.67,2.83,2.67,2.83,14300
5,2012-01-10,2.83,2.91,2.83,2.91,18420
6,2012-01-11,2.99,2.99,2.91,2.99,28800
7,2012-01-12,2.99,2.99,2.91,2.99,3710
8,2012-01-13,2.91,2.99,2.91,2.99,29040
9,2012-01-16,2.91,3.07,2.91,3.07,31270
10,2012-01-17,2.99,3.07,2.99,3.07,8320
11,2012-01-18,3.07,3.07,3.07,3.07,510
12,2012-01-19,3.14,3.14,3.07,3.14,24900
13,2012-01-20,3.22,3.3,3.07,3.22,6110
14,2012-01-30,3.14,3.3,3.14,3.3,5250
15,2012-01-31,3.3,3.46,3.3,3.46,26670
16,2012-02-01,3.46,3.54,3.3,3.54,32710
17,2012-02-02,3.54,3.69,3.46,3.69,21620
18,2012-02-03,3.69,3.77,3.54,3.54,21220
19,2012-02-06,3.38,3.54,3.38,3.54,10010
20,2012-02-07,3.54,3.54,3.54,3.54,9010
21,2012-02-08,3.54,3.54,3.46,3.54,21310
22,2012-02-09,3.46,3.54,3.46,3.54,38740
23,2012-02-10,3.38,3.38,3.38,3.38,13600
24,2012-02-13,3.22,3.3,3.22,3.3,9270
25,2012-02-14,3.22,3.3,3.14,3.3,15190
26,2012-02-15,3.3,3.3,3.3,3.3,20
27,2012-02-16,3.14,3.3,3.14,3.3,2040
28,2012-02-17,3.14,3.22,3.14,3.22,2050
29,2012-02-20,3.22,3.3,3.22,3.3,46590
30,2012-02-21,3.38,3.38,3.14,3.3,23470
31,2012-02-22,3.3,3.38,3.22,3.38,4090
32,2012-02-23,3.38,3.54,3.38,3.54,17550
33,2012-02-24,3.46,3.62,3.38,3.54,41970
34,2012-02-27,3.38,3.69,3.38,3.69,71910
35,2012-02-28,3.77,3.77,3.54,3.69,43800
36,2012-02-29,3.62,3.69,3.62,3.69,6120
37,2012-03-01,3.69,3.69,3.62,3.69,11510
38,2012-03-02,3.62,3.69,3.54,3.69,64310
39,2012-03-05,3.85,3.85,3.85,3.85,22890
40,2012-03-06,4.01,4.01,3.77,3.93,92080
41,2012-03-07,3.77,3.93,3.77,3.93,13230
42,2012-03-08,3.85,3.85,3.77,3.77,22070
43,2012-03-09,3.62,3.77,3.62,3.77,40760
44,2012-03-12,3.69,3.69,3.62,3.69,35850
45,2012-03-13,3.62,3.85,3.54,3.85,44810
46,2012-03-14,3.69,3.93,3.69,3.93,28320
47,2012-03-15,3.77,4.09,3.77,4.09,42600
48,2012-03-16,4.09,4.09,3.93,4.01,30800
49,2012-03-19,3.85,4.01,3.85,4.01,35510
50,2012-03-20,3.85,4.01,3.85,4.01,28060
51,2012-03-21,4.01,4.09,3.93,4.09,58200
52,2012-03-22,3.93,4.09,3.93,4.01,53890
53,2012-03-23,3.85,4.09,3.85,4.09,54740
54,2012-03-26,4.17,4.24,4.09,4.24,83110
55,2012-03-27,4.4,4.4,4.24,4.24,126450
56,2012-03-28,4.17,4.32,4.09,4.32,22230
57,2012-03-29,4.24,4.4,4.17,4.4,65370
58,2012-03-30,4.24,4.32,4.24,4.24,41450
59,2012-04-03,4.09,4.24,4.09,4.24,42750
60,2012-04-04,4.09,4.09,4.09,4.09,23750
61,2012-04-05,3.93,4.01,3.93,4.01,24370
62,2012-04-06,4.09,4.09,3.85,4.09,36450
63,2012-04-09,3.93,4.09,3.93,4.01,31110
64,2012-04-10,4.01,4.01,3.93,4.01,42370
65,2012-04-11,4.09,4.17,3.93,4.17,59530
66,2012-04-12,4.17,4.24,4.17,4.24,67050
67,2012-04-13,4.24,4.24,4.17,4.24,27750
68,2012-04-16,4.17,4.24,4.17,4.17,104000
