,time,open,high,low,close,volume
0,2012-01-03,7.08,7.08,6.96,6.96,30
1,2012-01-04,6.62,6.73,6.62,6.73,1000
2,2012-01-05,6.41,6.73,6.41,6.73,700
3,2012-01-06,6.94,6.94,6.94,6.94,2000
4,2012-01-09,6.94,6.94,6.94,6.94,0
5,2012-01-10,6.94,6.94,6.94,6.94,100
6,2012-01-11,6.94,6.94,6.94,6.94,11000
7,2012-01-12,6.62,6.92,6.62,6.92,1520
8,2012-01-13,6.89,6.89,6.59,6.59,210
9,2012-01-16,6.31,6.31,6.31,6.31,10
10,2012-01-17,6.59,6.59,6.59,6.59,200
11,2012-01-18,6.71,6.71,6.71,6.71,5000
12,2012-01-19,6.71,6.71,6.71,6.71,10000
13,2012-01-20,6.69,6.71,6.69,6.71,590
14,2012-01-30,6.71,6.71,6.71,6.71,2700
15,2012-01-31,6.96,6.96,6.96,6.96,1000
16,2012-02-01,6.96,6.96,6.96,6.96,2400
17,2012-02-02,6.96,6.96,6.96,6.96,400
18,2012-02-03,6.62,6.62,6.62,6.62,300
19,2012-02-06,6.62,6.62,6.62,6.62,0
20,2012-02-07,6.62,6.62,6.62,6.62,400
21,2012-02-08,6.29,6.66,6.29,6.66,4320
22,2012-02-09,6.71,6.71,6.34,6.69,2510
23,2012-02-10,6.36,6.69,6.36,6.36,18400
24,2012-02-13,6.06,6.36,6.06,6.36,20550
25,2012-02-14,6.36,6.36,6.36,6.36,5000
26,2012-02-15,6.5,6.5,6.36,6.36,1500
27,2012-02-16,6.31,6.36,6.31,6.36,7000
28,2012-02-17,6.36,6.45,6.08,6.08,2210
29,2012-02-20,6.27,6.27,6.27,6.27,15800
30,2012-02-21,6.5,6.5,5.97,6.27,13510
31,2012-02-22,6.15,6.15,6.04,6.15,6500
32,2012-02-23,6.2,6.2,6.2,6.2,2000
33,2012-02-24,5.94,6.11,5.94,6.11,1520
34,2012-02-27,6.27,6.27,5.92,6.22,27350
35,2012-02-28,6.04,6.22,6.04,6.04,2500
36,2012-02-29,5.8,5.83,5.73,5.73,29480
37,2012-03-01,5.99,6.01,5.99,6.01,5940
38,2012-03-02,6.27,6.29,6.24,6.27,16040
39,2012-03-05,6.5,6.57,6.5,6.57,12330
40,2012-03-06,6.57,6.89,6.27,6.59,17180
41,2012-03-07,6.69,6.69,6.38,6.59,2510
