,time,open,high,low,close,volume
0,2016-01-07,9.24,9.42,8.9,9.24,4120
1,2016-01-08,9.07,9.24,9.07,9.07,5690
2,2016-01-11,9.16,9.68,9.16,9.68,8670
3,2016-01-12,9.68,9.68,9.68,9.68,9060
4,2016-01-13,9.5,10.02,9.07,9.5,6840
5,2016-01-14,9.5,9.5,9.5,9.5,10480
6,2016-01-15,9.68,10.11,9.68,10.11,5450
7,2016-01-18,10.37,10.8,10.37,10.8,20020
8,2016-01-19,11.49,11.49,10.97,11.49,104220
9,2016-01-20,11.49,11.49,11.49,11.49,40
10,2016-01-21,12.09,12.09,10.88,11.66,10140
11,2016-01-22,11.23,11.23,10.88,10.88,36420
12,2016-01-25,10.45,10.54,10.37,10.37,7320
13,2016-01-26,9.76,10.97,9.68,10.97,2780
14,2016-01-27,10.28,10.8,10.28,10.37,7800
15,2016-01-28,10.97,11.06,10.37,10.37,10430
16,2016-01-29,10.37,10.37,10.37,10.37,0
17,2016-02-01,10.97,10.97,10.97,10.97,20
18,2016-02-02,11.23,11.66,10.37,10.45,43540
19,2016-02-03,9.93,9.93,9.93,9.93,790
20,2016-02-04,9.93,9.93,9.93,9.93,0
21,2016-02-05,9.93,9.93,9.93,9.93,60
22,2016-02-15,9.59,10.37,9.59,10.37,40
23,2016-02-16,10.97,11.06,10.97,11.06,11500
24,2016-02-17,11.06,11.06,11.06,11.06,0
25,2016-02-18,11.06,11.06,11.06,11.06,160
26,2016-02-19,11.49,11.75,11.49,11.66,38350
27,2016-02-22,12.09,12.09,11.23,11.23,5200
28,2016-02-23,11.23,11.23,11.23,11.23,0
29,2016-02-24,11.23,11.23,11.23,11.23,0
30,2016-02-25,11.47,11.56,11.47,11.56,5440
31,2016-02-26,11.56,11.56,11.56,11.56,0
32,2016-02-29,11.56,11.56,11.56,11.56,0
33,2016-03-01,11.56,11.56,11.56,11.56,0
34,2016-03-02,10.83,10.92,10.83,10.92,9370
35,2016-03-03,10.92,10.92,10.92,10.92,0
36,2016-03-04,10.28,10.28,10.28,10.28,10
37,2016-03-07,10.28,10.28,10.28,10.28,0
38,2016-03-08,10.28,10.28,10.28,10.28,0
39,2016-03-09,10.0,10.83,10.0,10.83,3780
40,2016-03-10,10.37,10.37,10.37,10.37,10
41,2016-03-11,10.37,10.37,10.37,10.37,0
42,2016-03-14,10.92,10.92,10.37,10.37,110
43,2016-03-15,10.19,10.19,10.19,10.19,10
44,2016-03-16,10.55,10.55,10.28,10.28,2310
45,2016-03-17,10.19,10.74,10.19,10.74,20
46,2016-03-18,10.37,10.37,10.37,10.37,100
47,2016-03-21,10.28,10.28,10.19,10.19,3060
48,2016-03-22,10.1,10.1,10.1,10.1,10080
49,2016-03-23,10.55,10.55,10.55,10.55,1000
50,2016-03-24,10.19,10.19,10.1,10.19,2280
51,2016-03-25,10.28,10.37,10.28,10.37,550
52,2016-03-28,10.46,10.46,10.46,10.46,1100
53,2016-03-29,10.46,10.46,10.46,10.46,0
54,2016-03-30,10.55,10.92,9.91,9.91,120
55,2016-03-31,10.55,10.55,9.27,9.82,1210
56,2016-04-01,10.1,10.1,10.1,10.1,500
57,2016-04-04,10.28,10.74,10.19,10.19,2950
58,2016-04-05,10.19,10.83,10.19,10.83,1690
59,2016-04-06,10.55,10.55,10.55,10.55,10
60,2016-04-07,11.2,11.29,10.19,10.19,2510
61,2016-04-08,10.19,10.37,10.19,10.28,840
62,2016-04-11,10.55,10.55,10.55,10.55,1000
63,2016-04-12,10.28,10.55,10.28,10.55,430
64,2016-04-13,11.2,11.29,10.0,11.29,30
65,2016-04-14,10.55,10.83,10.55,10.83,130
66,2016-04-15,10.83,10.83,10.83,10.83,100
67,2016-04-19,10.55,10.55,10.1,10.1,1160
68,2016-04-20,10.55,10.55,9.73,9.73,1930
69,2016-04-21,10.0,10.0,10.0,10.0,20
70,2016-04-22,10.65,10.65,10.0,10.0,2640
71,2016-04-25,10.55,10.65,9.36,9.36,6770
72,2016-04-26,10.0,10.0,10.0,10.0,10
73,2016-04-27,10.55,10.65,10.55,10.65,870
74,2016-04-28,11.01,11.01,10.74,11.01,310
75,2016-04-29,10.55,10.55,10.55,10.55,1280
76,2016-05-04,10.55,10.55,10.55,10.55,400
77,2016-05-05,11.11,11.29,10.55,10.55,13770
78,2016-05-06,10.1,10.1,10.1,10.1,10
79,2016-05-09,10.74,10.74,10.19,10.19,2490
80,2016-05-10,9.64,10.83,9.64,10.83,4050
81,2016-05-11,10.83,10.83,10.83,10.83,0
82,2016-05-12,10.19,10.55,10.1,10.1,5440
83,2016-05-13,9.64,10.65,9.64,10.1,10760
84,2016-05-16,9.45,10.1,9.45,10.1,1510
85,2016-05-17,10.1,10.1,10.1,10.1,6610
86,2016-05-18,10.1,10.1,10.1,10.1,1510
87,2016-05-19,10.1,10.1,10.1,10.1,20
88,2016-05-20,10.28,10.28,10.28,10.28,20
89,2016-05-23,10.28,10.28,10.28,10.28,10
90,2016-05-24,10.1,10.1,10.1,10.1,1240
91,2016-05-25,10.1,10.1,10.1,10.1,0
92,2016-05-26,10.1,10.1,10.1,10.1,1700
93,2016-05-27,9.73,9.73,9.64,9.64,20
94,2016-05-30,9.64,9.64,9.64,9.64,0
95,2016-05-31,10.28,10.28,10.1,10.1,1020
96,2016-06-01,10.19,10.19,10.19,10.19,10
97,2016-06-02,10.19,10.19,10.19,10.19,0
98,2016-06-03,10.55,10.55,10.1,10.1,820
99,2016-06-06,10.55,10.55,10.55,10.55,10
100,2016-06-07,11.01,11.01,10.37,10.65,70
101,2016-06-08,11.01,11.38,11.01,11.29,5820
102,2016-06-09,11.29,11.47,11.29,11.47,1160
103,2016-06-10,11.93,12.21,11.93,12.21,10000
104,2016-06-13,11.66,11.66,11.38,11.38,550
105,2016-06-14,12.02,12.02,12.02,12.02,10
106,2016-06-15,11.93,11.93,11.93,11.93,2420
